Date,Doubleline Opportunistic Credit_Open_average,Doubleline Opportunistic Credit_Open_max,Doubleline Opportunistic Credit_Open_min,Doubleline Opportunistic Credit_Open_volatility,Doubleline Opportunistic Credit_Open_change,Doubleline Opportunistic Credit_High_average,Doubleline Opportunistic Credit_High_max,Doubleline Opportunistic Credit_High_min,Doubleline Opportunistic Credit_High_volatility,Doubleline Opportunistic Credit_High_change,Doubleline Opportunistic Credit_Low_average,Doubleline Opportunistic Credit_Low_max,Doubleline Opportunistic Credit_Low_min,Doubleline Opportunistic Credit_Low_volatility,Doubleline Opportunistic Credit_Low_change,Doubleline Opportunistic Credit_Close_average,Doubleline Opportunistic Credit_Close_max,Doubleline Opportunistic Credit_Close_min,Doubleline Opportunistic Credit_Close_volatility,Doubleline Opportunistic Credit_Close_change
2018-01-14,21.32,21.32,21.32,0.0,0.0,21.38,21.38,21.38,0.0,0.0,21.17,21.17,21.17,0.0,0.0,21.22,21.22,21.22,0.0,0.0
2018-01-21,21.4,21.4,21.4,0.0,0.0,21.4,21.4,21.4,0.0,0.0,21.11,21.11,21.11,0.0,0.0,21.13,21.13,21.13,0.0,0.0
2018-01-28,21.5,21.5,21.5,0.0,0.0,21.53,21.53,21.53,0.0,0.0,21.36,21.36,21.36,0.0,0.0,21.38,21.38,21.38,0.0,0.0
2018-02-04,21.48,21.48,21.48,0.0,0.0,21.48,21.48,21.48,0.0,0.0,21.36,21.36,21.36,0.0,0.0,21.4,21.4,21.4,0.0,0.0
2018-02-11,21.43,21.43,21.43,0.0,0.0,21.47,21.47,21.47,0.0,0.0,21.36,21.36,21.36,0.0,0.0,21.41,21.41,21.41,0.0,0.0
2018-02-18,21.63,21.63,21.63,0.0,0.0,21.72,21.72,21.72,0.0,0.0,21.51,21.51,21.51,0.0,0.0,21.51,21.51,21.51,0.0,0.0
2018-02-25,21.55,21.55,21.55,0.0,0.0,21.61,21.61,21.61,0.0,0.0,21.53,21.53,21.53,0.0,0.0,21.59,21.59,21.59,0.0,0.0
2018-03-04,21.71,21.71,21.71,0.0,0.0,21.88,21.88,21.88,0.0,0.0,21.69,21.69,21.69,0.0,0.0,21.85,21.85,21.85,0.0,0.0
2018-03-11,21.94,21.94,21.94,0.0,0.0,21.99,21.99,21.99,0.0,0.0,21.83,21.83,21.83,0.0,0.0,21.9,21.9,21.9,0.0,0.0
2018-03-18,21.4,21.4,21.4,0.0,0.0,21.45,21.45,21.45,0.0,0.0,21.32,21.32,21.32,0.0,0.0,21.45,21.45,21.45,0.0,0.0
2018-03-25,21.41,21.41,21.41,0.0,0.0,21.8,21.8,21.8,0.0,0.0,21.39,21.39,21.39,0.0,0.0,21.53,21.53,21.53,0.0,0.0
2018-04-01,21.22,21.22,21.22,0.0,0.0,21.57,21.57,21.57,0.0,0.0,21.22,21.22,21.22,0.0,0.0,21.52,21.52,21.52,0.0,0.0
2018-04-08,21.25,21.25,21.25,0.0,0.0,21.31,21.31,21.31,0.0,0.0,21.22,21.22,21.22,0.0,0.0,21.24,21.24,21.24,0.0,0.0
2018-04-15,20.91,20.91,20.91,0.0,0.0,20.96,20.96,20.96,0.0,0.0,20.81,20.81,20.81,0.0,0.0,20.83,20.83,20.83,0.0,0.0
2018-04-22,21.06,21.06,21.06,0.0,0.0,21.1,21.1,21.1,0.0,0.0,20.83,20.83,20.83,0.0,0.0,20.87,20.87,20.87,0.0,0.0
2018-04-29,20.99,20.99,20.99,0.0,0.0,20.99,20.99,20.99,0.0,0.0,20.74,20.74,20.74,0.0,0.0,20.74,20.74,20.74,0.0,0.0
2018-05-06,20.81,20.81,20.81,0.0,0.0,20.81,20.81,20.81,0.0,0.0,20.65,20.65,20.65,0.0,0.0,20.65,20.65,20.65,0.0,0.0
2018-05-13,20.59,20.59,20.59,0.0,0.0,20.64,20.64,20.64,0.0,0.0,20.51,20.51,20.51,0.0,0.0,20.57,20.57,20.57,0.0,0.0
2018-05-20,20.58,20.58,20.58,0.0,0.0,20.84,20.84,20.84,0.0,0.0,20.58,20.58,20.58,0.0,0.0,20.77,20.77,20.77,0.0,0.0
2018-05-27,21.04,21.04,21.04,0.0,0.0,21.08,21.08,21.08,0.0,0.0,20.74,20.74,20.74,0.0,0.0,21.01,21.01,21.01,0.0,0.0
2018-06-03,20.82,20.82,20.82,0.0,0.0,21.26,21.26,21.26,0.0,0.0,20.82,20.82,20.82,0.0,0.0,21.21,21.21,21.21,0.0,0.0
2018-06-10,20.9,20.9,20.9,0.0,0.0,20.91,20.91,20.91,0.0,0.0,20.73,20.73,20.73,0.0,0.0,20.8,20.8,20.8,0.0,0.0
2018-06-17,20.77,20.77,20.77,0.0,0.0,20.87,20.87,20.87,0.0,0.0,20.43,20.43,20.43,0.0,0.0,20.73,20.73,20.73,0.0,0.0
2018-06-24,20.74,20.74,20.74,0.0,0.0,20.88,20.88,20.88,0.0,0.0,20.64,20.64,20.64,0.0,0.0,20.68,20.68,20.68,0.0,0.0
2018-07-01,20.83,20.83,20.83,0.0,0.0,20.91,20.91,20.91,0.0,0.0,20.81,20.81,20.81,0.0,0.0,20.81,20.81,20.81,0.0,0.0
2018-07-08,20.91,20.91,20.91,0.0,0.0,20.92,20.92,20.92,0.0,0.0,20.83,20.83,20.83,0.0,0.0,20.86,20.86,20.86,0.0,0.0
2018-07-15,20.82,20.82,20.82,0.0,0.0,20.82,20.82,20.82,0.0,0.0,20.7,20.7,20.7,0.0,0.0,20.74,20.74,20.74,0.0,0.0
2018-07-22,20.81,20.81,20.81,0.0,0.0,20.85,20.85,20.85,0.0,0.0,20.75,20.75,20.75,0.0,0.0,20.85,20.85,20.85,0.0,0.0
2018-07-29,20.72,20.72,20.72,0.0,0.0,20.86,20.86,20.86,0.0,0.0,20.71,20.71,20.71,0.0,0.0,20.86,20.86,20.86,0.0,0.0
