Date,Direxion Daily Industrials Bull 3X SharesEtf_Open_average,Direxion Daily Industrials Bull 3X SharesEtf_Open_max,Direxion Daily Industrials Bull 3X SharesEtf_Open_min,Direxion Daily Industrials Bull 3X SharesEtf_Open_volatility,Direxion Daily Industrials Bull 3X SharesEtf_Open_change,Direxion Daily Industrials Bull 3X SharesEtf_High_average,Direxion Daily Industrials Bull 3X SharesEtf_High_max,Direxion Daily Industrials Bull 3X SharesEtf_High_min,Direxion Daily Industrials Bull 3X SharesEtf_High_volatility,Direxion Daily Industrials Bull 3X SharesEtf_High_change,Direxion Daily Industrials Bull 3X SharesEtf_Low_average,Direxion Daily Industrials Bull 3X SharesEtf_Low_max,Direxion Daily Industrials Bull 3X SharesEtf_Low_min,Direxion Daily Industrials Bull 3X SharesEtf_Low_volatility,Direxion Daily Industrials Bull 3X SharesEtf_Low_change,Direxion Daily Industrials Bull 3X SharesEtf_Close_average,Direxion Daily Industrials Bull 3X SharesEtf_Close_max,Direxion Daily Industrials Bull 3X SharesEtf_Close_min,Direxion Daily Industrials Bull 3X SharesEtf_Close_volatility,Direxion Daily Industrials Bull 3X SharesEtf_Close_change
2018-01-14,42.15,42.15,42.15,0.0,0.0,42.48,42.48,42.48,0.0,0.0,41.98,41.98,41.98,0.0,0.0,42.4,42.4,42.4,0.0,0.0
2018-01-21,42.77,42.77,42.77,0.0,0.0,44.06,44.06,44.06,0.0,0.0,42.65,42.65,42.65,0.0,0.0,43.97,43.97,43.97,0.0,0.0
2018-01-28,41.5,41.5,41.5,0.0,0.0,41.63,41.63,41.63,0.0,0.0,39.6,39.6,39.6,0.0,0.0,39.65,39.65,39.65,0.0,0.0
2018-02-04,32.66,32.66,32.66,0.0,0.0,33.41,33.41,33.41,0.0,0.0,30.35,30.35,30.35,0.0,0.0,33.03,33.03,33.03,0.0,0.0
2018-02-11,38.01,38.01,38.01,0.0,0.0,39.13,39.13,39.13,0.0,0.0,37.63,37.63,37.63,0.0,0.0,38.18,38.18,38.18,0.0,0.0
2018-02-18,37.98,37.98,37.98,0.0,0.0,38.42,38.42,38.42,0.0,0.0,37.51,37.51,37.51,0.0,0.0,38.42,38.42,38.42,0.0,0.0
2018-02-25,33.75,33.75,33.75,0.0,0.0,34.89,34.89,34.89,0.0,0.0,33.21,33.21,33.21,0.0,0.0,34.89,34.89,34.89,0.0,0.0
2018-03-04,38.72,38.72,38.72,0.0,0.0,39.28,39.28,39.28,0.0,0.0,37.48,37.48,37.48,0.0,0.0,39.28,39.28,39.28,0.0,0.0
2018-03-11,36.39,36.39,36.39,0.0,0.0,37.29,37.29,37.29,0.0,0.0,36.39,36.39,36.39,0.0,0.0,37.29,37.29,37.29,0.0,0.0
2018-03-18,33.18,33.18,33.18,0.0,0.0,33.8,33.8,33.8,0.0,0.0,31.53,31.53,31.53,0.0,0.0,31.8,31.8,31.8,0.0,0.0
2018-03-25,32.76,32.76,32.76,0.0,0.0,33.89,33.89,33.89,0.0,0.0,32.75,32.75,32.75,0.0,0.0,33.78,33.78,33.78,0.0,0.0
2018-04-01,32.42,32.42,32.42,0.0,0.0,32.45,32.45,32.45,0.0,0.0,30.48,30.48,30.48,0.0,0.0,31.49,31.49,31.49,0.0,0.0
2018-04-08,32.87,32.87,32.87,0.0,0.0,33.28,33.28,33.28,0.0,0.0,32.67,32.67,32.67,0.0,0.0,32.83,32.83,32.83,0.0,0.0
2018-04-15,35.71,35.71,35.71,0.0,0.0,36.08,36.08,36.08,0.0,0.0,34.63,34.63,34.63,0.0,0.0,34.85,34.85,34.85,0.0,0.0
2018-04-22,31.34,31.34,31.34,0.0,0.0,31.62,31.62,31.62,0.0,0.0,31.11,31.11,31.11,0.0,0.0,31.62,31.62,31.62,0.0,0.0
2018-04-29,29.11,29.11,29.11,0.0,0.0,30.54,30.54,30.54,0.0,0.0,29.01,29.01,29.01,0.0,0.0,30.48,30.48,30.48,0.0,0.0
2018-05-06,33.35,33.35,33.35,0.0,0.0,33.74,33.74,33.74,0.0,0.0,33.15,33.15,33.15,0.0,0.0,33.15,33.15,33.15,0.0,0.0
2018-05-13,34.0,34.0,34.0,0.0,0.0,34.36,34.36,34.36,0.0,0.0,34.0,34.0,34.0,0.0,0.0,34.25,34.25,34.25,0.0,0.0
2018-05-20,34.65,34.65,34.65,0.0,0.0,34.65,34.65,34.65,0.0,0.0,34.32,34.32,34.32,0.0,0.0,34.62,34.62,34.62,0.0,0.0
2018-05-27,33.95,33.95,33.95,0.0,0.0,33.95,33.95,33.95,0.0,0.0,33.66,33.66,33.66,0.0,0.0,33.79,33.79,33.79,0.0,0.0
2018-06-03,36.39,36.39,36.39,0.0,0.0,36.39,36.39,36.39,0.0,0.0,34.96,34.96,34.96,0.0,0.0,35.48,35.48,35.48,0.0,0.0
2018-06-10,33.26,33.26,33.26,0.0,0.0,34.11,34.11,34.11,0.0,0.0,33.26,33.26,33.26,0.0,0.0,34.11,34.11,34.11,0.0,0.0
2018-06-17,31.04,31.04,31.04,0.0,0.0,31.05,31.05,31.05,0.0,0.0,30.6,30.6,30.6,0.0,0.0,30.8,30.8,30.8,0.0,0.0
2018-06-24,29.78,29.78,29.78,0.0,0.0,30.22,30.22,30.22,0.0,0.0,29.77,29.77,29.77,0.0,0.0,30.07,30.07,30.07,0.0,0.0
2018-07-01,29.55,29.55,29.55,0.0,0.0,30.15,30.15,30.15,0.0,0.0,29.55,29.55,29.55,0.0,0.0,29.81,29.81,29.81,0.0,0.0
2018-07-08,31.73,31.73,31.73,0.0,0.0,31.93,31.93,31.93,0.0,0.0,31.73,31.73,31.73,0.0,0.0,31.81,31.81,31.81,0.0,0.0
2018-07-15,32.4,32.4,32.4,0.0,0.0,32.96,32.96,32.96,0.0,0.0,32.28,32.28,32.28,0.0,0.0,32.68,32.68,32.68,0.0,0.0
2018-07-22,34.93,34.93,34.93,0.0,0.0,34.93,34.93,34.93,0.0,0.0,34.37,34.37,34.37,0.0,0.0,34.58,34.58,34.58,0.0,0.0
2018-07-29,34.17,34.17,34.17,0.0,0.0,34.2,34.2,34.2,0.0,0.0,34.04,34.04,34.04,0.0,0.0,34.12,34.12,34.12,0.0,0.0
2018-08-05,33.45,33.45,33.45,0.0,0.0,33.6,33.6,33.6,0.0,0.0,33.11,33.11,33.11,0.0,0.0,33.47,33.47,33.47,0.0,0.0
2018-08-12,33.78,33.78,33.78,0.0,0.0,34.94,34.94,34.94,0.0,0.0,33.78,33.78,33.78,0.0,0.0,34.83,34.83,34.83,0.0,0.0
