Date,PowerShares DWA EM MomentumEtf_Open_average,PowerShares DWA EM MomentumEtf_Open_max,PowerShares DWA EM MomentumEtf_Open_min,PowerShares DWA EM MomentumEtf_Open_volatility,PowerShares DWA EM MomentumEtf_Open_change,PowerShares DWA EM MomentumEtf_High_average,PowerShares DWA EM MomentumEtf_High_max,PowerShares DWA EM MomentumEtf_High_min,PowerShares DWA EM MomentumEtf_High_volatility,PowerShares DWA EM MomentumEtf_High_change,PowerShares DWA EM MomentumEtf_Low_average,PowerShares DWA EM MomentumEtf_Low_max,PowerShares DWA EM MomentumEtf_Low_min,PowerShares DWA EM MomentumEtf_Low_volatility,PowerShares DWA EM MomentumEtf_Low_change,PowerShares DWA EM MomentumEtf_Close_average,PowerShares DWA EM MomentumEtf_Close_max,PowerShares DWA EM MomentumEtf_Close_min,PowerShares DWA EM MomentumEtf_Close_volatility,PowerShares DWA EM MomentumEtf_Close_change
2018-01-14,21.65,21.65,21.65,0.0,0.0,21.69,21.69,21.69,0.0,0.0,21.57,21.57,21.57,0.0,0.0,21.68,21.68,21.68,0.0,0.0
2018-01-21,22.08,22.08,22.08,0.0,0.0,22.22,22.22,22.22,0.0,0.0,22.02,22.02,22.02,0.0,0.0,22.21,22.21,22.21,0.0,0.0
2018-01-28,21.49,21.49,21.49,0.0,0.0,21.52,21.52,21.52,0.0,0.0,21.2,21.2,21.2,0.0,0.0,21.24,21.24,21.24,0.0,0.0
2018-02-04,20.06,20.06,20.06,0.0,0.0,20.13,20.13,20.13,0.0,0.0,19.52,19.52,19.52,0.0,0.0,20.04,20.04,20.04,0.0,0.0
2018-02-11,21.22,21.22,21.22,0.0,0.0,21.49,21.49,21.49,0.0,0.0,21.22,21.22,21.22,0.0,0.0,21.38,21.38,21.38,0.0,0.0
2018-02-18,21.56,21.56,21.56,0.0,0.0,21.65,21.65,21.65,0.0,0.0,21.46,21.46,21.46,0.0,0.0,21.63,21.63,21.63,0.0,0.0
2018-02-25,20.95,20.95,20.95,0.0,0.0,21.19,21.19,21.19,0.0,0.0,20.84,20.84,20.84,0.0,0.0,21.19,21.19,21.19,0.0,0.0
2018-03-04,21.38,21.38,21.38,0.0,0.0,21.68,21.68,21.68,0.0,0.0,21.38,21.38,21.38,0.0,0.0,21.67,21.67,21.67,0.0,0.0
2018-03-11,21.64,21.64,21.64,0.0,0.0,21.67,21.67,21.67,0.0,0.0,21.58,21.58,21.58,0.0,0.0,21.59,21.59,21.59,0.0,0.0
2018-03-18,21.29,21.29,21.29,0.0,0.0,21.33,21.33,21.33,0.0,0.0,20.94,20.94,20.94,0.0,0.0,20.94,20.94,20.94,0.0,0.0
2018-03-25,21.28,21.28,21.28,0.0,0.0,21.57,21.57,21.57,0.0,0.0,21.24,21.24,21.24,0.0,0.0,21.5,21.5,21.5,0.0,0.0
2018-04-01,21.29,21.29,21.29,0.0,0.0,21.31,21.31,21.31,0.0,0.0,20.88,20.88,20.88,0.0,0.0,20.98,20.98,20.98,0.0,0.0
2018-04-08,21.6,21.6,21.6,0.0,0.0,21.6,21.6,21.6,0.0,0.0,21.35,21.35,21.35,0.0,0.0,21.41,21.41,21.41,0.0,0.0
2018-04-15,21.31,21.31,21.31,0.0,0.0,21.31,21.31,21.31,0.0,0.0,21.14,21.14,21.14,0.0,0.0,21.24,21.24,21.24,0.0,0.0
2018-04-22,21.0,21.0,21.0,0.0,0.0,21.0,21.0,21.0,0.0,0.0,20.83,20.83,20.83,0.0,0.0,20.94,20.94,20.94,0.0,0.0
2018-04-29,20.64,20.64,20.64,0.0,0.0,21.02,21.02,21.02,0.0,0.0,20.64,20.64,20.64,0.0,0.0,20.96,20.96,20.96,0.0,0.0
2018-05-06,21.52,21.52,21.52,0.0,0.0,21.62,21.62,21.62,0.0,0.0,21.43,21.43,21.43,0.0,0.0,21.48,21.48,21.48,0.0,0.0
2018-05-13,21.05,21.05,21.05,0.0,0.0,21.11,21.11,21.11,0.0,0.0,21.0,21.0,21.0,0.0,0.0,21.07,21.07,21.07,0.0,0.0
2018-05-20,21.35,21.35,21.35,0.0,0.0,21.5,21.5,21.5,0.0,0.0,21.35,21.35,21.35,0.0,0.0,21.41,21.41,21.41,0.0,0.0
2018-05-27,21.4,21.4,21.4,0.0,0.0,21.6,21.6,21.6,0.0,0.0,21.4,21.4,21.4,0.0,0.0,21.55,21.55,21.55,0.0,0.0
2018-06-03,21.64,21.64,21.64,0.0,0.0,21.78,21.78,21.78,0.0,0.0,21.53,21.53,21.53,0.0,0.0,21.71,21.71,21.71,0.0,0.0
2018-06-10,21.27,21.27,21.27,0.0,0.0,21.31,21.31,21.31,0.0,0.0,21.14,21.14,21.14,0.0,0.0,21.29,21.29,21.29,0.0,0.0
2018-06-17,20.21,20.21,20.21,0.0,0.0,20.21,20.21,20.21,0.0,0.0,20.02,20.02,20.02,0.0,0.0,20.06,20.06,20.06,0.0,0.0
2018-06-24,20.02,20.02,20.02,0.0,0.0,20.07,20.07,20.07,0.0,0.0,19.97,19.97,19.97,0.0,0.0,20.02,20.02,20.02,0.0,0.0
2018-07-01,19.45,19.45,19.45,0.0,0.0,19.59,19.59,19.59,0.0,0.0,19.4,19.4,19.4,0.0,0.0,19.56,19.56,19.56,0.0,0.0
2018-07-08,20.14,20.14,20.14,0.0,0.0,20.27,20.27,20.27,0.0,0.0,20.12,20.12,20.12,0.0,0.0,20.23,20.23,20.23,0.0,0.0
2018-07-15,19.73,19.73,19.73,0.0,0.0,19.93,19.93,19.93,0.0,0.0,19.73,19.73,19.73,0.0,0.0,19.91,19.91,19.91,0.0,0.0
2018-07-22,20.41,20.41,20.41,0.0,0.0,20.43,20.43,20.43,0.0,0.0,20.24,20.24,20.24,0.0,0.0,20.36,20.36,20.36,0.0,0.0
2018-07-29,19.43,19.43,19.43,0.0,0.0,19.52,19.52,19.52,0.0,0.0,19.39,19.39,19.39,0.0,0.0,19.49,19.49,19.49,0.0,0.0
