Date,SPDR S&P Kensho Future Security_Open_average,SPDR S&P Kensho Future Security_Open_max,SPDR S&P Kensho Future Security_Open_min,SPDR S&P Kensho Future Security_Open_volatility,SPDR S&P Kensho Future Security_Open_change,SPDR S&P Kensho Future Security_High_average,SPDR S&P Kensho Future Security_High_max,SPDR S&P Kensho Future Security_High_min,SPDR S&P Kensho Future Security_High_volatility,SPDR S&P Kensho Future Security_High_change,SPDR S&P Kensho Future Security_Low_average,SPDR S&P Kensho Future Security_Low_max,SPDR S&P Kensho Future Security_Low_min,SPDR S&P Kensho Future Security_Low_volatility,SPDR S&P Kensho Future Security_Low_change,SPDR S&P Kensho Future Security_Close_average,SPDR S&P Kensho Future Security_Close_max,SPDR S&P Kensho Future Security_Close_min,SPDR S&P Kensho Future Security_Close_volatility,SPDR S&P Kensho Future Security_Close_change
2018-01-14,31.01,31.01,31.01,0.0,0.0,31.01,31.01,31.01,0.0,0.0,30.92,30.92,30.92,0.0,0.0,30.99,30.99,30.99,0.0,0.0
2018-01-21,31.29,31.29,31.29,0.0,0.0,31.36,31.36,31.36,0.0,0.0,31.18,31.18,31.18,0.0,0.0,31.36,31.36,31.36,0.0,0.0
2018-01-28,30.3,30.3,30.3,0.0,0.0,30.3,30.3,30.3,0.0,0.0,29.65,29.65,29.65,0.0,0.0,29.65,29.65,29.65,0.0,0.0
2018-02-04,28.82,28.82,28.82,0.0,0.0,29.59,29.59,29.59,0.0,0.0,28.72,28.72,28.72,0.0,0.0,29.41,29.41,29.41,0.0,0.0
2018-02-11,31.35,31.35,31.35,0.0,0.0,31.35,31.35,31.35,0.0,0.0,31.34,31.34,31.34,0.0,0.0,31.34,31.34,31.34,0.0,0.0
2018-02-18,31.84,31.84,31.84,0.0,0.0,31.84,31.84,31.84,0.0,0.0,31.81,31.81,31.81,0.0,0.0,31.84,31.84,31.84,0.0,0.0
2018-02-25,31.33,31.33,31.33,0.0,0.0,31.78,31.78,31.78,0.0,0.0,31.33,31.33,31.33,0.0,0.0,31.78,31.78,31.78,0.0,0.0
2018-03-04,32.58,32.58,32.58,0.0,0.0,32.74,32.74,32.74,0.0,0.0,32.58,32.58,32.58,0.0,0.0,32.74,32.74,32.74,0.0,0.0
2018-03-11,32.32,32.32,32.32,0.0,0.0,32.32,32.32,32.32,0.0,0.0,32.12,32.12,32.12,0.0,0.0,32.12,32.12,32.12,0.0,0.0
2018-03-18,31.14,31.14,31.14,0.0,0.0,31.66,31.66,31.66,0.0,0.0,31.14,31.14,31.14,0.0,0.0,31.66,31.66,31.66,0.0,0.0
2018-03-25,31.36,31.36,31.36,0.0,0.0,31.36,31.36,31.36,0.0,0.0,30.84,30.84,30.84,0.0,0.0,30.84,30.84,30.84,0.0,0.0
2018-04-01,31.64,31.64,31.64,0.0,0.0,31.64,31.64,31.64,0.0,0.0,31.4,31.4,31.4,0.0,0.0,31.4,31.4,31.4,0.0,0.0
2018-04-08,32.46,32.46,32.46,0.0,0.0,32.46,32.46,32.46,0.0,0.0,32.35,32.35,32.35,0.0,0.0,32.4,32.4,32.4,0.0,0.0
2018-04-15,32.97,32.97,32.97,0.0,0.0,33.01,33.01,33.01,0.0,0.0,32.72,32.72,32.72,0.0,0.0,32.74,32.74,32.74,0.0,0.0
