Date,ROBO Global Robotics Automation_Open_average,ROBO Global Robotics Automation_Open_max,ROBO Global Robotics Automation_Open_min,ROBO Global Robotics Automation_Open_volatility,ROBO Global Robotics Automation_Open_change,ROBO Global Robotics Automation_High_average,ROBO Global Robotics Automation_High_max,ROBO Global Robotics Automation_High_min,ROBO Global Robotics Automation_High_volatility,ROBO Global Robotics Automation_High_change,ROBO Global Robotics Automation_Low_average,ROBO Global Robotics Automation_Low_max,ROBO Global Robotics Automation_Low_min,ROBO Global Robotics Automation_Low_volatility,ROBO Global Robotics Automation_Low_change,ROBO Global Robotics Automation_Close_average,ROBO Global Robotics Automation_Close_max,ROBO Global Robotics Automation_Close_min,ROBO Global Robotics Automation_Close_volatility,ROBO Global Robotics Automation_Close_change
2018-01-14,45.62,45.62,45.62,0.0,0.0,45.85,45.85,45.85,0.0,0.0,45.6,45.6,45.6,0.0,0.0,45.83,45.83,45.83,0.0,0.0
2018-01-21,45.89,45.89,45.89,0.0,0.0,46.14,46.14,46.14,0.0,0.0,45.76,45.76,45.76,0.0,0.0,46.12,46.12,46.12,0.0,0.0
2018-01-28,45.0,45.0,45.0,0.0,0.0,45.09,45.09,45.09,0.0,0.0,44.29,44.29,44.29,0.0,0.0,44.32,44.32,44.32,0.0,0.0
2018-02-04,40.97,40.97,40.97,0.0,0.0,41.23,41.23,41.23,0.0,0.0,39.8,39.8,39.8,0.0,0.0,40.98,40.98,40.98,0.0,0.0
2018-02-11,43.0,43.0,43.0,0.0,0.0,43.16,43.16,43.16,0.0,0.0,42.7,42.7,42.7,0.0,0.0,42.87,42.87,42.87,0.0,0.0
2018-02-18,42.91,42.91,42.91,0.0,0.0,43.23,43.23,43.23,0.0,0.0,42.83,42.83,42.83,0.0,0.0,43.23,43.23,43.23,0.0,0.0
2018-02-25,41.47,41.47,41.47,0.0,0.0,42.26,42.26,42.26,0.0,0.0,41.27,41.27,41.27,0.0,0.0,42.2,42.2,42.2,0.0,0.0
2018-03-04,43.24,43.24,43.24,0.0,0.0,43.69,43.69,43.69,0.0,0.0,43.2,43.2,43.2,0.0,0.0,43.66,43.66,43.66,0.0,0.0
2018-03-11,43.54,43.54,43.54,0.0,0.0,43.61,43.61,43.61,0.0,0.0,43.34,43.34,43.34,0.0,0.0,43.4,43.4,43.4,0.0,0.0
2018-03-18,41.65,41.65,41.65,0.0,0.0,41.79,41.79,41.79,0.0,0.0,40.85,40.85,40.85,0.0,0.0,40.93,40.93,40.93,0.0,0.0
2018-03-25,41.39,41.39,41.39,0.0,0.0,42.14,42.14,42.14,0.0,0.0,41.34,41.34,41.34,0.0,0.0,41.82,41.82,41.82,0.0,0.0
2018-04-01,40.94,40.94,40.94,0.0,0.0,41.13,41.13,41.13,0.0,0.0,40.23,40.23,40.23,0.0,0.0,40.46,40.46,40.46,0.0,0.0
2018-04-08,42.1,42.1,42.1,0.0,0.0,42.16,42.16,42.16,0.0,0.0,41.67,41.67,41.67,0.0,0.0,41.87,41.87,41.87,0.0,0.0
2018-04-15,42.36,42.36,42.36,0.0,0.0,42.4,42.4,42.4,0.0,0.0,42.08,42.08,42.08,0.0,0.0,42.22,42.22,42.22,0.0,0.0
2018-04-22,40.75,40.75,40.75,0.0,0.0,40.79,40.79,40.79,0.0,0.0,40.34,40.34,40.34,0.0,0.0,40.45,40.45,40.45,0.0,0.0
2018-04-29,39.82,39.82,39.82,0.0,0.0,40.64,40.64,40.64,0.0,0.0,39.74,39.74,39.74,0.0,0.0,40.47,40.47,40.47,0.0,0.0
2018-05-06,42.09,42.09,42.09,0.0,0.0,42.14,42.14,42.14,0.0,0.0,41.88,41.88,41.88,0.0,0.0,42.02,42.02,42.02,0.0,0.0
2018-05-13,41.97,41.97,41.97,0.0,0.0,42.09,42.09,42.09,0.0,0.0,41.86,41.86,41.86,0.0,0.0,41.94,41.94,41.94,0.0,0.0
2018-05-20,41.77,41.77,41.77,0.0,0.0,41.78,41.78,41.78,0.0,0.0,41.56,41.56,41.56,0.0,0.0,41.72,41.72,41.72,0.0,0.0
2018-05-27,41.46,41.46,41.46,0.0,0.0,41.84,41.84,41.84,0.0,0.0,41.46,41.46,41.46,0.0,0.0,41.76,41.76,41.76,0.0,0.0
2018-06-03,42.24,42.24,42.24,0.0,0.0,42.45,42.45,42.45,0.0,0.0,42.13,42.13,42.13,0.0,0.0,42.41,42.41,42.41,0.0,0.0
2018-06-10,41.7,41.7,41.7,0.0,0.0,41.73,41.73,41.73,0.0,0.0,41.46,41.46,41.46,0.0,0.0,41.56,41.56,41.56,0.0,0.0
2018-06-17,40.8,40.8,40.8,0.0,0.0,40.83,40.83,40.83,0.0,0.0,40.55,40.55,40.55,0.0,0.0,40.58,40.58,40.58,0.0,0.0
2018-06-24,39.96,39.96,39.96,0.0,0.0,40.3,40.3,40.3,0.0,0.0,39.96,39.96,39.96,0.0,0.0,40.0,40.0,40.0,0.0,0.0
2018-07-01,39.95,39.95,39.95,0.0,0.0,40.3,40.3,40.3,0.0,0.0,39.92,39.92,39.92,0.0,0.0,40.28,40.28,40.28,0.0,0.0
2018-07-08,40.67,40.67,40.67,0.0,0.0,40.8,40.8,40.8,0.0,0.0,40.58,40.58,40.58,0.0,0.0,40.72,40.72,40.72,0.0,0.0
2018-07-15,40.55,40.55,40.55,0.0,0.0,40.7,40.7,40.7,0.0,0.0,40.48,40.48,40.48,0.0,0.0,40.55,40.55,40.55,0.0,0.0
