Date,ProShares Ultra MidCap400_Open_average,ProShares Ultra MidCap400_Open_max,ProShares Ultra MidCap400_Open_min,ProShares Ultra MidCap400_Open_volatility,ProShares Ultra MidCap400_Open_change,ProShares Ultra MidCap400_High_average,ProShares Ultra MidCap400_High_max,ProShares Ultra MidCap400_High_min,ProShares Ultra MidCap400_High_volatility,ProShares Ultra MidCap400_High_change,ProShares Ultra MidCap400_Low_average,ProShares Ultra MidCap400_Low_max,ProShares Ultra MidCap400_Low_min,ProShares Ultra MidCap400_Low_volatility,ProShares Ultra MidCap400_Low_change,ProShares Ultra MidCap400_Close_average,ProShares Ultra MidCap400_Close_max,ProShares Ultra MidCap400_Close_min,ProShares Ultra MidCap400_Close_volatility,ProShares Ultra MidCap400_Close_change
2018-01-14,44.45,44.45,44.45,0.0,0.0,44.79,44.79,44.79,0.0,0.0,44.28,44.28,44.28,0.0,0.0,44.79,44.79,44.79,0.0,0.0
2018-01-21,44.85,44.85,44.85,0.0,0.0,44.89,44.89,44.89,0.0,0.0,44.33,44.33,44.33,0.0,0.0,44.33,44.33,44.33,0.0,0.0
2018-01-28,40.93,40.93,40.93,0.0,0.0,41.53,41.53,41.53,0.0,0.0,38.52,38.52,38.52,0.0,0.0,38.52,38.52,38.52,0.0,0.0
2018-02-04,37.64,37.64,37.64,0.0,0.0,38.51,38.51,38.51,0.0,0.0,37.23,37.23,37.23,0.0,0.0,38.17,38.17,38.17,0.0,0.0
2018-02-11,40.41,40.41,40.41,0.0,0.0,41.17,41.17,41.17,0.0,0.0,40.4,40.4,40.4,0.0,0.0,40.84,40.84,40.84,0.0,0.0
2018-02-18,41.15,41.15,41.15,0.0,0.0,41.42,41.42,41.42,0.0,0.0,40.6,40.6,40.6,0.0,0.0,41.4,41.4,41.4,0.0,0.0
2018-02-25,39.45,39.45,39.45,0.0,0.0,40.77,40.77,40.77,0.0,0.0,39.43,39.43,39.43,0.0,0.0,40.57,40.57,40.57,0.0,0.0
2018-03-04,42.97,42.97,42.97,0.0,0.0,43.1,43.1,43.1,0.0,0.0,42.68,42.68,42.68,0.0,0.0,42.91,42.91,42.91,0.0,0.0
2018-03-11,41.93,41.93,41.93,0.0,0.0,41.93,41.93,41.93,0.0,0.0,40.72,40.72,40.72,0.0,0.0,41.42,41.42,41.42,0.0,0.0
2018-03-18,39.07,39.07,39.07,0.0,0.0,39.76,39.76,39.76,0.0,0.0,38.39,38.39,38.39,0.0,0.0,39.72,39.72,39.72,0.0,0.0
2018-03-25,39.5,39.5,39.5,0.0,0.0,39.5,39.5,39.5,0.0,0.0,37.26,37.26,37.26,0.0,0.0,37.84,37.84,37.84,0.0,0.0
2018-04-01,39.01,39.01,39.01,0.0,0.0,39.62,39.62,39.62,0.0,0.0,38.55,38.55,38.55,0.0,0.0,38.6,38.6,38.6,0.0,0.0
2018-04-08,40.29,40.29,40.29,0.0,0.0,40.81,40.81,40.81,0.0,0.0,40.17,40.17,40.17,0.0,0.0,40.63,40.63,40.63,0.0,0.0
