Date,iPath Pure Beta Broad Commodity Exp 18 Apr 2041_Open_average,iPath Pure Beta Broad Commodity Exp 18 Apr 2041_Open_max,iPath Pure Beta Broad Commodity Exp 18 Apr 2041_Open_min,iPath Pure Beta Broad Commodity Exp 18 Apr 2041_Open_volatility,iPath Pure Beta Broad Commodity Exp 18 Apr 2041_Open_change,iPath Pure Beta Broad Commodity Exp 18 Apr 2041_High_average,iPath Pure Beta Broad Commodity Exp 18 Apr 2041_High_max,iPath Pure Beta Broad Commodity Exp 18 Apr 2041_High_min,iPath Pure Beta Broad Commodity Exp 18 Apr 2041_High_volatility,iPath Pure Beta Broad Commodity Exp 18 Apr 2041_High_change,iPath Pure Beta Broad Commodity Exp 18 Apr 2041_Low_average,iPath Pure Beta Broad Commodity Exp 18 Apr 2041_Low_max,iPath Pure Beta Broad Commodity Exp 18 Apr 2041_Low_min,iPath Pure Beta Broad Commodity Exp 18 Apr 2041_Low_volatility,iPath Pure Beta Broad Commodity Exp 18 Apr 2041_Low_change,iPath Pure Beta Broad Commodity Exp 18 Apr 2041_Close_average,iPath Pure Beta Broad Commodity Exp 18 Apr 2041_Close_max,iPath Pure Beta Broad Commodity Exp 18 Apr 2041_Close_min,iPath Pure Beta Broad Commodity Exp 18 Apr 2041_Close_volatility,iPath Pure Beta Broad Commodity Exp 18 Apr 2041_Close_change
2018-01-14,29.67,29.67,29.67,0.0,0.0,29.7,29.7,29.7,0.0,0.0,29.67,29.67,29.67,0.0,0.0,29.7,29.7,29.7,0.0,0.0
2018-01-21,30.19,30.19,30.19,0.0,0.0,30.19,30.19,30.19,0.0,0.0,30.19,30.19,30.19,0.0,0.0,30.19,30.19,30.19,0.0,0.0
2018-01-28,29.64,29.64,29.64,0.0,0.0,29.64,29.64,29.64,0.0,0.0,29.51,29.51,29.51,0.0,0.0,29.51,29.51,29.51,0.0,0.0
2018-02-04,28.85,28.85,28.85,0.0,0.0,28.86,28.86,28.86,0.0,0.0,28.78,28.78,28.78,0.0,0.0,28.78,28.78,28.78,0.0,0.0
2018-02-11,29.45,29.45,29.45,0.0,0.0,29.52,29.52,29.52,0.0,0.0,29.42,29.42,29.42,0.0,0.0,29.47,29.47,29.47,0.0,0.0
2018-02-18,30.0,30.0,30.0,0.0,0.0,30.0,30.0,30.0,0.0,0.0,29.87,29.87,29.87,0.0,0.0,29.87,29.87,29.87,0.0,0.0
2018-02-25,29.57,29.57,29.57,0.0,0.0,29.57,29.57,29.57,0.0,0.0,29.56,29.56,29.56,0.0,0.0,29.57,29.57,29.57,0.0,0.0
2018-03-04,29.32,29.32,29.32,0.0,0.0,29.36,29.36,29.36,0.0,0.0,29.32,29.32,29.32,0.0,0.0,29.36,29.36,29.36,0.0,0.0
2018-03-11,29.2,29.2,29.2,0.0,0.0,29.2,29.2,29.2,0.0,0.0,29.2,29.2,29.2,0.0,0.0,29.2,29.2,29.2,0.0,0.0
2018-03-18,29.77,29.77,29.77,0.0,0.0,29.77,29.77,29.77,0.0,0.0,29.72,29.72,29.72,0.0,0.0,29.72,29.72,29.72,0.0,0.0
