Date,IHT_Open_average,IHT_Open_max,IHT_Open_min,IHT_Open_volatility,IHT_Open_change,IHT_High_average,IHT_High_max,IHT_High_min,IHT_High_volatility,IHT_High_change,IHT_Low_average,IHT_Low_max,IHT_Low_min,IHT_Low_volatility,IHT_Low_change,IHT_Close_average,IHT_Close_max,IHT_Close_min,IHT_Close_volatility,IHT_Close_change,IHT_Volume_average,IHT_Volume_max,IHT_Volume_min,IHT_Volume_volatility,IHT_Volume_change
2016-01-03,2.3125,2.45,2.15,0.30000000000000027,0.25,2.3725,2.48,2.25,0.22999999999999998,0.16999999999999993,2.3,2.4,2.15,0.25,0.25,2.355,2.46,2.25,0.20999999999999996,0.1499999999999999,1781,5682,300,5382,-345
2016-01-10,2.5,2.55,2.45,0.09999999999999964,0.09999999999999964,2.5999999999999996,2.65,2.55,0.10000000000000009,-0.10000000000000009,2.455,2.46,2.45,0.009999999999999787,0.009999999999999787,2.5599999999999996,2.57,2.55,0.020000000000000018,-0.020000000000000018,1934,2085,1784,301,-301
2016-01-17,2.5,2.5,2.5,0.0,0.0,2.5,2.5,2.5,0.0,0.0,2.5,2.5,2.5,0.0,0.0,2.5,2.5,2.5,0.0,0.0,139,139,139,0,0
2016-01-24,2.285,2.41,2.16,0.25,-0.25,2.285,2.41,2.16,0.25,-0.25,2.145,2.16,2.13,0.03000000000000025,0.03000000000000025,2.1900000000000004,2.22,2.16,0.06000000000000005,-0.06000000000000005,685,1251,120,1131,-1131
2016-01-31,2.19,2.19,2.19,0.0,0.0,2.2,2.2,2.2,0.0,0.0,2.19,2.19,2.19,0.0,0.0,2.2,2.2,2.2,0.0,0.0,209,209,209,0,0
2016-02-07,2.26,2.26,2.26,0.0,0.0,2.37,2.37,2.37,0.0,0.0,2.26,2.26,2.26,0.0,0.0,2.37,2.37,2.37,0.0,0.0,200,200,200,0,0
2016-02-14,2.42,2.42,2.42,0.0,0.0,2.42,2.42,2.42,0.0,0.0,2.34,2.34,2.34,0.0,0.0,2.34,2.34,2.34,0.0,0.0,203,203,203,0,0
2016-02-21,2.44,2.44,2.44,0.0,0.0,2.44,2.44,2.44,0.0,0.0,2.44,2.44,2.44,0.0,0.0,2.44,2.44,2.44,0.0,0.0,103,103,103,0,0
2016-02-28,2.45,2.45,2.45,0.0,0.0,2.45,2.45,2.45,0.0,0.0,2.45,2.45,2.45,0.0,0.0,2.45,2.45,2.45,0.0,0.0,283,283,283,0,0
2016-03-06,2.25,2.25,2.25,0.0,0.0,2.25,2.25,2.25,0.0,0.0,2.25,2.25,2.25,0.0,0.0,2.25,2.25,2.25,0.0,0.0,1000,1000,1000,0,0
