Date,iPath Series B S&P GSCI Crude Oil TR_etf_Open_average,iPath Series B S&P GSCI Crude Oil TR_etf_Open_max,iPath Series B S&P GSCI Crude Oil TR_etf_Open_min,iPath Series B S&P GSCI Crude Oil TR_etf_Open_volatility,iPath Series B S&P GSCI Crude Oil TR_etf_Open_change,iPath Series B S&P GSCI Crude Oil TR_etf_High_average,iPath Series B S&P GSCI Crude Oil TR_etf_High_max,iPath Series B S&P GSCI Crude Oil TR_etf_High_min,iPath Series B S&P GSCI Crude Oil TR_etf_High_volatility,iPath Series B S&P GSCI Crude Oil TR_etf_High_change,iPath Series B S&P GSCI Crude Oil TR_etf_Low_average,iPath Series B S&P GSCI Crude Oil TR_etf_Low_max,iPath Series B S&P GSCI Crude Oil TR_etf_Low_min,iPath Series B S&P GSCI Crude Oil TR_etf_Low_volatility,iPath Series B S&P GSCI Crude Oil TR_etf_Low_change,iPath Series B S&P GSCI Crude Oil TR_etf_Close_average,iPath Series B S&P GSCI Crude Oil TR_etf_Close_max,iPath Series B S&P GSCI Crude Oil TR_etf_Close_min,iPath Series B S&P GSCI Crude Oil TR_etf_Close_volatility,iPath Series B S&P GSCI Crude Oil TR_etf_Close_change
2018-01-14,12.5,12.5,12.5,0.0,0.0,12.5,12.5,12.5,0.0,0.0,12.49,12.49,12.49,0.0,0.0,12.49,12.49,12.49,0.0,0.0
2018-01-21,13.06,13.06,13.06,0.0,0.0,13.06,13.06,13.06,0.0,0.0,13.05,13.05,13.05,0.0,0.0,13.05,13.05,13.05,0.0,0.0
2018-01-28,12.75,12.75,12.75,0.0,0.0,12.75,12.75,12.75,0.0,0.0,12.75,12.75,12.75,0.0,0.0,12.75,12.75,12.75,0.0,0.0
2018-02-04,11.58,11.58,11.58,0.0,0.0,11.66,11.66,11.66,0.0,0.0,11.58,11.58,11.58,0.0,0.0,11.66,11.66,11.66,0.0,0.0
2018-02-11,12.04,12.04,12.04,0.0,0.0,12.22,12.22,12.22,0.0,0.0,12.04,12.04,12.04,0.0,0.0,12.13,12.13,12.13,0.0,0.0
2018-02-18,12.58,12.58,12.58,0.0,0.0,12.59,12.59,12.59,0.0,0.0,12.54,12.54,12.54,0.0,0.0,12.58,12.58,12.58,0.0,0.0
2018-02-25,11.98,11.98,11.98,0.0,0.0,11.98,11.98,11.98,0.0,0.0,11.98,11.98,11.98,0.0,0.0,11.98,11.98,11.98,0.0,0.0
2018-03-04,12.2,12.2,12.2,0.0,0.0,12.2,12.2,12.2,0.0,0.0,12.2,12.2,12.2,0.0,0.0,12.2,12.2,12.2,0.0,0.0
2018-03-11,12.21,12.21,12.21,0.0,0.0,12.36,12.36,12.36,0.0,0.0,12.21,12.21,12.21,0.0,0.0,12.36,12.36,12.36,0.0,0.0
2018-03-18,12.77,12.77,12.77,0.0,0.0,12.77,12.77,12.77,0.0,0.0,12.77,12.77,12.77,0.0,0.0,12.77,12.77,12.77,0.0,0.0
2018-03-25,12.78,12.78,12.78,0.0,0.0,12.91,12.91,12.91,0.0,0.0,12.76,12.76,12.76,0.0,0.0,12.77,12.77,12.77,0.0,0.0
2018-04-01,12.45,12.45,12.45,0.0,0.0,12.48,12.48,12.48,0.0,0.0,12.45,12.45,12.45,0.0,0.0,12.48,12.48,12.48,0.0,0.0
