Date,SPDR MSCI USA StrategicFactors_Open_average,SPDR MSCI USA StrategicFactors_Open_max,SPDR MSCI USA StrategicFactors_Open_min,SPDR MSCI USA StrategicFactors_Open_volatility,SPDR MSCI USA StrategicFactors_Open_change,SPDR MSCI USA StrategicFactors_High_average,SPDR MSCI USA StrategicFactors_High_max,SPDR MSCI USA StrategicFactors_High_min,SPDR MSCI USA StrategicFactors_High_volatility,SPDR MSCI USA StrategicFactors_High_change,SPDR MSCI USA StrategicFactors_Low_average,SPDR MSCI USA StrategicFactors_Low_max,SPDR MSCI USA StrategicFactors_Low_min,SPDR MSCI USA StrategicFactors_Low_volatility,SPDR MSCI USA StrategicFactors_Low_change,SPDR MSCI USA StrategicFactors_Close_average,SPDR MSCI USA StrategicFactors_Close_max,SPDR MSCI USA StrategicFactors_Close_min,SPDR MSCI USA StrategicFactors_Close_volatility,SPDR MSCI USA StrategicFactors_Close_change
2018-01-14,80.54,80.54,80.54,0.0,0.0,80.86,80.86,80.86,0.0,0.0,80.54,80.54,80.54,0.0,0.0,80.86,80.86,80.86,0.0,0.0
2018-01-21,82.07,82.07,82.07,0.0,0.0,82.07,82.07,82.07,0.0,0.0,81.69,81.69,81.69,0.0,0.0,81.74,81.74,81.74,0.0,0.0
2018-01-28,78.61,78.61,78.61,0.0,0.0,81.79,81.79,81.79,0.0,0.0,75.92,75.92,75.92,0.0,0.0,76.06,76.06,76.06,0.0,0.0
2018-02-04,75.85,75.85,75.85,0.0,0.0,76.38,76.38,76.38,0.0,0.0,75.57,75.57,75.57,0.0,0.0,76.22,76.22,76.22,0.0,0.0
2018-02-11,78.39,78.39,78.39,0.0,0.0,78.92,78.92,78.92,0.0,0.0,78.28,78.28,78.28,0.0,0.0,78.64,78.64,78.64,0.0,0.0
2018-02-18,78.83,78.83,78.83,0.0,0.0,79.92,79.92,79.92,0.0,0.0,78.83,78.83,78.83,0.0,0.0,79.29,79.29,79.29,0.0,0.0
2018-02-25,77.04,77.04,77.04,0.0,0.0,77.91,77.91,77.91,0.0,0.0,76.13,76.13,76.13,0.0,0.0,77.91,77.91,77.91,0.0,0.0
2018-03-04,79.47,79.47,79.47,0.0,0.0,79.65,79.65,79.65,0.0,0.0,79.42,79.42,79.42,0.0,0.0,79.46,79.46,79.46,0.0,0.0
2018-03-11,78.07,78.07,78.07,0.0,0.0,78.13,78.13,78.13,0.0,0.0,77.26,77.26,77.26,0.0,0.0,77.62,77.62,77.62,0.0,0.0
2018-03-18,74.59,74.59,74.59,0.0,0.0,76.16,76.16,76.16,0.0,0.0,74.59,74.59,74.59,0.0,0.0,76.16,76.16,76.16,0.0,0.0
2018-03-25,75.86,75.86,75.86,0.0,0.0,75.86,75.86,75.86,0.0,0.0,73.79,73.79,73.79,0.0,0.0,74.1,74.1,74.1,0.0,0.0
2018-04-01,75.92,75.92,75.92,0.0,0.0,76.0,76.0,76.0,0.0,0.0,75.74,75.74,75.74,0.0,0.0,75.74,75.74,75.74,0.0,0.0
2018-04-08,76.92,76.92,76.92,0.0,0.0,77.72,77.72,77.72,0.0,0.0,76.92,76.92,76.92,0.0,0.0,77.07,77.07,77.07,0.0,0.0
2018-04-15,76.72,76.72,76.72,0.0,0.0,76.72,76.72,76.72,0.0,0.0,74.97,74.97,74.97,0.0,0.0,74.98,74.98,74.98,0.0,0.0
2018-04-22,76.65,76.65,76.65,0.0,0.0,76.8,76.8,76.8,0.0,0.0,75.96,75.96,75.96,0.0,0.0,75.96,75.96,75.96,0.0,0.0
2018-04-29,76.62,76.62,76.62,0.0,0.0,76.62,76.62,76.62,0.0,0.0,76.44,76.44,76.44,0.0,0.0,76.6,76.6,76.6,0.0,0.0
2018-05-06,78.01,78.01,78.01,0.0,0.0,78.18,78.18,78.18,0.0,0.0,77.81,77.81,77.81,0.0,0.0,77.87,77.87,77.87,0.0,0.0
2018-05-13,77.93,77.93,77.93,0.0,0.0,77.96,77.96,77.96,0.0,0.0,77.75,77.75,77.75,0.0,0.0,77.75,77.75,77.75,0.0,0.0
2018-05-20,77.97,77.97,77.97,0.0,0.0,77.97,77.97,77.97,0.0,0.0,77.74,77.74,77.74,0.0,0.0,77.74,77.74,77.74,0.0,0.0
2018-05-27,78.21,78.21,78.21,0.0,0.0,78.23,78.23,78.23,0.0,0.0,78.02,78.02,78.02,0.0,0.0,78.17,78.17,78.17,0.0,0.0
2018-06-03,78.8,78.8,78.8,0.0,0.0,79.32,79.32,79.32,0.0,0.0,78.2,78.2,78.2,0.0,0.0,79.24,79.24,79.24,0.0,0.0
2018-06-10,78.77,78.77,78.77,0.0,0.0,79.0,79.0,79.0,0.0,0.0,78.76,78.76,78.76,0.0,0.0,78.92,78.92,78.92,0.0,0.0
2018-06-17,78.47,78.47,78.47,0.0,0.0,78.47,78.47,78.47,0.0,0.0,77.46,77.46,77.46,0.0,0.0,77.46,77.46,77.46,0.0,0.0
2018-06-24,77.71,77.71,77.71,0.0,0.0,77.76,77.76,77.76,0.0,0.0,77.08,77.08,77.08,0.0,0.0,77.76,77.76,77.76,0.0,0.0
2018-07-01,79.23,79.23,79.23,0.0,0.0,79.44,79.44,79.44,0.0,0.0,79.23,79.23,79.23,0.0,0.0,79.44,79.44,79.44,0.0,0.0
2018-07-08,79.98,79.98,79.98,0.0,0.0,80.2,80.2,80.2,0.0,0.0,79.89,79.89,79.89,0.0,0.0,79.97,79.97,79.97,0.0,0.0
2018-07-15,80.67,80.67,80.67,0.0,0.0,80.67,80.67,80.67,0.0,0.0,80.1,80.1,80.1,0.0,0.0,80.34,80.34,80.34,0.0,0.0
2018-07-22,81.43,81.43,81.43,0.0,0.0,81.43,81.43,81.43,0.0,0.0,79.9,79.9,79.9,0.0,0.0,80.08,80.08,80.08,0.0,0.0
2018-07-29,81.3,81.3,81.3,0.0,0.0,81.5,81.5,81.5,0.0,0.0,81.24,81.24,81.24,0.0,0.0,81.43,81.43,81.43,0.0,0.0
2018-08-05,80.92,80.92,80.92,0.0,0.0,81.03,81.03,81.03,0.0,0.0,80.85,80.85,80.85,0.0,0.0,80.85,80.85,80.85,0.0,0.0
2018-08-12,82.21,82.21,82.21,0.0,0.0,82.27,82.27,82.27,0.0,0.0,82.11,82.11,82.11,0.0,0.0,82.23,82.23,82.23,0.0,0.0
2018-08-19,82.6,82.6,82.6,0.0,0.0,83.11,83.11,83.11,0.0,0.0,82.6,82.6,82.6,0.0,0.0,83.11,83.11,83.11,0.0,0.0
2018-08-26,82.87,82.87,82.87,0.0,0.0,83.2,83.2,83.2,0.0,0.0,82.79,82.79,82.79,0.0,0.0,82.84,82.84,82.84,0.0,0.0
