Date,PIMCO Enhanced Short Maturity Active Exchange-TradEtf_Open_average,PIMCO Enhanced Short Maturity Active Exchange-TradEtf_Open_max,PIMCO Enhanced Short Maturity Active Exchange-TradEtf_Open_min,PIMCO Enhanced Short Maturity Active Exchange-TradEtf_Open_volatility,PIMCO Enhanced Short Maturity Active Exchange-TradEtf_Open_change,PIMCO Enhanced Short Maturity Active Exchange-TradEtf_High_average,PIMCO Enhanced Short Maturity Active Exchange-TradEtf_High_max,PIMCO Enhanced Short Maturity Active Exchange-TradEtf_High_min,PIMCO Enhanced Short Maturity Active Exchange-TradEtf_High_volatility,PIMCO Enhanced Short Maturity Active Exchange-TradEtf_High_change,PIMCO Enhanced Short Maturity Active Exchange-TradEtf_Low_average,PIMCO Enhanced Short Maturity Active Exchange-TradEtf_Low_max,PIMCO Enhanced Short Maturity Active Exchange-TradEtf_Low_min,PIMCO Enhanced Short Maturity Active Exchange-TradEtf_Low_volatility,PIMCO Enhanced Short Maturity Active Exchange-TradEtf_Low_change,PIMCO Enhanced Short Maturity Active Exchange-TradEtf_Close_average,PIMCO Enhanced Short Maturity Active Exchange-TradEtf_Close_max,PIMCO Enhanced Short Maturity Active Exchange-TradEtf_Close_min,PIMCO Enhanced Short Maturity Active Exchange-TradEtf_Close_volatility,PIMCO Enhanced Short Maturity Active Exchange-TradEtf_Close_change
2018-01-14,101.63,101.63,101.63,0.0,0.0,101.63,101.63,101.63,0.0,0.0,101.6,101.6,101.6,0.0,0.0,101.62,101.62,101.62,0.0,0.0
2018-01-21,101.69,101.69,101.69,0.0,0.0,101.69,101.69,101.69,0.0,0.0,101.65,101.65,101.65,0.0,0.0,101.68,101.68,101.68,0.0,0.0
2018-01-28,101.57,101.57,101.57,0.0,0.0,101.58,101.58,101.58,0.0,0.0,101.56,101.56,101.56,0.0,0.0,101.58,101.58,101.58,0.0,0.0
2018-02-04,101.55,101.55,101.55,0.0,0.0,101.62,101.62,101.62,0.0,0.0,101.55,101.55,101.55,0.0,0.0,101.62,101.62,101.62,0.0,0.0
2018-02-11,101.55,101.55,101.55,0.0,0.0,101.57,101.57,101.57,0.0,0.0,101.55,101.55,101.55,0.0,0.0,101.56,101.56,101.56,0.0,0.0
2018-02-18,101.58,101.58,101.58,0.0,0.0,101.62,101.62,101.62,0.0,0.0,101.57,101.57,101.57,0.0,0.0,101.6,101.6,101.6,0.0,0.0
2018-02-25,101.51,101.51,101.51,0.0,0.0,101.51,101.51,101.51,0.0,0.0,101.46,101.46,101.46,0.0,0.0,101.48,101.48,101.48,0.0,0.0
2018-03-04,101.52,101.52,101.52,0.0,0.0,101.52,101.52,101.52,0.0,0.0,101.49,101.49,101.49,0.0,0.0,101.52,101.52,101.52,0.0,0.0
2018-03-11,101.52,101.52,101.52,0.0,0.0,101.52,101.52,101.52,0.0,0.0,101.5,101.5,101.5,0.0,0.0,101.51,101.51,101.51,0.0,0.0
2018-03-18,101.54,101.54,101.54,0.0,0.0,101.54,101.54,101.54,0.0,0.0,101.51,101.51,101.51,0.0,0.0,101.52,101.52,101.52,0.0,0.0
2018-03-25,101.56,101.56,101.56,0.0,0.0,101.58,101.58,101.58,0.0,0.0,101.55,101.55,101.55,0.0,0.0,101.55,101.55,101.55,0.0,0.0
