Date,VelocityShares Daily 2x VIX Short Term linked to S_Open_average,VelocityShares Daily 2x VIX Short Term linked to S_Open_max,VelocityShares Daily 2x VIX Short Term linked to S_Open_min,VelocityShares Daily 2x VIX Short Term linked to S_Open_volatility,VelocityShares Daily 2x VIX Short Term linked to S_Open_change,VelocityShares Daily 2x VIX Short Term linked to S_High_average,VelocityShares Daily 2x VIX Short Term linked to S_High_max,VelocityShares Daily 2x VIX Short Term linked to S_High_min,VelocityShares Daily 2x VIX Short Term linked to S_High_volatility,VelocityShares Daily 2x VIX Short Term linked to S_High_change,VelocityShares Daily 2x VIX Short Term linked to S_Low_average,VelocityShares Daily 2x VIX Short Term linked to S_Low_max,VelocityShares Daily 2x VIX Short Term linked to S_Low_min,VelocityShares Daily 2x VIX Short Term linked to S_Low_volatility,VelocityShares Daily 2x VIX Short Term linked to S_Low_change,VelocityShares Daily 2x VIX Short Term linked to S_Close_average,VelocityShares Daily 2x VIX Short Term linked to S_Close_max,VelocityShares Daily 2x VIX Short Term linked to S_Close_min,VelocityShares Daily 2x VIX Short Term linked to S_Close_volatility,VelocityShares Daily 2x VIX Short Term linked to S_Close_change
2018-01-14,512.0,512.0,512.0,0.0,0.0,533.0,533.0,533.0,0.0,0.0,507.0,507.0,507.0,0.0,0.0,511.0,511.0,511.0,0.0,0.0
2018-01-21,538.0,538.0,538.0,0.0,0.0,556.9,556.9,556.9,0.0,0.0,537.0,537.0,537.0,0.0,0.0,543.0,543.0,543.0,0.0,0.0
2018-01-28,630.0,630.0,630.0,0.0,0.0,776.0,776.0,776.0,0.0,0.0,627.0,627.0,627.0,0.0,0.0,750.0,750.0,750.0,0.0,0.0
2018-02-04,1160.0,1160.0,1160.0,0.0,0.0,1437.24,1437.24,1437.24,0.0,0.0,1071.0,1071.0,1071.0,0.0,0.0,1130.0,1130.0,1130.0,0.0,0.0
2018-02-11,820.0,820.0,820.0,0.0,0.0,828.0,828.0,828.0,0.0,0.0,739.0,739.0,739.0,0.0,0.0,795.0,795.0,795.0,0.0,0.0
2018-02-18,819.0,819.0,819.0,0.0,0.0,831.0,831.0,831.0,0.0,0.0,736.0,736.0,736.0,0.0,0.0,736.0,736.0,736.0,0.0,0.0
2018-02-25,1076.0,1076.0,1076.0,0.0,0.0,1118.0,1118.0,1118.0,0.0,0.0,887.0,887.0,887.0,0.0,0.0,905.0,905.0,905.0,0.0,0.0
2018-03-04,741.0,741.0,741.0,0.0,0.0,743.0,743.0,743.0,0.0,0.0,660.0,660.0,660.0,0.0,0.0,660.0,660.0,660.0,0.0,0.0
2018-03-11,702.0,702.0,702.0,0.0,0.0,706.0,706.0,706.0,0.0,0.0,662.0,662.0,662.0,0.0,0.0,688.0,688.0,688.0,0.0,0.0
2018-03-18,926.0,926.0,926.0,0.0,0.0,1068.0,1068.0,1068.0,0.0,0.0,881.0,881.0,881.0,0.0,0.0,1057.0,1057.0,1057.0,0.0,0.0
2018-03-25,1045.0,1045.0,1045.0,0.0,0.0,1068.0,1068.0,1068.0,0.0,0.0,934.0,934.0,934.0,0.0,0.0,942.0,942.0,942.0,0.0,0.0
2018-04-01,984.0,984.0,984.0,0.0,0.0,1114.0,1114.0,1114.0,0.0,0.0,937.0,937.0,937.0,0.0,0.0,1034.0,1034.0,1034.0,0.0,0.0
2018-04-08,889.0,889.0,889.0,0.0,0.0,920.0,920.0,920.0,0.0,0.0,855.0,855.0,855.0,0.0,0.0,867.0,867.0,867.0,0.0,0.0
2018-04-15,715.0,715.0,715.0,0.0,0.0,766.0,766.0,766.0,0.0,0.0,700.58,700.58,700.58,0.0,0.0,746.0,746.0,746.0,0.0,0.0
2018-04-22,726.0,726.0,726.0,0.0,0.0,771.0,771.0,771.0,0.0,0.0,713.0,713.0,713.0,0.0,0.0,719.0,719.0,719.0,0.0,0.0
2018-04-29,731.0,731.0,731.0,0.0,0.0,743.9,743.9,743.9,0.0,0.0,670.0,670.0,670.0,0.0,0.0,676.0,676.0,676.0,0.0,0.0
2018-05-06,557.62,557.62,557.62,0.0,0.0,569.0,569.0,569.0,0.0,0.0,540.0,540.0,540.0,0.0,0.0,541.0,541.0,541.0,0.0,0.0
2018-05-13,517.0,517.0,517.0,0.0,0.0,533.0,533.0,533.0,0.0,0.0,509.0,509.0,509.0,0.0,0.0,514.0,514.0,514.0,0.0,0.0
2018-05-20,487.0,487.0,487.0,0.0,0.0,493.0,493.0,493.0,0.0,0.0,468.0,468.0,468.0,0.0,0.0,482.0,482.0,482.0,0.0,0.0
2018-05-27,509.0,509.0,509.0,0.0,0.0,513.0,513.0,513.0,0.0,0.0,493.0,493.0,493.0,0.0,0.0,505.0,505.0,505.0,0.0,0.0
2018-06-03,446.05,446.05,446.05,0.0,0.0,451.3,451.3,451.3,0.0,0.0,420.5,420.5,420.5,0.0,0.0,424.2,424.2,424.2,0.0,0.0
2018-06-10,406.0,406.0,406.0,0.0,0.0,419.7,419.7,419.7,0.0,0.0,395.29,395.29,395.29,0.0,0.0,398.5,398.5,398.5,0.0,0.0
2018-06-17,429.4,429.4,429.4,0.0,0.0,443.1,443.1,443.1,0.0,0.0,420.8,420.8,420.8,0.0,0.0,432.7,432.7,432.7,0.0,0.0
2018-06-24,520.0,520.0,520.0,0.0,0.0,528.9,528.9,528.9,0.0,0.0,493.5,493.5,493.5,0.0,0.0,527.7,527.7,527.7,0.0,0.0
2018-07-01,500.7,500.7,500.7,0.0,0.0,504.3,504.3,504.3,0.0,0.0,450.5,450.5,450.5,0.0,0.0,452.8,452.8,452.8,0.0,0.0
2018-07-08,394.6,394.6,394.6,0.0,0.0,403.6,403.6,403.6,0.0,0.0,378.9,378.9,378.9,0.0,0.0,380.1,380.1,380.1,0.0,0.0
2018-07-15,382.9,382.9,382.9,0.0,0.0,385.21,385.21,385.21,0.0,0.0,368.2,368.2,368.2,0.0,0.0,376.2,376.2,376.2,0.0,0.0
2018-07-22,353.6,353.6,353.6,0.0,0.0,398.5,398.5,398.5,0.0,0.0,353.5,353.5,353.5,0.0,0.0,377.5,377.5,377.5,0.0,0.0
2018-07-29,360.0,360.0,360.0,0.0,0.0,363.5,363.5,363.5,0.0,0.0,347.4,347.4,347.4,0.0,0.0,353.6,353.6,353.6,0.0,0.0
2018-08-05,337.0,337.0,337.0,0.0,0.0,352.5,352.5,352.5,0.0,0.0,327.5,327.5,327.5,0.0,0.0,338.9,338.9,338.9,0.0,0.0
2018-08-12,349.8,349.8,349.8,0.0,0.0,357.39,357.39,357.39,0.0,0.0,323.4,323.4,323.4,0.0,0.0,325.5,325.5,325.5,0.0,0.0
2018-08-19,306.9,306.9,306.9,0.0,0.0,313.85,313.85,313.85,0.0,0.0,302.5,302.5,302.5,0.0,0.0,311.8,311.8,311.8,0.0,0.0
2018-08-26,331.2,331.2,331.2,0.0,0.0,333.3,333.3,333.3,0.0,0.0,312.1,312.1,312.1,0.0,0.0,314.6,314.6,314.6,0.0,0.0
2018-09-02,354.5,354.5,354.5,0.0,0.0,363.3,363.3,363.3,0.0,0.0,339.7,339.7,339.7,0.0,0.0,352.2,352.2,352.2,0.0,0.0
2018-09-09,287.4,287.4,287.4,0.0,0.0,293.2,293.2,293.2,0.0,0.0,278.1,278.1,278.1,0.0,0.0,279.2,279.2,279.2,0.0,0.0
2018-09-16,263.2,263.2,263.2,0.0,0.0,266.0,266.0,266.0,0.0,0.0,256.8,256.8,256.8,0.0,0.0,264.1,264.1,264.1,0.0,0.0
2018-09-23,270.2,270.2,270.2,0.0,0.0,271.9,271.9,271.9,0.0,0.0,262.7,262.7,262.7,0.0,0.0,263.2,263.2,263.2,0.0,0.0
2018-09-30,276.7,276.7,276.7,0.0,0.0,324.8,324.8,324.8,0.0,0.0,267.6,267.6,267.6,0.0,0.0,294.8,294.8,294.8,0.0,0.0
2018-10-07,395.9,395.9,395.9,0.0,0.0,493.4,493.4,493.4,0.0,0.0,393.6,393.6,393.6,0.0,0.0,409.7,409.7,409.7,0.0,0.0
2018-10-14,411.9,411.9,411.9,0.0,0.0,440.0,440.0,440.0,0.0,0.0,392.0,392.0,392.0,0.0,0.0,412.3,412.3,412.3,0.0,0.0
2018-10-21,565.0,565.0,565.0,0.0,0.0,599.0,599.0,599.0,0.0,0.0,520.0,520.0,520.0,0.0,0.0,556.3,556.3,556.3,0.0,0.0
2018-10-28,442.3,442.3,442.3,0.0,0.0,499.3,499.3,499.3,0.0,0.0,428.6,428.6,428.6,0.0,0.0,464.3,464.3,464.3,0.0,0.0
2018-11-04,372.4,372.4,372.4,0.0,0.0,399.9,399.9,399.9,0.0,0.0,367.0,367.0,367.0,0.0,0.0,380.2,380.2,380.2,0.0,0.0
2018-11-11,477.9,477.9,477.9,0.0,0.0,486.28,486.28,486.28,0.0,0.0,416.7,416.7,416.7,0.0,0.0,420.2,420.2,420.2,0.0,0.0
2018-11-18,516.6,516.6,516.6,0.0,0.0,523.2,523.2,523.2,0.0,0.0,495.0,495.0,495.0,0.0,0.0,505.0,505.0,505.0,0.0,0.0
2018-11-25,427.6,427.6,427.6,0.0,0.0,431.2,431.2,431.2,0.0,0.0,392.5,392.5,392.5,0.0,0.0,398.9,398.9,398.9,0.0,0.0
2018-12-02,465.2,465.2,465.2,0.0,0.0,547.0,547.0,547.0,0.0,0.0,446.8,446.8,446.8,0.0,0.0,530.7,530.7,530.7,0.0,0.0
2018-12-09,520.2,520.2,520.2,0.0,0.0,543.7,543.7,543.7,0.0,0.0,507.2,507.2,507.2,0.0,0.0,535.7,535.7,535.7,0.0,0.0
2018-12-16,653.0,653.0,653.0,0.0,0.0,734.9,734.9,734.9,0.0,0.0,634.2,634.2,634.2,0.0,0.0,720.8,720.8,720.8,0.0,0.0
