Date,ProShares Equities for Rising Rates_Open_average,ProShares Equities for Rising Rates_Open_max,ProShares Equities for Rising Rates_Open_min,ProShares Equities for Rising Rates_Open_volatility,ProShares Equities for Rising Rates_Open_change,ProShares Equities for Rising Rates_High_average,ProShares Equities for Rising Rates_High_max,ProShares Equities for Rising Rates_High_min,ProShares Equities for Rising Rates_High_volatility,ProShares Equities for Rising Rates_High_change,ProShares Equities for Rising Rates_Low_average,ProShares Equities for Rising Rates_Low_max,ProShares Equities for Rising Rates_Low_min,ProShares Equities for Rising Rates_Low_volatility,ProShares Equities for Rising Rates_Low_change,ProShares Equities for Rising Rates_Close_average,ProShares Equities for Rising Rates_Close_max,ProShares Equities for Rising Rates_Close_min,ProShares Equities for Rising Rates_Close_volatility,ProShares Equities for Rising Rates_Close_change
2018-01-14,49.57,49.57,49.57,0.0,0.0,50.19,50.19,50.19,0.0,0.0,49.57,49.57,49.57,0.0,0.0,50.1,50.1,50.1,0.0,0.0
2018-01-21,50.6,50.6,50.6,0.0,0.0,50.6,50.6,50.6,0.0,0.0,50.35,50.35,50.35,0.0,0.0,50.35,50.35,50.35,0.0,0.0
2018-01-28,48.28,48.28,48.28,0.0,0.0,48.28,48.28,48.28,0.0,0.0,44.67,44.67,44.67,0.0,0.0,46.49,46.49,46.49,0.0,0.0
2018-02-04,45.28,45.28,45.28,0.0,0.0,46.29,46.29,46.29,0.0,0.0,45.28,45.28,45.28,0.0,0.0,46.09,46.09,46.09,0.0,0.0
2018-02-11,47.55,47.55,47.55,0.0,0.0,47.56,47.56,47.56,0.0,0.0,47.22,47.22,47.22,0.0,0.0,47.37,47.37,47.37,0.0,0.0
2018-02-18,48.05,48.05,48.05,0.0,0.0,48.05,48.05,48.05,0.0,0.0,48.05,48.05,48.05,0.0,0.0,48.05,48.05,48.05,0.0,0.0
2018-02-25,46.47,46.47,46.47,0.0,0.0,46.89,46.89,46.89,0.0,0.0,46.47,46.47,46.47,0.0,0.0,46.89,46.89,46.89,0.0,0.0
2018-03-04,48.46,48.46,48.46,0.0,0.0,48.65,48.65,48.65,0.0,0.0,48.44,48.44,48.44,0.0,0.0,48.65,48.65,48.65,0.0,0.0
2018-03-11,48.01,48.01,48.01,0.0,0.0,48.01,48.01,48.01,0.0,0.0,47.1,47.1,47.1,0.0,0.0,47.44,47.44,47.44,0.0,0.0
2018-03-18,46.26,46.26,46.26,0.0,0.0,46.91,46.91,46.91,0.0,0.0,46.26,46.26,46.26,0.0,0.0,46.87,46.87,46.87,0.0,0.0
2018-03-25,45.37,45.37,45.37,0.0,0.0,45.37,45.37,45.37,0.0,0.0,44.03,44.03,44.03,0.0,0.0,44.92,44.92,44.92,0.0,0.0
