Date,iShares Global Energy_Open_average,iShares Global Energy_Open_max,iShares Global Energy_Open_min,iShares Global Energy_Open_volatility,iShares Global Energy_Open_change,iShares Global Energy_High_average,iShares Global Energy_High_max,iShares Global Energy_High_min,iShares Global Energy_High_volatility,iShares Global Energy_High_change,iShares Global Energy_Low_average,iShares Global Energy_Low_max,iShares Global Energy_Low_min,iShares Global Energy_Low_volatility,iShares Global Energy_Low_change,iShares Global Energy_Close_average,iShares Global Energy_Close_max,iShares Global Energy_Close_min,iShares Global Energy_Close_volatility,iShares Global Energy_Close_change
2018-01-14,36.52,36.52,36.52,0.0,0.0,37.05,37.05,37.05,0.0,0.0,36.51,36.51,36.51,0.0,0.0,37.05,37.05,37.05,0.0,0.0
2018-01-21,36.94,36.94,36.94,0.0,0.0,36.98,36.98,36.98,0.0,0.0,36.54,36.54,36.54,0.0,0.0,36.6,36.6,36.6,0.0,0.0
2018-01-28,34.45,34.45,34.45,0.0,0.0,34.7,34.7,34.7,0.0,0.0,33.08,33.08,33.08,0.0,0.0,33.43,33.43,33.43,0.0,0.0
2018-02-04,32.66,32.66,32.66,0.0,0.0,33.03,33.03,33.03,0.0,0.0,32.56,32.56,32.56,0.0,0.0,32.82,32.82,32.82,0.0,0.0
2018-02-11,33.11,33.11,33.11,0.0,0.0,33.4,33.4,33.4,0.0,0.0,33.01,33.01,33.01,0.0,0.0,33.15,33.15,33.15,0.0,0.0
2018-02-18,33.64,33.64,33.64,0.0,0.0,33.76,33.76,33.76,0.0,0.0,33.5,33.5,33.5,0.0,0.0,33.71,33.71,33.71,0.0,0.0
2018-02-25,32.34,32.34,32.34,0.0,0.0,32.87,32.87,32.87,0.0,0.0,32.34,32.34,32.34,0.0,0.0,32.79,32.79,32.79,0.0,0.0
2018-03-04,33.14,33.14,33.14,0.0,0.0,33.31,33.31,33.31,0.0,0.0,32.99,32.99,32.99,0.0,0.0,33.15,33.15,33.15,0.0,0.0
2018-03-11,32.73,32.73,32.73,0.0,0.0,32.73,32.73,32.73,0.0,0.0,32.24,32.24,32.24,0.0,0.0,32.37,32.37,32.37,0.0,0.0
2018-03-18,33.09,33.09,33.09,0.0,0.0,33.28,33.28,33.28,0.0,0.0,32.71,32.71,32.71,0.0,0.0,33.23,33.23,33.23,0.0,0.0
2018-03-25,32.97,32.97,32.97,0.0,0.0,33.03,33.03,33.03,0.0,0.0,32.12,32.12,32.12,0.0,0.0,32.49,32.49,32.49,0.0,0.0
2018-04-01,33.72,33.72,33.72,0.0,0.0,33.95,33.95,33.95,0.0,0.0,33.55,33.55,33.55,0.0,0.0,33.64,33.64,33.64,0.0,0.0
2018-04-08,35.18,35.18,35.18,0.0,0.0,35.45,35.45,35.45,0.0,0.0,35.0,35.0,35.0,0.0,0.0,35.3,35.3,35.3,0.0,0.0
2018-04-15,35.82,35.82,35.82,0.0,0.0,36.08,36.08,36.08,0.0,0.0,35.67,35.67,35.67,0.0,0.0,36.05,36.05,36.05,0.0,0.0
2018-04-22,36.03,36.03,36.03,0.0,0.0,36.36,36.36,36.36,0.0,0.0,35.87,35.87,35.87,0.0,0.0,36.11,36.11,36.11,0.0,0.0
2018-04-29,36.43,36.43,36.43,0.0,0.0,36.81,36.81,36.81,0.0,0.0,36.2,36.2,36.2,0.0,0.0,36.23,36.23,36.23,0.0,0.0
2018-05-06,37.68,37.68,37.68,0.0,0.0,37.92,37.92,37.92,0.0,0.0,37.68,37.68,37.68,0.0,0.0,37.82,37.82,37.82,0.0,0.0
2018-05-13,38.32,38.32,38.32,0.0,0.0,38.4,38.4,38.4,0.0,0.0,38.16,38.16,38.16,0.0,0.0,38.4,38.4,38.4,0.0,0.0
2018-05-20,36.3,36.3,36.3,0.0,0.0,36.3,36.3,36.3,0.0,0.0,35.72,35.72,35.72,0.0,0.0,35.97,35.97,35.97,0.0,0.0
2018-05-27,36.77,36.77,36.77,0.0,0.0,37.05,37.05,37.05,0.0,0.0,36.39,36.39,36.39,0.0,0.0,36.44,36.44,36.44,0.0,0.0
2018-06-03,36.94,36.94,36.94,0.0,0.0,37.34,37.34,37.34,0.0,0.0,36.94,36.94,36.94,0.0,0.0,37.16,37.16,37.16,0.0,0.0
2018-06-10,35.73,35.73,35.73,0.0,0.0,36.32,36.32,36.32,0.0,0.0,35.73,35.73,35.73,0.0,0.0,36.15,36.15,36.15,0.0,0.0
2018-06-17,35.73,35.73,35.73,0.0,0.0,35.78,35.78,35.78,0.0,0.0,35.04,35.04,35.04,0.0,0.0,35.21,35.21,35.21,0.0,0.0
2018-06-24,36.16,36.16,36.16,0.0,0.0,36.21,36.21,36.21,0.0,0.0,35.77,35.77,35.77,0.0,0.0,35.95,35.95,35.95,0.0,0.0
2018-07-01,36.78,36.78,36.78,0.0,0.0,37.05,37.05,37.05,0.0,0.0,36.74,36.74,36.74,0.0,0.0,37.05,37.05,37.05,0.0,0.0
2018-07-08,36.32,36.32,36.32,0.0,0.0,36.34,36.34,36.34,0.0,0.0,35.97,35.97,35.97,0.0,0.0,36.23,36.23,36.23,0.0,0.0
2018-07-15,36.14,36.14,36.14,0.0,0.0,36.19,36.19,36.19,0.0,0.0,35.92,35.92,35.92,0.0,0.0,35.94,35.94,35.94,0.0,0.0
2018-07-22,36.94,36.94,36.94,0.0,0.0,37.04,37.04,37.04,0.0,0.0,36.85,36.85,36.85,0.0,0.0,36.89,36.89,36.89,0.0,0.0
2018-07-29,36.24,36.24,36.24,0.0,0.0,36.47,36.47,36.47,0.0,0.0,36.17,36.17,36.17,0.0,0.0,36.32,36.32,36.32,0.0,0.0
2018-08-05,35.92,35.92,35.92,0.0,0.0,35.97,35.97,35.97,0.0,0.0,35.55,35.55,35.55,0.0,0.0,35.6,35.6,35.6,0.0,0.0
2018-08-12,34.95,34.95,34.95,0.0,0.0,35.21,35.21,35.21,0.0,0.0,34.95,34.95,34.95,0.0,0.0,35.14,35.14,35.14,0.0,0.0
2018-08-19,36.08,36.08,36.08,0.0,0.0,36.28,36.28,36.28,0.0,0.0,36.08,36.08,36.08,0.0,0.0,36.24,36.24,36.24,0.0,0.0
2018-08-26,35.88,35.88,35.88,0.0,0.0,35.88,35.88,35.88,0.0,0.0,35.55,35.55,35.55,0.0,0.0,35.67,35.67,35.67,0.0,0.0
2018-09-02,34.89,34.89,34.89,0.0,0.0,35.05,35.05,35.05,0.0,0.0,34.74,34.74,34.74,0.0,0.0,34.74,34.74,34.74,0.0,0.0
2018-09-09,35.7,35.7,35.7,0.0,0.0,35.88,35.88,35.88,0.0,0.0,35.58,35.58,35.58,0.0,0.0,35.65,35.65,35.65,0.0,0.0
2018-09-16,36.77,36.77,36.77,0.0,0.0,37.03,37.03,37.03,0.0,0.0,36.71,36.71,36.71,0.0,0.0,36.81,36.81,36.81,0.0,0.0
2018-09-23,37.02,37.02,37.02,0.0,0.0,37.39,37.39,37.39,0.0,0.0,37.02,37.02,37.02,0.0,0.0,37.29,37.29,37.29,0.0,0.0
2018-09-30,36.82,36.82,36.82,0.0,0.0,37.13,37.13,37.13,0.0,0.0,36.8,36.8,36.8,0.0,0.0,37.09,37.09,37.09,0.0,0.0
2018-10-07,35.48,35.48,35.48,0.0,0.0,35.61,35.61,35.61,0.0,0.0,35.34,35.34,35.34,0.0,0.0,35.36,35.36,35.36,0.0,0.0
2018-10-14,34.97,34.97,34.97,0.0,0.0,35.01,35.01,35.01,0.0,0.0,34.52,34.52,34.52,0.0,0.0,34.68,34.68,34.68,0.0,0.0
2018-10-21,33.23,33.23,33.23,0.0,0.0,33.29,33.29,33.29,0.0,0.0,32.09,32.09,32.09,0.0,0.0,32.43,32.43,32.43,0.0,0.0
2018-10-28,33.67,33.67,33.67,0.0,0.0,33.92,33.92,33.92,0.0,0.0,33.61,33.61,33.61,0.0,0.0,33.8,33.8,33.8,0.0,0.0
2018-11-04,33.7,33.7,33.7,0.0,0.0,33.73,33.73,33.73,0.0,0.0,32.95,32.95,32.95,0.0,0.0,32.96,32.96,32.96,0.0,0.0
2018-11-11,32.91,32.91,32.91,0.0,0.0,33.08,33.08,33.08,0.0,0.0,32.74,32.74,32.74,0.0,0.0,33.0,33.0,33.0,0.0,0.0
2018-11-18,31.78,31.78,31.78,0.0,0.0,32.12,32.12,32.12,0.0,0.0,31.78,31.78,31.78,0.0,0.0,31.98,31.98,31.98,0.0,0.0
2018-11-25,33.15,33.15,33.15,0.0,0.0,33.31,33.31,33.31,0.0,0.0,32.84,32.84,32.84,0.0,0.0,33.18,33.18,33.18,0.0,0.0
2018-12-02,31.33,31.33,31.33,0.0,0.0,31.39,31.39,31.39,0.0,0.0,30.58,30.58,30.58,0.0,0.0,31.11,31.11,31.11,0.0,0.0
2018-12-09,30.76,30.76,30.76,0.0,0.0,30.87,30.87,30.87,0.0,0.0,30.1,30.1,30.1,0.0,0.0,30.24,30.24,30.24,0.0,0.0
2018-12-16,27.92,27.92,27.92,0.0,0.0,28.05,28.05,28.05,0.0,0.0,27.2,27.2,27.2,0.0,0.0,27.27,27.27,27.27,0.0,0.0
2018-12-23,28.78,28.78,28.78,0.0,0.0,28.9,28.9,28.9,0.0,0.0,28.43,28.43,28.43,0.0,0.0,28.62,28.62,28.62,0.0,0.0
2018-12-30,30.05,30.05,30.05,0.0,0.0,30.45,30.45,30.45,0.0,0.0,29.84,29.84,29.84,0.0,0.0,30.25,30.25,30.25,0.0,0.0
2019-01-06,30.5,30.5,30.5,0.0,0.0,30.82,30.82,30.82,0.0,0.0,30.5,30.5,30.5,0.0,0.0,30.71,30.71,30.71,0.0,0.0
2019-01-13,31.32,31.32,31.32,0.0,0.0,31.48,31.48,31.48,0.0,0.0,31.2,31.2,31.2,0.0,0.0,31.46,31.46,31.46,0.0,0.0
2019-01-20,30.67,30.67,30.67,0.0,0.0,30.76,30.76,30.76,0.0,0.0,30.48,30.48,30.48,0.0,0.0,30.75,30.75,30.75,0.0,0.0
2019-01-27,31.86,31.86,31.86,0.0,0.0,32.14,32.14,32.14,0.0,0.0,31.68,31.68,31.68,0.0,0.0,32.14,32.14,32.14,0.0,0.0
2019-02-03,31.25,31.25,31.25,0.0,0.0,31.49,31.49,31.49,0.0,0.0,31.19,31.19,31.19,0.0,0.0,31.43,31.43,31.43,0.0,0.0
2019-02-10,32.4,32.4,32.4,0.0,0.0,32.61,32.61,32.61,0.0,0.0,32.4,32.4,32.4,0.0,0.0,32.61,32.61,32.61,0.0,0.0
2019-02-17,32.65,32.65,32.65,0.0,0.0,32.84,32.84,32.84,0.0,0.0,32.65,32.65,32.65,0.0,0.0,32.67,32.67,32.67,0.0,0.0
2019-02-24,32.89,32.89,32.89,0.0,0.0,32.89,32.89,32.89,0.0,0.0,32.38,32.38,32.38,0.0,0.0,32.73,32.73,32.73,0.0,0.0
2019-03-03,31.96,31.96,31.96,0.0,0.0,32.27,32.27,32.27,0.0,0.0,31.9,31.9,31.9,0.0,0.0,32.21,32.21,32.21,0.0,0.0
2019-03-10,32.97,32.97,32.97,0.0,0.0,33.36,33.36,33.36,0.0,0.0,32.97,32.97,32.97,0.0,0.0,33.35,33.35,33.35,0.0,0.0
2019-03-17,32.61,32.61,32.61,0.0,0.0,32.72,32.72,32.72,0.0,0.0,32.49,32.49,32.49,0.0,0.0,32.65,32.65,32.65,0.0,0.0
2019-03-24,33.08,33.08,33.08,0.0,0.0,33.3,33.3,33.3,0.0,0.0,33.08,33.08,33.08,0.0,0.0,33.24,33.24,33.24,0.0,0.0
2019-03-31,33.65,33.65,33.65,0.0,0.0,33.88,33.88,33.88,0.0,0.0,33.65,33.65,33.65,0.0,0.0,33.8,33.8,33.8,0.0,0.0
2019-04-07,33.55,33.55,33.55,0.0,0.0,33.63,33.63,33.63,0.0,0.0,33.39,33.39,33.39,0.0,0.0,33.39,33.39,33.39,0.0,0.0
2019-04-14,33.61,33.61,33.61,0.0,0.0,34.03,34.03,34.03,0.0,0.0,33.61,33.61,33.61,0.0,0.0,33.97,33.97,33.97,0.0,0.0
2019-04-21,32.86,32.86,32.86,0.0,0.0,32.99,32.99,32.99,0.0,0.0,32.76,32.76,32.76,0.0,0.0,32.91,32.91,32.91,0.0,0.0
2019-04-28,31.83,31.83,31.83,0.0,0.0,32.24,32.24,32.24,0.0,0.0,31.83,31.83,31.83,0.0,0.0,32.15,32.15,32.15,0.0,0.0
2019-05-05,31.74,31.74,31.74,0.0,0.0,31.84,31.84,31.84,0.0,0.0,31.39,31.39,31.39,0.0,0.0,31.52,31.52,31.52,0.0,0.0
2019-05-12,32.09,32.09,32.09,0.0,0.0,32.2,32.2,32.2,0.0,0.0,32.02,32.02,32.02,0.0,0.0,32.1,32.1,32.1,0.0,0.0
2019-05-19,31.3,31.3,31.3,0.0,0.0,31.34,31.34,31.34,0.0,0.0,31.03,31.03,31.03,0.0,0.0,31.23,31.23,31.23,0.0,0.0
2019-05-26,30.36,30.36,30.36,0.0,0.0,30.6,30.6,30.6,0.0,0.0,30.32,30.32,30.32,0.0,0.0,30.45,30.45,30.45,0.0,0.0
2019-06-02,31.34,31.34,31.34,0.0,0.0,31.48,31.48,31.48,0.0,0.0,31.25,31.25,31.25,0.0,0.0,31.29,31.29,31.29,0.0,0.0
2019-06-09,30.21,30.21,30.21,0.0,0.0,30.46,30.46,30.46,0.0,0.0,30.15,30.15,30.15,0.0,0.0,30.39,30.39,30.39,0.0,0.0
2019-06-16,31.73,31.73,31.73,0.0,0.0,31.76,31.76,31.76,0.0,0.0,31.5,31.5,31.5,0.0,0.0,31.56,31.56,31.56,0.0,0.0
2019-06-23,32.09,32.09,32.09,0.0,0.0,32.11,32.11,32.11,0.0,0.0,31.66,31.66,31.66,0.0,0.0,31.71,31.71,31.71,0.0,0.0
2019-06-30,31.31,31.31,31.31,0.0,0.0,31.5,31.5,31.5,0.0,0.0,31.27,31.27,31.27,0.0,0.0,31.37,31.37,31.37,0.0,0.0
2019-07-07,32.0,32.0,32.0,0.0,0.0,32.0,32.0,32.0,0.0,0.0,31.69,31.69,31.69,0.0,0.0,31.72,31.72,31.72,0.0,0.0
2019-07-14,31.12,31.12,31.12,0.0,0.0,31.23,31.23,31.23,0.0,0.0,31.0,31.0,31.0,0.0,0.0,31.14,31.14,31.14,0.0,0.0
2019-07-21,30.76,30.76,30.76,0.0,0.0,30.76,30.76,30.76,0.0,0.0,30.51,30.51,30.51,0.0,0.0,30.64,30.64,30.64,0.0,0.0
2019-07-28,29.02,29.02,29.02,0.0,0.0,29.02,29.02,29.02,0.0,0.0,28.55,28.55,28.55,0.0,0.0,28.7,28.7,28.7,0.0,0.0
2019-08-04,28.84,28.84,28.84,0.0,0.0,28.92,28.92,28.92,0.0,0.0,28.61,28.61,28.61,0.0,0.0,28.72,28.72,28.72,0.0,0.0
2019-08-11,28.42,28.42,28.42,0.0,0.0,28.64,28.64,28.64,0.0,0.0,28.42,28.42,28.42,0.0,0.0,28.55,28.55,28.55,0.0,0.0
2019-08-18,28.0,28.0,28.0,0.0,0.0,28.0,28.0,28.0,0.0,0.0,27.76,27.76,27.76,0.0,0.0,27.82,27.82,27.82,0.0,0.0
2019-08-25,28.56,28.56,28.56,0.0,0.0,28.67,28.67,28.67,0.0,0.0,28.31,28.31,28.31,0.0,0.0,28.45,28.45,28.45,0.0,0.0
2019-09-01,29.3,29.3,29.3,0.0,0.0,29.6,29.6,29.6,0.0,0.0,29.3,29.3,29.3,0.0,0.0,29.55,29.55,29.55,0.0,0.0
