Date,ALKS_Open_average,ALKS_Open_max,ALKS_Open_min,ALKS_Open_volatility,ALKS_Open_change,ALKS_High_average,ALKS_High_max,ALKS_High_min,ALKS_High_volatility,ALKS_High_change,ALKS_Low_average,ALKS_Low_max,ALKS_Low_min,ALKS_Low_volatility,ALKS_Low_change,ALKS_Close_average,ALKS_Close_max,ALKS_Close_min,ALKS_Close_volatility,ALKS_Close_change,ALKS_Volume_average,ALKS_Volume_max,ALKS_Volume_min,ALKS_Volume_volatility,ALKS_Volume_change
2018-01-14,57.292,59.0,56.49,2.509999999999998,-1.5600000000000023,57.698,59.05,56.73,2.3200000000000003,-0.8399999999999963,56.28,56.98,55.91,1.0700000000000003,0.5499999999999972,56.862,57.62,56.12,1.5,1.0499999999999972,965275,1378351,716716,661635,-649982
2018-01-21,59.016,59.87,57.72,2.1499999999999986,1.509999999999998,59.974,60.31,59.75,0.5600000000000023,0.5600000000000023,58.302,59.02,57.6,1.4200000000000017,1.0300000000000011,59.18,59.85,58.79,1.0600000000000023,-0.3999999999999986,615679,893512,350779,542733,119119
2018-01-28,58.702,62.71,56.77,5.939999999999998,4.210000000000001,60.718,64.04,58.13,5.910000000000004,3.0999999999999943,56.722,57.94,55.7,2.239999999999995,-1.529999999999994,58.382,63.42,55.7,7.719999999999999,-1.5899999999999963,1557298,2911395,714368,2197027,1397641
2018-02-04,55.196000000000005,56.24,54.2,2.039999999999999,-1.2899999999999991,56.45,57.73,54.96,2.769999999999996,-0.9299999999999997,53.822,55.53,51.68,3.8500000000000014,0.13000000000000256,54.916,56.0,53.67,2.3299999999999983,-0.29999999999999716,749113,903383,584623,318760,-61755
2018-02-11,58.175,63.75,54.09,9.659999999999997,8.75,62.927499999999995,71.22,55.11,16.11,16.11,57.7475,63.66,53.53,10.129999999999995,10.129999999999995,61.2475,67.26,54.69,12.570000000000007,12.570000000000007,1998224,2687488,1090499,1596989,1596989
2018-02-18,61.428000000000004,65.9,56.67,9.230000000000004,-7.3700000000000045,62.548,66.79,58.88,7.910000000000004,-7.550000000000004,59.054,63.17,56.0,7.170000000000002,-3.8700000000000045,60.242,64.75,56.55,8.200000000000003,-6.630000000000003,1282890,1875954,629588,1246366,-1095868
2018-02-25,57.788,59.43,57.04,2.3900000000000006,1.5499999999999972,59.47,61.0,58.23,2.770000000000003,2.5799999999999983,57.236,59.43,56.12,3.3100000000000023,3.3100000000000023,58.376,60.05,57.08,2.969999999999999,2.479999999999997,1004350,1266090,824800,441290,358278
2018-03-04,59.458,61.05,58.49,2.559999999999995,-1.6899999999999977,60.98,61.49,60.4,1.0900000000000034,-0.10999999999999943,58.108,58.68,56.4,2.280000000000001,0.13000000000000256,59.432,60.73,58.49,2.239999999999995,1.6499999999999986,1176251,1993360,732167,1261193,-475929
2018-03-11,61.178,61.85,60.49,1.3599999999999994,0.6599999999999966,61.769999999999996,62.42,60.76,1.6600000000000037,1.2199999999999989,59.894,60.42,59.3,1.1200000000000045,0.5200000000000031,61.038000000000004,61.63,60.35,1.2800000000000011,0.10999999999999943,693015,1171707,521007,650700,-104620
2018-03-18,59.642,60.5,58.94,1.5600000000000023,-1.4799999999999969,60.806,61.19,60.25,0.9399999999999977,-0.519999999999996,58.934000000000005,60.11,57.7,2.4099999999999966,-2.019999999999996,59.8,60.66,58.28,2.3799999999999955,0.3399999999999963,475869,564492,404258,160234,86786
2018-03-25,56.707499999999996,61.04,46.75,14.29,-14.29,57.485,61.21,48.6,12.61,-12.61,54.707499999999996,58.62,44.07,14.549999999999997,-14.549999999999997,55.3675,59.23,45.23,14.0,-13.82,2510074,8053845,470852,7582993,7582993
2018-04-01,43.454,45.02,42.09,2.9299999999999997,-2.450000000000003,44.339999999999996,45.5,43.3,2.200000000000003,-2.200000000000003,41.926,42.62,41.15,1.4699999999999989,1.0399999999999991,43.028,44.16,42.18,1.9799999999999969,-1.25,1677661,3138255,939465,2198790,-2040072
2018-04-08,43.93,47.77,42.79,4.980000000000004,4.980000000000004,44.612,48.0,43.48,4.520000000000003,4.329999999999998,42.632,43.62,42.29,1.3299999999999983,1.3299999999999983,43.234,44.43,42.53,1.8999999999999986,1.1799999999999997,2107087,6109238,692340,5416898,4819833
2018-04-15,46.126,46.62,44.73,1.8900000000000006,1.5800000000000054,46.842,47.0,46.5,0.5,0.36999999999999744,45.284,46.06,44.4,1.6600000000000037,0.5700000000000003,46.112,46.85,45.18,1.6700000000000017,-1.1799999999999997,1485657,2070532,987293,1083239,-1083239
2018-04-22,45.486,46.91,44.22,2.6899999999999977,-0.7299999999999969,46.064,47.61,44.56,3.049999999999997,-0.5300000000000011,43.982,44.33,43.19,1.1400000000000006,0.12000000000000455,44.7,46.05,44.07,1.9799999999999969,-0.09999999999999432,939171,1270802,811494,459308,-81110
2018-04-29,43.884,44.4,43.04,1.3599999999999994,-0.5600000000000023,44.612,44.9,44.23,0.6700000000000017,-0.23999999999999488,43.396,43.91,43.0,0.9099999999999966,-0.12000000000000455,43.838,44.67,43.31,1.3599999999999994,-0.8700000000000045,680134,869234,493054,376180,-256312
2018-05-06,45.118,46.44,43.61,2.8299999999999983,2.8299999999999983,46.432,47.77,44.8,2.970000000000006,2.690000000000005,44.564,45.55,43.51,2.039999999999999,2.039999999999999,45.686,47.04,44.19,2.8500000000000014,2.8500000000000014,783207,1113751,488672,625079,-362183
2018-05-13,46.77,47.56,45.85,1.7100000000000009,-0.5100000000000051,47.366,48.65,46.56,2.0899999999999963,-0.09000000000000341,45.766,46.54,45.08,1.4600000000000009,-1.0,46.284,47.68,45.22,2.460000000000001,-1.0200000000000031,880209,1435084,627433,807651,95496
2018-05-20,45.5075,45.74,45.28,0.46000000000000085,0.240000000000002,46.2275,46.38,45.99,0.39000000000000057,-0.1600000000000037,45.075,45.36,44.75,0.6099999999999994,0.6099999999999994,45.6025,45.77,45.42,0.3500000000000014,0.19000000000000483,517701,861503,375544,485959,-442377
2018-05-27,46.838,47.9,45.62,2.280000000000001,1.1300000000000026,47.658,48.27,46.95,1.3200000000000003,0.509999999999998,46.176,47.12,45.04,2.0799999999999983,-0.23000000000000398,46.96,47.9,45.6,2.299999999999997,-0.9099999999999966,649151,770927,401682,369245,100555
2018-06-03,47.668,48.7,45.62,3.0800000000000054,3.0800000000000054,48.636,49.73,46.54,3.1899999999999977,3.1899999999999977,47.312,48.41,45.23,3.1799999999999997,3.1799999999999997,48.128,49.03,46.39,2.6400000000000006,2.6400000000000006,622355,936991,465057,471934,-134955
2018-06-10,49.572,50.04,49.13,0.9099999999999966,0.5999999999999943,50.642,51.06,50.19,0.8700000000000045,0.8700000000000045,49.082,49.6,48.72,0.8800000000000026,-0.060000000000002274,49.996,50.77,48.99,1.7800000000000011,0.990000000000002,768798,1214592,446266,768326,201419
2018-06-17,47.712,51.48,43.93,7.549999999999997,-6.560000000000002,48.211999999999996,51.7,44.08,7.6200000000000045,-7.6200000000000045,46.006,50.63,41.76,8.870000000000005,-8.730000000000004,46.482,51.36,42.3,9.060000000000002,-8.670000000000002,1066229,2033803,428937,1604866,172347
2018-06-24,41.618,42.39,40.55,1.8400000000000034,-0.7899999999999991,42.104,42.73,41.03,1.6999999999999957,-0.5399999999999991,40.628,41.14,39.54,1.6000000000000014,0.05999999999999517,41.354,42.34,40.56,1.7800000000000011,-0.4300000000000068,709233,829508,578239,251269,-110740
2018-07-01,41.675,42.61,40.87,1.740000000000002,0.75,42.575,43.7,41.56,2.1400000000000006,1.7900000000000063,41.305,42.51,40.58,1.9299999999999997,1.9299999999999997,41.93,43.29,40.69,2.6000000000000014,2.6000000000000014,627276,821347,493546,327801,158193
2018-07-08,43.525999999999996,43.98,43.11,0.8699999999999974,0.44999999999999574,44.122,45.33,43.24,2.0899999999999963,1.6799999999999997,43.022,43.68,42.43,1.25,0.7000000000000028,43.718,44.57,42.89,1.6799999999999997,1.2899999999999991,619040,1042446,395732,646714,646714
2018-07-15,45.026,45.53,44.37,1.1600000000000037,0.7800000000000011,45.592,45.76,45.34,0.4199999999999946,-0.0899999999999963,44.364,44.83,43.97,0.8599999999999994,-0.1699999999999946,45.092,45.28,45.0,0.28000000000000114,-0.11999999999999744,530290,640467,396870,243597,111991
2018-07-22,45.06,46.46,43.84,2.6199999999999974,-1.269999999999996,45.49,46.66,44.34,2.319999999999993,-2.319999999999993,43.244,44.75,42.26,2.490000000000002,-1.3800000000000026,44.372,45.26,43.91,1.3500000000000014,-1.3200000000000003,916722,1257236,578428,678808,-255363
2018-07-29,43.896,44.35,43.42,0.9299999999999997,-0.4299999999999997,44.772,45.22,44.42,0.7999999999999972,0.7999999999999972,43.368,43.74,43.07,0.6700000000000017,-0.44000000000000483,44.15,45.03,43.48,1.5500000000000043,1.1799999999999997,674423,879427,498339,381088,-327969
2018-08-05,44.728,45.23,43.96,1.269999999999996,-1.269999999999996,45.364,45.65,44.81,0.8399999999999963,-0.8099999999999952,44.24,44.76,43.6,1.1599999999999966,-1.009999999999998,44.51,44.98,43.79,1.1899999999999977,-1.1899999999999977,380978,528699,263125,265574,265574
2018-08-12,44.19,44.93,43.89,1.0399999999999991,1.0,44.864,45.58,44.42,1.1599999999999966,0.7199999999999989,43.652,44.17,43.07,1.1000000000000014,0.5600000000000023,44.266,44.53,43.76,0.7700000000000031,-0.07000000000000028,376777,490032,297134,192898,159095
2018-08-19,45.044,45.5,44.53,0.9699999999999989,0.6199999999999974,45.784,46.43,45.25,1.1799999999999997,0.6099999999999994,44.714,45.1,44.51,0.5900000000000034,0.21999999999999886,45.38,46.03,44.85,1.1799999999999997,0.3400000000000034,373378,504317,234616,269701,-107605
2018-08-26,46.0225,46.27,45.55,0.720000000000006,-0.13000000000000256,46.375,46.98,45.96,1.019999999999996,0.7199999999999989,45.3475,45.69,44.74,0.9499999999999957,-0.9499999999999957,45.605000000000004,46.12,44.84,1.279999999999994,-1.279999999999994,448696,684598,319260,365338,365338
2018-09-02,43.464,44.58,40.79,3.789999999999999,-3.789999999999999,43.798,45.29,41.43,3.8599999999999994,-3.259999999999998,42.378,44.4,39.93,4.469999999999999,-4.090000000000003,42.55,44.51,40.09,4.419999999999995,-4.419999999999995,599608,795857,409025,386832,252241
2018-09-09,39.814,40.14,39.55,0.5900000000000034,-0.5900000000000034,40.114,40.66,39.62,1.0399999999999991,-1.0399999999999991,39.332,39.69,38.23,1.4600000000000009,-1.4600000000000009,39.54,39.88,38.6,1.2800000000000011,-1.259999999999998,569630,683623,417314,266309,-98258
2018-09-16,40.058,41.55,38.9,2.6499999999999986,2.6499999999999986,41.04,42.41,39.14,3.269999999999996,3.1300000000000026,40.004,41.45,38.74,2.710000000000001,2.710000000000001,40.69,42.17,39.03,3.1400000000000006,3.1400000000000006,711209,1400743,362600,1038143,-159878
2018-09-23,42.626,43.29,42.22,1.0700000000000003,0.20000000000000284,43.65,43.96,43.08,0.8800000000000026,0.5600000000000023,42.086,42.24,41.85,0.39000000000000057,-0.36999999999999744,42.744,43.29,42.39,0.8999999999999986,0.21999999999999886,752943,1189444,513080,676364,-63087
2018-09-30,43.482,44.46,43.0,1.4600000000000009,1.4600000000000009,44.275999999999996,45.16,43.51,1.6499999999999986,1.6499999999999986,42.878,43.75,42.36,1.3900000000000006,1.3900000000000006,43.842,44.61,42.91,1.7000000000000028,1.5,561290,839187,464449,374738,-15701
2018-10-07,42.706,43.96,41.48,2.480000000000004,-2.480000000000004,43.322,44.43,41.95,2.479999999999997,-2.479999999999997,41.61,42.48,41.0,1.4799999999999969,-1.0600000000000023,42.096000000000004,43.2,41.52,1.6799999999999997,-1.6799999999999997,596131,780696,460390,320306,-198026
2018-10-14,41.25,42.13,40.35,1.7800000000000011,-1.509999999999998,41.836,42.51,40.9,1.6099999999999994,-1.6099999999999994,40.002,41.32,38.06,3.259999999999998,-3.259999999999998,40.693999999999996,42.32,38.86,3.460000000000001,-3.460000000000001,989699,1311624,634166,677458,76515
2018-10-21,40.462,41.67,39.4,2.270000000000003,2.270000000000003,41.848,42.69,40.52,2.1699999999999946,2.1699999999999946,39.194,40.2,37.01,3.190000000000005,2.8000000000000043,40.728,41.67,40.03,1.6400000000000006,0.17999999999999972,1274538,1824765,804564,1020201,-580367
2018-10-28,38.5375,40.21,37.51,2.700000000000003,-0.75,40.325,42.13,38.37,3.760000000000005,-1.7899999999999991,37.97,40.07,36.67,3.3999999999999986,-1.4399999999999977,39.0125,40.83,37.68,3.1499999999999986,-2.1199999999999974,1577279,1997326,1063757,933569,-811378
2018-11-04,38.46,39.16,37.57,1.5899999999999963,-0.060000000000002274,39.246,40.0,37.98,2.020000000000003,-1.0700000000000003,37.214,38.75,34.56,4.189999999999998,-2.25,37.866,39.04,34.7,4.339999999999996,-4.219999999999999,1045780,1308079,732327,575752,126413
2018-11-11,33.984,35.04,32.89,2.1499999999999986,-0.759999999999998,34.744,35.58,34.12,1.4600000000000009,-0.8299999999999983,33.294,33.83,32.61,1.2199999999999989,0.030000000000001137,33.896,34.49,33.0,1.490000000000002,0.1600000000000037,955658,1187127,745369,441758,-441758
2018-11-18,34.0375,34.74,33.47,1.2700000000000031,1.2700000000000031,34.8225,36.0,33.89,2.1099999999999994,2.1099999999999994,33.53,34.33,32.82,1.509999999999998,1.509999999999998,34.462500000000006,35.74,33.42,2.3200000000000003,2.3200000000000003,700956,1006685,277409,729276,-221655
2018-11-25,35.894,36.45,35.39,1.0600000000000023,1.0600000000000023,36.952,37.64,35.72,1.9200000000000017,1.1600000000000037,35.326,35.9,34.56,1.3399999999999963,1.019999999999996,36.166,36.88,35.36,1.5200000000000031,1.0399999999999991,1346673,2963424,616293,2347131,308814
2018-12-02,34.95,36.43,34.13,2.299999999999997,-2.299999999999997,35.417500000000004,37.31,34.45,2.8599999999999994,-2.8599999999999994,34.11,35.03,33.6,1.4299999999999997,-1.4299999999999997,34.542500000000004,35.11,34.01,1.1000000000000014,-0.8299999999999983,1071994,1471588,763187,708401,-708401
2018-12-09,33.548,35.04,32.37,2.6700000000000017,-2.030000000000001,34.634,36.09,33.66,2.430000000000007,-1.7899999999999991,33.286,34.87,32.26,2.6099999999999994,-2.009999999999998,33.902,35.5,32.82,2.6799999999999997,-1.519999999999996,985439,1283585,719767,563818,218865
2018-12-16,30.418,33.11,28.02,5.09,-5.09,30.906,33.35,28.51,4.84,-4.84,29.316,31.54,27.85,3.6899999999999977,-3.6899999999999977,29.572,31.82,27.94,3.879999999999999,-3.879999999999999,1025106,1331022,479725,851297,-488647
2018-12-23,28.7025,29.05,28.16,0.8900000000000006,0.5399999999999991,29.445,29.57,29.25,0.3200000000000003,0.05999999999999872,28.060000000000002,28.55,27.54,1.0100000000000016,1.0100000000000016,29.105,29.51,28.49,1.0200000000000031,0.010000000000001563,947545,1196008,777654,418354,-83850
2018-12-30,29.3075,30.26,28.92,1.3399999999999999,1.3399999999999999,30.0,30.96,29.41,1.5500000000000007,1.5500000000000007,28.865000000000002,29.75,28.19,1.5599999999999987,1.1600000000000001,29.5275,30.6,28.4,2.200000000000003,1.490000000000002,865486,1078127,741192,336935,336935
2019-01-06,31.772,32.29,30.93,1.3599999999999994,1.2700000000000031,32.37,32.83,31.36,1.4699999999999989,1.4699999999999989,31.462,31.97,30.68,1.2899999999999991,1.2899999999999991,32.138,32.51,31.23,1.2799999999999976,1.0299999999999976,819017,1088717,691819,396898,-396898
2019-01-13,33.18,33.88,32.25,1.6300000000000026,1.6300000000000026,33.9525,34.34,33.06,1.2800000000000011,1.1400000000000006,32.9075,33.46,32.08,1.3800000000000026,1.3800000000000026,33.644999999999996,34.14,33.04,1.1000000000000014,1.1000000000000014,792657,1060725,496902,563823,563823
2019-01-20,33.292,33.85,32.44,1.4100000000000037,-0.030000000000001137,33.864,34.69,33.11,1.5799999999999983,0.7899999999999991,32.548,33.18,32.03,1.1499999999999986,-0.3200000000000003,33.038,34.07,32.44,1.6300000000000026,-0.5,637075,769905,487101,282804,53100
