Date,ProShares UltraShort Financials_Open_average,ProShares UltraShort Financials_Open_max,ProShares UltraShort Financials_Open_min,ProShares UltraShort Financials_Open_volatility,ProShares UltraShort Financials_Open_change,ProShares UltraShort Financials_High_average,ProShares UltraShort Financials_High_max,ProShares UltraShort Financials_High_min,ProShares UltraShort Financials_High_volatility,ProShares UltraShort Financials_High_change,ProShares UltraShort Financials_Low_average,ProShares UltraShort Financials_Low_max,ProShares UltraShort Financials_Low_min,ProShares UltraShort Financials_Low_volatility,ProShares UltraShort Financials_Low_change,ProShares UltraShort Financials_Close_average,ProShares UltraShort Financials_Close_max,ProShares UltraShort Financials_Close_min,ProShares UltraShort Financials_Close_volatility,ProShares UltraShort Financials_Close_change
2018-01-14,19.49,19.49,19.49,0.0,0.0,19.49,19.49,19.49,0.0,0.0,19.1,19.1,19.1,0.0,0.0,19.11,19.11,19.11,0.0,0.0
2018-01-21,18.71,18.71,18.71,0.0,0.0,18.91,18.91,18.91,0.0,0.0,18.61,18.61,18.61,0.0,0.0,18.87,18.87,18.87,0.0,0.0
2018-01-28,20.29,20.29,20.29,0.0,0.0,21.72,21.72,21.72,0.0,0.0,19.84,19.84,19.84,0.0,0.0,21.43,21.43,21.43,0.0,0.0
2018-02-04,21.22,21.22,21.22,0.0,0.0,21.67,21.67,21.67,0.0,0.0,20.85,20.85,20.85,0.0,0.0,21.14,21.14,21.14,0.0,0.0
2018-02-11,20.13,20.13,20.13,0.0,0.0,20.13,20.13,20.13,0.0,0.0,19.62,19.62,19.62,0.0,0.0,19.71,19.71,19.71,0.0,0.0
2018-02-18,19.55,19.55,19.55,0.0,0.0,19.7,19.7,19.7,0.0,0.0,19.29,19.29,19.29,0.0,0.0,19.29,19.29,19.29,0.0,0.0
2018-02-25,20.84,20.84,20.84,0.0,0.0,20.84,20.84,20.84,0.0,0.0,19.86,19.86,19.86,0.0,0.0,19.98,19.98,19.98,0.0,0.0
2018-03-04,18.9,18.9,18.9,0.0,0.0,19.05,19.05,19.05,0.0,0.0,18.82,18.82,18.82,0.0,0.0,18.97,18.97,18.97,0.0,0.0
2018-03-11,19.64,19.64,19.64,0.0,0.0,20.1,20.1,20.1,0.0,0.0,19.61,19.61,19.61,0.0,0.0,19.78,19.78,19.78,0.0,0.0
2018-03-18,21.34,21.34,21.34,0.0,0.0,21.69,21.69,21.69,0.0,0.0,20.84,20.84,20.84,0.0,0.0,20.88,20.88,20.88,0.0,0.0
2018-03-25,21.01,21.01,21.01,0.0,0.0,22.12,22.12,22.12,0.0,0.0,21.01,21.01,21.01,0.0,0.0,21.65,21.65,21.65,0.0,0.0
2018-04-01,20.97,20.97,20.97,0.0,0.0,21.25,21.25,21.25,0.0,0.0,20.5,20.5,20.5,0.0,0.0,21.25,21.25,21.25,0.0,0.0
2018-04-08,20.87,20.87,20.87,0.0,0.0,20.9,20.9,20.9,0.0,0.0,20.62,20.62,20.62,0.0,0.0,20.76,20.76,20.76,0.0,0.0
2018-04-15,20.61,20.61,20.61,0.0,0.0,20.7,20.7,20.7,0.0,0.0,20.43,20.43,20.43,0.0,0.0,20.64,20.64,20.64,0.0,0.0
