Date,PEBK_Open_average,PEBK_Open_max,PEBK_Open_min,PEBK_Open_volatility,PEBK_Open_change,PEBK_High_average,PEBK_High_max,PEBK_High_min,PEBK_High_volatility,PEBK_High_change,PEBK_Low_average,PEBK_Low_max,PEBK_Low_min,PEBK_Low_volatility,PEBK_Low_change,PEBK_Close_average,PEBK_Close_max,PEBK_Close_min,PEBK_Close_volatility,PEBK_Close_change,PEBK_Volume_average,PEBK_Volume_max,PEBK_Volume_min,PEBK_Volume_volatility,PEBK_Volume_change
2018-01-14,31.666,32.0,31.45,0.5500000000000007,-0.2699999999999996,31.944,32.28,31.65,0.6300000000000026,-0.18999999999999773,31.54,31.65,31.45,0.1999999999999993,0.16000000000000014,31.766,32.0,31.52,0.4800000000000004,0.4400000000000013,2570,5158,1262,3896,-3238
2018-01-21,31.718,31.99,31.51,0.4799999999999969,0.22000000000000242,31.866,32.0,31.56,0.4400000000000013,0.22000000000000242,31.478,31.56,31.43,0.129999999999999,-0.09999999999999787,31.618,32.0,31.43,0.5700000000000003,-0.09999999999999787,1268,2495,526,1969,497
2018-01-28,31.112000000000002,31.28,30.63,0.6500000000000021,0.0799999999999983,31.678,31.91,31.32,0.5899999999999999,-0.5799999999999983,30.94,31.28,30.56,0.7200000000000024,-0.4800000000000004,31.444,31.9,30.56,1.3399999999999999,-1.3399999999999999,2394,3368,1153,2215,1322
2018-02-04,29.262,30.5,27.7,2.8000000000000007,-2.0199999999999996,29.546,30.7,27.82,2.879999999999999,-1.7300000000000004,28.424,30.25,27.49,2.7600000000000016,-2.469999999999999,28.528,30.7,27.49,3.210000000000001,-2.870000000000001,6938,17371,3640,13731,1986
2018-02-11,28.009999999999998,28.59,27.7,0.8900000000000006,0.13000000000000256,28.7325,29.45,27.89,1.5599999999999987,1.5599999999999987,27.8375,28.01,27.7,0.3100000000000023,0.240000000000002,28.22,28.99,27.76,1.2299999999999969,1.0999999999999979,4252,7458,2093,5365,-797
2018-02-18,28.302,28.76,28.1,0.6600000000000001,-0.5600000000000023,28.796,28.95,28.51,0.4399999999999977,-0.060000000000002274,28.142,28.3,27.99,0.3100000000000023,0.05000000000000071,28.55,28.81,28.18,0.629999999999999,0.629999999999999,3833,7398,1926,5472,14
2018-02-25,28.058,28.6,27.29,1.3100000000000023,-0.16000000000000014,28.514,28.7,28.03,0.6699999999999982,-0.010000000000001563,27.41,28.3,26.32,1.9800000000000004,-0.490000000000002,28.2,28.66,27.36,1.3000000000000007,-0.05999999999999872,8168,11365,6277,5088,2647
2018-03-04,28.602,29.57,27.84,1.7300000000000004,0.9200000000000017,29.162,30.02,28.5,1.5199999999999996,1.1799999999999997,28.128,28.87,27.29,1.5800000000000018,1.120000000000001,28.77,29.8,28.18,1.620000000000001,1.620000000000001,7777,12521,3981,8540,-695
2018-03-11,31.068,31.55,30.42,1.129999999999999,-1.129999999999999,31.332,31.71,30.59,1.120000000000001,-1.120000000000001,30.064,30.25,29.88,0.370000000000001,-0.19000000000000128,31.018,31.48,30.59,0.8900000000000006,-0.6400000000000006,13691,21101,8525,12576,2038
2018-03-18,29.678,30.52,27.79,2.7300000000000004,-0.7699999999999996,30.928,31.55,30.29,1.2600000000000016,-0.7699999999999996,29.476,30.49,27.41,3.0799999999999983,-1.3299999999999983,30.272,31.06,29.61,1.4499999999999993,-1.0199999999999996,12265,25293,5405,19888,14581
2018-03-25,30.0925,30.55,29.59,0.9600000000000009,0.9600000000000009,30.7075,30.92,30.46,0.46000000000000085,-0.34999999999999787,29.4025,29.72,29.15,0.5700000000000003,-0.4400000000000013,29.9525,30.72,29.4,1.3200000000000003,-0.6500000000000021,7782,10311,3459,6852,6077
2018-04-01,30.166,31.0,29.42,1.5799999999999983,1.3099999999999987,30.968,31.69,30.61,1.0800000000000018,-0.019999999999999574,29.724,30.04,29.25,0.7899999999999991,0.75,30.328,30.88,29.65,1.2300000000000004,0.8800000000000026,5860,12282,3039,9243,-9243
2018-04-08,30.688,31.0,30.43,0.5700000000000003,-0.3299999999999983,30.996,31.48,30.53,0.9499999999999993,-0.7799999999999976,30.196,30.63,29.92,0.7099999999999973,-0.28000000000000114,30.48,30.74,30.06,0.6799999999999997,-0.6799999999999997,5033,8861,2258,6603,201
2018-04-15,30.968,31.52,30.0,1.5199999999999996,1.5199999999999996,31.796,32.0,31.5,0.5,0.26000000000000156,30.492,31.22,29.81,1.4100000000000001,0.19000000000000128,31.342,31.74,30.66,1.0799999999999983,0.129999999999999,6380,10459,3266,7193,1163
2018-04-22,31.114,32.0,30.26,1.7399999999999984,-1.7399999999999984,31.4,32.0,30.75,1.25,-1.25,30.526,31.12,30.15,0.9700000000000024,0.11000000000000298,30.98,31.7,30.55,1.1499999999999986,-0.9499999999999993,4147,8264,1862,6402,-2288
2018-04-29,30.772,31.2,30.34,0.8599999999999994,-0.759999999999998,31.12,31.25,30.95,0.3000000000000007,-0.25,30.452,30.86,30.3,0.5599999999999987,0.14000000000000057,30.95,31.01,30.9,0.11000000000000298,-0.05000000000000071,3288,4799,2120,2679,527
2018-05-06,30.928,31.39,30.69,0.6999999999999993,0.00999999999999801,31.684,31.75,31.62,0.129999999999999,-0.07000000000000028,30.676,31.15,30.11,1.0399999999999991,0.5,31.372,31.61,30.94,0.6699999999999982,0.6699999999999982,7470,14022,5427,8595,-785
2018-05-13,31.782,32.05,31.44,0.6099999999999959,0.5399999999999991,32.01,32.25,31.5,0.75,0.6199999999999974,30.914,31.21,30.3,0.9100000000000001,0.120000000000001,31.796,32.05,31.27,0.7799999999999976,0.7799999999999976,6688,11653,2703,8950,3962
2018-05-20,31.87,32.0,31.5,0.5,-0.5,32.0475,32.2,31.94,0.26000000000000156,-0.26000000000000156,31.502499999999998,31.83,31.29,0.5399999999999991,-0.07000000000000028,31.9175,32.0,31.83,0.1700000000000017,-0.05999999999999872,5816,8978,1594,7384,-4536
