Date,First Trust NASDAQ Technology DividendEtf_Open_average,First Trust NASDAQ Technology DividendEtf_Open_max,First Trust NASDAQ Technology DividendEtf_Open_min,First Trust NASDAQ Technology DividendEtf_Open_volatility,First Trust NASDAQ Technology DividendEtf_Open_change,First Trust NASDAQ Technology DividendEtf_High_average,First Trust NASDAQ Technology DividendEtf_High_max,First Trust NASDAQ Technology DividendEtf_High_min,First Trust NASDAQ Technology DividendEtf_High_volatility,First Trust NASDAQ Technology DividendEtf_High_change,First Trust NASDAQ Technology DividendEtf_Low_average,First Trust NASDAQ Technology DividendEtf_Low_max,First Trust NASDAQ Technology DividendEtf_Low_min,First Trust NASDAQ Technology DividendEtf_Low_volatility,First Trust NASDAQ Technology DividendEtf_Low_change,First Trust NASDAQ Technology DividendEtf_Close_average,First Trust NASDAQ Technology DividendEtf_Close_max,First Trust NASDAQ Technology DividendEtf_Close_min,First Trust NASDAQ Technology DividendEtf_Close_volatility,First Trust NASDAQ Technology DividendEtf_Close_change
2018-01-14,37.08,37.08,37.08,0.0,0.0,37.08,37.08,37.08,0.0,0.0,36.87,36.87,36.87,0.0,0.0,36.96,36.96,36.96,0.0,0.0
2018-01-21,37.33,37.33,37.33,0.0,0.0,37.74,37.74,37.74,0.0,0.0,37.31,37.31,37.31,0.0,0.0,37.74,37.74,37.74,0.0,0.0
2018-01-28,36.77,36.77,36.77,0.0,0.0,36.84,36.84,36.84,0.0,0.0,36.18,36.18,36.18,0.0,0.0,36.19,36.19,36.19,0.0,0.0
2018-02-04,34.18,34.18,34.18,0.0,0.0,34.67,34.67,34.67,0.0,0.0,33.35,33.35,33.35,0.0,0.0,34.4,34.4,34.4,0.0,0.0
2018-02-11,36.43,36.43,36.43,0.0,0.0,36.83,36.83,36.83,0.0,0.0,36.36,36.36,36.36,0.0,0.0,36.46,36.46,36.46,0.0,0.0
2018-02-18,36.31,36.31,36.31,0.0,0.0,36.77,36.77,36.77,0.0,0.0,36.27,36.27,36.27,0.0,0.0,36.77,36.77,36.77,0.0,0.0
2018-02-25,35.99,35.99,35.99,0.0,0.0,36.74,36.74,36.74,0.0,0.0,35.96,35.96,35.96,0.0,0.0,36.71,36.71,36.71,0.0,0.0
2018-03-04,37.58,37.58,37.58,0.0,0.0,38.0,38.0,38.0,0.0,0.0,37.56,37.56,37.56,0.0,0.0,38.0,38.0,38.0,0.0,0.0
2018-03-11,37.69,37.69,37.69,0.0,0.0,37.82,37.82,37.82,0.0,0.0,37.59,37.59,37.59,0.0,0.0,37.59,37.59,37.59,0.0,0.0
2018-03-18,35.83,35.83,35.83,0.0,0.0,35.97,35.97,35.97,0.0,0.0,35.0,35.0,35.0,0.0,0.0,35.01,35.01,35.01,0.0,0.0
2018-03-25,35.38,35.38,35.38,0.0,0.0,35.9,35.9,35.9,0.0,0.0,35.17,35.17,35.17,0.0,0.0,35.79,35.79,35.79,0.0,0.0
2018-04-01,35.51,35.51,35.51,0.0,0.0,35.71,35.71,35.71,0.0,0.0,34.8,34.8,34.8,0.0,0.0,34.95,34.95,34.95,0.0,0.0
2018-04-08,36.39,36.39,36.39,0.0,0.0,36.39,36.39,36.39,0.0,0.0,35.83,35.83,35.83,0.0,0.0,36.01,36.01,36.01,0.0,0.0
2018-04-15,35.89,35.89,35.89,0.0,0.0,35.89,35.89,35.89,0.0,0.0,35.4,35.4,35.4,0.0,0.0,35.56,35.56,35.56,0.0,0.0
2018-04-22,35.92,35.92,35.92,0.0,0.0,35.92,35.92,35.92,0.0,0.0,35.46,35.46,35.46,0.0,0.0,35.6,35.6,35.6,0.0,0.0
2018-04-29,35.14,35.14,35.14,0.0,0.0,35.89,35.89,35.89,0.0,0.0,35.12,35.12,35.12,0.0,0.0,35.81,35.81,35.81,0.0,0.0
2018-05-06,36.8,36.8,36.8,0.0,0.0,36.88,36.88,36.88,0.0,0.0,36.63,36.63,36.63,0.0,0.0,36.72,36.72,36.72,0.0,0.0
2018-05-13,36.31,36.31,36.31,0.0,0.0,36.35,36.35,36.35,0.0,0.0,36.17,36.17,36.17,0.0,0.0,36.22,36.22,36.22,0.0,0.0
2018-05-20,36.41,36.41,36.41,0.0,0.0,36.65,36.65,36.65,0.0,0.0,36.4,36.4,36.4,0.0,0.0,36.52,36.52,36.52,0.0,0.0
2018-05-27,36.49,36.49,36.49,0.0,0.0,36.84,36.84,36.84,0.0,0.0,36.49,36.49,36.49,0.0,0.0,36.83,36.83,36.83,0.0,0.0
2018-06-03,37.06,37.06,37.06,0.0,0.0,37.1,37.1,37.1,0.0,0.0,36.8,36.8,36.8,0.0,0.0,37.09,37.09,37.09,0.0,0.0
2018-06-10,37.0,37.0,37.0,0.0,0.0,37.11,37.11,37.11,0.0,0.0,36.77,36.77,36.77,0.0,0.0,37.11,37.11,37.11,0.0,0.0
2018-06-17,36.08,36.08,36.08,0.0,0.0,36.19,36.19,36.19,0.0,0.0,35.93,35.93,35.93,0.0,0.0,36.06,36.06,36.06,0.0,0.0
2018-06-24,35.59,35.59,35.59,0.0,0.0,35.71,35.71,35.71,0.0,0.0,35.38,35.38,35.38,0.0,0.0,35.44,35.44,35.44,0.0,0.0
2018-07-01,35.94,35.94,35.94,0.0,0.0,36.41,36.41,36.41,0.0,0.0,35.94,35.94,35.94,0.0,0.0,36.38,36.38,36.38,0.0,0.0
2018-07-08,36.85,36.85,36.85,0.0,0.0,36.85,36.85,36.85,0.0,0.0,36.57,36.57,36.57,0.0,0.0,36.65,36.65,36.65,0.0,0.0
2018-07-15,36.79,36.79,36.79,0.0,0.0,36.81,36.81,36.81,0.0,0.0,36.63,36.63,36.63,0.0,0.0,36.64,36.64,36.64,0.0,0.0
2018-07-22,37.17,37.17,37.17,0.0,0.0,37.17,37.17,37.17,0.0,0.0,36.59,36.59,36.59,0.0,0.0,36.67,36.67,36.67,0.0,0.0
2018-07-29,36.96,36.96,36.96,0.0,0.0,37.22,37.22,37.22,0.0,0.0,36.96,36.96,36.96,0.0,0.0,37.22,37.22,37.22,0.0,0.0
2018-08-05,37.09,37.09,37.09,0.0,0.0,37.12,37.12,37.12,0.0,0.0,36.9,36.9,36.9,0.0,0.0,37.05,37.05,37.05,0.0,0.0
2018-08-12,37.18,37.18,37.18,0.0,0.0,37.58,37.58,37.58,0.0,0.0,37.11,37.11,37.11,0.0,0.0,37.47,37.47,37.47,0.0,0.0
