Date,FlexShares Quality Dividend DefensiveEtf_Open_average,FlexShares Quality Dividend DefensiveEtf_Open_max,FlexShares Quality Dividend DefensiveEtf_Open_min,FlexShares Quality Dividend DefensiveEtf_Open_volatility,FlexShares Quality Dividend DefensiveEtf_Open_change,FlexShares Quality Dividend DefensiveEtf_High_average,FlexShares Quality Dividend DefensiveEtf_High_max,FlexShares Quality Dividend DefensiveEtf_High_min,FlexShares Quality Dividend DefensiveEtf_High_volatility,FlexShares Quality Dividend DefensiveEtf_High_change,FlexShares Quality Dividend DefensiveEtf_Low_average,FlexShares Quality Dividend DefensiveEtf_Low_max,FlexShares Quality Dividend DefensiveEtf_Low_min,FlexShares Quality Dividend DefensiveEtf_Low_volatility,FlexShares Quality Dividend DefensiveEtf_Low_change,FlexShares Quality Dividend DefensiveEtf_Close_average,FlexShares Quality Dividend DefensiveEtf_Close_max,FlexShares Quality Dividend DefensiveEtf_Close_min,FlexShares Quality Dividend DefensiveEtf_Close_volatility,FlexShares Quality Dividend DefensiveEtf_Close_change
2018-01-14,45.75,45.75,45.75,0.0,0.0,45.87,45.87,45.87,0.0,0.0,45.71,45.71,45.71,0.0,0.0,45.86,45.86,45.86,0.0,0.0
2018-01-21,46.25,46.25,46.25,0.0,0.0,46.52,46.52,46.52,0.0,0.0,46.22,46.22,46.22,0.0,0.0,46.52,46.52,46.52,0.0,0.0
2018-01-28,45.28,45.28,45.28,0.0,0.0,45.29,45.29,45.29,0.0,0.0,44.66,44.66,44.66,0.0,0.0,44.71,44.71,44.71,0.0,0.0
2018-02-04,42.33,42.33,42.33,0.0,0.0,42.49,42.49,42.49,0.0,0.0,41.51,41.51,41.51,0.0,0.0,42.49,42.49,42.49,0.0,0.0
2018-02-11,44.07,44.07,44.07,0.0,0.0,44.47,44.47,44.47,0.0,0.0,44.07,44.07,44.07,0.0,0.0,44.32,44.32,44.32,0.0,0.0
2018-02-18,43.7,43.7,43.7,0.0,0.0,44.11,44.11,44.11,0.0,0.0,43.7,43.7,43.7,0.0,0.0,44.11,44.11,44.11,0.0,0.0
2018-02-25,42.8,42.8,42.8,0.0,0.0,43.2,43.2,43.2,0.0,0.0,42.68,42.68,42.68,0.0,0.0,43.14,43.14,43.14,0.0,0.0
2018-03-04,44.06,44.06,44.06,0.0,0.0,44.35,44.35,44.35,0.0,0.0,44.06,44.06,44.06,0.0,0.0,44.35,44.35,44.35,0.0,0.0
2018-03-11,44.02,44.02,44.02,0.0,0.0,44.23,44.23,44.23,0.0,0.0,44.02,44.02,44.02,0.0,0.0,44.18,44.18,44.18,0.0,0.0
2018-03-18,42.8,42.8,42.8,0.0,0.0,42.8,42.8,42.8,0.0,0.0,42.1,42.1,42.1,0.0,0.0,42.12,42.12,42.12,0.0,0.0
2018-03-25,42.57,42.57,42.57,0.0,0.0,43.01,43.01,43.01,0.0,0.0,42.57,42.57,42.57,0.0,0.0,42.93,42.93,42.93,0.0,0.0
2018-04-01,43.12,43.12,43.12,0.0,0.0,43.12,43.12,43.12,0.0,0.0,42.46,42.46,42.46,0.0,0.0,42.6,42.6,42.6,0.0,0.0
2018-04-08,43.17,43.17,43.17,0.0,0.0,43.31,43.31,43.31,0.0,0.0,43.06,43.06,43.06,0.0,0.0,43.15,43.15,43.15,0.0,0.0
2018-04-15,43.43,43.43,43.43,0.0,0.0,43.43,43.43,43.43,0.0,0.0,43.24,43.24,43.24,0.0,0.0,43.24,43.24,43.24,0.0,0.0
2018-04-22,43.63,43.63,43.63,0.0,0.0,43.7,43.7,43.7,0.0,0.0,43.55,43.55,43.55,0.0,0.0,43.68,43.68,43.68,0.0,0.0
2018-04-29,42.97,42.97,42.97,0.0,0.0,43.63,43.63,43.63,0.0,0.0,42.88,42.88,42.88,0.0,0.0,43.56,43.56,43.56,0.0,0.0
2018-05-06,44.16,44.16,44.16,0.0,0.0,44.31,44.31,44.31,0.0,0.0,44.16,44.16,44.16,0.0,0.0,44.28,44.28,44.28,0.0,0.0
2018-05-13,44.38,44.38,44.38,0.0,0.0,44.38,44.38,44.38,0.0,0.0,44.25,44.25,44.25,0.0,0.0,44.32,44.32,44.32,0.0,0.0
