Date,SPDR MFS Systematic Growth Equity_Open_average,SPDR MFS Systematic Growth Equity_Open_max,SPDR MFS Systematic Growth Equity_Open_min,SPDR MFS Systematic Growth Equity_Open_volatility,SPDR MFS Systematic Growth Equity_Open_change,SPDR MFS Systematic Growth Equity_High_average,SPDR MFS Systematic Growth Equity_High_max,SPDR MFS Systematic Growth Equity_High_min,SPDR MFS Systematic Growth Equity_High_volatility,SPDR MFS Systematic Growth Equity_High_change,SPDR MFS Systematic Growth Equity_Low_average,SPDR MFS Systematic Growth Equity_Low_max,SPDR MFS Systematic Growth Equity_Low_min,SPDR MFS Systematic Growth Equity_Low_volatility,SPDR MFS Systematic Growth Equity_Low_change,SPDR MFS Systematic Growth Equity_Close_average,SPDR MFS Systematic Growth Equity_Close_max,SPDR MFS Systematic Growth Equity_Close_min,SPDR MFS Systematic Growth Equity_Close_volatility,SPDR MFS Systematic Growth Equity_Close_change
2018-01-14,84.79,84.79,84.79,0.0,0.0,85.27,85.27,85.27,0.0,0.0,84.79,84.79,84.79,0.0,0.0,85.26,85.26,85.26,0.0,0.0
2018-01-21,85.82,85.82,85.82,0.0,0.0,86.05,86.05,86.05,0.0,0.0,85.57,85.57,85.57,0.0,0.0,85.7,85.7,85.7,0.0,0.0
2018-01-28,81.75,81.75,81.75,0.0,0.0,82.57,82.57,82.57,0.0,0.0,79.43,79.43,79.43,0.0,0.0,79.52,79.52,79.52,0.0,0.0
2018-02-04,79.34,79.34,79.34,0.0,0.0,79.7,79.7,79.7,0.0,0.0,78.59,78.59,78.59,0.0,0.0,79.26,79.26,79.26,0.0,0.0
2018-02-11,81.69,81.69,81.69,0.0,0.0,81.7,81.7,81.7,0.0,0.0,81.56,81.56,81.56,0.0,0.0,81.56,81.56,81.56,0.0,0.0
2018-02-18,82.96,82.96,82.96,0.0,0.0,83.28,83.28,83.28,0.0,0.0,82.92,82.92,82.92,0.0,0.0,83.28,83.28,83.28,0.0,0.0
2018-02-25,81.0,81.0,81.0,0.0,0.0,81.73,81.73,81.73,0.0,0.0,81.0,81.0,81.0,0.0,0.0,81.73,81.73,81.73,0.0,0.0
2018-03-04,84.36,84.36,84.36,0.0,0.0,84.36,84.36,84.36,0.0,0.0,83.99,83.99,83.99,0.0,0.0,83.99,83.99,83.99,0.0,0.0
2018-03-11,81.9,81.9,81.9,0.0,0.0,82.29,82.29,82.29,0.0,0.0,81.09,81.09,81.09,0.0,0.0,81.45,81.45,81.45,0.0,0.0
2018-03-18,78.3,78.3,78.3,0.0,0.0,78.94,78.94,78.94,0.0,0.0,77.59,77.59,77.59,0.0,0.0,78.94,78.94,78.94,0.0,0.0
