Date,iShares MBS_Open_average,iShares MBS_Open_max,iShares MBS_Open_min,iShares MBS_Open_volatility,iShares MBS_Open_change,iShares MBS_High_average,iShares MBS_High_max,iShares MBS_High_min,iShares MBS_High_volatility,iShares MBS_High_change,iShares MBS_Low_average,iShares MBS_Low_max,iShares MBS_Low_min,iShares MBS_Low_volatility,iShares MBS_Low_change,iShares MBS_Close_average,iShares MBS_Close_max,iShares MBS_Close_min,iShares MBS_Close_volatility,iShares MBS_Close_change
2018-01-14,105.63,105.63,105.63,0.0,0.0,105.67,105.67,105.67,0.0,0.0,105.56,105.56,105.56,0.0,0.0,105.59,105.59,105.59,0.0,0.0
2018-01-21,105.38,105.38,105.38,0.0,0.0,105.44,105.44,105.44,0.0,0.0,105.29,105.29,105.29,0.0,0.0,105.4,105.4,105.4,0.0,0.0
2018-01-28,104.5,104.5,104.5,0.0,0.0,105.17,105.17,105.17,0.0,0.0,104.36,104.36,104.36,0.0,0.0,104.97,104.97,104.97,0.0,0.0
2018-02-04,104.34,104.34,104.34,0.0,0.0,104.38,104.38,104.38,0.0,0.0,104.2,104.2,104.2,0.0,0.0,104.33,104.33,104.33,0.0,0.0
2018-02-11,104.34,104.34,104.34,0.0,0.0,104.37,104.37,104.37,0.0,0.0,104.25,104.25,104.25,0.0,0.0,104.32,104.32,104.32,0.0,0.0
2018-02-18,104.53,104.53,104.53,0.0,0.0,104.57,104.57,104.57,0.0,0.0,104.37,104.37,104.37,0.0,0.0,104.38,104.38,104.38,0.0,0.0
2018-02-25,104.26,104.26,104.26,0.0,0.0,104.29,104.29,104.29,0.0,0.0,103.92,103.92,103.92,0.0,0.0,103.95,103.95,103.95,0.0,0.0
2018-03-04,104.03,104.03,104.03,0.0,0.0,104.14,104.14,104.14,0.0,0.0,104.01,104.01,104.01,0.0,0.0,104.14,104.14,104.14,0.0,0.0
2018-03-11,104.15,104.15,104.15,0.0,0.0,104.24,104.24,104.24,0.0,0.0,104.11,104.11,104.11,0.0,0.0,104.15,104.15,104.15,0.0,0.0
2018-03-18,104.23,104.23,104.23,0.0,0.0,104.33,104.33,104.33,0.0,0.0,104.2,104.2,104.2,0.0,0.0,104.24,104.24,104.24,0.0,0.0
2018-03-25,104.26,104.26,104.26,0.0,0.0,104.49,104.49,104.49,0.0,0.0,104.24,104.24,104.24,0.0,0.0,104.39,104.39,104.39,0.0,0.0
2018-04-01,104.34,104.34,104.34,0.0,0.0,104.45,104.45,104.45,0.0,0.0,104.32,104.32,104.32,0.0,0.0,104.45,104.45,104.45,0.0,0.0
2018-04-08,104.13,104.13,104.13,0.0,0.0,104.31,104.31,104.31,0.0,0.0,104.12,104.12,104.12,0.0,0.0,104.3,104.3,104.3,0.0,0.0
2018-04-15,103.65,103.65,103.65,0.0,0.0,103.66,103.66,103.66,0.0,0.0,103.58,103.58,103.58,0.0,0.0,103.61,103.61,103.61,0.0,0.0
2018-04-22,103.84,103.84,103.84,0.0,0.0,103.85,103.85,103.85,0.0,0.0,103.77,103.77,103.77,0.0,0.0,103.81,103.81,103.81,0.0,0.0
2018-04-29,103.72,103.72,103.72,0.0,0.0,103.72,103.72,103.72,0.0,0.0,103.65,103.65,103.65,0.0,0.0,103.67,103.67,103.67,0.0,0.0
2018-05-06,103.57,103.57,103.57,0.0,0.0,103.57,103.57,103.57,0.0,0.0,103.51,103.51,103.51,0.0,0.0,103.52,103.52,103.52,0.0,0.0
2018-05-13,103.11,103.11,103.11,0.0,0.0,103.22,103.22,103.22,0.0,0.0,103.08,103.08,103.08,0.0,0.0,103.21,103.21,103.21,0.0,0.0
2018-05-20,103.8,103.8,103.8,0.0,0.0,103.9,103.9,103.9,0.0,0.0,103.8,103.8,103.8,0.0,0.0,103.89,103.89,103.89,0.0,0.0
2018-05-27,103.77,103.77,103.77,0.0,0.0,103.8,103.8,103.8,0.0,0.0,103.61,103.61,103.61,0.0,0.0,103.61,103.61,103.61,0.0,0.0
