Date,Vanguard S&P Mid Cap 400_Open_average,Vanguard S&P Mid Cap 400_Open_max,Vanguard S&P Mid Cap 400_Open_min,Vanguard S&P Mid Cap 400_Open_volatility,Vanguard S&P Mid Cap 400_Open_change,Vanguard S&P Mid Cap 400_High_average,Vanguard S&P Mid Cap 400_High_max,Vanguard S&P Mid Cap 400_High_min,Vanguard S&P Mid Cap 400_High_volatility,Vanguard S&P Mid Cap 400_High_change,Vanguard S&P Mid Cap 400_Low_average,Vanguard S&P Mid Cap 400_Low_max,Vanguard S&P Mid Cap 400_Low_min,Vanguard S&P Mid Cap 400_Low_volatility,Vanguard S&P Mid Cap 400_Low_change,Vanguard S&P Mid Cap 400_Close_average,Vanguard S&P Mid Cap 400_Close_max,Vanguard S&P Mid Cap 400_Close_min,Vanguard S&P Mid Cap 400_Close_volatility,Vanguard S&P Mid Cap 400_Close_change
2018-01-14,133.32,133.32,133.32,0.0,0.0,133.82,133.82,133.82,0.0,0.0,133.05,133.05,133.05,0.0,0.0,133.82,133.82,133.82,0.0,0.0
2018-01-21,133.92,133.92,133.92,0.0,0.0,134.13,134.13,134.13,0.0,0.0,133.13,133.13,133.13,0.0,0.0,133.16,133.16,133.16,0.0,0.0
2018-01-28,128.01,128.01,128.01,0.0,0.0,128.86,128.86,128.86,0.0,0.0,124.14,124.14,124.14,0.0,0.0,124.14,124.14,124.14,0.0,0.0
2018-02-04,123.02,123.02,123.02,0.0,0.0,124.41,124.41,124.41,0.0,0.0,122.18,122.18,122.18,0.0,0.0,123.77,123.77,123.77,0.0,0.0
2018-02-11,127.44,127.44,127.44,0.0,0.0,128.51,128.51,128.51,0.0,0.0,127.41,127.41,127.41,0.0,0.0,128.07,128.07,128.07,0.0,0.0
2018-02-18,128.69,128.69,128.69,0.0,0.0,128.99,128.99,128.99,0.0,0.0,127.8,127.8,127.8,0.0,0.0,128.99,128.99,128.99,0.0,0.0
2018-02-25,126.01,126.01,126.01,0.0,0.0,128.18,128.18,128.18,0.0,0.0,126.01,126.01,126.01,0.0,0.0,127.86,127.86,127.86,0.0,0.0
2018-03-04,131.54,131.54,131.54,0.0,0.0,131.89,131.89,131.89,0.0,0.0,131.27,131.27,131.27,0.0,0.0,131.53,131.53,131.53,0.0,0.0
2018-03-11,130.07,130.07,130.07,0.0,0.0,130.07,130.07,130.07,0.0,0.0,128.2,128.2,128.2,0.0,0.0,129.36,129.36,129.36,0.0,0.0
2018-03-18,125.47,125.47,125.47,0.0,0.0,126.57,126.57,126.57,0.0,0.0,124.37,124.37,124.37,0.0,0.0,126.57,126.57,126.57,0.0,0.0
