Date,MDC_stock_Open_average,MDC_stock_Open_max,MDC_stock_Open_min,MDC_stock_Open_volatility,MDC_stock_Open_change,MDC_stock_High_average,MDC_stock_High_max,MDC_stock_High_min,MDC_stock_High_volatility,MDC_stock_High_change,MDC_stock_Low_average,MDC_stock_Low_max,MDC_stock_Low_min,MDC_stock_Low_volatility,MDC_stock_Low_change,MDC_stock_Close_average,MDC_stock_Close_max,MDC_stock_Close_min,MDC_stock_Close_volatility,MDC_stock_Close_change,MDC_stock_Volume_average,MDC_stock_Volume_max,MDC_stock_Volume_min,MDC_stock_Volume_volatility,MDC_stock_Volume_change
2018-01-14,31.7075,32.06,31.45,0.610000000000003,-0.29999999999999716,32.0475,32.21,31.86,0.3500000000000014,0.10000000000000142,31.305,31.42,31.03,0.39000000000000057,0.39000000000000057,31.6575,32.12,31.15,0.9699999999999989,0.7600000000000016,428685,503399,360872,142527,-49621
2018-01-21,32.056,32.31,31.72,0.5900000000000034,-0.16000000000000014,32.184,32.57,31.81,0.7600000000000016,-0.3000000000000007,31.502,31.77,31.21,0.5599999999999987,-0.5299999999999976,31.896,32.11,31.6,0.509999999999998,-0.509999999999998,449292,620772,266114,354658,354658
2018-01-28,30.882,31.54,29.66,1.879999999999999,-0.3299999999999983,31.592,32.51,31.04,1.4699999999999989,-0.3999999999999986,30.094,31.17,29.02,2.150000000000002,-1.990000000000002,30.86,31.49,29.64,1.8499999999999979,-1.4600000000000009,1364565,1872798,967339,905459,515396
2018-02-04,27.754,29.17,26.44,2.7300000000000004,-2.1000000000000014,28.39,29.27,27.66,1.6099999999999994,-1.6099999999999994,26.8,27.93,26.19,1.7399999999999984,-0.6600000000000001,27.504,28.16,26.61,1.5500000000000007,-0.08999999999999986,1686076,2122350,1306833,815517,272176
2018-02-11,27.778,28.39,27.33,1.0600000000000023,0.16000000000000014,28.246,28.59,27.61,0.9800000000000004,0.9800000000000004,27.388,27.77,26.91,0.8599999999999994,0.8599999999999994,27.872,28.45,27.42,1.0299999999999976,1.0299999999999976,922624,1178241,578514,599727,-469809
2018-02-18,28.0775,28.32,27.78,0.5399999999999991,-0.5399999999999991,28.2625,28.6,27.78,0.8200000000000003,-0.6199999999999974,27.5375,27.9,26.69,1.2099999999999973,-1.1799999999999997,27.6875,27.99,26.99,1.0,-1.0,827152,1016463,637837,378626,244535
2018-02-25,26.272000000000002,27.16,25.21,1.9499999999999993,-1.9499999999999993,26.562,27.47,25.8,1.6699999999999982,-1.3900000000000006,25.694,26.56,24.94,1.6199999999999974,-1.6199999999999974,26.066,26.97,25.5,1.4699999999999989,-1.25,991570,1204000,692008,511992,190012
2018-03-04,25.96,26.27,25.47,0.8000000000000007,0.4800000000000004,26.27,26.44,26.15,0.2900000000000027,0.0400000000000027,25.632,25.92,25.47,0.45000000000000284,0.08999999999999986,26.022,26.25,25.7,0.5500000000000007,0.129999999999999,669703,906539,464908,441631,120595
2018-03-11,26.83,27.61,26.09,1.5199999999999996,0.23999999999999844,27.126,27.92,26.43,1.490000000000002,0.33999999999999986,26.358,26.93,26.04,0.8900000000000006,0.120000000000001,26.637999999999998,27.5,26.19,1.3099999999999987,0.48999999999999844,937155,1814598,616583,1198015,223488
2018-03-18,26.6,26.69,26.44,0.25,0.14000000000000057,27.044,27.2,26.76,0.4399999999999977,0.28999999999999915,26.198,26.41,25.91,0.5,-0.35999999999999943,26.488,26.98,25.94,1.0399999999999991,-0.7999999999999972,520336,787195,381980,405215,141064
