Date,iShares MSCI Europe Small-Cap_Open_average,iShares MSCI Europe Small-Cap_Open_max,iShares MSCI Europe Small-Cap_Open_min,iShares MSCI Europe Small-Cap_Open_volatility,iShares MSCI Europe Small-Cap_Open_change,iShares MSCI Europe Small-Cap_High_average,iShares MSCI Europe Small-Cap_High_max,iShares MSCI Europe Small-Cap_High_min,iShares MSCI Europe Small-Cap_High_volatility,iShares MSCI Europe Small-Cap_High_change,iShares MSCI Europe Small-Cap_Low_average,iShares MSCI Europe Small-Cap_Low_max,iShares MSCI Europe Small-Cap_Low_min,iShares MSCI Europe Small-Cap_Low_volatility,iShares MSCI Europe Small-Cap_Low_change,iShares MSCI Europe Small-Cap_Close_average,iShares MSCI Europe Small-Cap_Close_max,iShares MSCI Europe Small-Cap_Close_min,iShares MSCI Europe Small-Cap_Close_volatility,iShares MSCI Europe Small-Cap_Close_change
2018-01-14,61.18,61.18,61.18,0.0,0.0,61.5,61.5,61.5,0.0,0.0,60.97,60.97,60.97,0.0,0.0,61.43,61.43,61.43,0.0,0.0
2018-01-21,61.91,61.91,61.91,0.0,0.0,61.92,61.92,61.92,0.0,0.0,61.36,61.36,61.36,0.0,0.0,61.6,61.6,61.6,0.0,0.0
2018-01-28,58.86,58.86,58.86,0.0,0.0,59.11,59.11,59.11,0.0,0.0,57.02,57.02,57.02,0.0,0.0,57.02,57.02,57.02,0.0,0.0
2018-02-04,57.24,57.24,57.24,0.0,0.0,57.7,57.7,57.7,0.0,0.0,57.14,57.14,57.14,0.0,0.0,57.63,57.63,57.63,0.0,0.0
2018-02-11,59.56,59.56,59.56,0.0,0.0,59.75,59.75,59.75,0.0,0.0,59.22,59.22,59.22,0.0,0.0,59.49,59.49,59.49,0.0,0.0
2018-02-18,59.2,59.2,59.2,0.0,0.0,59.46,59.46,59.46,0.0,0.0,59.13,59.13,59.13,0.0,0.0,59.46,59.46,59.46,0.0,0.0
2018-02-25,57.44,57.44,57.44,0.0,0.0,57.89,57.89,57.89,0.0,0.0,57.26,57.26,57.26,0.0,0.0,57.81,57.81,57.81,0.0,0.0
2018-03-04,59.45,59.45,59.45,0.0,0.0,59.63,59.63,59.63,0.0,0.0,59.4,59.4,59.4,0.0,0.0,59.6,59.6,59.6,0.0,0.0
2018-03-11,59.13,59.13,59.13,0.0,0.0,59.21,59.21,59.21,0.0,0.0,58.79,58.79,58.79,0.0,0.0,58.97,58.97,58.97,0.0,0.0
2018-03-18,58.28,58.28,58.28,0.0,0.0,58.59,58.59,58.59,0.0,0.0,58.08,58.08,58.08,0.0,0.0,58.47,58.47,58.47,0.0,0.0
2018-03-25,58.16,58.16,58.16,0.0,0.0,58.16,58.16,58.16,0.0,0.0,56.98,56.98,56.98,0.0,0.0,57.43,57.43,57.43,0.0,0.0
2018-04-01,58.22,58.22,58.22,0.0,0.0,58.51,58.51,58.51,0.0,0.0,58.12,58.12,58.12,0.0,0.0,58.12,58.12,58.12,0.0,0.0
2018-04-08,59.68,59.68,59.68,0.0,0.0,59.78,59.78,59.78,0.0,0.0,59.5,59.5,59.5,0.0,0.0,59.56,59.56,59.56,0.0,0.0
2018-04-15,59.78,59.78,59.78,0.0,0.0,59.86,59.86,59.86,0.0,0.0,59.66,59.66,59.66,0.0,0.0,59.82,59.82,59.82,0.0,0.0
2018-04-22,59.1,59.1,59.1,0.0,0.0,59.28,59.28,59.28,0.0,0.0,59.0,59.0,59.0,0.0,0.0,59.07,59.07,59.07,0.0,0.0
