Date,PowerShares KBW Property & Casualty Insurance Port_Open_average,PowerShares KBW Property & Casualty Insurance Port_Open_max,PowerShares KBW Property & Casualty Insurance Port_Open_min,PowerShares KBW Property & Casualty Insurance Port_Open_volatility,PowerShares KBW Property & Casualty Insurance Port_Open_change,PowerShares KBW Property & Casualty Insurance Port_High_average,PowerShares KBW Property & Casualty Insurance Port_High_max,PowerShares KBW Property & Casualty Insurance Port_High_min,PowerShares KBW Property & Casualty Insurance Port_High_volatility,PowerShares KBW Property & Casualty Insurance Port_High_change,PowerShares KBW Property & Casualty Insurance Port_Low_average,PowerShares KBW Property & Casualty Insurance Port_Low_max,PowerShares KBW Property & Casualty Insurance Port_Low_min,PowerShares KBW Property & Casualty Insurance Port_Low_volatility,PowerShares KBW Property & Casualty Insurance Port_Low_change,PowerShares KBW Property & Casualty Insurance Port_Close_average,PowerShares KBW Property & Casualty Insurance Port_Close_max,PowerShares KBW Property & Casualty Insurance Port_Close_min,PowerShares KBW Property & Casualty Insurance Port_Close_volatility,PowerShares KBW Property & Casualty Insurance Port_Close_change
2018-01-14,60.41,60.41,60.41,0.0,0.0,61.54,61.54,61.54,0.0,0.0,60.41,60.41,60.41,0.0,0.0,61.44,61.44,61.44,0.0,0.0
2018-01-21,61.68,61.68,61.68,0.0,0.0,61.68,61.68,61.68,0.0,0.0,61.04,61.04,61.04,0.0,0.0,61.04,61.04,61.04,0.0,0.0
2018-01-28,60.35,60.35,60.35,0.0,0.0,60.71,60.71,60.71,0.0,0.0,59.05,59.05,59.05,0.0,0.0,59.5,59.5,59.5,0.0,0.0
2018-02-04,58.68,58.68,58.68,0.0,0.0,59.05,59.05,59.05,0.0,0.0,58.11,58.11,58.11,0.0,0.0,58.76,58.76,58.76,0.0,0.0
2018-02-11,59.95,59.95,59.95,0.0,0.0,60.79,60.79,60.79,0.0,0.0,59.95,59.95,59.95,0.0,0.0,60.73,60.73,60.73,0.0,0.0
2018-02-18,60.45,60.45,60.45,0.0,0.0,60.61,60.61,60.61,0.0,0.0,60.08,60.08,60.08,0.0,0.0,60.41,60.41,60.41,0.0,0.0
2018-02-25,59.59,59.59,59.59,0.0,0.0,61.28,61.28,61.28,0.0,0.0,59.59,59.59,59.59,0.0,0.0,61.28,61.28,61.28,0.0,0.0
2018-03-04,62.52,62.52,62.52,0.0,0.0,62.6,62.6,62.6,0.0,0.0,62.12,62.12,62.12,0.0,0.0,62.12,62.12,62.12,0.0,0.0
2018-03-11,62.07,62.07,62.07,0.0,0.0,62.43,62.43,62.43,0.0,0.0,62.05,62.05,62.05,0.0,0.0,62.33,62.33,62.33,0.0,0.0
2018-03-18,60.84,60.84,60.84,0.0,0.0,61.32,61.32,61.32,0.0,0.0,60.51,60.51,60.51,0.0,0.0,61.31,61.31,61.31,0.0,0.0
2018-03-25,62.0,62.0,62.0,0.0,0.0,62.0,62.0,62.0,0.0,0.0,60.34,60.34,60.34,0.0,0.0,60.92,60.92,60.92,0.0,0.0
2018-04-01,61.15,61.15,61.15,0.0,0.0,61.75,61.75,61.75,0.0,0.0,61.15,61.15,61.15,0.0,0.0,61.6,61.6,61.6,0.0,0.0
2018-04-08,61.43,61.43,61.43,0.0,0.0,62.05,62.05,62.05,0.0,0.0,61.43,61.43,61.43,0.0,0.0,62.05,62.05,62.05,0.0,0.0
2018-04-15,62.33,62.33,62.33,0.0,0.0,62.33,62.33,62.33,0.0,0.0,62.06,62.06,62.06,0.0,0.0,62.25,62.25,62.25,0.0,0.0
2018-04-22,61.85,61.85,61.85,0.0,0.0,62.16,62.16,62.16,0.0,0.0,61.59,61.59,61.59,0.0,0.0,61.59,61.59,61.59,0.0,0.0
2018-04-29,60.01,60.01,60.01,0.0,0.0,60.49,60.49,60.49,0.0,0.0,60.01,60.01,60.01,0.0,0.0,60.49,60.49,60.49,0.0,0.0
