Date,VanEck Vectors CoalEtf_Open_average,VanEck Vectors CoalEtf_Open_max,VanEck Vectors CoalEtf_Open_min,VanEck Vectors CoalEtf_Open_volatility,VanEck Vectors CoalEtf_Open_change,VanEck Vectors CoalEtf_High_average,VanEck Vectors CoalEtf_High_max,VanEck Vectors CoalEtf_High_min,VanEck Vectors CoalEtf_High_volatility,VanEck Vectors CoalEtf_High_change,VanEck Vectors CoalEtf_Low_average,VanEck Vectors CoalEtf_Low_max,VanEck Vectors CoalEtf_Low_min,VanEck Vectors CoalEtf_Low_volatility,VanEck Vectors CoalEtf_Low_change,VanEck Vectors CoalEtf_Close_average,VanEck Vectors CoalEtf_Close_max,VanEck Vectors CoalEtf_Close_min,VanEck Vectors CoalEtf_Close_volatility,VanEck Vectors CoalEtf_Close_change
2018-01-14,174.0,174.0,174.0,0.0,0.0,175.0,175.0,175.0,0.0,0.0,173.8,173.8,173.8,0.0,0.0,174.7,174.7,174.7,0.0,0.0
2018-01-21,181.8,181.8,181.8,0.0,0.0,182.5,182.5,182.5,0.0,0.0,181.3,181.3,181.3,0.0,0.0,182.3,182.3,182.3,0.0,0.0
2018-01-28,182.2,182.2,182.2,0.0,0.0,182.89,182.89,182.89,0.0,0.0,179.6,179.6,179.6,0.0,0.0,180.2,180.2,180.2,0.0,0.0
2018-02-04,166.2,166.2,166.2,0.0,0.0,167.7,167.7,167.7,0.0,0.0,161.4,161.4,161.4,0.0,0.0,166.5,166.5,166.5,0.0,0.0
2018-02-11,178.9,178.9,178.9,0.0,0.0,180.0,180.0,180.0,0.0,0.0,176.8,176.8,176.8,0.0,0.0,178.6,178.6,178.6,0.0,0.0
2018-02-18,178.3,178.3,178.3,0.0,0.0,179.8,179.8,179.8,0.0,0.0,178.0,178.0,178.0,0.0,0.0,179.8,179.8,179.8,0.0,0.0
2018-02-25,168.7,168.7,168.7,0.0,0.0,170.1,170.1,170.1,0.0,0.0,166.5,166.5,166.5,0.0,0.0,169.8,169.8,169.8,0.0,0.0
2018-03-04,165.4,165.4,165.4,0.0,0.0,165.8,165.8,165.8,0.0,0.0,164.7,164.7,164.7,0.0,0.0,165.2,165.2,165.2,0.0,0.0
2018-03-11,161.2,161.2,161.2,0.0,0.0,162.49,162.49,162.49,0.0,0.0,161.2,161.2,161.2,0.0,0.0,162.0,162.0,162.0,0.0,0.0
2018-03-18,156.8,156.8,156.8,0.0,0.0,157.05,157.05,157.05,0.0,0.0,154.1,154.1,154.1,0.0,0.0,154.4,154.4,154.4,0.0,0.0
2018-03-25,155.1,155.1,155.1,0.0,0.0,157.8,157.8,157.8,0.0,0.0,154.2,154.2,154.2,0.0,0.0,157.1,157.1,157.1,0.0,0.0
2018-04-01,155.9,155.9,155.9,0.0,0.0,157.5,157.5,157.5,0.0,0.0,153.77,153.77,153.77,0.0,0.0,154.7,154.7,154.7,0.0,0.0
2018-04-08,161.5,161.5,161.5,0.0,0.0,161.5,161.5,161.5,0.0,0.0,160.4,160.4,160.4,0.0,0.0,160.7,160.7,160.7,0.0,0.0
2018-04-15,162.5,162.5,162.5,0.0,0.0,162.6,162.6,162.6,0.0,0.0,161.3,161.3,161.3,0.0,0.0,161.7,161.7,161.7,0.0,0.0
2018-04-22,155.6,155.6,155.6,0.0,0.0,156.1,156.1,156.1,0.0,0.0,154.8,154.8,154.8,0.0,0.0,155.6,155.6,155.6,0.0,0.0
2018-04-29,153.7,153.7,153.7,0.0,0.0,157.0,157.0,157.0,0.0,0.0,153.7,153.7,153.7,0.0,0.0,156.7,156.7,156.7,0.0,0.0
2018-05-06,161.5,161.5,161.5,0.0,0.0,162.92,162.92,162.92,0.0,0.0,161.5,161.5,161.5,0.0,0.0,162.28,162.28,162.28,0.0,0.0
