Date,iShares Global Healthcare_Open_average,iShares Global Healthcare_Open_max,iShares Global Healthcare_Open_min,iShares Global Healthcare_Open_volatility,iShares Global Healthcare_Open_change,iShares Global Healthcare_High_average,iShares Global Healthcare_High_max,iShares Global Healthcare_High_min,iShares Global Healthcare_High_volatility,iShares Global Healthcare_High_change,iShares Global Healthcare_Low_average,iShares Global Healthcare_Low_max,iShares Global Healthcare_Low_min,iShares Global Healthcare_Low_volatility,iShares Global Healthcare_Low_change,iShares Global Healthcare_Close_average,iShares Global Healthcare_Close_max,iShares Global Healthcare_Close_min,iShares Global Healthcare_Close_volatility,iShares Global Healthcare_Close_change
2018-01-14,59.34,59.34,59.34,0.0,0.0,59.77,59.77,59.77,0.0,0.0,59.34,59.34,59.34,0.0,0.0,59.71,59.71,59.71,0.0,0.0
2018-01-21,61.26,61.26,61.26,0.0,0.0,61.48,61.48,61.48,0.0,0.0,61.21,61.21,61.21,0.0,0.0,61.31,61.31,61.31,0.0,0.0
2018-01-28,58.08,58.08,58.08,0.0,0.0,58.16,58.16,58.16,0.0,0.0,55.73,55.73,55.73,0.0,0.0,55.85,55.85,55.85,0.0,0.0
2018-02-04,55.66,55.66,55.66,0.0,0.0,56.17,56.17,56.17,0.0,0.0,55.32,55.32,55.32,0.0,0.0,55.92,55.92,55.92,0.0,0.0
2018-02-11,57.27,57.27,57.27,0.0,0.0,57.98,57.98,57.98,0.0,0.0,57.27,57.27,57.27,0.0,0.0,57.61,57.61,57.61,0.0,0.0
2018-02-18,57.7,57.7,57.7,0.0,0.0,58.28,58.28,58.28,0.0,0.0,57.68,57.68,57.68,0.0,0.0,58.22,58.22,58.22,0.0,0.0
2018-02-25,56.18,56.18,56.18,0.0,0.0,57.02,57.02,57.02,0.0,0.0,56.08,56.08,56.08,0.0,0.0,56.91,56.91,56.91,0.0,0.0
2018-03-04,58.17,58.17,58.17,0.0,0.0,58.22,58.22,58.22,0.0,0.0,58.0,58.0,58.0,0.0,0.0,58.06,58.06,58.06,0.0,0.0
2018-03-11,57.69,57.69,57.69,0.0,0.0,57.69,57.69,57.69,0.0,0.0,56.56,56.56,56.56,0.0,0.0,56.9,56.9,56.9,0.0,0.0
2018-03-18,55.16,55.16,55.16,0.0,0.0,55.35,55.35,55.35,0.0,0.0,54.46,54.46,54.46,0.0,0.0,55.3,55.3,55.3,0.0,0.0
2018-03-25,55.62,55.62,55.62,0.0,0.0,55.79,55.79,55.79,0.0,0.0,54.08,54.08,54.08,0.0,0.0,54.51,54.51,54.51,0.0,0.0
2018-04-01,55.41,55.41,55.41,0.0,0.0,56.03,56.03,56.03,0.0,0.0,55.16,55.16,55.16,0.0,0.0,55.52,55.52,55.52,0.0,0.0
2018-04-08,56.42,56.42,56.42,0.0,0.0,56.5,56.5,56.5,0.0,0.0,56.26,56.26,56.26,0.0,0.0,56.39,56.39,56.39,0.0,0.0
2018-04-15,56.05,56.05,56.05,0.0,0.0,56.2,56.2,56.2,0.0,0.0,55.94,55.94,55.94,0.0,0.0,56.05,56.05,56.05,0.0,0.0
2018-04-22,56.7,56.7,56.7,0.0,0.0,56.72,56.72,56.72,0.0,0.0,56.01,56.01,56.01,0.0,0.0,56.08,56.08,56.08,0.0,0.0
2018-04-29,55.6,55.6,55.6,0.0,0.0,55.78,55.78,55.78,0.0,0.0,55.45,55.45,55.45,0.0,0.0,55.48,55.48,55.48,0.0,0.0
2018-05-06,56.83,56.83,56.83,0.0,0.0,57.29,57.29,57.29,0.0,0.0,56.83,56.83,56.83,0.0,0.0,57.06,57.06,57.06,0.0,0.0
2018-05-13,57.1,57.1,57.1,0.0,0.0,57.27,57.27,57.27,0.0,0.0,56.89,56.89,56.89,0.0,0.0,56.95,56.95,56.95,0.0,0.0
2018-05-20,56.6,56.6,56.6,0.0,0.0,56.8,56.8,56.8,0.0,0.0,56.47,56.47,56.47,0.0,0.0,56.55,56.55,56.55,0.0,0.0
2018-05-27,56.9,56.9,56.9,0.0,0.0,57.0,57.0,57.0,0.0,0.0,56.71,56.71,56.71,0.0,0.0,56.9,56.9,56.9,0.0,0.0
2018-06-03,57.51,57.51,57.51,0.0,0.0,57.87,57.87,57.87,0.0,0.0,57.36,57.36,57.36,0.0,0.0,57.59,57.59,57.59,0.0,0.0
2018-06-10,57.49,57.49,57.49,0.0,0.0,57.51,57.51,57.51,0.0,0.0,57.17,57.17,57.17,0.0,0.0,57.42,57.42,57.42,0.0,0.0
2018-06-17,57.13,57.13,57.13,0.0,0.0,57.24,57.24,57.24,0.0,0.0,56.42,56.42,56.42,0.0,0.0,56.68,56.68,56.68,0.0,0.0
2018-06-24,55.97,55.97,55.97,0.0,0.0,56.43,56.43,56.43,0.0,0.0,55.83,55.83,55.83,0.0,0.0,56.43,56.43,56.43,0.0,0.0
2018-07-01,58.18,58.18,58.18,0.0,0.0,58.39,58.39,58.39,0.0,0.0,58.09,58.09,58.09,0.0,0.0,58.32,58.32,58.32,0.0,0.0
2018-07-08,58.95,58.95,58.95,0.0,0.0,58.97,58.97,58.97,0.0,0.0,58.56,58.56,58.56,0.0,0.0,58.62,58.62,58.62,0.0,0.0
2018-07-15,58.76,58.76,58.76,0.0,0.0,58.95,58.95,58.95,0.0,0.0,58.72,58.72,58.72,0.0,0.0,58.9,58.9,58.9,0.0,0.0
2018-07-22,59.6,59.6,59.6,0.0,0.0,59.71,59.71,59.71,0.0,0.0,59.43,59.43,59.43,0.0,0.0,59.52,59.52,59.52,0.0,0.0
