Date,WisdomTree EM Dividend FundEtf_Open_average,WisdomTree EM Dividend FundEtf_Open_max,WisdomTree EM Dividend FundEtf_Open_min,WisdomTree EM Dividend FundEtf_Open_volatility,WisdomTree EM Dividend FundEtf_Open_change,WisdomTree EM Dividend FundEtf_High_average,WisdomTree EM Dividend FundEtf_High_max,WisdomTree EM Dividend FundEtf_High_min,WisdomTree EM Dividend FundEtf_High_volatility,WisdomTree EM Dividend FundEtf_High_change,WisdomTree EM Dividend FundEtf_Low_average,WisdomTree EM Dividend FundEtf_Low_max,WisdomTree EM Dividend FundEtf_Low_min,WisdomTree EM Dividend FundEtf_Low_volatility,WisdomTree EM Dividend FundEtf_Low_change,WisdomTree EM Dividend FundEtf_Close_average,WisdomTree EM Dividend FundEtf_Close_max,WisdomTree EM Dividend FundEtf_Close_min,WisdomTree EM Dividend FundEtf_Close_volatility,WisdomTree EM Dividend FundEtf_Close_change
2018-01-14,35.58,35.58,35.58,0.0,0.0,35.7,35.7,35.7,0.0,0.0,35.48,35.48,35.48,0.0,0.0,35.67,35.67,35.67,0.0,0.0
2018-01-21,36.52,36.52,36.52,0.0,0.0,36.7,36.7,36.7,0.0,0.0,36.39,36.39,36.39,0.0,0.0,36.7,36.7,36.7,0.0,0.0
2018-01-28,35.53,35.53,35.53,0.0,0.0,35.55,35.55,35.55,0.0,0.0,35.18,35.18,35.18,0.0,0.0,35.18,35.18,35.18,0.0,0.0
2018-02-04,33.06,33.06,33.06,0.0,0.0,33.42,33.42,33.42,0.0,0.0,32.56,32.56,32.56,0.0,0.0,33.05,33.05,33.05,0.0,0.0
2018-02-11,35.2,35.2,35.2,0.0,0.0,35.45,35.45,35.45,0.0,0.0,35.16,35.16,35.16,0.0,0.0,35.24,35.24,35.24,0.0,0.0
2018-02-18,35.33,35.33,35.33,0.0,0.0,35.43,35.43,35.43,0.0,0.0,35.2,35.2,35.2,0.0,0.0,35.43,35.43,35.43,0.0,0.0
2018-02-25,34.14,34.14,34.14,0.0,0.0,34.52,34.52,34.52,0.0,0.0,34.05,34.05,34.05,0.0,0.0,34.52,34.52,34.52,0.0,0.0
2018-03-04,34.85,34.85,34.85,0.0,0.0,35.28,35.28,35.28,0.0,0.0,34.85,34.85,34.85,0.0,0.0,35.28,35.28,35.28,0.0,0.0
2018-03-11,34.79,34.79,34.79,0.0,0.0,35.0,35.0,35.0,0.0,0.0,34.79,34.79,34.79,0.0,0.0,35.0,35.0,35.0,0.0,0.0
2018-03-18,34.39,34.39,34.39,0.0,0.0,34.39,34.39,34.39,0.0,0.0,33.93,33.93,33.93,0.0,0.0,33.93,33.93,33.93,0.0,0.0
2018-03-25,34.4,34.4,34.4,0.0,0.0,34.94,34.94,34.94,0.0,0.0,34.38,34.38,34.38,0.0,0.0,34.63,34.63,34.63,0.0,0.0
2018-04-01,34.33,34.33,34.33,0.0,0.0,34.33,34.33,34.33,0.0,0.0,33.81,33.81,33.81,0.0,0.0,33.81,33.81,33.81,0.0,0.0
2018-04-08,34.21,34.21,34.21,0.0,0.0,34.28,34.28,34.28,0.0,0.0,34.16,34.16,34.16,0.0,0.0,34.16,34.16,34.16,0.0,0.0
2018-04-15,34.1,34.1,34.1,0.0,0.0,34.1,34.1,34.1,0.0,0.0,33.93,33.93,33.93,0.0,0.0,33.99,33.99,33.99,0.0,0.0
2018-04-22,34.01,34.01,34.01,0.0,0.0,34.01,34.01,34.01,0.0,0.0,34.01,34.01,34.01,0.0,0.0,34.01,34.01,34.01,0.0,0.0
2018-04-29,33.18,33.18,33.18,0.0,0.0,33.68,33.68,33.68,0.0,0.0,33.18,33.18,33.18,0.0,0.0,33.61,33.61,33.61,0.0,0.0
2018-05-06,34.04,34.04,34.04,0.0,0.0,34.08,34.08,34.08,0.0,0.0,33.87,33.87,33.87,0.0,0.0,33.95,33.95,33.95,0.0,0.0
2018-05-13,33.07,33.07,33.07,0.0,0.0,33.24,33.24,33.24,0.0,0.0,33.07,33.07,33.07,0.0,0.0,33.15,33.15,33.15,0.0,0.0
2018-05-20,33.3,33.3,33.3,0.0,0.0,33.32,33.32,33.32,0.0,0.0,33.16,33.16,33.16,0.0,0.0,33.16,33.16,33.16,0.0,0.0
2018-05-27,32.98,32.98,32.98,0.0,0.0,33.31,33.31,33.31,0.0,0.0,32.98,32.98,32.98,0.0,0.0,33.3,33.3,33.3,0.0,0.0
2018-06-03,33.16,33.16,33.16,0.0,0.0,33.35,33.35,33.35,0.0,0.0,32.98,32.98,32.98,0.0,0.0,33.29,33.29,33.29,0.0,0.0
2018-06-10,32.38,32.38,32.38,0.0,0.0,32.47,32.47,32.47,0.0,0.0,32.18,32.18,32.18,0.0,0.0,32.31,32.31,32.31,0.0,0.0
2018-06-17,31.66,31.66,31.66,0.0,0.0,31.73,31.73,31.73,0.0,0.0,31.56,31.56,31.56,0.0,0.0,31.56,31.56,31.56,0.0,0.0
2018-06-24,30.92,30.92,30.92,0.0,0.0,31.08,31.08,31.08,0.0,0.0,30.92,30.92,30.92,0.0,0.0,30.98,30.98,30.98,0.0,0.0
2018-07-01,31.15,31.15,31.15,0.0,0.0,31.16,31.16,31.16,0.0,0.0,31.08,31.08,31.08,0.0,0.0,31.08,31.08,31.08,0.0,0.0
2018-07-08,31.33,31.33,31.33,0.0,0.0,31.44,31.44,31.44,0.0,0.0,31.29,31.29,31.29,0.0,0.0,31.44,31.44,31.44,0.0,0.0
2018-07-15,31.39,31.39,31.39,0.0,0.0,31.55,31.55,31.55,0.0,0.0,31.39,31.39,31.39,0.0,0.0,31.55,31.55,31.55,0.0,0.0
2018-07-22,32.27,32.27,32.27,0.0,0.0,32.27,32.27,32.27,0.0,0.0,32.27,32.27,32.27,0.0,0.0,32.27,32.27,32.27,0.0,0.0
2018-07-29,32.05,32.05,32.05,0.0,0.0,32.05,32.05,32.05,0.0,0.0,31.96,31.96,31.96,0.0,0.0,32.03,32.03,32.03,0.0,0.0
2018-08-05,31.45,31.45,31.45,0.0,0.0,31.45,31.45,31.45,0.0,0.0,31.29,31.29,31.29,0.0,0.0,31.29,31.29,31.29,0.0,0.0
2018-08-12,30.43,30.43,30.43,0.0,0.0,30.94,30.94,30.94,0.0,0.0,30.43,30.43,30.43,0.0,0.0,30.94,30.94,30.94,0.0,0.0
2018-08-19,31.5,31.5,31.5,0.0,0.0,31.5,31.5,31.5,0.0,0.0,31.41,31.41,31.41,0.0,0.0,31.5,31.5,31.5,0.0,0.0
2018-08-26,31.79,31.79,31.79,0.0,0.0,31.79,31.79,31.79,0.0,0.0,31.45,31.45,31.45,0.0,0.0,31.59,31.59,31.59,0.0,0.0
2018-09-02,30.82,30.82,30.82,0.0,0.0,30.93,30.93,30.93,0.0,0.0,30.71,30.71,30.71,0.0,0.0,30.71,30.71,30.71,0.0,0.0
2018-09-09,30.99,30.99,30.99,0.0,0.0,31.01,31.01,31.01,0.0,0.0,30.92,30.92,30.92,0.0,0.0,30.94,30.94,30.94,0.0,0.0
2018-09-16,31.76,31.76,31.76,0.0,0.0,31.77,31.77,31.77,0.0,0.0,31.68,31.68,31.68,0.0,0.0,31.68,31.68,31.68,0.0,0.0
2018-09-23,31.29,31.29,31.29,0.0,0.0,31.3,31.3,31.3,0.0,0.0,31.23,31.23,31.23,0.0,0.0,31.23,31.23,31.23,0.0,0.0
2018-09-30,30.27,30.27,30.27,0.0,0.0,30.27,30.27,30.27,0.0,0.0,29.81,29.81,29.81,0.0,0.0,30.03,30.03,30.03,0.0,0.0
2018-10-07,29.56,29.56,29.56,0.0,0.0,29.6,29.6,29.6,0.0,0.0,29.19,29.19,29.19,0.0,0.0,29.5,29.5,29.5,0.0,0.0
2018-10-14,29.28,29.28,29.28,0.0,0.0,29.3,29.3,29.3,0.0,0.0,29.14,29.14,29.14,0.0,0.0,29.3,29.3,29.3,0.0,0.0
2018-10-21,28.37,28.37,28.37,0.0,0.0,28.6,28.6,28.6,0.0,0.0,28.29,28.29,28.29,0.0,0.0,28.52,28.52,28.52,0.0,0.0
2018-10-28,30.0,30.0,30.0,0.0,0.0,30.0,30.0,30.0,0.0,0.0,29.57,29.57,29.57,0.0,0.0,29.77,29.77,29.77,0.0,0.0
2018-11-04,29.17,29.17,29.17,0.0,0.0,29.17,29.17,29.17,0.0,0.0,29.08,29.08,29.08,0.0,0.0,29.08,29.08,29.08,0.0,0.0
2018-11-11,29.57,29.57,29.57,0.0,0.0,29.72,29.72,29.72,0.0,0.0,29.57,29.57,29.57,0.0,0.0,29.72,29.72,29.72,0.0,0.0
2018-11-18,29.0,29.0,29.0,0.0,0.0,29.0,29.0,29.0,0.0,0.0,29.0,29.0,29.0,0.0,0.0,29.0,29.0,29.0,0.0,0.0
2018-11-25,29.83,29.83,29.83,0.0,0.0,29.83,29.83,29.83,0.0,0.0,29.83,29.83,29.83,0.0,0.0,29.83,29.83,29.83,0.0,0.0
2018-12-02,29.26,29.26,29.26,0.0,0.0,29.26,29.26,29.26,0.0,0.0,28.68,28.68,28.68,0.0,0.0,28.9,28.9,28.9,0.0,0.0
2018-12-09,28.96,28.96,28.96,0.0,0.0,29.17,29.17,29.17,0.0,0.0,28.92,28.92,28.92,0.0,0.0,28.93,28.93,28.93,0.0,0.0
2018-12-16,28.63,28.63,28.63,0.0,0.0,28.74,28.74,28.74,0.0,0.0,28.29,28.29,28.29,0.0,0.0,28.29,28.29,28.29,0.0,0.0
2018-12-23,28.39,28.39,28.39,0.0,0.0,28.6,28.6,28.6,0.0,0.0,28.39,28.39,28.39,0.0,0.0,28.49,28.49,28.49,0.0,0.0
2018-12-30,28.78,28.78,28.78,0.0,0.0,28.91,28.91,28.91,0.0,0.0,28.78,28.78,28.78,0.0,0.0,28.88,28.88,28.88,0.0,0.0
2019-01-06,29.48,29.48,29.48,0.0,0.0,29.63,29.63,29.63,0.0,0.0,29.48,29.48,29.48,0.0,0.0,29.63,29.63,29.63,0.0,0.0
2019-01-13,30.17,30.17,30.17,0.0,0.0,30.49,30.49,30.49,0.0,0.0,30.12,30.12,30.12,0.0,0.0,30.23,30.23,30.23,0.0,0.0
2019-01-20,30.77,30.77,30.77,0.0,0.0,30.83,30.83,30.83,0.0,0.0,30.72,30.72,30.72,0.0,0.0,30.72,30.72,30.72,0.0,0.0
2019-01-27,31.29,31.29,31.29,0.0,0.0,31.29,31.29,31.29,0.0,0.0,31.01,31.01,31.01,0.0,0.0,31.11,31.11,31.11,0.0,0.0
2019-02-03,30.8,30.8,30.8,0.0,0.0,30.8,30.8,30.8,0.0,0.0,30.62,30.62,30.62,0.0,0.0,30.72,30.72,30.72,0.0,0.0
2019-02-10,30.71,30.71,30.71,0.0,0.0,30.8,30.8,30.8,0.0,0.0,30.71,30.71,30.71,0.0,0.0,30.78,30.78,30.78,0.0,0.0
2019-02-17,31.49,31.49,31.49,0.0,0.0,31.56,31.56,31.56,0.0,0.0,31.49,31.49,31.49,0.0,0.0,31.54,31.54,31.54,0.0,0.0
2019-02-24,31.22,31.22,31.22,0.0,0.0,31.22,31.22,31.22,0.0,0.0,31.18,31.18,31.18,0.0,0.0,31.22,31.22,31.22,0.0,0.0
2019-03-03,30.57,30.57,30.57,0.0,0.0,30.68,30.68,30.68,0.0,0.0,30.57,30.57,30.57,0.0,0.0,30.68,30.68,30.68,0.0,0.0
2019-03-10,31.31,31.31,31.31,0.0,0.0,31.58,31.58,31.58,0.0,0.0,31.31,31.31,31.31,0.0,0.0,31.57,31.57,31.57,0.0,0.0
2019-03-17,31.55,31.55,31.55,0.0,0.0,31.57,31.57,31.57,0.0,0.0,31.23,31.23,31.23,0.0,0.0,31.23,31.23,31.23,0.0,0.0
2019-03-24,31.34,31.34,31.34,0.0,0.0,31.42,31.42,31.42,0.0,0.0,31.34,31.34,31.34,0.0,0.0,31.41,31.41,31.41,0.0,0.0
2019-03-31,32.15,32.15,32.15,0.0,0.0,32.43,32.43,32.43,0.0,0.0,32.15,32.15,32.15,0.0,0.0,32.43,32.43,32.43,0.0,0.0
2019-04-07,32.42,32.42,32.42,0.0,0.0,32.43,32.43,32.43,0.0,0.0,32.27,32.27,32.27,0.0,0.0,32.33,32.33,32.33,0.0,0.0
2019-04-14,32.45,32.45,32.45,0.0,0.0,32.57,32.57,32.57,0.0,0.0,32.45,32.45,32.45,0.0,0.0,32.46,32.46,32.46,0.0,0.0
2019-04-21,31.63,31.63,31.63,0.0,0.0,31.75,31.75,31.75,0.0,0.0,31.63,31.63,31.63,0.0,0.0,31.75,31.75,31.75,0.0,0.0
2019-04-28,31.89,31.89,31.89,0.0,0.0,32.0,32.0,32.0,0.0,0.0,31.89,31.89,31.89,0.0,0.0,31.98,31.98,31.98,0.0,0.0
2019-05-05,30.19,30.19,30.19,0.0,0.0,30.58,30.58,30.58,0.0,0.0,30.18,30.18,30.18,0.0,0.0,30.58,30.58,30.58,0.0,0.0
2019-05-12,29.68,29.68,29.68,0.0,0.0,29.76,29.76,29.76,0.0,0.0,29.53,29.53,29.53,0.0,0.0,29.53,29.53,29.53,0.0,0.0
2019-05-19,29.7,29.7,29.7,0.0,0.0,29.7,29.7,29.7,0.0,0.0,29.54,29.54,29.54,0.0,0.0,29.54,29.54,29.54,0.0,0.0
2019-05-26,29.96,29.96,29.96,0.0,0.0,30.0,30.0,30.0,0.0,0.0,29.88,29.88,29.88,0.0,0.0,29.97,29.97,29.97,0.0,0.0
2019-06-02,30.52,30.52,30.52,0.0,0.0,30.52,30.52,30.52,0.0,0.0,30.31,30.31,30.31,0.0,0.0,30.31,30.31,30.31,0.0,0.0
2019-06-09,30.52,30.52,30.52,0.0,0.0,30.52,30.52,30.52,0.0,0.0,30.31,30.31,30.31,0.0,0.0,30.36,30.36,30.36,0.0,0.0
2019-06-16,31.7,31.7,31.7,0.0,0.0,31.73,31.73,31.73,0.0,0.0,31.63,31.63,31.63,0.0,0.0,31.73,31.73,31.73,0.0,0.0
2019-06-23,31.67,31.67,31.67,0.0,0.0,31.69,31.69,31.69,0.0,0.0,31.51,31.51,31.51,0.0,0.0,31.57,31.57,31.57,0.0,0.0
2019-06-30,31.52,31.52,31.52,0.0,0.0,31.56,31.56,31.56,0.0,0.0,31.39,31.39,31.39,0.0,0.0,31.54,31.54,31.54,0.0,0.0
2019-07-07,31.46,31.46,31.46,0.0,0.0,31.6,31.6,31.6,0.0,0.0,31.44,31.44,31.44,0.0,0.0,31.49,31.49,31.49,0.0,0.0
2019-07-14,31.79,31.79,31.79,0.0,0.0,31.79,31.79,31.79,0.0,0.0,31.58,31.58,31.58,0.0,0.0,31.59,31.59,31.59,0.0,0.0
2019-07-21,31.57,31.57,31.57,0.0,0.0,31.57,31.57,31.57,0.0,0.0,31.38,31.38,31.38,0.0,0.0,31.5,31.5,31.5,0.0,0.0
2019-07-28,30.15,30.15,30.15,0.0,0.0,30.15,30.15,30.15,0.0,0.0,29.94,29.94,29.94,0.0,0.0,29.98,29.98,29.98,0.0,0.0
2019-08-04,29.62,29.62,29.62,0.0,0.0,29.62,29.62,29.62,0.0,0.0,29.53,29.53,29.53,0.0,0.0,29.58,29.58,29.58,0.0,0.0
2019-08-11,29.15,29.15,29.15,0.0,0.0,29.36,29.36,29.36,0.0,0.0,29.15,29.15,29.15,0.0,0.0,29.3,29.3,29.3,0.0,0.0
2019-08-18,29.43,29.43,29.43,0.0,0.0,29.44,29.44,29.44,0.0,0.0,29.03,29.03,29.03,0.0,0.0,29.14,29.14,29.14,0.0,0.0
2019-08-25,29.68,29.68,29.68,0.0,0.0,29.72,29.72,29.72,0.0,0.0,29.64,29.64,29.64,0.0,0.0,29.72,29.72,29.72,0.0,0.0
2019-09-01,30.54,30.54,30.54,0.0,0.0,30.69,30.69,30.69,0.0,0.0,30.54,30.54,30.54,0.0,0.0,30.63,30.63,30.63,0.0,0.0
2019-09-08,31.44,31.44,31.44,0.0,0.0,31.44,31.44,31.44,0.0,0.0,31.34,31.34,31.34,0.0,0.0,31.35,31.35,31.35,0.0,0.0
2019-09-15,31.06,31.06,31.06,0.0,0.0,31.09,31.09,31.09,0.0,0.0,30.87,30.87,30.87,0.0,0.0,30.92,30.92,30.92,0.0,0.0
2019-09-22,30.13,30.13,30.13,0.0,0.0,30.17,30.17,30.17,0.0,0.0,29.8,29.8,29.8,0.0,0.0,29.8,29.8,29.8,0.0,0.0
2019-09-29,29.86,29.86,29.86,0.0,0.0,29.97,29.97,29.97,0.0,0.0,29.84,29.84,29.84,0.0,0.0,29.97,29.97,29.97,0.0,0.0
2019-10-06,30.7,30.7,30.7,0.0,0.0,30.71,30.71,30.71,0.0,0.0,30.56,30.56,30.56,0.0,0.0,30.56,30.56,30.56,0.0,0.0
2019-10-13,30.8,30.8,30.8,0.0,0.0,30.8,30.8,30.8,0.0,0.0,30.58,30.58,30.58,0.0,0.0,30.76,30.76,30.76,0.0,0.0
2019-10-20,31.08,31.08,31.08,0.0,0.0,31.26,31.26,31.26,0.0,0.0,31.07,31.07,31.07,0.0,0.0,31.25,31.25,31.25,0.0,0.0
2019-10-27,31.47,31.47,31.47,0.0,0.0,31.62,31.62,31.62,0.0,0.0,31.47,31.47,31.47,0.0,0.0,31.56,31.56,31.56,0.0,0.0
2019-11-03,32.03,32.03,32.03,0.0,0.0,32.09,32.09,32.09,0.0,0.0,32.01,32.01,32.01,0.0,0.0,32.02,32.02,32.02,0.0,0.0
2019-11-10,31.55,31.55,31.55,0.0,0.0,31.65,31.65,31.65,0.0,0.0,31.52,31.52,31.52,0.0,0.0,31.58,31.58,31.58,0.0,0.0
2019-11-17,31.43,31.43,31.43,0.0,0.0,31.43,31.43,31.43,0.0,0.0,31.25,31.25,31.25,0.0,0.0,31.3,31.3,31.3,0.0,0.0
2019-11-24,31.15,31.15,31.15,0.0,0.0,31.16,31.16,31.16,0.0,0.0,30.97,30.97,30.97,0.0,0.0,31.01,31.01,31.01,0.0,0.0
2019-12-01,31.2,31.2,31.2,0.0,0.0,31.3,31.3,31.3,0.0,0.0,31.2,31.2,31.2,0.0,0.0,31.3,31.3,31.3,0.0,0.0
2019-12-08,32.2,32.2,32.2,0.0,0.0,32.36,32.36,32.36,0.0,0.0,32.2,32.2,32.2,0.0,0.0,32.34,32.34,32.34,0.0,0.0
