Date,iShares Global Consumer Discretionary_Open_average,iShares Global Consumer Discretionary_Open_max,iShares Global Consumer Discretionary_Open_min,iShares Global Consumer Discretionary_Open_volatility,iShares Global Consumer Discretionary_Open_change,iShares Global Consumer Discretionary_High_average,iShares Global Consumer Discretionary_High_max,iShares Global Consumer Discretionary_High_min,iShares Global Consumer Discretionary_High_volatility,iShares Global Consumer Discretionary_High_change,iShares Global Consumer Discretionary_Low_average,iShares Global Consumer Discretionary_Low_max,iShares Global Consumer Discretionary_Low_min,iShares Global Consumer Discretionary_Low_volatility,iShares Global Consumer Discretionary_Low_change,iShares Global Consumer Discretionary_Close_average,iShares Global Consumer Discretionary_Close_max,iShares Global Consumer Discretionary_Close_min,iShares Global Consumer Discretionary_Close_volatility,iShares Global Consumer Discretionary_Close_change
2018-01-14,116.54,116.54,116.54,0.0,0.0,116.69,116.69,116.69,0.0,0.0,116.24,116.24,116.24,0.0,0.0,116.66,116.66,116.66,0.0,0.0
2018-01-21,118.99,118.99,118.99,0.0,0.0,119.68,119.68,119.68,0.0,0.0,118.92,118.92,118.92,0.0,0.0,119.68,119.68,119.68,0.0,0.0
2018-01-28,117.75,117.75,117.75,0.0,0.0,117.75,117.75,117.75,0.0,0.0,116.09,116.09,116.09,0.0,0.0,116.09,116.09,116.09,0.0,0.0
2018-02-04,111.19,111.19,111.19,0.0,0.0,111.37,111.37,111.37,0.0,0.0,107.48,107.48,107.48,0.0,0.0,110.6,110.6,110.6,0.0,0.0
2018-02-11,115.33,115.33,115.33,0.0,0.0,116.1,116.1,116.1,0.0,0.0,115.14,115.14,115.14,0.0,0.0,115.39,115.39,115.39,0.0,0.0
2018-02-18,114.81,114.81,114.81,0.0,0.0,115.52,115.52,115.52,0.0,0.0,114.53,114.53,114.53,0.0,0.0,115.52,115.52,115.52,0.0,0.0
2018-02-25,111.1,111.1,111.1,0.0,0.0,112.42,112.42,112.42,0.0,0.0,110.84,110.84,110.84,0.0,0.0,112.4,112.4,112.4,0.0,0.0
2018-03-04,114.01,114.01,114.01,0.0,0.0,114.65,114.65,114.65,0.0,0.0,113.88,113.88,113.88,0.0,0.0,114.53,114.53,114.53,0.0,0.0
2018-03-11,114.6,114.6,114.6,0.0,0.0,114.95,114.95,114.95,0.0,0.0,114.53,114.53,114.53,0.0,0.0,114.54,114.54,114.54,0.0,0.0
2018-03-18,111.84,111.84,111.84,0.0,0.0,111.84,111.84,111.84,0.0,0.0,109.73,109.73,109.73,0.0,0.0,109.73,109.73,109.73,0.0,0.0
2018-03-25,110.33,110.33,110.33,0.0,0.0,111.92,111.92,111.92,0.0,0.0,110.33,110.33,110.33,0.0,0.0,111.48,111.48,111.48,0.0,0.0
2018-04-01,112.2,112.2,112.2,0.0,0.0,112.7,112.7,112.7,0.0,0.0,110.89,110.89,110.89,0.0,0.0,111.16,111.16,111.16,0.0,0.0
2018-04-08,113.32,113.32,113.32,0.0,0.0,113.32,113.32,113.32,0.0,0.0,113.06,113.06,113.06,0.0,0.0,113.06,113.06,113.06,0.0,0.0
2018-04-15,114.41,114.41,114.41,0.0,0.0,114.43,114.43,114.43,0.0,0.0,113.37,113.37,113.37,0.0,0.0,113.66,113.66,113.66,0.0,0.0
2018-04-22,115.11,115.11,115.11,0.0,0.0,115.11,115.11,115.11,0.0,0.0,114.42,114.42,114.42,0.0,0.0,114.5,114.5,114.5,0.0,0.0
2018-04-29,113.01,113.01,113.01,0.0,0.0,114.63,114.63,114.63,0.0,0.0,113.01,113.01,113.01,0.0,0.0,114.55,114.55,114.55,0.0,0.0
2018-05-06,115.35,115.35,115.35,0.0,0.0,115.68,115.68,115.68,0.0,0.0,115.35,115.35,115.35,0.0,0.0,115.5,115.5,115.5,0.0,0.0
2018-05-13,115.48,115.48,115.48,0.0,0.0,115.48,115.48,115.48,0.0,0.0,115.37,115.37,115.37,0.0,0.0,115.37,115.37,115.37,0.0,0.0
2018-05-20,115.7,115.7,115.7,0.0,0.0,115.7,115.7,115.7,0.0,0.0,115.2,115.2,115.2,0.0,0.0,115.4,115.4,115.4,0.0,0.0
2018-05-27,115.11,115.11,115.11,0.0,0.0,115.38,115.38,115.38,0.0,0.0,115.0,115.0,115.0,0.0,0.0,115.15,115.15,115.15,0.0,0.0
2018-06-03,117.69,117.69,117.69,0.0,0.0,118.16,118.16,118.16,0.0,0.0,117.69,117.69,117.69,0.0,0.0,118.09,118.09,118.09,0.0,0.0
2018-06-10,119.31,119.31,119.31,0.0,0.0,119.76,119.76,119.76,0.0,0.0,119.3,119.3,119.3,0.0,0.0,119.64,119.64,119.64,0.0,0.0
2018-06-17,117.69,117.69,117.69,0.0,0.0,117.69,117.69,117.69,0.0,0.0,116.91,116.91,116.91,0.0,0.0,117.15,117.15,117.15,0.0,0.0
2018-06-24,115.13,115.13,115.13,0.0,0.0,115.47,115.47,115.47,0.0,0.0,114.65,114.65,114.65,0.0,0.0,114.87,114.87,114.87,0.0,0.0
2018-07-01,114.72,114.72,114.72,0.0,0.0,115.6,115.6,115.6,0.0,0.0,114.35,114.35,114.35,0.0,0.0,115.5,115.5,115.5,0.0,0.0
2018-07-08,117.28,117.28,117.28,0.0,0.0,117.57,117.57,117.57,0.0,0.0,117.23,117.23,117.23,0.0,0.0,117.46,117.46,117.46,0.0,0.0
2018-07-15,117.56,117.56,117.56,0.0,0.0,117.56,117.56,117.56,0.0,0.0,117.24,117.24,117.24,0.0,0.0,117.29,117.29,117.29,0.0,0.0
2018-07-22,118.21,118.21,118.21,0.0,0.0,118.21,118.21,118.21,0.0,0.0,116.68,116.68,116.68,0.0,0.0,116.82,116.82,116.82,0.0,0.0
