Date,iShares AsiaPacific Dividend_etf_Open_average,iShares AsiaPacific Dividend_etf_Open_max,iShares AsiaPacific Dividend_etf_Open_min,iShares AsiaPacific Dividend_etf_Open_volatility,iShares AsiaPacific Dividend_etf_Open_change,iShares AsiaPacific Dividend_etf_High_average,iShares AsiaPacific Dividend_etf_High_max,iShares AsiaPacific Dividend_etf_High_min,iShares AsiaPacific Dividend_etf_High_volatility,iShares AsiaPacific Dividend_etf_High_change,iShares AsiaPacific Dividend_etf_Low_average,iShares AsiaPacific Dividend_etf_Low_max,iShares AsiaPacific Dividend_etf_Low_min,iShares AsiaPacific Dividend_etf_Low_volatility,iShares AsiaPacific Dividend_etf_Low_change,iShares AsiaPacific Dividend_etf_Close_average,iShares AsiaPacific Dividend_etf_Close_max,iShares AsiaPacific Dividend_etf_Close_min,iShares AsiaPacific Dividend_etf_Close_volatility,iShares AsiaPacific Dividend_etf_Close_change
2018-01-14,50.64,50.64,50.64,0.0,0.0,50.67,50.67,50.67,0.0,0.0,50.53,50.53,50.53,0.0,0.0,50.67,50.67,50.67,0.0,0.0
2018-01-21,51.28,51.28,51.28,0.0,0.0,51.42,51.42,51.42,0.0,0.0,51.28,51.28,51.28,0.0,0.0,51.42,51.42,51.42,0.0,0.0
2018-01-28,50.7,50.7,50.7,0.0,0.0,50.71,50.71,50.71,0.0,0.0,50.3,50.3,50.3,0.0,0.0,50.3,50.3,50.3,0.0,0.0
2018-02-04,47.93,47.93,47.93,0.0,0.0,48.13,48.13,48.13,0.0,0.0,47.83,47.83,47.83,0.0,0.0,48.13,48.13,48.13,0.0,0.0
2018-02-11,49.1,49.1,49.1,0.0,0.0,49.21,49.21,49.21,0.0,0.0,49.08,49.08,49.08,0.0,0.0,49.09,49.09,49.09,0.0,0.0
2018-02-18,48.97,48.97,48.97,0.0,0.0,49.28,49.28,49.28,0.0,0.0,48.97,48.97,48.97,0.0,0.0,49.28,49.28,49.28,0.0,0.0
2018-02-25,47.06,47.06,47.06,0.0,0.0,47.39,47.39,47.39,0.0,0.0,47.06,47.06,47.06,0.0,0.0,47.37,47.37,47.37,0.0,0.0
2018-03-04,48.25,48.25,48.25,0.0,0.0,48.4,48.4,48.4,0.0,0.0,48.12,48.12,48.12,0.0,0.0,48.4,48.4,48.4,0.0,0.0
2018-03-11,48.08,48.08,48.08,0.0,0.0,48.28,48.28,48.28,0.0,0.0,48.08,48.08,48.08,0.0,0.0,48.27,48.27,48.27,0.0,0.0
2018-03-18,46.58,46.58,46.58,0.0,0.0,46.69,46.69,46.69,0.0,0.0,46.21,46.21,46.21,0.0,0.0,46.21,46.21,46.21,0.0,0.0
2018-03-25,46.06,46.06,46.06,0.0,0.0,46.22,46.22,46.22,0.0,0.0,46.06,46.06,46.06,0.0,0.0,46.22,46.22,46.22,0.0,0.0
2018-04-01,46.35,46.35,46.35,0.0,0.0,46.36,46.36,46.36,0.0,0.0,46.11,46.11,46.11,0.0,0.0,46.11,46.11,46.11,0.0,0.0
2018-04-08,46.98,46.98,46.98,0.0,0.0,46.98,46.98,46.98,0.0,0.0,46.98,46.98,46.98,0.0,0.0,46.98,46.98,46.98,0.0,0.0
2018-04-15,46.47,46.47,46.47,0.0,0.0,46.47,46.47,46.47,0.0,0.0,46.16,46.16,46.16,0.0,0.0,46.16,46.16,46.16,0.0,0.0
2018-04-22,46.46,46.46,46.46,0.0,0.0,46.59,46.59,46.59,0.0,0.0,46.45,46.45,46.45,0.0,0.0,46.59,46.59,46.59,0.0,0.0
2018-04-29,46.59,46.59,46.59,0.0,0.0,46.96,46.96,46.96,0.0,0.0,46.59,46.59,46.59,0.0,0.0,46.96,46.96,46.96,0.0,0.0
2018-05-06,47.01,47.01,47.01,0.0,0.0,47.02,47.02,47.02,0.0,0.0,47.01,47.01,47.01,0.0,0.0,47.02,47.02,47.02,0.0,0.0
2018-05-13,46.66,46.66,46.66,0.0,0.0,46.66,46.66,46.66,0.0,0.0,46.51,46.51,46.51,0.0,0.0,46.53,46.53,46.53,0.0,0.0
2018-05-20,46.27,46.27,46.27,0.0,0.0,46.35,46.35,46.35,0.0,0.0,46.24,46.24,46.24,0.0,0.0,46.35,46.35,46.35,0.0,0.0
2018-05-27,46.45,46.45,46.45,0.0,0.0,46.45,46.45,46.45,0.0,0.0,46.44,46.44,46.44,0.0,0.0,46.44,46.44,46.44,0.0,0.0
2018-06-03,46.57,46.57,46.57,0.0,0.0,46.62,46.62,46.62,0.0,0.0,46.42,46.42,46.42,0.0,0.0,46.58,46.58,46.58,0.0,0.0
2018-06-10,46.17,46.17,46.17,0.0,0.0,46.34,46.34,46.34,0.0,0.0,46.17,46.17,46.17,0.0,0.0,46.34,46.34,46.34,0.0,0.0
2018-06-17,45.46,45.46,45.46,0.0,0.0,45.5,45.5,45.5,0.0,0.0,45.37,45.37,45.37,0.0,0.0,45.46,45.46,45.46,0.0,0.0
2018-06-24,44.87,44.87,44.87,0.0,0.0,44.87,44.87,44.87,0.0,0.0,44.77,44.77,44.77,0.0,0.0,44.77,44.77,44.77,0.0,0.0
2018-07-01,45.75,45.75,45.75,0.0,0.0,45.78,45.78,45.78,0.0,0.0,45.69,45.69,45.69,0.0,0.0,45.69,45.69,45.69,0.0,0.0
2018-07-08,45.35,45.35,45.35,0.0,0.0,45.35,45.35,45.35,0.0,0.0,45.13,45.13,45.13,0.0,0.0,45.18,45.18,45.18,0.0,0.0
2018-07-15,45.4,45.4,45.4,0.0,0.0,45.48,45.48,45.48,0.0,0.0,45.38,45.38,45.38,0.0,0.0,45.48,45.48,45.48,0.0,0.0
2018-07-22,45.81,45.81,45.81,0.0,0.0,45.81,45.81,45.81,0.0,0.0,45.81,45.81,45.81,0.0,0.0,45.81,45.81,45.81,0.0,0.0
2018-07-29,45.34,45.34,45.34,0.0,0.0,45.34,45.34,45.34,0.0,0.0,45.32,45.32,45.32,0.0,0.0,45.33,45.33,45.33,0.0,0.0
2018-08-05,44.9,44.9,44.9,0.0,0.0,45.16,45.16,45.16,0.0,0.0,44.87,44.87,44.87,0.0,0.0,44.97,44.97,44.97,0.0,0.0
2018-08-12,45.41,45.41,45.41,0.0,0.0,45.7,45.7,45.7,0.0,0.0,45.36,45.36,45.36,0.0,0.0,45.59,45.59,45.59,0.0,0.0
2018-08-19,44.79,44.79,44.79,0.0,0.0,44.81,44.81,44.81,0.0,0.0,44.73,44.73,44.73,0.0,0.0,44.75,44.75,44.75,0.0,0.0
2018-08-26,44.53,44.53,44.53,0.0,0.0,44.53,44.53,44.53,0.0,0.0,44.27,44.27,44.27,0.0,0.0,44.33,44.33,44.33,0.0,0.0
2018-09-02,43.15,43.15,43.15,0.0,0.0,43.36,43.36,43.36,0.0,0.0,43.04,43.04,43.04,0.0,0.0,43.12,43.12,43.12,0.0,0.0
2018-09-09,43.74,43.74,43.74,0.0,0.0,43.74,43.74,43.74,0.0,0.0,43.5,43.5,43.5,0.0,0.0,43.53,43.53,43.53,0.0,0.0
2018-09-16,44.86,44.86,44.86,0.0,0.0,44.95,44.95,44.95,0.0,0.0,44.78,44.78,44.78,0.0,0.0,44.8,44.8,44.8,0.0,0.0
2018-09-23,44.0,44.0,44.0,0.0,0.0,44.0,44.0,44.0,0.0,0.0,43.9,43.9,43.9,0.0,0.0,43.95,43.95,43.95,0.0,0.0
2018-09-30,42.7,42.7,42.7,0.0,0.0,42.7,42.7,42.7,0.0,0.0,42.46,42.46,42.46,0.0,0.0,42.62,42.62,42.62,0.0,0.0
2018-10-07,41.62,41.62,41.62,0.0,0.0,42.24,42.24,42.24,0.0,0.0,41.25,41.25,41.25,0.0,0.0,41.55,41.55,41.55,0.0,0.0
2018-10-14,42.51,42.51,42.51,0.0,0.0,42.51,42.51,42.51,0.0,0.0,42.3,42.3,42.3,0.0,0.0,42.33,42.33,42.33,0.0,0.0
2018-10-21,40.63,40.63,40.63,0.0,0.0,41.01,41.01,41.01,0.0,0.0,40.63,40.63,40.63,0.0,0.0,40.89,40.89,40.89,0.0,0.0
2018-10-28,42.44,42.44,42.44,0.0,0.0,42.44,42.44,42.44,0.0,0.0,42.05,42.05,42.05,0.0,0.0,42.09,42.09,42.09,0.0,0.0
2018-11-04,42.53,42.53,42.53,0.0,0.0,42.67,42.67,42.67,0.0,0.0,42.53,42.53,42.53,0.0,0.0,42.67,42.67,42.67,0.0,0.0
2018-11-11,42.67,42.67,42.67,0.0,0.0,43.09,43.09,43.09,0.0,0.0,42.54,42.54,42.54,0.0,0.0,43.05,43.05,43.05,0.0,0.0
2018-11-18,41.97,41.97,41.97,0.0,0.0,42.01,42.01,42.01,0.0,0.0,41.97,41.97,41.97,0.0,0.0,42.01,42.01,42.01,0.0,0.0
