Date,ProShares Ultra High Yield_etf_Open_average,ProShares Ultra High Yield_etf_Open_max,ProShares Ultra High Yield_etf_Open_min,ProShares Ultra High Yield_etf_Open_volatility,ProShares Ultra High Yield_etf_Open_change,ProShares Ultra High Yield_etf_High_average,ProShares Ultra High Yield_etf_High_max,ProShares Ultra High Yield_etf_High_min,ProShares Ultra High Yield_etf_High_volatility,ProShares Ultra High Yield_etf_High_change,ProShares Ultra High Yield_etf_Low_average,ProShares Ultra High Yield_etf_Low_max,ProShares Ultra High Yield_etf_Low_min,ProShares Ultra High Yield_etf_Low_volatility,ProShares Ultra High Yield_etf_Low_change,ProShares Ultra High Yield_etf_Close_average,ProShares Ultra High Yield_etf_Close_max,ProShares Ultra High Yield_etf_Close_min,ProShares Ultra High Yield_etf_Close_volatility,ProShares Ultra High Yield_etf_Close_change
2019-09-08,71.77,71.77,71.77,0.0,0.0,71.77,71.77,71.77,0.0,0.0,71.77,71.77,71.77,0.0,0.0,71.77,71.77,71.77,0.0,0.0
2019-09-15,72.6,72.6,72.6,0.0,0.0,72.6,72.6,72.6,0.0,0.0,72.46,72.46,72.46,0.0,0.0,72.46,72.46,72.46,0.0,0.0
2019-09-22,70.45,70.45,70.45,0.0,0.0,70.48,70.48,70.48,0.0,0.0,70.45,70.45,70.45,0.0,0.0,70.46,70.46,70.46,0.0,0.0
2019-09-29,70.55,70.55,70.55,0.0,0.0,70.55,70.55,70.55,0.0,0.0,70.41,70.41,70.41,0.0,0.0,70.41,70.41,70.41,0.0,0.0
2019-10-06,70.91,70.91,70.91,0.0,0.0,70.91,70.91,70.91,0.0,0.0,70.91,70.91,70.91,0.0,0.0,70.91,70.91,70.91,0.0,0.0
2019-10-13,71.48,71.48,71.48,0.0,0.0,71.48,71.48,71.48,0.0,0.0,71.48,71.48,71.48,0.0,0.0,71.48,71.48,71.48,0.0,0.0
2019-10-20,72.13,72.13,72.13,0.0,0.0,72.13,72.13,72.13,0.0,0.0,72.1,72.1,72.1,0.0,0.0,72.1,72.1,72.1,0.0,0.0
2019-10-27,71.2,71.2,71.2,0.0,0.0,71.2,71.2,71.2,0.0,0.0,71.17,71.17,71.17,0.0,0.0,71.19,71.19,71.19,0.0,0.0
2019-11-03,71.6,71.6,71.6,0.0,0.0,71.6,71.6,71.6,0.0,0.0,71.44,71.44,71.44,0.0,0.0,71.44,71.44,71.44,0.0,0.0
2019-11-10,71.62,71.62,71.62,0.0,0.0,71.62,71.62,71.62,0.0,0.0,71.62,71.62,71.62,0.0,0.0,71.62,71.62,71.62,0.0,0.0
2019-11-17,70.7,70.7,70.7,0.0,0.0,70.7,70.7,70.7,0.0,0.0,70.7,70.7,70.7,0.0,0.0,70.7,70.7,70.7,0.0,0.0
2019-11-24,71.62,71.62,71.62,0.0,0.0,71.62,71.62,71.62,0.0,0.0,71.62,71.62,71.62,0.0,0.0,71.62,71.62,71.62,0.0,0.0
2019-12-01,72.12,72.12,72.12,0.0,0.0,72.12,72.12,72.12,0.0,0.0,71.88,71.88,71.88,0.0,0.0,71.88,71.88,71.88,0.0,0.0
2019-12-08,73.33,73.33,73.33,0.0,0.0,73.33,73.33,73.33,0.0,0.0,73.33,73.33,73.33,0.0,0.0,73.33,73.33,73.33,0.0,0.0
2019-12-15,73.6,73.6,73.6,0.0,0.0,73.67,73.67,73.67,0.0,0.0,73.55,73.55,73.55,0.0,0.0,73.55,73.55,73.55,0.0,0.0
2019-12-22,72.84,72.84,72.84,0.0,0.0,72.84,72.84,72.84,0.0,0.0,72.71,72.71,72.71,0.0,0.0,72.71,72.71,72.71,0.0,0.0
2019-12-29,73.16,73.16,73.16,0.0,0.0,73.16,73.16,73.16,0.0,0.0,73.16,73.16,73.16,0.0,0.0,73.16,73.16,73.16,0.0,0.0
