Date,AAWW_Open_average,AAWW_Open_max,AAWW_Open_volatility,AAWW_Open_change,AAWW_High_average,AAWW_High_max,AAWW_High_volatility,AAWW_High_change,AAWW_Low_average,AAWW_Low_max,AAWW_Low_volatility,AAWW_Low_change,AAWW_Close_average,AAWW_Close_max,AAWW_Close_volatility,AAWW_Close_change,AAWW_Volume_average,AAWW_Volume_max,AAWW_Volume_volatility,AAWW_Volume_change
2016-04-03,39.333999999999996,40.42,1.6900000000000048,-1.2000000000000028,39.980000000000004,40.58,1.3999999999999986,-0.22999999999999687,38.638,39.39,1.3599999999999994,-0.6199999999999974,38.956,39.46,1.1000000000000014,-0.6099999999999994,201997,231674,77316,-26877
2016-04-10,39.828,40.81,1.8200000000000003,1.0499999999999972,40.61,41.1,1.5500000000000043,1.1900000000000048,39.5,40.14,1.4399999999999977,1.029999999999994,40.244,40.84,1.7900000000000063,1.6400000000000006,157922,211660,74676,-21469
2016-04-17,40.85,41.48,1.0899999999999963,-0.22000000000000597,41.28,41.85,1.1499999999999986,-0.9100000000000037,39.86,40.75,1.6300000000000026,-1.2700000000000031,40.64,41.61,2.0600000000000023,-2.0600000000000023,146656,185469,65666,28462
2016-04-24,40.516,41.38,1.7800000000000011,0.35999999999999943,41.418,42.22,1.3100000000000023,0.0799999999999983,39.816,40.6,1.25,0.14999999999999858,40.858,41.93,1.990000000000002,-0.12999999999999545,190674,202891,37176,1167
2016-05-01,45.112,50.9,12.009999999999998,6.329999999999998,46.976,57.77,17.810000000000002,6.449999999999996,42.362,45.06,6.830000000000005,6.240000000000002,43.764,48.66,10.339999999999996,6.990000000000002,1328641,4235129,3945938,303024
2016-05-08,45.684,46.92,2.6700000000000017,-1.9600000000000009,46.33,47.71,3.0900000000000034,-2.3500000000000014,44.498,45.5,2.3299999999999983,-2.1700000000000017,45.238,46.58,3.0799999999999983,-2.770000000000003,414791,455316,69288,-51059
2016-05-15,43.046,43.61,1.4699999999999989,0.060000000000002274,43.786,44.35,1.3000000000000043,0.23000000000000398,42.39,43.0,0.990000000000002,0.6099999999999994,43.024,43.91,1.4799999999999969,0.36000000000000654,447231,532606,144314,68780
2016-05-22,44.120000000000005,45.11,1.8699999999999974,0.8699999999999974,45.0175,45.5,0.8599999999999994,-0.17999999999999972,43.5825,44.03,1.2700000000000031,1.1900000000000048,44.39,44.96,0.8599999999999994,-0.2600000000000051,256097,275213,30050,-12809
2016-05-29,43.211999999999996,44.14,1.3800000000000026,-1.3800000000000026,44.134,45.39,2.4200000000000017,0.5,42.714,43.57,1.7100000000000009,-0.8100000000000023,43.686,45.1,2.3500000000000014,1.259999999999998,379354,566780,301188,241715
2016-06-05,45.912,46.36,1.259999999999998,0.5399999999999991,46.676,47.24,1.5399999999999991,-0.8999999999999986,45.352,45.98,1.4899999999999949,-0.21999999999999886,46.012,46.82,2.1199999999999974,-1.2399999999999949,344004,417904,138554,-138554
