Date,iShares MSCI ACWI_Open_average,iShares MSCI ACWI_Open_max,iShares MSCI ACWI_Open_volatility,iShares MSCI ACWI_Open_change,iShares MSCI ACWI_High_average,iShares MSCI ACWI_High_max,iShares MSCI ACWI_High_volatility,iShares MSCI ACWI_High_change,iShares MSCI ACWI_Low_average,iShares MSCI ACWI_Low_max,iShares MSCI ACWI_Low_volatility,iShares MSCI ACWI_Low_change,iShares MSCI ACWI_Close_average,iShares MSCI ACWI_Close_max,iShares MSCI ACWI_Close_volatility,iShares MSCI ACWI_Close_change
2016-01-03,52.57,52.57,0.0,0.0,52.67,52.67,0.0,0.0,51.7,51.7,0.0,0.0,52.24,52.24,0.0,0.0
2016-01-10,50.77,50.77,0.0,0.0,51.14,51.14,0.0,0.0,50.29,50.29,0.0,0.0,50.78,50.78,0.0,0.0
2016-01-17,51.63,51.63,0.0,0.0,51.69,51.69,0.0,0.0,50.99,50.99,0.0,0.0,51.05,51.05,0.0,0.0
2016-01-24,52.44,52.44,0.0,0.0,52.97,52.97,0.0,0.0,52.25,52.25,0.0,0.0,52.76,52.76,0.0,0.0
2016-01-31,50.75,50.75,0.0,0.0,50.75,50.75,0.0,0.0,49.91,49.91,0.0,0.0,50.48,50.48,0.0,0.0
2016-02-07,49.93,49.93,0.0,0.0,50.42,50.42,0.0,0.0,49.66,49.66,0.0,0.0,50.39,50.39,0.0,0.0
2016-02-14,52.38,52.38,0.0,0.0,52.77,52.77,0.0,0.0,52.38,52.38,0.0,0.0,52.75,52.75,0.0,0.0
2016-02-21,52.51,52.51,0.0,0.0,52.77,52.77,0.0,0.0,52.18,52.18,0.0,0.0,52.2,52.2,0.0,0.0
2016-02-28,54.22,54.22,0.0,0.0,54.76,54.76,0.0,0.0,54.14,54.14,0.0,0.0,54.6,54.6,0.0,0.0
2016-03-06,55.14,55.14,0.0,0.0,55.37,55.37,0.0,0.0,55.07,55.07,0.0,0.0,55.24,55.24,0.0,0.0
2016-03-13,55.82,55.82,0.0,0.0,56.08,56.08,0.0,0.0,55.78,55.78,0.0,0.0,56.0,56.0,0.0,0.0
2016-03-20,55.44,55.44,0.0,0.0,55.48,55.48,0.0,0.0,55.21,55.21,0.0,0.0,55.4,55.4,0.0,0.0
2016-03-27,56.05,56.05,0.0,0.0,56.13,56.13,0.0,0.0,55.72,55.72,0.0,0.0,55.82,55.82,0.0,0.0
2016-04-03,55.88,55.88,0.0,0.0,56.06,56.06,0.0,0.0,55.52,55.52,0.0,0.0,55.53,55.53,0.0,0.0
2016-04-10,56.76,56.76,0.0,0.0,57.32,57.32,0.0,0.0,56.69,56.69,0.0,0.0,57.31,57.31,0.0,0.0
2016-04-17,57.27,57.27,0.0,0.0,57.34,57.34,0.0,0.0,57.1,57.1,0.0,0.0,57.3,57.3,0.0,0.0
2016-04-24,57.04,57.04,0.0,0.0,57.19,57.19,0.0,0.0,56.84,56.84,0.0,0.0,57.16,57.16,0.0,0.0
2016-05-01,55.96,55.96,0.0,0.0,56.1,56.1,0.0,0.0,55.76,55.76,0.0,0.0,55.85,55.85,0.0,0.0
2016-05-08,55.83,55.83,0.0,0.0,56.39,56.39,0.0,0.0,55.74,55.74,0.0,0.0,56.27,56.27,0.0,0.0
2016-05-15,55.83,55.83,0.0,0.0,55.92,55.92,0.0,0.0,55.71,55.71,0.0,0.0,55.76,55.76,0.0,0.0
2016-05-22,57.02,57.02,0.0,0.0,57.17,57.17,0.0,0.0,57.0,57.0,0.0,0.0,57.14,57.14,0.0,0.0
2016-05-29,57.47,57.47,0.0,0.0,57.8,57.8,0.0,0.0,57.47,57.47,0.0,0.0,57.69,57.69,0.0,0.0
2016-06-05,56.26,56.26,0.0,0.0,56.64,56.64,0.0,0.0,56.07,56.07,0.0,0.0,56.11,56.11,0.0,0.0
2016-06-12,57.08,57.08,0.0,0.0,57.26,57.26,0.0,0.0,56.84,56.84,0.0,0.0,56.88,56.88,0.0,0.0
2016-06-19,53.82,53.82,0.0,0.0,53.82,53.82,0.0,0.0,52.92,52.92,0.0,0.0,53.29,53.29,0.0,0.0
2016-06-26,56.22,56.22,0.0,0.0,56.49,56.49,0.0,0.0,56.2,56.2,0.0,0.0,56.35,56.35,0.0,0.0
2016-07-03,56.87,56.87,0.0,0.0,57.08,57.08,0.0,0.0,56.81,56.81,0.0,0.0,56.95,56.95,0.0,0.0
2016-07-10,57.7,57.7,0.0,0.0,57.95,57.95,0.0,0.0,57.65,57.65,0.0,0.0,57.89,57.89,0.0,0.0
2016-07-17,57.97,57.97,0.0,0.0,58.01,58.01,0.0,0.0,57.66,57.66,0.0,0.0,57.81,57.81,0.0,0.0
