Date,Global X Next Emerging & Frontier_Open_average,Global X Next Emerging & Frontier_Open_max,Global X Next Emerging & Frontier_Open_min,Global X Next Emerging & Frontier_Open_volatility,Global X Next Emerging & Frontier_Open_change,Global X Next Emerging & Frontier_High_average,Global X Next Emerging & Frontier_High_max,Global X Next Emerging & Frontier_High_min,Global X Next Emerging & Frontier_High_volatility,Global X Next Emerging & Frontier_High_change,Global X Next Emerging & Frontier_Low_average,Global X Next Emerging & Frontier_Low_max,Global X Next Emerging & Frontier_Low_min,Global X Next Emerging & Frontier_Low_volatility,Global X Next Emerging & Frontier_Low_change,Global X Next Emerging & Frontier_Close_average,Global X Next Emerging & Frontier_Close_max,Global X Next Emerging & Frontier_Close_min,Global X Next Emerging & Frontier_Close_volatility,Global X Next Emerging & Frontier_Close_change
2018-01-14,25.54,25.54,25.54,0.0,0.0,25.65,25.65,25.65,0.0,0.0,25.54,25.54,25.54,0.0,0.0,25.62,25.62,25.62,0.0,0.0
2018-01-21,25.86,25.86,25.86,0.0,0.0,25.87,25.87,25.87,0.0,0.0,25.73,25.73,25.73,0.0,0.0,25.87,25.87,25.87,0.0,0.0
2018-01-28,24.77,24.77,24.77,0.0,0.0,25.84,25.84,25.84,0.0,0.0,24.49,24.49,24.49,0.0,0.0,24.49,24.49,24.49,0.0,0.0
2018-02-04,24.1,24.1,24.1,0.0,0.0,24.28,24.28,24.28,0.0,0.0,24.06,24.06,24.06,0.0,0.0,24.22,24.22,24.22,0.0,0.0
2018-02-11,25.01,25.01,25.01,0.0,0.0,25.32,25.32,25.32,0.0,0.0,25.01,25.01,25.01,0.0,0.0,25.01,25.01,25.01,0.0,0.0
2018-02-18,25.25,25.25,25.25,0.0,0.0,25.25,25.25,25.25,0.0,0.0,25.05,25.05,25.05,0.0,0.0,25.05,25.05,25.05,0.0,0.0
2018-02-25,24.47,24.47,24.47,0.0,0.0,24.56,24.56,24.56,0.0,0.0,24.47,24.47,24.47,0.0,0.0,24.51,24.51,24.51,0.0,0.0
2018-03-04,25.02,25.02,25.02,0.0,0.0,25.08,25.08,25.08,0.0,0.0,24.89,24.89,24.89,0.0,0.0,24.96,24.96,24.96,0.0,0.0
2018-03-11,24.39,24.39,24.39,0.0,0.0,24.45,24.45,24.45,0.0,0.0,24.27,24.27,24.27,0.0,0.0,24.31,24.31,24.31,0.0,0.0
2018-03-18,24.42,24.42,24.42,0.0,0.0,24.53,24.53,24.53,0.0,0.0,24.24,24.24,24.24,0.0,0.0,24.24,24.24,24.24,0.0,0.0
2018-03-25,24.16,24.16,24.16,0.0,0.0,24.16,24.16,24.16,0.0,0.0,24.15,24.15,24.15,0.0,0.0,24.15,24.15,24.15,0.0,0.0
2018-04-01,24.45,24.45,24.45,0.0,0.0,24.45,24.45,24.45,0.0,0.0,24.26,24.26,24.26,0.0,0.0,24.29,24.29,24.29,0.0,0.0
2018-04-08,24.41,24.41,24.41,0.0,0.0,24.41,24.41,24.41,0.0,0.0,24.41,24.41,24.41,0.0,0.0,24.41,24.41,24.41,0.0,0.0
2018-04-15,24.36,24.36,24.36,0.0,0.0,24.36,24.36,24.36,0.0,0.0,24.3,24.3,24.3,0.0,0.0,24.33,24.33,24.33,0.0,0.0
2018-04-22,23.97,23.97,23.97,0.0,0.0,24.1,24.1,24.1,0.0,0.0,23.97,23.97,23.97,0.0,0.0,24.02,24.02,24.02,0.0,0.0
2018-04-29,23.36,23.36,23.36,0.0,0.0,23.44,23.44,23.44,0.0,0.0,23.36,23.36,23.36,0.0,0.0,23.44,23.44,23.44,0.0,0.0
2018-05-06,23.48,23.48,23.48,0.0,0.0,23.48,23.48,23.48,0.0,0.0,23.4,23.4,23.4,0.0,0.0,23.4,23.4,23.4,0.0,0.0
2018-05-13,22.91,22.91,22.91,0.0,0.0,22.91,22.91,22.91,0.0,0.0,22.75,22.75,22.75,0.0,0.0,22.88,22.88,22.88,0.0,0.0
2018-05-20,22.67,22.67,22.67,0.0,0.0,22.67,22.67,22.67,0.0,0.0,22.63,22.63,22.63,0.0,0.0,22.65,22.65,22.65,0.0,0.0
2018-05-27,22.65,22.65,22.65,0.0,0.0,22.65,22.65,22.65,0.0,0.0,22.65,22.65,22.65,0.0,0.0,22.65,22.65,22.65,0.0,0.0
2018-06-03,22.57,22.57,22.57,0.0,0.0,22.64,22.64,22.64,0.0,0.0,22.55,22.55,22.55,0.0,0.0,22.61,22.61,22.61,0.0,0.0
2018-06-10,21.5,21.5,21.5,0.0,0.0,21.61,21.61,21.61,0.0,0.0,21.5,21.5,21.5,0.0,0.0,21.61,21.61,21.61,0.0,0.0
2018-06-17,21.47,21.47,21.47,0.0,0.0,21.47,21.47,21.47,0.0,0.0,21.43,21.43,21.43,0.0,0.0,21.43,21.43,21.43,0.0,0.0
2018-06-24,21.31,21.31,21.31,0.0,0.0,21.31,21.31,21.31,0.0,0.0,21.12,21.12,21.12,0.0,0.0,21.21,21.21,21.21,0.0,0.0
2018-07-01,22.03,22.03,22.03,0.0,0.0,22.03,22.03,22.03,0.0,0.0,21.96,21.96,21.96,0.0,0.0,21.96,21.96,21.96,0.0,0.0
2018-07-08,21.51,21.51,21.51,0.0,0.0,21.55,21.55,21.55,0.0,0.0,21.51,21.51,21.51,0.0,0.0,21.55,21.55,21.55,0.0,0.0
2018-07-15,21.84,21.84,21.84,0.0,0.0,21.91,21.91,21.91,0.0,0.0,21.84,21.84,21.84,0.0,0.0,21.86,21.86,21.86,0.0,0.0
2018-07-22,22.54,22.54,22.54,0.0,0.0,22.54,22.54,22.54,0.0,0.0,22.54,22.54,22.54,0.0,0.0,22.54,22.54,22.54,0.0,0.0
2018-07-29,21.95,21.95,21.95,0.0,0.0,22.12,22.12,22.12,0.0,0.0,21.95,21.95,21.95,0.0,0.0,22.12,22.12,22.12,0.0,0.0
2018-08-05,21.1,21.1,21.1,0.0,0.0,21.1,21.1,21.1,0.0,0.0,20.9,20.9,20.9,0.0,0.0,20.94,20.94,20.94,0.0,0.0
2018-08-12,20.87,20.87,20.87,0.0,0.0,20.93,20.93,20.93,0.0,0.0,20.87,20.87,20.87,0.0,0.0,20.93,20.93,20.93,0.0,0.0
2018-08-19,21.59,21.59,21.59,0.0,0.0,21.91,21.91,21.91,0.0,0.0,21.59,21.59,21.59,0.0,0.0,21.82,21.82,21.82,0.0,0.0
2018-08-26,21.06,21.06,21.06,0.0,0.0,21.23,21.23,21.23,0.0,0.0,21.06,21.06,21.06,0.0,0.0,21.22,21.22,21.22,0.0,0.0
2018-09-02,20.63,20.63,20.63,0.0,0.0,20.88,20.88,20.88,0.0,0.0,20.57,20.57,20.57,0.0,0.0,20.57,20.57,20.57,0.0,0.0
2018-09-09,21.05,21.05,21.05,0.0,0.0,21.05,21.05,21.05,0.0,0.0,20.92,20.92,20.92,0.0,0.0,20.92,20.92,20.92,0.0,0.0
2018-09-16,21.43,21.43,21.43,0.0,0.0,21.63,21.63,21.63,0.0,0.0,21.43,21.43,21.43,0.0,0.0,21.63,21.63,21.63,0.0,0.0
2018-09-23,21.72,21.72,21.72,0.0,0.0,21.72,21.72,21.72,0.0,0.0,21.5,21.5,21.5,0.0,0.0,21.5,21.5,21.5,0.0,0.0
2018-09-30,20.77,20.77,20.77,0.0,0.0,20.77,20.77,20.77,0.0,0.0,20.72,20.72,20.72,0.0,0.0,20.72,20.72,20.72,0.0,0.0
2018-10-07,20.67,20.67,20.67,0.0,0.0,20.75,20.75,20.75,0.0,0.0,20.66,20.66,20.66,0.0,0.0,20.7,20.7,20.7,0.0,0.0
2018-10-14,20.46,20.46,20.46,0.0,0.0,20.48,20.48,20.48,0.0,0.0,20.45,20.45,20.45,0.0,0.0,20.45,20.45,20.45,0.0,0.0
2018-10-21,19.88,19.88,19.88,0.0,0.0,20.01,20.01,20.01,0.0,0.0,19.87,19.87,19.87,0.0,0.0,19.95,19.95,19.95,0.0,0.0
2018-10-28,20.73,20.73,20.73,0.0,0.0,20.9,20.9,20.9,0.0,0.0,20.73,20.73,20.73,0.0,0.0,20.9,20.9,20.9,0.0,0.0
2018-11-04,20.41,20.41,20.41,0.0,0.0,20.41,20.41,20.41,0.0,0.0,20.26,20.26,20.26,0.0,0.0,20.26,20.26,20.26,0.0,0.0
2018-11-11,20.81,20.81,20.81,0.0,0.0,20.81,20.81,20.81,0.0,0.0,20.54,20.54,20.54,0.0,0.0,20.55,20.55,20.55,0.0,0.0
