Date,APT_Open_average,APT_Open_max,APT_Open_min,APT_Open_volatility,APT_Open_change,APT_High_average,APT_High_max,APT_High_min,APT_High_volatility,APT_High_change,APT_Low_average,APT_Low_max,APT_Low_min,APT_Low_volatility,APT_Low_change,APT_Close_average,APT_Close_max,APT_Close_min,APT_Close_volatility,APT_Close_change,APT_Volume_average,APT_Volume_max,APT_Volume_min,APT_Volume_volatility,APT_Volume_change
2018-01-14,3.81,3.85,3.8,0.050000000000000266,0.0,3.83,3.85,3.8,0.050000000000000266,0.0,3.79,3.8,3.75,0.04999999999999982,0.0,3.81,3.85,3.8,0.050000000000000266,0.050000000000000266,1930,3055,528,2527,-264
2018-01-21,3.82,3.9,3.75,0.1499999999999999,-0.1499999999999999,3.85,3.9,3.8,0.10000000000000009,-0.10000000000000009,3.79,3.85,3.75,0.10000000000000009,-0.10000000000000009,3.81,3.85,3.75,0.10000000000000009,-0.050000000000000266,2268,5453,490,4963,-2610
2018-01-28,3.79,3.85,3.75,0.10000000000000009,0.0,3.83,3.85,3.8,0.050000000000000266,0.0,3.77,3.8,3.75,0.04999999999999982,0.0,3.8012,3.825,3.782,0.04300000000000015,-0.026000000000000245,5673,11936,1285,10651,-190
2018-02-04,3.73,3.8,3.7,0.09999999999999964,-0.04999999999999982,3.76,3.8,3.7,0.09999999999999964,-0.04999999999999982,3.67,3.7,3.6,0.10000000000000009,-0.04999999999999982,3.6932,3.75,3.6,0.1499999999999999,-0.04999999999999982,5029,7834,317,7517,-3640
2018-02-11,3.6750000000000003,3.7,3.6,0.10000000000000009,0.10000000000000009,3.7375,3.8,3.7,0.09999999999999964,0.04999999999999982,3.6625,3.7,3.6,0.10000000000000009,0.10000000000000009,3.71625,3.75,3.7,0.04999999999999982,0.01499999999999968,1536,2745,433,2312,142
2018-02-18,3.66,3.7,3.65,0.050000000000000266,-0.050000000000000266,3.68,3.7,3.65,0.050000000000000266,-0.050000000000000266,3.64,3.65,3.6,0.04999999999999982,-0.04999999999999982,3.67,3.7,3.65,0.050000000000000266,0.0,1368,2400,600,1800,-1386
2018-02-25,3.61,3.7,3.55,0.15000000000000036,-0.15000000000000036,3.63,3.7,3.6,0.10000000000000009,-0.10000000000000009,3.54,3.6,3.5,0.10000000000000009,-0.10000000000000009,3.57,3.65,3.5,0.1499999999999999,-0.10000000000000009,2794,6403,940,5463,-238
2018-03-04,3.51,3.6,3.4,0.20000000000000018,-0.1499999999999999,3.55,3.65,3.45,0.19999999999999973,-0.19999999999999973,3.4899999999999998,3.55,3.35,0.19999999999999973,-0.19999999999999973,3.495,3.55,3.35,0.19999999999999973,-0.19999999999999973,2380,3702,677,3025,1162
2018-03-11,3.37,3.4,3.3,0.10000000000000009,-0.10000000000000009,3.39,3.45,3.3,0.15000000000000036,-0.15000000000000036,3.34,3.4,3.25,0.1499999999999999,-0.1499999999999999,3.37,3.45,3.25,0.20000000000000018,-0.20000000000000018,2539,4875,1400,3475,459
2018-03-18,3.2800000000000002,3.45,3.2,0.25,0.20000000000000018,3.33,3.45,3.25,0.20000000000000018,0.15000000000000036,3.24,3.3,3.2,0.09999999999999964,0.04999999999999982,3.3,3.4,3.2,0.19999999999999973,0.050000000000000266,3684,8028,586,7442,7176
2018-03-25,3.275,3.4,3.2,0.19999999999999973,0.10000000000000009,3.325,3.4,3.25,0.1499999999999999,0.10000000000000009,3.2,3.2,3.2,0.0,0.0,3.2375000000000003,3.35,3.2,0.1499999999999999,0.0,1845,4807,349,4458,-968
2018-04-01,3.2,3.3,3.15,0.1499999999999999,0.050000000000000266,3.245,3.3,3.15,0.1499999999999999,0.125,3.18,3.2,3.15,0.050000000000000266,0.050000000000000266,3.225,3.3,3.15,0.1499999999999999,0.125,1220,2204,208,1996,-1314
2018-04-08,3.28,3.35,3.25,0.10000000000000009,0.0,3.3198,3.35,3.3,0.050000000000000266,0.0,3.26,3.3,3.25,0.04999999999999982,0.0,3.2998,3.3489999999999998,3.25,0.09899999999999975,0.0,502,900,101,799,263
2018-04-15,3.27,3.3,3.25,0.04999999999999982,0.0,3.31,3.35,3.25,0.10000000000000009,-0.10000000000000009,3.26,3.3,3.25,0.04999999999999982,0.0,3.3,3.35,3.25,0.10000000000000009,-0.10000000000000009,333,618,103,515,-6
2018-04-22,3.3,3.35,3.25,0.10000000000000009,0.0,3.32,3.35,3.25,0.10000000000000009,0.0,3.26,3.3,3.25,0.04999999999999982,-0.04999999999999982,3.29,3.35,3.25,0.10000000000000009,0.0,2399,9451,272,9179,-353
2018-04-29,3.37,3.4,3.35,0.04999999999999982,0.0,3.3826,3.4,3.35,0.04999999999999982,0.0129999999999999,3.33,3.35,3.3,0.050000000000000266,0.050000000000000266,3.3426,3.363,3.3,0.06300000000000017,0.0129999999999999,759,2544,99,2445,-759
2018-05-06,3.5,3.75,3.4,0.3500000000000001,0.050000000000000266,3.5836,3.75,3.468,0.28200000000000003,-0.2320000000000002,3.43,3.5,3.4,0.10000000000000009,0.050000000000000266,3.5136,3.7,3.4,0.30000000000000027,-0.2320000000000002,6331,16901,1007,15894,-10222
2018-05-13,3.59,3.8,3.45,0.34999999999999964,0.34999999999999964,3.65,3.8,3.5,0.2999999999999998,0.2999999999999998,3.5,3.6,3.35,0.25,0.1499999999999999,3.56,3.7,3.35,0.3500000000000001,0.20000000000000018,18511,40565,2430,38135,4205
2018-05-20,3.5625,3.8,3.45,0.34999999999999964,-0.34999999999999964,3.5999999999999996,3.8,3.5,0.2999999999999998,-0.25,3.4375,3.45,3.4,0.050000000000000266,0.0,3.5,3.55,3.45,0.09999999999999964,0.0,4736,14604,1033,13571,-12696
2018-05-27,3.52,3.55,3.45,0.09999999999999964,-0.04999999999999982,3.55,3.6,3.5,0.10000000000000009,-0.04999999999999982,3.44,3.45,3.4,0.050000000000000266,-0.050000000000000266,3.48,3.5,3.45,0.04999999999999982,-0.04999999999999982,6148,9933,2847,7086,-2385
2018-06-03,3.43,3.45,3.4,0.050000000000000266,0.0,3.49,3.5,3.45,0.04999999999999982,0.0,3.36,3.4,3.3,0.10000000000000009,0.0,3.42,3.5,3.35,0.1499999999999999,-0.10000000000000009,4465,10918,1906,9012,722
2018-06-10,3.4,3.45,3.35,0.10000000000000009,-0.10000000000000009,3.4,3.45,3.35,0.10000000000000009,-0.10000000000000009,3.32,3.35,3.25,0.10000000000000009,-0.050000000000000266,3.36,3.4,3.3,0.10000000000000009,0.0,4870,8311,1317,6994,3919
2018-06-17,3.36,3.4,3.3,0.10000000000000009,-0.04999999999999982,3.39,3.45,3.35,0.10000000000000009,-0.04999999999999982,3.31,3.35,3.3,0.050000000000000266,-0.050000000000000266,3.35,3.4,3.3,0.10000000000000009,-0.050000000000000266,4744,15540,368,15172,-2833
2018-06-24,3.35,3.4,3.3,0.10000000000000009,0.10000000000000009,3.36,3.4,3.35,0.04999999999999982,0.04999999999999982,3.31,3.35,3.3,0.050000000000000266,0.0,3.34,3.35,3.3,0.050000000000000266,-0.050000000000000266,1347,2051,328,1723,-1723
