Date,PureFunds ISE Mobile Payments_Open_average,PureFunds ISE Mobile Payments_Open_max,PureFunds ISE Mobile Payments_Open_min,PureFunds ISE Mobile Payments_Open_volatility,PureFunds ISE Mobile Payments_Open_change,PureFunds ISE Mobile Payments_High_average,PureFunds ISE Mobile Payments_High_max,PureFunds ISE Mobile Payments_High_min,PureFunds ISE Mobile Payments_High_volatility,PureFunds ISE Mobile Payments_High_change,PureFunds ISE Mobile Payments_Low_average,PureFunds ISE Mobile Payments_Low_max,PureFunds ISE Mobile Payments_Low_min,PureFunds ISE Mobile Payments_Low_volatility,PureFunds ISE Mobile Payments_Low_change,PureFunds ISE Mobile Payments_Close_average,PureFunds ISE Mobile Payments_Close_max,PureFunds ISE Mobile Payments_Close_min,PureFunds ISE Mobile Payments_Close_volatility,PureFunds ISE Mobile Payments_Close_change
2018-01-14,37.61,37.61,37.61,0.0,0.0,38.0,38.0,38.0,0.0,0.0,37.52,37.52,37.52,0.0,0.0,38.0,38.0,38.0,0.0,0.0
2018-01-21,38.45,38.45,38.45,0.0,0.0,38.49,38.49,38.49,0.0,0.0,38.12,38.12,38.12,0.0,0.0,38.17,38.17,38.17,0.0,0.0
2018-01-28,36.63,36.63,36.63,0.0,0.0,37.0,37.0,37.0,0.0,0.0,35.42,35.42,35.42,0.0,0.0,35.55,35.55,35.55,0.0,0.0
2018-02-04,35.27,35.27,35.27,0.0,0.0,35.66,35.66,35.66,0.0,0.0,35.17,35.17,35.17,0.0,0.0,35.55,35.55,35.55,0.0,0.0
2018-02-11,36.76,36.76,36.76,0.0,0.0,37.2,37.2,37.2,0.0,0.0,36.75,36.75,36.75,0.0,0.0,36.99,36.99,36.99,0.0,0.0
2018-02-18,37.3,37.3,37.3,0.0,0.0,37.37,37.37,37.37,0.0,0.0,37.02,37.02,37.02,0.0,0.0,37.36,37.36,37.36,0.0,0.0
2018-02-25,36.44,36.44,36.44,0.0,0.0,37.2,37.2,37.2,0.0,0.0,36.39,36.39,36.39,0.0,0.0,37.07,37.07,37.07,0.0,0.0
2018-03-04,37.98,37.98,37.98,0.0,0.0,38.11,38.11,38.11,0.0,0.0,37.91,37.91,37.91,0.0,0.0,37.94,37.94,37.94,0.0,0.0
2018-03-11,37.78,37.78,37.78,0.0,0.0,37.78,37.78,37.78,0.0,0.0,37.03,37.03,37.03,0.0,0.0,37.43,37.43,37.43,0.0,0.0
2018-03-18,36.37,36.37,36.37,0.0,0.0,36.65,36.65,36.65,0.0,0.0,36.02,36.02,36.02,0.0,0.0,36.59,36.59,36.59,0.0,0.0
