Date,UBS ETRACS ProShares Daily 3x Inverse Crude_Open_average,UBS ETRACS ProShares Daily 3x Inverse Crude_Open_max,UBS ETRACS ProShares Daily 3x Inverse Crude_Open_min,UBS ETRACS ProShares Daily 3x Inverse Crude_Open_volatility,UBS ETRACS ProShares Daily 3x Inverse Crude_Open_change,UBS ETRACS ProShares Daily 3x Inverse Crude_High_average,UBS ETRACS ProShares Daily 3x Inverse Crude_High_max,UBS ETRACS ProShares Daily 3x Inverse Crude_High_min,UBS ETRACS ProShares Daily 3x Inverse Crude_High_volatility,UBS ETRACS ProShares Daily 3x Inverse Crude_High_change,UBS ETRACS ProShares Daily 3x Inverse Crude_Low_average,UBS ETRACS ProShares Daily 3x Inverse Crude_Low_max,UBS ETRACS ProShares Daily 3x Inverse Crude_Low_min,UBS ETRACS ProShares Daily 3x Inverse Crude_Low_volatility,UBS ETRACS ProShares Daily 3x Inverse Crude_Low_change,UBS ETRACS ProShares Daily 3x Inverse Crude_Close_average,UBS ETRACS ProShares Daily 3x Inverse Crude_Close_max,UBS ETRACS ProShares Daily 3x Inverse Crude_Close_min,UBS ETRACS ProShares Daily 3x Inverse Crude_Close_volatility,UBS ETRACS ProShares Daily 3x Inverse Crude_Close_change
2018-01-14,13.05,13.05,13.05,0.0,0.0,13.1,13.1,13.1,0.0,0.0,12.91,12.91,12.91,0.0,0.0,12.96,12.96,12.96,0.0,0.0
2018-01-21,11.75,11.75,11.75,0.0,0.0,11.82,11.82,11.82,0.0,0.0,11.62,11.62,11.62,0.0,0.0,11.72,11.72,11.72,0.0,0.0
2018-01-28,11.94,11.94,11.94,0.0,0.0,12.67,12.67,12.67,0.0,0.0,11.84,11.84,11.84,0.0,0.0,12.6,12.6,12.6,0.0,0.0
2018-02-04,15.0,15.0,15.0,0.0,0.0,15.41,15.41,15.41,0.0,0.0,14.75,14.75,14.75,0.0,0.0,15.41,15.41,15.41,0.0,0.0
2018-02-11,14.04,14.04,14.04,0.0,0.0,14.04,14.04,14.04,0.0,0.0,13.47,13.47,13.47,0.0,0.0,13.66,13.66,13.66,0.0,0.0
2018-02-18,12.39,12.39,12.39,0.0,0.0,12.4,12.4,12.4,0.0,0.0,11.91,11.91,11.91,0.0,0.0,12.01,12.01,12.01,0.0,0.0
2018-02-25,13.64,13.64,13.64,0.0,0.0,13.64,13.64,13.64,0.0,0.0,12.7,12.7,12.7,0.0,0.0,12.72,12.72,12.72,0.0,0.0
2018-03-04,13.19,13.19,13.19,0.0,0.0,13.69,13.69,13.69,0.0,0.0,13.16,13.16,13.16,0.0,0.0,13.26,13.26,13.26,0.0,0.0
2018-03-11,12.63,12.63,12.63,0.0,0.0,13.03,13.03,13.03,0.0,0.0,12.6,12.6,12.6,0.0,0.0,12.64,12.64,12.64,0.0,0.0
2018-03-18,10.69,10.69,10.69,0.0,0.0,10.9,10.9,10.9,0.0,0.0,10.62,10.62,10.62,0.0,0.0,10.72,10.72,10.72,0.0,0.0
2018-03-25,11.38,11.38,11.38,0.0,0.0,11.94,11.94,11.94,0.0,0.0,11.38,11.38,11.38,0.0,0.0,11.87,11.87,11.87,0.0,0.0
