Date,ProShares Equities for Rising Rates_etf_Open_average,ProShares Equities for Rising Rates_etf_Open_max,ProShares Equities for Rising Rates_etf_Open_min,ProShares Equities for Rising Rates_etf_Open_volatility,ProShares Equities for Rising Rates_etf_Open_change,ProShares Equities for Rising Rates_etf_High_average,ProShares Equities for Rising Rates_etf_High_max,ProShares Equities for Rising Rates_etf_High_min,ProShares Equities for Rising Rates_etf_High_volatility,ProShares Equities for Rising Rates_etf_High_change,ProShares Equities for Rising Rates_etf_Low_average,ProShares Equities for Rising Rates_etf_Low_max,ProShares Equities for Rising Rates_etf_Low_min,ProShares Equities for Rising Rates_etf_Low_volatility,ProShares Equities for Rising Rates_etf_Low_change,ProShares Equities for Rising Rates_etf_Close_average,ProShares Equities for Rising Rates_etf_Close_max,ProShares Equities for Rising Rates_etf_Close_min,ProShares Equities for Rising Rates_etf_Close_volatility,ProShares Equities for Rising Rates_etf_Close_change
2018-04-29,47.76,47.76,47.76,0.0,0.0,48.57,48.57,48.57,0.0,0.0,47.76,47.76,47.76,0.0,0.0,48.57,48.57,48.57,0.0,0.0
2018-05-06,50.21,50.21,50.21,0.0,0.0,50.21,50.21,50.21,0.0,0.0,50.1,50.1,50.1,0.0,0.0,50.1,50.1,50.1,0.0,0.0
2018-05-13,50.86,50.86,50.86,0.0,0.0,50.99,50.99,50.99,0.0,0.0,50.86,50.86,50.86,0.0,0.0,50.93,50.93,50.93,0.0,0.0
2018-05-20,50.23,50.23,50.23,0.0,0.0,50.24,50.24,50.24,0.0,0.0,49.9,49.9,49.9,0.0,0.0,49.9,49.9,49.9,0.0,0.0
2018-05-27,49.56,49.56,49.56,0.0,0.0,50.36,50.36,50.36,0.0,0.0,49.56,49.56,49.56,0.0,0.0,50.24,50.24,50.24,0.0,0.0
2018-06-03,50.96,50.96,50.96,0.0,0.0,51.07,51.07,51.07,0.0,0.0,50.91,50.91,50.91,0.0,0.0,51.07,51.07,51.07,0.0,0.0
2018-06-10,50.55,50.55,50.55,0.0,0.0,50.55,50.55,50.55,0.0,0.0,49.99,49.99,49.99,0.0,0.0,50.0,50.0,50.0,0.0,0.0
2018-06-17,49.62,49.62,49.62,0.0,0.0,49.62,49.62,49.62,0.0,0.0,49.62,49.62,49.62,0.0,0.0,49.62,49.62,49.62,0.0,0.0
2018-06-24,48.35,48.35,48.35,0.0,0.0,48.35,48.35,48.35,0.0,0.0,48.09,48.09,48.09,0.0,0.0,48.09,48.09,48.09,0.0,0.0
2018-07-01,48.14,48.14,48.14,0.0,0.0,48.42,48.42,48.42,0.0,0.0,48.14,48.14,48.14,0.0,0.0,48.39,48.39,48.39,0.0,0.0
2018-07-08,48.64,48.64,48.64,0.0,0.0,48.72,48.72,48.72,0.0,0.0,48.64,48.64,48.64,0.0,0.0,48.72,48.72,48.72,0.0,0.0
2018-07-15,48.95,48.95,48.95,0.0,0.0,48.95,48.95,48.95,0.0,0.0,48.91,48.91,48.91,0.0,0.0,48.91,48.91,48.91,0.0,0.0
2018-07-22,50.01,50.01,50.01,0.0,0.0,50.01,50.01,50.01,0.0,0.0,49.8,49.8,49.8,0.0,0.0,49.84,49.84,49.84,0.0,0.0
2018-07-29,49.64,49.64,49.64,0.0,0.0,49.72,49.72,49.72,0.0,0.0,49.64,49.64,49.64,0.0,0.0,49.71,49.71,49.71,0.0,0.0
2018-08-05,50.12,50.12,50.12,0.0,0.0,50.12,50.12,50.12,0.0,0.0,49.7,49.7,49.7,0.0,0.0,49.7,49.7,49.7,0.0,0.0
2018-08-12,48.61,48.61,48.61,0.0,0.0,49.1,49.1,49.1,0.0,0.0,48.61,48.61,48.61,0.0,0.0,49.1,49.1,49.1,0.0,0.0
2018-08-19,49.9,49.9,49.9,0.0,0.0,50.33,50.33,50.33,0.0,0.0,49.9,49.9,49.9,0.0,0.0,50.33,50.33,50.33,0.0,0.0
2018-08-26,50.46,50.46,50.46,0.0,0.0,50.59,50.59,50.59,0.0,0.0,50.46,50.46,50.46,0.0,0.0,50.56,50.56,50.56,0.0,0.0
2018-09-02,50.16,50.16,50.16,0.0,0.0,50.16,50.16,50.16,0.0,0.0,49.76,49.76,49.76,0.0,0.0,49.86,49.86,49.86,0.0,0.0
2018-09-09,50.37,50.37,50.37,0.0,0.0,50.38,50.38,50.38,0.0,0.0,50.18,50.18,50.18,0.0,0.0,50.32,50.32,50.32,0.0,0.0
2018-09-16,50.83,50.83,50.83,0.0,0.0,50.9,50.9,50.9,0.0,0.0,50.83,50.83,50.83,0.0,0.0,50.88,50.88,50.88,0.0,0.0
2018-09-23,49.67,49.67,49.67,0.0,0.0,49.81,49.81,49.81,0.0,0.0,49.67,49.67,49.67,0.0,0.0,49.76,49.76,49.76,0.0,0.0
2018-09-30,50.03,50.03,50.03,0.0,0.0,50.04,50.04,50.04,0.0,0.0,49.49,49.49,49.49,0.0,0.0,49.55,49.55,49.55,0.0,0.0
2018-10-07,46.22,46.22,46.22,0.0,0.0,46.86,46.86,46.86,0.0,0.0,45.99,45.99,45.99,0.0,0.0,46.5,46.5,46.5,0.0,0.0
2018-10-14,45.16,45.16,45.16,0.0,0.0,45.58,45.58,45.58,0.0,0.0,45.13,45.13,45.13,0.0,0.0,45.13,45.13,45.13,0.0,0.0
2018-10-21,42.36,42.36,42.36,0.0,0.0,43.04,43.04,43.04,0.0,0.0,41.95,41.95,41.95,0.0,0.0,42.64,42.64,42.64,0.0,0.0
2018-10-28,44.51,44.51,44.51,0.0,0.0,44.68,44.68,44.68,0.0,0.0,44.45,44.45,44.45,0.0,0.0,44.68,44.68,44.68,0.0,0.0
2018-11-04,45.77,45.77,45.77,0.0,0.0,46.03,46.03,46.03,0.0,0.0,45.56,45.56,45.56,0.0,0.0,45.56,45.56,45.56,0.0,0.0
2018-11-11,44.09,44.09,44.09,0.0,0.0,44.15,44.15,44.15,0.0,0.0,44.04,44.04,44.04,0.0,0.0,44.15,44.15,44.15,0.0,0.0
2018-11-18,42.59,42.59,42.59,0.0,0.0,42.59,42.59,42.59,0.0,0.0,42.4,42.4,42.4,0.0,0.0,42.4,42.4,42.4,0.0,0.0
2018-11-25,43.53,43.53,43.53,0.0,0.0,43.53,43.53,43.53,0.0,0.0,43.53,43.53,43.53,0.0,0.0,43.53,43.53,43.53,0.0,0.0
2018-12-02,41.68,41.68,41.68,0.0,0.0,41.68,41.68,41.68,0.0,0.0,40.54,40.54,40.54,0.0,0.0,40.68,40.68,40.68,0.0,0.0
2018-12-09,39.0,39.0,39.0,0.0,0.0,39.0,39.0,39.0,0.0,0.0,38.69,38.69,38.69,0.0,0.0,38.69,38.69,38.69,0.0,0.0
2018-12-16,37.1,37.1,37.1,0.0,0.0,37.1,37.1,37.1,0.0,0.0,36.97,36.97,36.97,0.0,0.0,37.08,37.08,37.08,0.0,0.0
2018-12-23,36.88,36.88,36.88,0.0,0.0,37.13,37.13,37.13,0.0,0.0,36.88,36.88,36.88,0.0,0.0,37.13,37.13,37.13,0.0,0.0
2018-12-30,38.15,38.15,38.15,0.0,0.0,38.66,38.66,38.66,0.0,0.0,38.15,38.15,38.15,0.0,0.0,38.66,38.66,38.66,0.0,0.0
2019-01-06,40.07,40.07,40.07,0.0,0.0,40.33,40.33,40.33,0.0,0.0,40.07,40.07,40.07,0.0,0.0,40.33,40.33,40.33,0.0,0.0
2019-01-13,41.56,41.56,41.56,0.0,0.0,42.07,42.07,42.07,0.0,0.0,41.56,41.56,41.56,0.0,0.0,42.03,42.03,42.03,0.0,0.0
2019-01-20,41.89,41.89,41.89,0.0,0.0,42.1,42.1,42.1,0.0,0.0,41.89,41.89,41.89,0.0,0.0,42.1,42.1,42.1,0.0,0.0
2019-01-27,41.93,41.93,41.93,0.0,0.0,42.24,42.24,42.24,0.0,0.0,41.93,41.93,41.93,0.0,0.0,42.24,42.24,42.24,0.0,0.0
2019-02-03,41.31,41.31,41.31,0.0,0.0,41.31,41.31,41.31,0.0,0.0,40.96,40.96,40.96,0.0,0.0,40.96,40.96,40.96,0.0,0.0
2019-02-10,42.95,42.95,42.95,0.0,0.0,43.05,43.05,43.05,0.0,0.0,42.87,42.87,42.87,0.0,0.0,43.05,43.05,43.05,0.0,0.0
2019-02-17,43.24,43.24,43.24,0.0,0.0,43.24,43.24,43.24,0.0,0.0,43.24,43.24,43.24,0.0,0.0,43.24,43.24,43.24,0.0,0.0
2019-02-24,42.72,42.72,42.72,0.0,0.0,42.88,42.88,42.88,0.0,0.0,42.72,42.72,42.72,0.0,0.0,42.88,42.88,42.88,0.0,0.0
2019-03-03,40.77,40.77,40.77,0.0,0.0,40.8,40.8,40.8,0.0,0.0,40.74,40.74,40.74,0.0,0.0,40.74,40.74,40.74,0.0,0.0
2019-03-10,42.39,42.39,42.39,0.0,0.0,42.39,42.39,42.39,0.0,0.0,42.39,42.39,42.39,0.0,0.0,42.39,42.39,42.39,0.0,0.0
2019-03-17,40.44,40.44,40.44,0.0,0.0,40.74,40.74,40.74,0.0,0.0,40.4,40.4,40.4,0.0,0.0,40.4,40.4,40.4,0.0,0.0
2019-03-24,40.86,40.86,40.86,0.0,0.0,41.26,41.26,41.26,0.0,0.0,40.86,40.86,40.86,0.0,0.0,41.16,41.16,41.16,0.0,0.0
2019-03-31,42.35,42.35,42.35,0.0,0.0,42.95,42.95,42.95,0.0,0.0,42.35,42.35,42.35,0.0,0.0,42.89,42.89,42.89,0.0,0.0
2019-04-07,43.04,43.04,43.04,0.0,0.0,43.04,43.04,43.04,0.0,0.0,43.04,43.04,43.04,0.0,0.0,43.04,43.04,43.04,0.0,0.0
2019-04-14,43.44,43.44,43.44,0.0,0.0,43.44,43.44,43.44,0.0,0.0,43.25,43.25,43.25,0.0,0.0,43.39,43.39,43.39,0.0,0.0
2019-04-21,42.75,42.75,42.75,0.0,0.0,43.07,43.07,43.07,0.0,0.0,42.7,42.7,42.7,0.0,0.0,43.07,43.07,43.07,0.0,0.0
2019-04-28,42.78,42.78,42.78,0.0,0.0,42.78,42.78,42.78,0.0,0.0,42.78,42.78,42.78,0.0,0.0,42.78,42.78,42.78,0.0,0.0
2019-05-05,41.01,41.01,41.01,0.0,0.0,41.49,41.49,41.49,0.0,0.0,40.87,40.87,40.87,0.0,0.0,41.49,41.49,41.49,0.0,0.0
2019-05-12,40.52,40.52,40.52,0.0,0.0,41.01,41.01,41.01,0.0,0.0,40.52,40.52,40.52,0.0,0.0,40.93,40.93,40.93,0.0,0.0
2019-05-19,39.44,39.44,39.44,0.0,0.0,39.44,39.44,39.44,0.0,0.0,39.44,39.44,39.44,0.0,0.0,39.44,39.44,39.44,0.0,0.0
2019-05-26,38.02,38.02,38.02,0.0,0.0,38.02,38.02,38.02,0.0,0.0,37.8,37.8,37.8,0.0,0.0,37.8,37.8,37.8,0.0,0.0
2019-06-02,39.6,39.6,39.6,0.0,0.0,39.62,39.62,39.62,0.0,0.0,39.51,39.51,39.51,0.0,0.0,39.62,39.62,39.62,0.0,0.0
2019-06-09,40.02,40.02,40.02,0.0,0.0,40.02,40.02,40.02,0.0,0.0,39.64,39.64,39.64,0.0,0.0,39.72,39.72,39.72,0.0,0.0
2019-06-16,41.03,41.03,41.03,0.0,0.0,41.03,41.03,41.03,0.0,0.0,41.03,41.03,41.03,0.0,0.0,41.03,41.03,41.03,0.0,0.0
2019-06-23,40.94,40.94,40.94,0.0,0.0,41.18,41.18,41.18,0.0,0.0,40.94,40.94,40.94,0.0,0.0,41.18,41.18,41.18,0.0,0.0
2019-06-30,41.39,41.39,41.39,0.0,0.0,41.4,41.4,41.4,0.0,0.0,41.13,41.13,41.13,0.0,0.0,41.13,41.13,41.13,0.0,0.0
2019-07-07,41.2,41.2,41.2,0.0,0.0,41.55,41.55,41.55,0.0,0.0,41.2,41.2,41.2,0.0,0.0,41.55,41.55,41.55,0.0,0.0
2019-07-14,40.91,40.91,40.91,0.0,0.0,40.91,40.91,40.91,0.0,0.0,40.91,40.91,40.91,0.0,0.0,40.91,40.91,40.91,0.0,0.0
2019-07-21,41.55,41.55,41.55,0.0,0.0,41.78,41.78,41.78,0.0,0.0,41.55,41.55,41.55,0.0,0.0,41.78,41.78,41.78,0.0,0.0
2019-07-28,39.8,39.8,39.8,0.0,0.0,39.8,39.8,39.8,0.0,0.0,38.91,38.91,38.91,0.0,0.0,39.36,39.36,39.36,0.0,0.0
2019-08-04,37.79,37.79,37.79,0.0,0.0,37.79,37.79,37.79,0.0,0.0,37.79,37.79,37.79,0.0,0.0,37.79,37.79,37.79,0.0,0.0
2019-08-11,36.61,36.61,36.61,0.0,0.0,36.61,36.61,36.61,0.0,0.0,36.61,36.61,36.61,0.0,0.0,36.61,36.61,36.61,0.0,0.0
2019-08-18,37.01,37.01,37.01,0.0,0.0,37.08,37.08,37.08,0.0,0.0,35.87,35.87,35.87,0.0,0.0,35.91,35.91,35.91,0.0,0.0
2019-08-25,37.62,37.62,37.62,0.0,0.0,37.62,37.62,37.62,0.0,0.0,37.5,37.5,37.5,0.0,0.0,37.52,37.52,37.52,0.0,0.0
2019-09-01,38.42,38.42,38.42,0.0,0.0,38.49,38.49,38.49,0.0,0.0,38.42,38.42,38.42,0.0,0.0,38.49,38.49,38.49,0.0,0.0
2019-09-08,40.69,40.69,40.69,0.0,0.0,41.2,41.2,41.2,0.0,0.0,40.69,40.69,40.69,0.0,0.0,41.07,41.07,41.07,0.0,0.0
2019-09-15,40.55,40.55,40.55,0.0,0.0,40.55,40.55,40.55,0.0,0.0,40.54,40.54,40.54,0.0,0.0,40.54,40.54,40.54,0.0,0.0
2019-09-22,39.67,39.67,39.67,0.0,0.0,39.68,39.68,39.68,0.0,0.0,39.62,39.62,39.62,0.0,0.0,39.63,39.63,39.63,0.0,0.0
2019-09-29,37.29,37.29,37.29,0.0,0.0,37.29,37.29,37.29,0.0,0.0,37.29,37.29,37.29,0.0,0.0,37.29,37.29,37.29,0.0,0.0
2019-10-06,38.8,38.8,38.8,0.0,0.0,38.8,38.8,38.8,0.0,0.0,38.8,38.8,38.8,0.0,0.0,38.8,38.8,38.8,0.0,0.0
2019-10-13,39.18,39.18,39.18,0.0,0.0,39.18,39.18,39.18,0.0,0.0,39.18,39.18,39.18,0.0,0.0,39.18,39.18,39.18,0.0,0.0
2019-10-20,40.51,40.51,40.51,0.0,0.0,40.51,40.51,40.51,0.0,0.0,40.51,40.51,40.51,0.0,0.0,40.51,40.51,40.51,0.0,0.0
2019-10-27,40.64,40.64,40.64,0.0,0.0,41.0,41.0,41.0,0.0,0.0,40.64,40.64,40.64,0.0,0.0,41.0,41.0,41.0,0.0,0.0
2019-11-03,42.26,42.26,42.26,0.0,0.0,42.58,42.58,42.58,0.0,0.0,42.26,42.26,42.26,0.0,0.0,42.58,42.58,42.58,0.0,0.0
2019-11-10,41.97,41.97,41.97,0.0,0.0,41.97,41.97,41.97,0.0,0.0,41.97,41.97,41.97,0.0,0.0,41.97,41.97,41.97,0.0,0.0
2019-11-17,41.5,41.5,41.5,0.0,0.0,41.5,41.5,41.5,0.0,0.0,41.5,41.5,41.5,0.0,0.0,41.5,41.5,41.5,0.0,0.0
2019-11-24,42.44,42.44,42.44,0.0,0.0,42.45,42.45,42.45,0.0,0.0,42.44,42.44,42.44,0.0,0.0,42.45,42.45,42.45,0.0,0.0
2019-12-01,41.7,41.7,41.7,0.0,0.0,41.78,41.78,41.78,0.0,0.0,41.68,41.68,41.68,0.0,0.0,41.78,41.78,41.78,0.0,0.0
2019-12-08,43.45,43.45,43.45,0.0,0.0,43.48,43.48,43.48,0.0,0.0,43.45,43.45,43.45,0.0,0.0,43.48,43.48,43.48,0.0,0.0
2019-12-15,43.84,43.84,43.84,0.0,0.0,43.84,43.84,43.84,0.0,0.0,43.84,43.84,43.84,0.0,0.0,43.84,43.84,43.84,0.0,0.0
2019-12-22,43.63,43.63,43.63,0.0,0.0,43.63,43.63,43.63,0.0,0.0,43.56,43.56,43.56,0.0,0.0,43.56,43.56,43.56,0.0,0.0
2019-12-29,43.56,43.56,43.56,0.0,0.0,43.56,43.56,43.56,0.0,0.0,43.56,43.56,43.56,0.0,0.0,43.56,43.56,43.56,0.0,0.0
