Date,Direxion Daily Semiconductor Bull 3X Shares_Open_average,Direxion Daily Semiconductor Bull 3X Shares_Open_max,Direxion Daily Semiconductor Bull 3X Shares_Open_min,Direxion Daily Semiconductor Bull 3X Shares_Open_volatility,Direxion Daily Semiconductor Bull 3X Shares_Open_change,Direxion Daily Semiconductor Bull 3X Shares_High_average,Direxion Daily Semiconductor Bull 3X Shares_High_max,Direxion Daily Semiconductor Bull 3X Shares_High_min,Direxion Daily Semiconductor Bull 3X Shares_High_volatility,Direxion Daily Semiconductor Bull 3X Shares_High_change,Direxion Daily Semiconductor Bull 3X Shares_Low_average,Direxion Daily Semiconductor Bull 3X Shares_Low_max,Direxion Daily Semiconductor Bull 3X Shares_Low_min,Direxion Daily Semiconductor Bull 3X Shares_Low_volatility,Direxion Daily Semiconductor Bull 3X Shares_Low_change,Direxion Daily Semiconductor Bull 3X Shares_Close_average,Direxion Daily Semiconductor Bull 3X Shares_Close_max,Direxion Daily Semiconductor Bull 3X Shares_Close_min,Direxion Daily Semiconductor Bull 3X Shares_Close_volatility,Direxion Daily Semiconductor Bull 3X Shares_Close_change
2018-01-14,180.72,180.72,180.72,0.0,0.0,181.53,181.53,181.53,0.0,0.0,175.74,175.74,175.74,0.0,0.0,179.11,179.11,179.11,0.0,0.0
2018-01-21,172.0,172.0,172.0,0.0,0.0,181.25,181.25,181.25,0.0,0.0,171.0,171.0,171.0,0.0,0.0,181.13,181.13,181.13,0.0,0.0
2018-01-28,166.04,166.04,166.04,0.0,0.0,167.4,167.4,167.4,0.0,0.0,157.0,157.0,157.0,0.0,0.0,157.03,157.03,157.03,0.0,0.0
2018-02-04,131.36,131.36,131.36,0.0,0.0,135.54,135.54,135.54,0.0,0.0,117.31,117.31,117.31,0.0,0.0,133.44,133.44,133.44,0.0,0.0
2018-02-11,152.36,152.36,152.36,0.0,0.0,159.07,159.07,159.07,0.0,0.0,152.28,152.28,152.28,0.0,0.0,153.46,153.46,153.46,0.0,0.0
2018-02-18,158.81,158.81,158.81,0.0,0.0,164.83,164.83,164.83,0.0,0.0,158.35,158.35,158.35,0.0,0.0,164.83,164.83,164.83,0.0,0.0
2018-02-25,153.87,153.87,153.87,0.0,0.0,169.97,169.97,169.97,0.0,0.0,153.87,153.87,153.87,0.0,0.0,169.08,169.08,169.08,0.0,0.0
2018-03-04,186.92,186.92,186.92,0.0,0.0,195.25,195.25,195.25,0.0,0.0,186.59,186.59,186.59,0.0,0.0,195.2,195.2,195.2,0.0,0.0
2018-03-11,192.09,192.09,192.09,0.0,0.0,194.46,194.46,194.46,0.0,0.0,190.23,190.23,190.23,0.0,0.0,191.09,191.09,191.09,0.0,0.0
2018-03-18,169.27,169.27,169.27,0.0,0.0,170.58,170.58,170.58,0.0,0.0,153.22,153.22,153.22,0.0,0.0,153.22,153.22,153.22,0.0,0.0
2018-03-25,146.83,146.83,146.83,0.0,0.0,156.83,156.83,156.83,0.0,0.0,143.15,143.15,143.15,0.0,0.0,152.82,152.82,152.82,0.0,0.0
2018-04-01,137.56,137.56,137.56,0.0,0.0,142.49,142.49,142.49,0.0,0.0,128.83,128.83,128.83,0.0,0.0,130.63,130.63,130.63,0.0,0.0
2018-04-08,159.86,159.86,159.86,0.0,0.0,160.16,160.16,160.16,0.0,0.0,148.75,148.75,148.75,0.0,0.0,150.56,150.56,150.56,0.0,0.0
2018-04-15,135.0,135.0,135.0,0.0,0.0,137.0,137.0,137.0,0.0,0.0,128.39,128.39,128.39,0.0,0.0,130.23,130.23,130.23,0.0,0.0
2018-04-22,133.56,133.56,133.56,0.0,0.0,133.98,133.98,133.98,0.0,0.0,124.28,124.28,124.28,0.0,0.0,126.09,126.09,126.09,0.0,0.0
2018-04-29,125.72,125.72,125.72,0.0,0.0,138.15,138.15,138.15,0.0,0.0,124.64,124.64,124.64,0.0,0.0,137.72,137.72,137.72,0.0,0.0
2018-05-06,155.67,155.67,155.67,0.0,0.0,159.5,159.5,159.5,0.0,0.0,154.13,154.13,154.13,0.0,0.0,155.0,155.0,155.0,0.0,0.0
2018-05-13,155.89,155.89,155.89,0.0,0.0,156.48,156.48,156.48,0.0,0.0,151.42,151.42,151.42,0.0,0.0,153.06,153.06,153.06,0.0,0.0
2018-05-20,164.5,164.5,164.5,0.0,0.0,169.23,169.23,169.23,0.0,0.0,163.63,163.63,163.63,0.0,0.0,168.82,168.82,168.82,0.0,0.0
2018-05-27,168.88,168.88,168.88,0.0,0.0,176.36,176.36,176.36,0.0,0.0,167.65,167.65,167.65,0.0,0.0,176.28,176.28,176.28,0.0,0.0
2018-06-03,175.1,175.1,175.1,0.0,0.0,177.78,177.78,177.78,0.0,0.0,172.21,172.21,172.21,0.0,0.0,176.78,176.78,176.78,0.0,0.0
2018-06-10,176.09,176.09,176.09,0.0,0.0,180.59,180.59,180.59,0.0,0.0,175.25,175.25,175.25,0.0,0.0,180.24,180.24,180.24,0.0,0.0
2018-06-17,166.95,166.95,166.95,0.0,0.0,167.82,167.82,167.82,0.0,0.0,159.84,159.84,159.84,0.0,0.0,161.0,161.0,161.0,0.0,0.0
2018-06-24,144.05,144.05,144.05,0.0,0.0,146.66,146.66,146.66,0.0,0.0,141.5,141.5,141.5,0.0,0.0,141.5,141.5,141.5,0.0,0.0
2018-07-01,146.34,146.34,146.34,0.0,0.0,153.11,153.11,153.11,0.0,0.0,144.58,144.58,144.58,0.0,0.0,152.51,152.51,152.51,0.0,0.0
2018-07-08,151.2,151.2,151.2,0.0,0.0,151.78,151.78,151.78,0.0,0.0,148.27,148.27,148.27,0.0,0.0,149.02,149.02,149.02,0.0,0.0
2018-07-15,155.9,155.9,155.9,0.0,0.0,157.67,157.67,157.67,0.0,0.0,152.5,152.5,152.5,0.0,0.0,154.88,154.88,154.88,0.0,0.0
2018-07-22,161.5,161.5,161.5,0.0,0.0,165.68,165.68,165.68,0.0,0.0,155.31,155.31,155.31,0.0,0.0,158.86,158.86,158.86,0.0,0.0
2018-07-29,161.26,161.26,161.26,0.0,0.0,162.6,162.6,162.6,0.0,0.0,159.0,159.0,159.0,0.0,0.0,162.0,162.0,162.0,0.0,0.0
2018-08-05,155.74,155.74,155.74,0.0,0.0,156.91,156.91,156.91,0.0,0.0,150.37,150.37,150.37,0.0,0.0,152.55,152.55,152.55,0.0,0.0
2018-08-12,141.11,141.11,141.11,0.0,0.0,143.24,143.24,143.24,0.0,0.0,135.8,135.8,135.8,0.0,0.0,142.06,142.06,142.06,0.0,0.0
2018-08-19,154.44,154.44,154.44,0.0,0.0,159.29,159.29,159.29,0.0,0.0,154.4,154.4,154.4,0.0,0.0,159.17,159.17,159.17,0.0,0.0
2018-08-26,164.0,164.0,164.0,0.0,0.0,168.63,168.63,168.63,0.0,0.0,164.0,164.0,164.0,0.0,0.0,168.0,168.0,168.0,0.0,0.0
2018-09-02,154.0,154.0,154.0,0.0,0.0,160.75,160.75,160.75,0.0,0.0,152.75,152.75,152.75,0.0,0.0,153.91,153.91,153.91,0.0,0.0
2018-09-09,156.8,156.8,156.8,0.0,0.0,160.8,160.8,160.8,0.0,0.0,155.18,155.18,155.18,0.0,0.0,159.13,159.13,159.13,0.0,0.0
2018-09-16,162.53,162.53,162.53,0.0,0.0,164.8,164.8,164.8,0.0,0.0,159.88,159.88,159.88,0.0,0.0,161.11,161.11,161.11,0.0,0.0
2018-09-23,150.82,150.82,150.82,0.0,0.0,155.91,155.91,155.91,0.0,0.0,149.78,149.78,149.78,0.0,0.0,154.61,154.61,154.61,0.0,0.0
2018-09-30,146.41,146.41,146.41,0.0,0.0,148.46,148.46,148.46,0.0,0.0,133.46,133.46,133.46,0.0,0.0,137.55,137.55,137.55,0.0,0.0
2018-10-07,120.61,120.61,120.61,0.0,0.0,122.33,122.33,122.33,0.0,0.0,112.5,112.5,112.5,0.0,0.0,117.51,117.51,117.51,0.0,0.0
2018-10-14,117.03,117.03,117.03,0.0,0.0,118.77,118.77,118.77,0.0,0.0,108.0,108.0,108.0,0.0,0.0,109.29,109.29,109.29,0.0,0.0
