Date,ProShares Ultra Consumer Goods_Open_average,ProShares Ultra Consumer Goods_Open_max,ProShares Ultra Consumer Goods_Open_min,ProShares Ultra Consumer Goods_Open_volatility,ProShares Ultra Consumer Goods_Open_change,ProShares Ultra Consumer Goods_High_average,ProShares Ultra Consumer Goods_High_max,ProShares Ultra Consumer Goods_High_min,ProShares Ultra Consumer Goods_High_volatility,ProShares Ultra Consumer Goods_High_change,ProShares Ultra Consumer Goods_Low_average,ProShares Ultra Consumer Goods_Low_max,ProShares Ultra Consumer Goods_Low_min,ProShares Ultra Consumer Goods_Low_volatility,ProShares Ultra Consumer Goods_Low_change,ProShares Ultra Consumer Goods_Close_average,ProShares Ultra Consumer Goods_Close_max,ProShares Ultra Consumer Goods_Close_min,ProShares Ultra Consumer Goods_Close_volatility,ProShares Ultra Consumer Goods_Close_change
2018-01-14,51.51,51.51,51.51,0.0,0.0,51.78,51.78,51.78,0.0,0.0,51.51,51.51,51.51,0.0,0.0,51.71,51.71,51.71,0.0,0.0
2018-01-21,51.25,51.25,51.25,0.0,0.0,51.49,51.49,51.49,0.0,0.0,51.18,51.18,51.18,0.0,0.0,51.21,51.21,51.21,0.0,0.0
2018-01-28,47.8,47.8,47.8,0.0,0.0,47.89,47.89,47.89,0.0,0.0,45.02,45.02,45.02,0.0,0.0,45.23,45.23,45.23,0.0,0.0
2018-02-04,44.75,44.75,44.75,0.0,0.0,45.67,45.67,45.67,0.0,0.0,44.62,44.62,44.62,0.0,0.0,45.67,45.67,45.67,0.0,0.0
2018-02-11,47.1,47.1,47.1,0.0,0.0,47.1,47.1,47.1,0.0,0.0,46.54,46.54,46.54,0.0,0.0,46.94,46.94,46.94,0.0,0.0
2018-02-18,46.42,46.42,46.42,0.0,0.0,46.51,46.51,46.51,0.0,0.0,46.05,46.05,46.05,0.0,0.0,46.51,46.51,46.51,0.0,0.0
2018-02-25,44.91,44.91,44.91,0.0,0.0,44.92,44.92,44.92,0.0,0.0,44.91,44.91,44.91,0.0,0.0,44.91,44.91,44.91,0.0,0.0
2018-03-04,46.71,46.71,46.71,0.0,0.0,46.71,46.71,46.71,0.0,0.0,46.2,46.2,46.2,0.0,0.0,46.2,46.2,46.2,0.0,0.0
2018-03-11,44.09,44.09,44.09,0.0,0.0,44.09,44.09,44.09,0.0,0.0,43.64,43.64,43.64,0.0,0.0,43.64,43.64,43.64,0.0,0.0
2018-03-18,41.41,41.41,41.41,0.0,0.0,41.68,41.68,41.68,0.0,0.0,41.19,41.19,41.19,0.0,0.0,41.68,41.68,41.68,0.0,0.0
2018-03-25,40.97,40.97,40.97,0.0,0.0,40.97,40.97,40.97,0.0,0.0,40.36,40.36,40.36,0.0,0.0,40.76,40.76,40.76,0.0,0.0
2018-04-01,43.6,43.6,43.6,0.0,0.0,43.83,43.83,43.83,0.0,0.0,43.5,43.5,43.5,0.0,0.0,43.5,43.5,43.5,0.0,0.0
2018-04-08,44.12,44.12,44.12,0.0,0.0,44.12,44.12,44.12,0.0,0.0,44.12,44.12,44.12,0.0,0.0,44.12,44.12,44.12,0.0,0.0
2018-04-15,39.95,39.95,39.95,0.0,0.0,39.95,39.95,39.95,0.0,0.0,39.72,39.72,39.72,0.0,0.0,39.72,39.72,39.72,0.0,0.0
2018-04-22,39.66,39.66,39.66,0.0,0.0,39.74,39.74,39.74,0.0,0.0,39.41,39.41,39.41,0.0,0.0,39.41,39.41,39.41,0.0,0.0
2018-04-29,38.77,38.77,38.77,0.0,0.0,38.8,38.8,38.8,0.0,0.0,38.77,38.77,38.77,0.0,0.0,38.8,38.8,38.8,0.0,0.0
2018-05-06,39.03,39.03,39.03,0.0,0.0,39.1,39.1,39.1,0.0,0.0,38.99,38.99,38.99,0.0,0.0,39.1,39.1,39.1,0.0,0.0
2018-05-13,39.75,39.75,39.75,0.0,0.0,39.75,39.75,39.75,0.0,0.0,39.48,39.48,39.48,0.0,0.0,39.54,39.54,39.54,0.0,0.0
2018-05-20,39.62,39.62,39.62,0.0,0.0,39.62,39.62,39.62,0.0,0.0,39.39,39.39,39.39,0.0,0.0,39.62,39.62,39.62,0.0,0.0
2018-05-27,40.17,40.17,40.17,0.0,0.0,40.27,40.27,40.27,0.0,0.0,40.17,40.17,40.17,0.0,0.0,40.27,40.27,40.27,0.0,0.0
2018-06-03,42.74,42.74,42.74,0.0,0.0,43.02,43.02,43.02,0.0,0.0,42.64,42.64,42.64,0.0,0.0,42.83,42.83,42.83,0.0,0.0
2018-06-10,42.73,42.73,42.73,0.0,0.0,42.87,42.87,42.87,0.0,0.0,42.73,42.73,42.73,0.0,0.0,42.87,42.87,42.87,0.0,0.0
2018-06-17,42.11,42.11,42.11,0.0,0.0,42.11,42.11,42.11,0.0,0.0,41.95,41.95,41.95,0.0,0.0,41.95,41.95,41.95,0.0,0.0
2018-06-24,42.14,42.14,42.14,0.0,0.0,42.14,42.14,42.14,0.0,0.0,41.7,41.7,41.7,0.0,0.0,41.7,41.7,41.7,0.0,0.0
2018-07-01,43.27,43.27,43.27,0.0,0.0,43.45,43.45,43.45,0.0,0.0,43.09,43.09,43.09,0.0,0.0,43.11,43.11,43.11,0.0,0.0
2018-07-08,43.96,43.96,43.96,0.0,0.0,43.96,43.96,43.96,0.0,0.0,43.22,43.22,43.22,0.0,0.0,43.22,43.22,43.22,0.0,0.0
2018-07-15,43.75,43.75,43.75,0.0,0.0,43.75,43.75,43.75,0.0,0.0,43.3,43.3,43.3,0.0,0.0,43.3,43.3,43.3,0.0,0.0
2018-07-22,42.9,42.9,42.9,0.0,0.0,42.99,42.99,42.99,0.0,0.0,42.86,42.86,42.86,0.0,0.0,42.99,42.99,42.99,0.0,0.0
2018-07-29,44.74,44.74,44.74,0.0,0.0,44.74,44.74,44.74,0.0,0.0,44.74,44.74,44.74,0.0,0.0,44.74,44.74,44.74,0.0,0.0
2018-08-05,42.94,42.94,42.94,0.0,0.0,43.0,43.0,43.0,0.0,0.0,42.7,42.7,42.7,0.0,0.0,42.94,42.94,42.94,0.0,0.0
2018-08-12,44.77,44.77,44.77,0.0,0.0,44.77,44.77,44.77,0.0,0.0,44.56,44.56,44.56,0.0,0.0,44.66,44.66,44.66,0.0,0.0
2018-08-19,43.71,43.71,43.71,0.0,0.0,43.79,43.79,43.79,0.0,0.0,43.71,43.71,43.71,0.0,0.0,43.79,43.79,43.79,0.0,0.0
2018-08-26,42.17,42.17,42.17,0.0,0.0,42.61,42.61,42.61,0.0,0.0,42.17,42.17,42.17,0.0,0.0,42.51,42.51,42.51,0.0,0.0
2018-09-02,42.46,42.46,42.46,0.0,0.0,42.46,42.46,42.46,0.0,0.0,42.46,42.46,42.46,0.0,0.0,42.46,42.46,42.46,0.0,0.0
2018-09-09,44.13,44.13,44.13,0.0,0.0,44.13,44.13,44.13,0.0,0.0,44.13,44.13,44.13,0.0,0.0,44.13,44.13,44.13,0.0,0.0
2018-09-16,44.24,44.24,44.24,0.0,0.0,44.24,44.24,44.24,0.0,0.0,43.87,43.87,43.87,0.0,0.0,43.87,43.87,43.87,0.0,0.0
2018-09-23,43.23,43.23,43.23,0.0,0.0,43.23,43.23,43.23,0.0,0.0,43.23,43.23,43.23,0.0,0.0,43.23,43.23,43.23,0.0,0.0
2018-09-30,41.51,41.51,41.51,0.0,0.0,41.51,41.51,41.51,0.0,0.0,41.51,41.51,41.51,0.0,0.0,41.51,41.51,41.51,0.0,0.0
2018-10-07,38.72,38.72,38.72,0.0,0.0,39.6,39.6,39.6,0.0,0.0,38.72,38.72,38.72,0.0,0.0,39.6,39.6,39.6,0.0,0.0
2018-10-14,39.57,39.57,39.57,0.0,0.0,39.57,39.57,39.57,0.0,0.0,39.57,39.57,39.57,0.0,0.0,39.57,39.57,39.57,0.0,0.0
2018-10-21,38.93,38.93,38.93,0.0,0.0,39.7,39.7,39.7,0.0,0.0,38.93,38.93,38.93,0.0,0.0,39.7,39.7,39.7,0.0,0.0
2018-10-28,41.89,41.89,41.89,0.0,0.0,42.71,42.71,42.71,0.0,0.0,41.89,41.89,41.89,0.0,0.0,42.71,42.71,42.71,0.0,0.0
2018-11-04,42.23,42.23,42.23,0.0,0.0,42.23,42.23,42.23,0.0,0.0,42.23,42.23,42.23,0.0,0.0,42.23,42.23,42.23,0.0,0.0
2018-11-11,41.02,41.02,41.02,0.0,0.0,41.15,41.15,41.15,0.0,0.0,40.94,40.94,40.94,0.0,0.0,41.15,41.15,41.15,0.0,0.0
2018-11-18,40.12,40.12,40.12,0.0,0.0,40.38,40.38,40.38,0.0,0.0,40.08,40.08,40.08,0.0,0.0,40.38,40.38,40.38,0.0,0.0
2018-11-25,42.9,42.9,42.9,0.0,0.0,42.9,42.9,42.9,0.0,0.0,41.66,41.66,41.66,0.0,0.0,42.13,42.13,42.13,0.0,0.0
2018-12-02,38.22,38.22,38.22,0.0,0.0,39.03,39.03,39.03,0.0,0.0,37.93,37.93,37.93,0.0,0.0,39.03,39.03,39.03,0.0,0.0
2018-12-09,38.01,38.01,38.01,0.0,0.0,38.01,38.01,38.01,0.0,0.0,36.79,36.79,36.79,0.0,0.0,36.79,36.79,36.79,0.0,0.0
2018-12-16,33.2,33.2,33.2,0.0,0.0,33.2,33.2,33.2,0.0,0.0,31.84,31.84,31.84,0.0,0.0,31.84,31.84,31.84,0.0,0.0
2018-12-23,34.09,34.09,34.09,0.0,0.0,34.22,34.22,34.22,0.0,0.0,33.8,33.8,33.8,0.0,0.0,34.0,34.0,34.0,0.0,0.0
2018-12-30,34.73,34.73,34.73,0.0,0.0,35.64,35.64,35.64,0.0,0.0,34.73,34.73,34.73,0.0,0.0,35.48,35.48,35.48,0.0,0.0
2019-01-06,36.52,36.52,36.52,0.0,0.0,36.52,36.52,36.52,0.0,0.0,36.25,36.25,36.25,0.0,0.0,36.25,36.25,36.25,0.0,0.0
2019-01-13,37.64,37.64,37.64,0.0,0.0,37.76,37.76,37.76,0.0,0.0,37.64,37.64,37.64,0.0,0.0,37.76,37.76,37.76,0.0,0.0
2019-01-20,36.67,36.67,36.67,0.0,0.0,37.17,37.17,37.17,0.0,0.0,36.67,36.67,36.67,0.0,0.0,37.17,37.17,37.17,0.0,0.0
2019-01-27,39.5,39.5,39.5,0.0,0.0,39.5,39.5,39.5,0.0,0.0,39.5,39.5,39.5,0.0,0.0,39.5,39.5,39.5,0.0,0.0
2019-02-03,39.75,39.75,39.75,0.0,0.0,39.88,39.88,39.88,0.0,0.0,39.75,39.75,39.75,0.0,0.0,39.88,39.88,39.88,0.0,0.0
2019-02-10,40.94,40.94,40.94,0.0,0.0,40.94,40.94,40.94,0.0,0.0,40.6,40.6,40.6,0.0,0.0,40.67,40.67,40.67,0.0,0.0
2019-02-17,40.7,40.7,40.7,0.0,0.0,40.73,40.73,40.73,0.0,0.0,40.7,40.7,40.7,0.0,0.0,40.73,40.73,40.73,0.0,0.0
2019-02-24,40.9,40.9,40.9,0.0,0.0,40.9,40.9,40.9,0.0,0.0,40.73,40.73,40.73,0.0,0.0,40.73,40.73,40.73,0.0,0.0
2019-03-03,41.11,41.11,41.11,0.0,0.0,41.11,41.11,41.11,0.0,0.0,41.11,41.11,41.11,0.0,0.0,41.11,41.11,41.11,0.0,0.0
2019-03-10,41.34,41.34,41.34,0.0,0.0,41.65,41.65,41.65,0.0,0.0,41.34,41.34,41.34,0.0,0.0,41.62,41.62,41.62,0.0,0.0
2019-03-17,41.36,41.36,41.36,0.0,0.0,41.45,41.45,41.45,0.0,0.0,41.36,41.36,41.36,0.0,0.0,41.45,41.45,41.45,0.0,0.0
2019-03-24,43.26,43.26,43.26,0.0,0.0,43.38,43.38,43.38,0.0,0.0,43.2,43.2,43.2,0.0,0.0,43.38,43.38,43.38,0.0,0.0
2019-03-31,43.64,43.64,43.64,0.0,0.0,43.64,43.64,43.64,0.0,0.0,43.64,43.64,43.64,0.0,0.0,43.64,43.64,43.64,0.0,0.0
2019-04-07,44.46,44.46,44.46,0.0,0.0,44.47,44.47,44.47,0.0,0.0,44.41,44.41,44.41,0.0,0.0,44.47,44.47,44.47,0.0,0.0
2019-04-14,44.75,44.75,44.75,0.0,0.0,44.75,44.75,44.75,0.0,0.0,44.75,44.75,44.75,0.0,0.0,44.75,44.75,44.75,0.0,0.0
2019-04-21,44.9,44.9,44.9,0.0,0.0,45.15,45.15,45.15,0.0,0.0,44.9,44.9,44.9,0.0,0.0,45.13,45.13,45.13,0.0,0.0
2019-04-28,44.6,44.6,44.6,0.0,0.0,44.89,44.89,44.89,0.0,0.0,44.51,44.51,44.51,0.0,0.0,44.89,44.89,44.89,0.0,0.0
2019-05-05,42.8,42.8,42.8,0.0,0.0,42.94,42.94,42.94,0.0,0.0,42.79,42.79,42.79,0.0,0.0,42.94,42.94,42.94,0.0,0.0
2019-05-12,44.06,44.06,44.06,0.0,0.0,44.06,44.06,44.06,0.0,0.0,43.62,43.62,43.62,0.0,0.0,43.62,43.62,43.62,0.0,0.0
2019-05-19,42.64,42.64,42.64,0.0,0.0,42.91,42.91,42.91,0.0,0.0,42.64,42.64,42.64,0.0,0.0,42.91,42.91,42.91,0.0,0.0
2019-05-26,40.32,40.32,40.32,0.0,0.0,40.75,40.75,40.75,0.0,0.0,40.09,40.09,40.09,0.0,0.0,40.75,40.75,40.75,0.0,0.0
2019-06-02,44.57,44.57,44.57,0.0,0.0,44.57,44.57,44.57,0.0,0.0,44.13,44.13,44.13,0.0,0.0,44.33,44.33,44.33,0.0,0.0
2019-06-09,44.53,44.53,44.53,0.0,0.0,44.69,44.69,44.69,0.0,0.0,44.53,44.53,44.53,0.0,0.0,44.61,44.61,44.61,0.0,0.0
2019-06-16,45.23,45.23,45.23,0.0,0.0,45.43,45.43,45.43,0.0,0.0,45.23,45.23,45.23,0.0,0.0,45.31,45.31,45.31,0.0,0.0
2019-06-23,44.46,44.46,44.46,0.0,0.0,45.08,45.08,45.08,0.0,0.0,44.46,44.46,44.46,0.0,0.0,44.84,44.84,44.84,0.0,0.0
2019-06-30,46.03,46.03,46.03,0.0,0.0,46.03,46.03,46.03,0.0,0.0,45.75,45.75,45.75,0.0,0.0,45.99,45.99,45.99,0.0,0.0
