Date,VanEck Vectors Vietnam_Open_average,VanEck Vectors Vietnam_Open_max,VanEck Vectors Vietnam_Open_min,VanEck Vectors Vietnam_Open_volatility,VanEck Vectors Vietnam_Open_change,VanEck Vectors Vietnam_High_average,VanEck Vectors Vietnam_High_max,VanEck Vectors Vietnam_High_min,VanEck Vectors Vietnam_High_volatility,VanEck Vectors Vietnam_High_change,VanEck Vectors Vietnam_Low_average,VanEck Vectors Vietnam_Low_max,VanEck Vectors Vietnam_Low_min,VanEck Vectors Vietnam_Low_volatility,VanEck Vectors Vietnam_Low_change,VanEck Vectors Vietnam_Close_average,VanEck Vectors Vietnam_Close_max,VanEck Vectors Vietnam_Close_min,VanEck Vectors Vietnam_Close_volatility,VanEck Vectors Vietnam_Close_change
2018-01-14,19.1,19.1,19.1,0.0,0.0,19.1,19.1,19.1,0.0,0.0,18.91,18.91,18.91,0.0,0.0,18.94,18.94,18.94,0.0,0.0
2018-01-21,19.7,19.7,19.7,0.0,0.0,19.88,19.88,19.88,0.0,0.0,19.62,19.62,19.62,0.0,0.0,19.88,19.88,19.88,0.0,0.0
2018-01-28,19.49,19.49,19.49,0.0,0.0,19.49,19.49,19.49,0.0,0.0,18.55,18.55,18.55,0.0,0.0,18.56,18.56,18.56,0.0,0.0
2018-02-04,17.2,17.2,17.2,0.0,0.0,17.35,17.35,17.35,0.0,0.0,16.56,16.56,16.56,0.0,0.0,17.28,17.28,17.28,0.0,0.0
2018-02-11,18.8,18.8,18.8,0.0,0.0,19.0,19.0,19.0,0.0,0.0,18.65,18.65,18.65,0.0,0.0,18.9,18.9,18.9,0.0,0.0
2018-02-18,18.88,18.88,18.88,0.0,0.0,19.14,19.14,19.14,0.0,0.0,18.8,18.8,18.8,0.0,0.0,19.12,19.12,19.12,0.0,0.0
2018-02-25,18.33,18.33,18.33,0.0,0.0,18.58,18.58,18.58,0.0,0.0,18.33,18.33,18.33,0.0,0.0,18.49,18.49,18.49,0.0,0.0
2018-03-04,18.88,18.88,18.88,0.0,0.0,19.0,19.0,19.0,0.0,0.0,18.82,18.82,18.82,0.0,0.0,19.0,19.0,19.0,0.0,0.0
2018-03-11,18.89,18.89,18.89,0.0,0.0,19.11,19.11,19.11,0.0,0.0,18.84,18.84,18.84,0.0,0.0,19.07,19.07,19.07,0.0,0.0
2018-03-18,18.99,18.99,18.99,0.0,0.0,19.12,19.12,19.12,0.0,0.0,18.5,18.5,18.5,0.0,0.0,18.61,18.61,18.61,0.0,0.0
2018-03-25,19.44,19.44,19.44,0.0,0.0,19.56,19.56,19.56,0.0,0.0,19.33,19.33,19.33,0.0,0.0,19.56,19.56,19.56,0.0,0.0
2018-04-01,20.38,20.38,20.38,0.0,0.0,20.39,20.39,20.39,0.0,0.0,20.01,20.01,20.01,0.0,0.0,20.02,20.02,20.02,0.0,0.0
