Date,CBLI_stock_Open_average,CBLI_stock_Open_max,CBLI_stock_Open_min,CBLI_stock_Open_volatility,CBLI_stock_Open_change,CBLI_stock_High_average,CBLI_stock_High_max,CBLI_stock_High_min,CBLI_stock_High_volatility,CBLI_stock_High_change,CBLI_stock_Low_average,CBLI_stock_Low_max,CBLI_stock_Low_min,CBLI_stock_Low_volatility,CBLI_stock_Low_change,CBLI_stock_Close_average,CBLI_stock_Close_max,CBLI_stock_Close_min,CBLI_stock_Close_volatility,CBLI_stock_Close_change,CBLI_stock_Volume_average,CBLI_stock_Volume_max,CBLI_stock_Volume_min,CBLI_stock_Volume_volatility,CBLI_stock_Volume_change
2018-01-14,3.90375,4.005,3.79,0.21499999999999986,0.08499999999999996,3.95125,4.005,3.86,0.14500000000000002,0.02499999999999991,3.7475,3.79,3.73,0.06000000000000005,-0.04999999999999982,3.8075,3.88,3.74,0.13999999999999968,-0.13999999999999968,8189,9778,6128,3650,3650
2018-01-21,3.7439999999999998,3.84,3.65,0.18999999999999995,-0.18999999999999995,3.866,3.96,3.77,0.18999999999999995,-0.16999999999999993,3.6702,3.72,3.571,0.14900000000000002,-0.129,3.7403999999999997,3.8,3.66,0.13999999999999968,-0.09999999999999964,15816,33200,6326,26874,3186
2018-01-28,3.472,3.67,3.31,0.3599999999999999,-0.29000000000000004,3.6546,3.96,3.4,0.56,-0.351,3.3442,3.51,3.16,0.34999999999999964,-0.1299999999999999,3.434,3.57,3.21,0.3599999999999999,-0.09999999999999964,33857,52652,16395,36257,-13471
2018-02-04,3.4518,3.61,3.27,0.33999999999999986,0.015000000000000124,3.5372,3.61,3.444,0.16599999999999993,0.028000000000000025,3.336,3.49,3.24,0.25,-0.17000000000000037,3.4398,3.6,3.29,0.31000000000000005,-0.1589999999999998,24534,65780,4986,60794,17165
2018-02-11,3.42,3.57,3.31,0.2599999999999998,0.08000000000000007,3.444,3.57,3.37,0.19999999999999973,0.07000000000000028,3.2784,3.312,3.25,0.06199999999999983,0.06199999999999983,3.3446000000000002,3.45,3.25,0.20000000000000018,0.12300000000000022,5872,8139,2369,5770,-3559
2018-02-18,3.3175,3.35,3.3,0.050000000000000266,-0.020000000000000018,3.3575,3.39,3.34,0.050000000000000266,0.050000000000000266,3.247,3.2510000000000003,3.24,0.01100000000000012,0.009999999999999787,3.2925,3.34,3.24,0.09999999999999964,0.019999999999999574,13410,37536,4210,33326,33203
2018-02-25,3.416,3.56,3.27,0.29000000000000004,0.04999999999999982,3.58,3.69,3.38,0.31000000000000005,0.22999999999999998,3.368,3.5,3.26,0.2400000000000002,0.14000000000000012,3.466,3.59,3.27,0.31999999999999984,0.2999999999999998,29468,84576,8390,76186,-1302
2018-03-04,3.528,3.64,3.45,0.18999999999999995,-0.03999999999999959,3.58,3.65,3.47,0.17999999999999972,-0.17999999999999972,3.4182,3.51,3.35,0.1599999999999997,-0.13899999999999935,3.482,3.6,3.4,0.20000000000000018,-0.1499999999999999,8216,12525,2370,10155,597
2018-03-11,3.3882,3.46,3.281,0.17899999999999983,-0.129,3.5066,3.58,3.4530000000000003,0.12699999999999978,-0.04699999999999971,3.3098,3.3280000000000003,3.27,0.058000000000000274,-0.04999999999999982,3.382,3.47,3.27,0.20000000000000018,-0.10000000000000009,13638,25158,1936,23222,-13575
2018-03-18,3.2914,3.327,3.24,0.08699999999999974,-0.009999999999999787,3.3332,3.37,3.29,0.08000000000000007,-0.08000000000000007,3.244,3.3,3.18,0.11999999999999966,-0.07999999999999963,3.2634,3.3169999999999997,3.19,0.12699999999999978,-0.10000000000000009,10019,13126,7533,5593,5253
