Date,TSLA_Open_average,TSLA_Open_max,TSLA_Open_min,TSLA_Open_volatility,TSLA_Open_change,TSLA_High_average,TSLA_High_max,TSLA_High_min,TSLA_High_volatility,TSLA_High_change,TSLA_Low_average,TSLA_Low_max,TSLA_Low_min,TSLA_Low_volatility,TSLA_Low_change,TSLA_Close_average,TSLA_Close_max,TSLA_Close_min,TSLA_Close_volatility,TSLA_Close_change,TSLA_Volume_average,TSLA_Volume_max,TSLA_Volume_min,TSLA_Volume_volatility,TSLA_Volume_change
2018-01-14,342.17,345.67,337.54,8.129999999999995,7.4599999999999795,349.22249999999997,352.3,345.0,7.300000000000011,5.589999999999975,340.2225,343.74,334.8,8.939999999999998,7.800000000000011,345.4525,350.02,340.06,9.95999999999998,9.95999999999998,6037976,7103505,4888303,2215202,-1585948
2018-01-21,350.75,360.0,341.5,18.5,-7.899999999999977,353.256,360.5,344.0,16.5,-13.829999999999984,343.166,351.0,335.71,15.29000000000002,-13.490000000000009,346.146,352.79,337.64,15.150000000000034,-8.70999999999998,5648582,6740303,4539356,2200947,-1671004
2018-01-28,346.388,351.0,339.85,11.149999999999977,8.589999999999975,353.384,359.66,348.27,11.390000000000043,1.099999999999966,342.956,348.63,338.28,10.350000000000023,2.230000000000018,348.532,354.31,343.75,10.560000000000002,-5.779999999999973,4716288,6214069,3704836,2509233,-1042313
2018-02-04,333.082,343.31,319.93,23.379999999999995,-18.04000000000002,339.25800000000004,348.62,320.98,27.639999999999986,-23.49000000000001,320.30400000000003,335.66,294.76,40.900000000000034,-38.24000000000001,327.55,345.0,310.42,34.579999999999984,-22.70999999999998,7954023,12933721,4464147,8469574,8469574
2018-02-11,321.798,332.5,315.02,17.480000000000018,16.370000000000005,329.136,343.12,318.08,25.04000000000002,25.04000000000002,318.264,331.64,306.25,25.389999999999986,25.389999999999986,326.25,335.49,315.73,19.75999999999999,19.75999999999999,5258870,6227822,3950743,2277079,-585185
2018-02-18,338.465,347.83,334.47,13.359999999999957,13.359999999999957,345.74,354.99,339.69,15.300000000000011,14.150000000000034,336.63,347.1,331.5,15.600000000000023,15.600000000000023,341.5725,352.05,333.3,18.75,17.28000000000003,5004069,6969808,3219649,3750159,1807952
2018-02-25,346.862,356.25,326.98,29.269999999999982,-26.519999999999982,351.624,359.99,335.22,24.769999999999982,-23.779999999999973,339.526,352.36,322.97,29.389999999999986,-29.389999999999986,343.504,357.42,330.93,26.49000000000001,-22.30000000000001,5437098,6885601,4339985,2545616,752844
2018-03-04,329.708,333.75,324.1,9.649999999999977,-8.289999999999964,333.682,337.75,328.49,9.259999999999991,-9.259999999999991,325.34,329.29,321.74,7.550000000000011,-6.920000000000016,330.024,333.35,327.17,6.180000000000007,-6.180000000000007,4437963,5506764,3566244,1940520,1682995
2018-03-11,333.126,344.92,325.96,18.960000000000036,-2.650000000000034,338.478,347.21,327.4,19.810000000000002,-19.810000000000002,325.372,336.26,319.07,17.189999999999998,-7.430000000000007,332.186,345.51,321.35,24.159999999999968,-24.159999999999968,6975858,8264035,5965805,2298230,-2146756
2018-03-18,313.352,316.5,310.25,6.25,-5.25,317.974,322.44,311.61,10.829999999999984,-9.139999999999986,307.45,310.19,300.45,9.740000000000009,-9.220000000000027,310.25600000000003,316.53,301.54,14.989999999999952,-12.019999999999982,5960333,7484294,4764293,2720001,-829395
2018-03-25,283.10249999999996,307.34,256.49,50.849999999999966,-50.849999999999966,287.875,307.59,268.68,38.90999999999997,-36.629999999999995,267.2125,291.36,248.21,43.150000000000006,-43.150000000000006,276.8175,304.18,257.78,46.400000000000034,-38.05000000000001,14604847,21001436,8375175,12626261,6795574
2018-04-01,273.84,301.0,252.78,48.22,44.74000000000001,287.518,309.28,260.33,48.94999999999999,48.94999999999999,266.956,295.5,244.59,50.91,50.91,282.394,305.72,252.48,53.24000000000004,46.82000000000002,17499296,19896746,13520286,6376460,-2593682
2018-04-08,301.2,303.6,298.97,4.6299999999999955,3.230000000000018,306.696,309.5,303.95,5.550000000000011,-5.550000000000011,294.442,299.66,289.21,10.450000000000045,6.770000000000039,297.942,304.7,289.66,15.039999999999964,10.67999999999995,8738600,11024259,7327223,3697036,-2922582
2018-04-15,293.04,299.0,288.87,10.129999999999995,-3.829999999999984,298.612,301.01,292.17,8.839999999999975,0.3199999999999932,287.596,289.75,282.51,7.240000000000009,0.7400000000000091,292.514,300.08,287.69,12.389999999999986,-0.9699999999999704,6322947,7000023,5627928,1372095,-710560
2018-04-22,284.782,291.29,278.75,12.54000000000002,-5.920000000000016,288.826,294.47,285.16,9.310000000000002,2.8500000000000227,279.674,283.83,276.5,7.329999999999984,1.5,285.414,294.07,280.69,13.379999999999995,10.699999999999989,4662579,5685308,4013574,1671734,-528752
2018-04-29,289.496,298.57,278.79,19.779999999999973,-10.610000000000014,298.26,306.85,288.04,18.810000000000002,-1.8700000000000045,287.65,297.78,275.23,22.549999999999955,-12.980000000000018,294.702,301.15,284.45,16.69999999999999,0.18999999999999773,8749125,17352130,4228172,13123958,4341182
2018-05-06,302.782,307.7,297.5,10.199999999999989,10.199999999999989,308.518,312.99,305.96,7.03000000000003,2.920000000000016,299.482,304.11,295.17,8.939999999999998,3.909999999999968,303.534,306.85,301.06,5.7900000000000205,-1.7099999999999795,6133359,8678224,4679649,3998575,-3998575
