Date,Schwab amental Intl Small CompanyEtf_Open_average,Schwab amental Intl Small CompanyEtf_Open_max,Schwab amental Intl Small CompanyEtf_Open_min,Schwab amental Intl Small CompanyEtf_Open_volatility,Schwab amental Intl Small CompanyEtf_Open_change,Schwab amental Intl Small CompanyEtf_High_average,Schwab amental Intl Small CompanyEtf_High_max,Schwab amental Intl Small CompanyEtf_High_min,Schwab amental Intl Small CompanyEtf_High_volatility,Schwab amental Intl Small CompanyEtf_High_change,Schwab amental Intl Small CompanyEtf_Low_average,Schwab amental Intl Small CompanyEtf_Low_max,Schwab amental Intl Small CompanyEtf_Low_min,Schwab amental Intl Small CompanyEtf_Low_volatility,Schwab amental Intl Small CompanyEtf_Low_change,Schwab amental Intl Small CompanyEtf_Close_average,Schwab amental Intl Small CompanyEtf_Close_max,Schwab amental Intl Small CompanyEtf_Close_min,Schwab amental Intl Small CompanyEtf_Close_volatility,Schwab amental Intl Small CompanyEtf_Close_change
2018-01-14,37.53,37.53,37.53,0.0,0.0,37.55,37.55,37.55,0.0,0.0,37.43,37.43,37.43,0.0,0.0,37.53,37.53,37.53,0.0,0.0
2018-01-21,38.08,38.08,38.08,0.0,0.0,38.21,38.21,38.21,0.0,0.0,38.05,38.05,38.05,0.0,0.0,38.2,38.2,38.2,0.0,0.0
2018-01-28,37.34,37.34,37.34,0.0,0.0,37.34,37.34,37.34,0.0,0.0,36.9,36.9,36.9,0.0,0.0,36.92,36.92,36.92,0.0,0.0
2018-02-04,34.91,34.91,34.91,0.0,0.0,34.95,34.95,34.95,0.0,0.0,34.03,34.03,34.03,0.0,0.0,34.86,34.86,34.86,0.0,0.0
2018-02-11,36.06,36.06,36.06,0.0,0.0,36.34,36.34,36.34,0.0,0.0,36.06,36.06,36.06,0.0,0.0,36.2,36.2,36.2,0.0,0.0
2018-02-18,36.31,36.31,36.31,0.0,0.0,36.53,36.53,36.53,0.0,0.0,36.3,36.3,36.3,0.0,0.0,36.53,36.53,36.53,0.0,0.0
2018-02-25,35.21,35.21,35.21,0.0,0.0,35.55,35.55,35.55,0.0,0.0,35.12,35.12,35.12,0.0,0.0,35.55,35.55,35.55,0.0,0.0
2018-03-04,36.11,36.11,36.11,0.0,0.0,36.31,36.31,36.31,0.0,0.0,36.06,36.06,36.06,0.0,0.0,36.31,36.31,36.31,0.0,0.0
2018-03-11,36.02,36.02,36.02,0.0,0.0,36.1,36.1,36.1,0.0,0.0,35.98,35.98,35.98,0.0,0.0,36.04,36.04,36.04,0.0,0.0
2018-03-18,35.42,35.42,35.42,0.0,0.0,35.47,35.47,35.47,0.0,0.0,35.01,35.01,35.01,0.0,0.0,35.01,35.01,35.01,0.0,0.0
2018-03-25,35.62,35.62,35.62,0.0,0.0,35.96,35.96,35.96,0.0,0.0,35.6,35.6,35.6,0.0,0.0,35.82,35.82,35.82,0.0,0.0
2018-04-01,35.77,35.77,35.77,0.0,0.0,35.89,35.89,35.89,0.0,0.0,35.47,35.47,35.47,0.0,0.0,35.59,35.59,35.59,0.0,0.0
2018-04-08,36.21,36.21,36.21,0.0,0.0,36.21,36.21,36.21,0.0,0.0,36.0,36.0,36.0,0.0,0.0,36.07,36.07,36.07,0.0,0.0
2018-04-15,36.43,36.43,36.43,0.0,0.0,36.45,36.45,36.45,0.0,0.0,36.35,36.35,36.35,0.0,0.0,36.36,36.36,36.36,0.0,0.0
