Date,EcoLogical Strategy_etf_Open_average,EcoLogical Strategy_etf_Open_max,EcoLogical Strategy_etf_Open_min,EcoLogical Strategy_etf_Open_volatility,EcoLogical Strategy_etf_Open_change,EcoLogical Strategy_etf_High_average,EcoLogical Strategy_etf_High_max,EcoLogical Strategy_etf_High_min,EcoLogical Strategy_etf_High_volatility,EcoLogical Strategy_etf_High_change,EcoLogical Strategy_etf_Low_average,EcoLogical Strategy_etf_Low_max,EcoLogical Strategy_etf_Low_min,EcoLogical Strategy_etf_Low_volatility,EcoLogical Strategy_etf_Low_change,EcoLogical Strategy_etf_Close_average,EcoLogical Strategy_etf_Close_max,EcoLogical Strategy_etf_Close_min,EcoLogical Strategy_etf_Close_volatility,EcoLogical Strategy_etf_Close_change
2018-01-14,44.03,44.03,44.03,0.0,0.0,44.03,44.03,44.03,0.0,0.0,44.03,44.03,44.03,0.0,0.0,44.03,44.03,44.03,0.0,0.0
2018-01-21,44.29,44.29,44.29,0.0,0.0,44.29,44.29,44.29,0.0,0.0,44.29,44.29,44.29,0.0,0.0,44.29,44.29,44.29,0.0,0.0
2018-01-28,43.52,43.52,43.52,0.0,0.0,43.52,43.52,43.52,0.0,0.0,43.52,43.52,43.52,0.0,0.0,43.52,43.52,43.52,0.0,0.0
2018-02-04,40.66,40.66,40.66,0.0,0.0,40.66,40.66,40.66,0.0,0.0,40.66,40.66,40.66,0.0,0.0,40.66,40.66,40.66,0.0,0.0
2018-02-11,42.41,42.41,42.41,0.0,0.0,42.41,42.41,42.41,0.0,0.0,42.41,42.41,42.41,0.0,0.0,42.41,42.41,42.41,0.0,0.0
2018-02-18,42.29,42.29,42.29,0.0,0.0,42.3,42.3,42.3,0.0,0.0,42.29,42.29,42.29,0.0,0.0,42.3,42.3,42.3,0.0,0.0
2018-02-25,41.89,41.89,41.89,0.0,0.0,41.89,41.89,41.89,0.0,0.0,41.31,41.31,41.31,0.0,0.0,41.31,41.31,41.31,0.0,0.0
2018-03-04,42.58,42.58,42.58,0.0,0.0,42.78,42.78,42.78,0.0,0.0,42.58,42.58,42.58,0.0,0.0,42.78,42.78,42.78,0.0,0.0
2018-03-11,42.19,42.19,42.19,0.0,0.0,42.19,42.19,42.19,0.0,0.0,42.19,42.19,42.19,0.0,0.0,42.19,42.19,42.19,0.0,0.0
2018-03-18,39.92,39.92,39.92,0.0,0.0,39.95,39.95,39.95,0.0,0.0,39.92,39.92,39.92,0.0,0.0,39.92,39.92,39.92,0.0,0.0
2018-03-25,40.97,40.97,40.97,0.0,0.0,40.97,40.97,40.97,0.0,0.0,40.97,40.97,40.97,0.0,0.0,40.97,40.97,40.97,0.0,0.0
2018-04-01,40.89,40.89,40.89,0.0,0.0,40.89,40.89,40.89,0.0,0.0,40.89,40.89,40.89,0.0,0.0,40.89,40.89,40.89,0.0,0.0
2018-04-08,41.11,41.11,41.11,0.0,0.0,41.11,41.11,41.11,0.0,0.0,41.11,41.11,41.11,0.0,0.0,41.11,41.11,41.11,0.0,0.0
2018-04-15,41.38,41.38,41.38,0.0,0.0,41.38,41.38,41.38,0.0,0.0,41.24,41.24,41.24,0.0,0.0,41.31,41.31,41.31,0.0,0.0
2018-04-22,41.5,41.5,41.5,0.0,0.0,41.5,41.5,41.5,0.0,0.0,41.5,41.5,41.5,0.0,0.0,41.5,41.5,41.5,0.0,0.0
2018-04-29,40.59,40.59,40.59,0.0,0.0,40.59,40.59,40.59,0.0,0.0,40.59,40.59,40.59,0.0,0.0,40.59,40.59,40.59,0.0,0.0
2018-05-06,42.13,42.13,42.13,0.0,0.0,42.13,42.13,42.13,0.0,0.0,42.13,42.13,42.13,0.0,0.0,42.13,42.13,42.13,0.0,0.0
2018-05-13,42.0,42.0,42.0,0.0,0.0,42.0,42.0,42.0,0.0,0.0,41.94,41.94,41.94,0.0,0.0,41.94,41.94,41.94,0.0,0.0
2018-05-20,41.57,41.57,41.57,0.0,0.0,41.83,41.83,41.83,0.0,0.0,41.57,41.57,41.57,0.0,0.0,41.83,41.83,41.83,0.0,0.0
2018-05-27,41.76,41.76,41.76,0.0,0.0,41.76,41.76,41.76,0.0,0.0,41.76,41.76,41.76,0.0,0.0,41.76,41.76,41.76,0.0,0.0
2018-06-03,42.44,42.44,42.44,0.0,0.0,42.44,42.44,42.44,0.0,0.0,42.44,42.44,42.44,0.0,0.0,42.44,42.44,42.44,0.0,0.0
2018-06-10,42.73,42.73,42.73,0.0,0.0,42.73,42.73,42.73,0.0,0.0,42.73,42.73,42.73,0.0,0.0,42.73,42.73,42.73,0.0,0.0
2018-06-17,42.79,42.79,42.79,0.0,0.0,42.82,42.82,42.82,0.0,0.0,42.05,42.05,42.05,0.0,0.0,42.08,42.08,42.08,0.0,0.0
2018-06-24,41.52,41.52,41.52,0.0,0.0,41.52,41.52,41.52,0.0,0.0,41.52,41.52,41.52,0.0,0.0,41.52,41.52,41.52,0.0,0.0
2018-07-01,42.04,42.04,42.04,0.0,0.0,42.23,42.23,42.23,0.0,0.0,42.04,42.04,42.04,0.0,0.0,42.23,42.23,42.23,0.0,0.0
2018-07-08,42.64,42.64,42.64,0.0,0.0,42.64,42.64,42.64,0.0,0.0,42.64,42.64,42.64,0.0,0.0,42.64,42.64,42.64,0.0,0.0
2018-07-15,42.55,42.55,42.55,0.0,0.0,42.67,42.67,42.67,0.0,0.0,42.55,42.55,42.55,0.0,0.0,42.67,42.67,42.67,0.0,0.0
2018-07-22,43.39,43.39,43.39,0.0,0.0,43.39,43.39,43.39,0.0,0.0,43.39,43.39,43.39,0.0,0.0,43.39,43.39,43.39,0.0,0.0
2018-07-29,43.0,43.0,43.0,0.0,0.0,43.29,43.29,43.29,0.0,0.0,43.0,43.0,43.0,0.0,0.0,43.29,43.29,43.29,0.0,0.0
2018-08-05,43.48,43.48,43.48,0.0,0.0,43.48,43.48,43.48,0.0,0.0,43.48,43.48,43.48,0.0,0.0,43.48,43.48,43.48,0.0,0.0
