Date,Teucrium Sugar_Open_average,Teucrium Sugar_Open_max,Teucrium Sugar_Open_min,Teucrium Sugar_Open_volatility,Teucrium Sugar_Open_change,Teucrium Sugar_High_average,Teucrium Sugar_High_max,Teucrium Sugar_High_min,Teucrium Sugar_High_volatility,Teucrium Sugar_High_change,Teucrium Sugar_Low_average,Teucrium Sugar_Low_max,Teucrium Sugar_Low_min,Teucrium Sugar_Low_volatility,Teucrium Sugar_Low_change,Teucrium Sugar_Close_average,Teucrium Sugar_Close_max,Teucrium Sugar_Close_min,Teucrium Sugar_Close_volatility,Teucrium Sugar_Close_change
2018-01-14,8.99,8.99,8.99,0.0,0.0,8.99,8.99,8.99,0.0,0.0,8.88,8.88,8.88,0.0,0.0,8.9,8.9,8.9,0.0,0.0
2018-01-21,9.17,9.17,9.17,0.0,0.0,9.2,9.2,9.2,0.0,0.0,9.07,9.07,9.07,0.0,0.0,9.15,9.15,9.15,0.0,0.0
2018-01-28,9.04,9.04,9.04,0.0,0.0,9.2,9.2,9.2,0.0,0.0,8.95,8.95,8.95,0.0,0.0,9.12,9.12,9.12,0.0,0.0
2018-02-04,9.01,9.01,9.01,0.0,0.0,9.06,9.06,9.06,0.0,0.0,8.93,8.93,8.93,0.0,0.0,9.06,9.06,9.06,0.0,0.0
2018-02-11,8.84,8.84,8.84,0.0,0.0,8.84,8.84,8.84,0.0,0.0,8.76,8.76,8.76,0.0,0.0,8.8,8.8,8.8,0.0,0.0
2018-02-18,8.91,8.91,8.91,0.0,0.0,8.95,8.95,8.95,0.0,0.0,8.83,8.83,8.83,0.0,0.0,8.85,8.85,8.85,0.0,0.0
2018-02-25,8.87,8.87,8.87,0.0,0.0,9.02,9.02,9.02,0.0,0.0,8.85,8.85,8.85,0.0,0.0,9.02,9.02,9.02,0.0,0.0
2018-03-04,8.52,8.52,8.52,0.0,0.0,8.64,8.64,8.64,0.0,0.0,8.52,8.52,8.52,0.0,0.0,8.62,8.62,8.62,0.0,0.0
2018-03-11,8.39,8.39,8.39,0.0,0.0,8.6,8.6,8.6,0.0,0.0,8.3,8.3,8.3,0.0,0.0,8.58,8.58,8.58,0.0,0.0
2018-03-18,8.43,8.43,8.43,0.0,0.0,8.53,8.53,8.53,0.0,0.0,8.38,8.38,8.38,0.0,0.0,8.42,8.42,8.42,0.0,0.0
2018-03-25,8.37,8.37,8.37,0.0,0.0,8.39,8.39,8.39,0.0,0.0,8.33,8.33,8.33,0.0,0.0,8.34,8.34,8.34,0.0,0.0
2018-04-01,8.23,8.23,8.23,0.0,0.0,8.24,8.24,8.24,0.0,0.0,8.19,8.19,8.19,0.0,0.0,8.2,8.2,8.2,0.0,0.0
2018-04-08,8.13,8.13,8.13,0.0,0.0,8.14,8.14,8.14,0.0,0.0,8.02,8.02,8.02,0.0,0.0,8.02,8.02,8.02,0.0,0.0
2018-04-15,7.81,7.81,7.81,0.0,0.0,7.81,7.81,7.81,0.0,0.0,7.55,7.55,7.55,0.0,0.0,7.57,7.57,7.57,0.0,0.0
2018-04-22,7.66,7.66,7.66,0.0,0.0,7.7,7.7,7.7,0.0,0.0,7.6,7.6,7.6,0.0,0.0,7.67,7.67,7.67,0.0,0.0
2018-04-29,7.61,7.61,7.61,0.0,0.0,7.61,7.61,7.61,0.0,0.0,7.52,7.52,7.52,0.0,0.0,7.56,7.56,7.56,0.0,0.0
2018-05-06,7.41,7.41,7.41,0.0,0.0,7.46,7.46,7.46,0.0,0.0,7.4,7.4,7.4,0.0,0.0,7.45,7.45,7.45,0.0,0.0
2018-05-13,7.66,7.66,7.66,0.0,0.0,7.74,7.74,7.74,0.0,0.0,7.62,7.62,7.62,0.0,0.0,7.7,7.7,7.7,0.0,0.0
