Date,CSOP FTSE China A50 US_Open_average,CSOP FTSE China A50 US_Open_max,CSOP FTSE China A50 US_Open_min,CSOP FTSE China A50 US_Open_volatility,CSOP FTSE China A50 US_Open_change,CSOP FTSE China A50 US_High_average,CSOP FTSE China A50 US_High_max,CSOP FTSE China A50 US_High_min,CSOP FTSE China A50 US_High_volatility,CSOP FTSE China A50 US_High_change,CSOP FTSE China A50 US_Low_average,CSOP FTSE China A50 US_Low_max,CSOP FTSE China A50 US_Low_min,CSOP FTSE China A50 US_Low_volatility,CSOP FTSE China A50 US_Low_change,CSOP FTSE China A50 US_Close_average,CSOP FTSE China A50 US_Close_max,CSOP FTSE China A50 US_Close_min,CSOP FTSE China A50 US_Close_volatility,CSOP FTSE China A50 US_Close_change
2018-01-14,19.87,19.87,19.87,0.0,0.0,20.08,20.08,20.08,0.0,0.0,19.87,19.87,19.87,0.0,0.0,20.08,20.08,20.08,0.0,0.0
2018-01-21,19.86,19.86,19.86,0.0,0.0,19.96,19.96,19.96,0.0,0.0,19.75,19.75,19.75,0.0,0.0,19.81,19.81,19.81,0.0,0.0
2018-01-28,20.18,20.18,20.18,0.0,0.0,20.24,20.24,20.24,0.0,0.0,19.79,19.79,19.79,0.0,0.0,19.79,19.79,19.79,0.0,0.0
2018-02-04,17.92,17.92,17.92,0.0,0.0,18.1,18.1,18.1,0.0,0.0,17.72,17.72,17.72,0.0,0.0,18.03,18.03,18.03,0.0,0.0
2018-02-11,19.0,19.0,19.0,0.0,0.0,19.14,19.14,19.14,0.0,0.0,19.0,19.0,19.0,0.0,0.0,19.05,19.05,19.05,0.0,0.0
2018-02-18,19.24,19.24,19.24,0.0,0.0,19.34,19.34,19.34,0.0,0.0,19.11,19.11,19.11,0.0,0.0,19.34,19.34,19.34,0.0,0.0
2018-02-25,18.1,18.1,18.1,0.0,0.0,18.38,18.38,18.38,0.0,0.0,18.1,18.1,18.1,0.0,0.0,18.33,18.33,18.33,0.0,0.0
2018-03-04,18.74,18.74,18.74,0.0,0.0,18.75,18.75,18.75,0.0,0.0,18.7,18.7,18.7,0.0,0.0,18.7,18.7,18.7,0.0,0.0
2018-03-11,18.41,18.41,18.41,0.0,0.0,18.42,18.42,18.42,0.0,0.0,18.41,18.41,18.41,0.0,0.0,18.42,18.42,18.42,0.0,0.0
2018-03-18,17.64,17.64,17.64,0.0,0.0,17.82,17.82,17.82,0.0,0.0,17.54,17.54,17.54,0.0,0.0,17.8,17.8,17.8,0.0,0.0
2018-03-25,17.09,17.09,17.09,0.0,0.0,17.13,17.13,17.13,0.0,0.0,17.09,17.09,17.09,0.0,0.0,17.11,17.11,17.11,0.0,0.0
2018-04-01,17.29,17.29,17.29,0.0,0.0,17.32,17.32,17.32,0.0,0.0,17.29,17.29,17.29,0.0,0.0,17.31,17.31,17.31,0.0,0.0
2018-04-08,17.11,17.11,17.11,0.0,0.0,17.12,17.12,17.12,0.0,0.0,17.0,17.0,17.0,0.0,0.0,17.12,17.12,17.12,0.0,0.0
