Date,Invesco S and P 500 GARP_Open_average,Invesco S and P 500 GARP_Open_max,Invesco S and P 500 GARP_Open_min,Invesco S and P 500 GARP_Open_volatility,Invesco S and P 500 GARP_Open_change,Invesco S and P 500 GARP_High_average,Invesco S and P 500 GARP_High_max,Invesco S and P 500 GARP_High_min,Invesco S and P 500 GARP_High_volatility,Invesco S and P 500 GARP_High_change,Invesco S and P 500 GARP_Low_average,Invesco S and P 500 GARP_Low_max,Invesco S and P 500 GARP_Low_min,Invesco S and P 500 GARP_Low_volatility,Invesco S and P 500 GARP_Low_change,Invesco S and P 500 GARP_Close_average,Invesco S and P 500 GARP_Close_max,Invesco S and P 500 GARP_Close_min,Invesco S and P 500 GARP_Close_volatility,Invesco S and P 500 GARP_Close_change
2018-01-14,48.46,48.46,48.46,0.0,0.0,48.84,48.84,48.84,0.0,0.0,48.41,48.41,48.41,0.0,0.0,48.84,48.84,48.84,0.0,0.0
2018-01-21,50.0,50.0,50.0,0.0,0.0,50.07,50.07,50.07,0.0,0.0,49.6,49.6,49.6,0.0,0.0,49.63,49.63,49.63,0.0,0.0
2018-01-28,47.75,47.75,47.75,0.0,0.0,48.39,48.39,48.39,0.0,0.0,46.25,46.25,46.25,0.0,0.0,46.66,46.66,46.66,0.0,0.0
2018-02-04,46.55,46.55,46.55,0.0,0.0,46.9,46.9,46.9,0.0,0.0,46.1,46.1,46.1,0.0,0.0,46.84,46.84,46.84,0.0,0.0
2018-02-11,48.31,48.31,48.31,0.0,0.0,48.58,48.58,48.58,0.0,0.0,48.31,48.31,48.31,0.0,0.0,48.5,48.5,48.5,0.0,0.0
2018-02-18,49.15,49.15,49.15,0.0,0.0,49.47,49.47,49.47,0.0,0.0,49.05,49.05,49.05,0.0,0.0,49.45,49.45,49.45,0.0,0.0
2018-02-25,47.75,47.75,47.75,0.0,0.0,48.66,48.66,48.66,0.0,0.0,47.75,47.75,47.75,0.0,0.0,48.6,48.6,48.6,0.0,0.0
2018-03-04,50.2,50.2,50.2,0.0,0.0,50.3,50.3,50.3,0.0,0.0,50.01,50.01,50.01,0.0,0.0,50.13,50.13,50.13,0.0,0.0
2018-03-11,49.56,49.56,49.56,0.0,0.0,49.56,49.56,49.56,0.0,0.0,48.51,48.51,48.51,0.0,0.0,48.81,48.81,48.81,0.0,0.0
2018-03-18,47.54,47.54,47.54,0.0,0.0,48.34,48.34,48.34,0.0,0.0,47.23,47.23,47.23,0.0,0.0,48.24,48.24,48.24,0.0,0.0
2018-03-25,47.19,47.19,47.19,0.0,0.0,47.3,47.3,47.3,0.0,0.0,45.7,45.7,45.7,0.0,0.0,46.19,46.19,46.19,0.0,0.0
2018-04-01,46.88,46.88,46.88,0.0,0.0,47.39,47.39,47.39,0.0,0.0,46.88,46.88,46.88,0.0,0.0,46.91,46.91,46.91,0.0,0.0
2018-04-08,47.87,47.87,47.87,0.0,0.0,47.96,47.96,47.96,0.0,0.0,47.77,47.77,47.77,0.0,0.0,47.88,47.88,47.88,0.0,0.0
2018-04-15,48.37,48.37,48.37,0.0,0.0,48.39,48.39,48.39,0.0,0.0,47.85,47.85,47.85,0.0,0.0,48.01,48.01,48.01,0.0,0.0
2018-04-22,48.57,48.57,48.57,0.0,0.0,48.57,48.57,48.57,0.0,0.0,47.93,47.93,47.93,0.0,0.0,47.94,47.94,47.94,0.0,0.0
2018-04-29,48.72,48.72,48.72,0.0,0.0,48.87,48.87,48.87,0.0,0.0,48.57,48.57,48.57,0.0,0.0,48.77,48.77,48.77,0.0,0.0
2018-05-06,49.87,49.87,49.87,0.0,0.0,49.87,49.87,49.87,0.0,0.0,49.4,49.4,49.4,0.0,0.0,49.46,49.46,49.46,0.0,0.0
2018-05-13,49.61,49.61,49.61,0.0,0.0,49.61,49.61,49.61,0.0,0.0,49.19,49.19,49.19,0.0,0.0,49.3,49.3,49.3,0.0,0.0
2018-05-20,49.63,49.63,49.63,0.0,0.0,49.79,49.79,49.79,0.0,0.0,49.63,49.63,49.63,0.0,0.0,49.69,49.69,49.69,0.0,0.0
2018-05-27,50.67,50.67,50.67,0.0,0.0,50.81,50.81,50.81,0.0,0.0,50.57,50.57,50.57,0.0,0.0,50.8,50.8,50.8,0.0,0.0
2018-06-03,51.61,51.61,51.61,0.0,0.0,51.61,51.61,51.61,0.0,0.0,51.33,51.33,51.33,0.0,0.0,51.35,51.35,51.35,0.0,0.0
2018-06-10,51.59,51.59,51.59,0.0,0.0,51.82,51.82,51.82,0.0,0.0,51.44,51.44,51.44,0.0,0.0,51.82,51.82,51.82,0.0,0.0
2018-06-17,51.21,51.21,51.21,0.0,0.0,51.21,51.21,51.21,0.0,0.0,49.9,49.9,49.9,0.0,0.0,50.34,50.34,50.34,0.0,0.0
2018-06-24,50.56,50.56,50.56,0.0,0.0,50.98,50.98,50.98,0.0,0.0,50.5,50.5,50.5,0.0,0.0,50.98,50.98,50.98,0.0,0.0
2018-07-01,51.92,51.92,51.92,0.0,0.0,52.0,52.0,52.0,0.0,0.0,51.64,51.64,51.64,0.0,0.0,51.98,51.98,51.98,0.0,0.0
2018-07-08,52.68,52.68,52.68,0.0,0.0,52.73,52.73,52.73,0.0,0.0,52.46,52.46,52.46,0.0,0.0,52.52,52.52,52.52,0.0,0.0
2018-07-15,52.42,52.42,52.42,0.0,0.0,52.51,52.51,52.51,0.0,0.0,52.22,52.22,52.22,0.0,0.0,52.51,52.51,52.51,0.0,0.0
2018-07-22,51.92,51.92,51.92,0.0,0.0,51.92,51.92,51.92,0.0,0.0,50.75,50.75,50.75,0.0,0.0,50.94,50.94,50.94,0.0,0.0
2018-07-29,52.22,52.22,52.22,0.0,0.0,52.51,52.51,52.51,0.0,0.0,52.19,52.19,52.19,0.0,0.0,52.48,52.48,52.48,0.0,0.0
