Date,Vanguard REITEtf_Open_average,Vanguard REITEtf_Open_max,Vanguard REITEtf_Open_min,Vanguard REITEtf_Open_volatility,Vanguard REITEtf_Open_change,Vanguard REITEtf_High_average,Vanguard REITEtf_High_max,Vanguard REITEtf_High_min,Vanguard REITEtf_High_volatility,Vanguard REITEtf_High_change,Vanguard REITEtf_Low_average,Vanguard REITEtf_Low_max,Vanguard REITEtf_Low_min,Vanguard REITEtf_Low_volatility,Vanguard REITEtf_Low_change,Vanguard REITEtf_Close_average,Vanguard REITEtf_Close_max,Vanguard REITEtf_Close_min,Vanguard REITEtf_Close_volatility,Vanguard REITEtf_Close_change
2018-01-14,78.42,78.42,78.42,0.0,0.0,78.72,78.72,78.72,0.0,0.0,78.2,78.2,78.2,0.0,0.0,78.71,78.71,78.71,0.0,0.0
2018-01-21,79.97,79.97,79.97,0.0,0.0,80.08,80.08,80.08,0.0,0.0,79.23,79.23,79.23,0.0,0.0,79.69,79.69,79.69,0.0,0.0
2018-01-28,77.16,77.16,77.16,0.0,0.0,77.6,77.6,77.6,0.0,0.0,76.44,76.44,76.44,0.0,0.0,77.08,77.08,77.08,0.0,0.0
2018-02-04,72.79,72.79,72.79,0.0,0.0,74.74,74.74,74.74,0.0,0.0,72.05,72.05,72.05,0.0,0.0,74.15,74.15,74.15,0.0,0.0
2018-02-11,75.11,75.11,75.11,0.0,0.0,75.67,75.67,75.67,0.0,0.0,74.82,74.82,74.82,0.0,0.0,75.29,75.29,75.29,0.0,0.0
2018-02-18,74.03,74.03,74.03,0.0,0.0,74.96,74.96,74.96,0.0,0.0,73.92,73.92,73.92,0.0,0.0,74.94,74.94,74.94,0.0,0.0
2018-02-25,73.07,73.07,73.07,0.0,0.0,73.47,73.47,73.47,0.0,0.0,72.62,72.62,72.62,0.0,0.0,73.39,73.39,73.39,0.0,0.0
2018-03-04,75.17,75.17,75.17,0.0,0.0,75.58,75.58,75.58,0.0,0.0,74.68,74.68,74.68,0.0,0.0,75.58,75.58,75.58,0.0,0.0
2018-03-11,75.94,75.94,75.94,0.0,0.0,76.66,76.66,76.66,0.0,0.0,75.76,75.76,75.76,0.0,0.0,76.56,76.56,76.56,0.0,0.0
2018-03-18,74.62,74.62,74.62,0.0,0.0,74.85,74.85,74.85,0.0,0.0,73.12,73.12,73.12,0.0,0.0,73.31,73.31,73.31,0.0,0.0
2018-03-25,75.77,75.77,75.77,0.0,0.0,75.95,75.95,75.95,0.0,0.0,75.16,75.16,75.16,0.0,0.0,75.47,75.47,75.47,0.0,0.0
2018-04-01,75.67,75.67,75.67,0.0,0.0,76.25,76.25,76.25,0.0,0.0,75.02,75.02,75.02,0.0,0.0,75.27,75.27,75.27,0.0,0.0
2018-04-08,74.2,74.2,74.2,0.0,0.0,74.72,74.72,74.72,0.0,0.0,74.09,74.09,74.09,0.0,0.0,74.66,74.66,74.66,0.0,0.0
2018-04-15,74.66,74.66,74.66,0.0,0.0,74.96,74.96,74.96,0.0,0.0,73.95,73.95,73.95,0.0,0.0,74.05,74.05,74.05,0.0,0.0
2018-04-22,75.06,75.06,75.06,0.0,0.0,76.64,76.64,76.64,0.0,0.0,74.97,74.97,74.97,0.0,0.0,76.39,76.39,76.39,0.0,0.0
2018-04-29,76.41,76.41,76.41,0.0,0.0,77.49,77.49,77.49,0.0,0.0,76.41,76.41,76.41,0.0,0.0,77.29,77.29,77.29,0.0,0.0
2018-05-06,78.59,78.59,78.59,0.0,0.0,78.87,78.87,78.87,0.0,0.0,78.16,78.16,78.16,0.0,0.0,78.28,78.28,78.28,0.0,0.0
2018-05-13,75.83,75.83,75.83,0.0,0.0,76.12,76.12,76.12,0.0,0.0,75.5,75.5,75.5,0.0,0.0,75.84,75.84,75.84,0.0,0.0
2018-05-20,77.53,77.53,77.53,0.0,0.0,78.02,78.02,78.02,0.0,0.0,77.42,77.42,77.42,0.0,0.0,77.73,77.73,77.73,0.0,0.0
2018-05-27,78.59,78.59,78.59,0.0,0.0,79.43,79.43,79.43,0.0,0.0,78.43,78.43,78.43,0.0,0.0,79.24,79.24,79.24,0.0,0.0
2018-06-03,79.97,79.97,79.97,0.0,0.0,80.27,80.27,80.27,0.0,0.0,79.79,79.79,79.79,0.0,0.0,80.2,80.2,80.2,0.0,0.0
