Date,GME_stock_Open_average,GME_stock_Open_max,GME_stock_Open_min,GME_stock_Open_volatility,GME_stock_Open_change,GME_stock_High_average,GME_stock_High_max,GME_stock_High_min,GME_stock_High_volatility,GME_stock_High_change,GME_stock_Low_average,GME_stock_Low_max,GME_stock_Low_min,GME_stock_Low_volatility,GME_stock_Low_change,GME_stock_Close_average,GME_stock_Close_max,GME_stock_Close_min,GME_stock_Close_volatility,GME_stock_Close_change,GME_stock_Volume_average,GME_stock_Volume_max,GME_stock_Volume_min,GME_stock_Volume_volatility,GME_stock_Volume_change
2018-01-14,17.65,18.0,17.24,0.7600000000000016,-0.10999999999999943,18.025,18.28,17.71,0.5700000000000003,-0.10000000000000142,17.2925,17.75,17.04,0.7100000000000009,0.7100000000000009,17.6625,18.13,17.16,0.9699999999999989,0.9699999999999989,4892953,7852460,3193955,4658505,-4658505
2018-01-21,17.396,18.22,16.86,1.3599999999999994,-1.3599999999999994,17.483999999999998,18.27,17.04,1.2300000000000004,-1.1799999999999997,16.918,17.47,16.61,0.8599999999999994,-0.8599999999999994,17.166,17.55,16.84,0.7100000000000009,-0.490000000000002,3797525,5234754,2701754,2533000,-1885950
2018-01-28,16.906,17.14,16.56,0.5800000000000018,-0.490000000000002,17.07,17.27,16.66,0.6099999999999994,-0.5399999999999991,16.63,16.86,16.22,0.6400000000000006,-0.5800000000000018,16.784,17.15,16.23,0.9199999999999982,-0.9199999999999982,2796110,3253530,1886009,1367521,98797
2018-02-04,16.018,16.45,15.36,1.0899999999999999,-0.16000000000000014,16.43,16.67,16.22,0.45000000000000284,0.10999999999999943,15.664,16.15,15.1,1.049999999999999,0.02999999999999936,16.052,16.47,15.65,0.8199999999999985,0.5200000000000014,4686886,5640876,4131075,1509801,1509801
2018-02-11,16.09,16.52,15.58,0.9399999999999995,0.23000000000000043,16.412,16.97,15.86,1.1099999999999994,0.6400000000000006,15.824,16.25,15.49,0.7599999999999998,0.6300000000000008,16.082,16.41,15.58,0.8300000000000001,0.5999999999999979,2616160,3215889,2263065,952824,274250
2018-02-18,15.95,16.3,15.79,0.5100000000000016,-0.5100000000000016,16.1125,16.32,15.93,0.39000000000000057,-0.33000000000000007,15.67,15.78,15.57,0.20999999999999908,-0.10999999999999943,15.785,15.97,15.62,0.3500000000000014,0.11000000000000121,2638373,3031202,2452243,578959,90514
2018-02-25,15.82,16.1,15.56,0.5400000000000009,-0.4399999999999995,16.172,16.59,15.95,0.6400000000000006,-0.11000000000000121,15.626,15.84,15.38,0.4599999999999991,-0.4599999999999991,15.847999999999999,16.08,15.57,0.509999999999998,-0.14999999999999858,3733718,4737004,2771245,1965759,782659
2018-03-04,15.882,16.05,15.69,0.3600000000000012,-0.17999999999999972,16.078,16.17,15.89,0.28000000000000114,-0.21999999999999886,15.662,15.84,15.48,0.35999999999999943,-0.16999999999999993,15.908,16.06,15.64,0.41999999999999815,-0.20000000000000107,3367624,4236094,2667580,1568514,-266211
2018-03-11,15.608,15.85,15.34,0.5099999999999998,-0.5099999999999998,15.822000000000001,16.01,15.62,0.39000000000000234,-0.3500000000000014,15.416,15.58,15.26,0.3200000000000003,-0.1899999999999995,15.47,15.61,15.31,0.29999999999999893,-0.13000000000000078,3247838,5083996,1866968,3217028,1205414
2018-03-18,14.446,15.24,13.92,1.3200000000000003,-1.3200000000000003,14.568,15.41,13.94,1.4700000000000006,-1.4700000000000006,14.04,14.76,13.49,1.2699999999999996,-1.2699999999999996,14.126,14.81,13.5,1.3100000000000005,-1.3100000000000005,4185066,4442296,3811688,630608,-164452
