Date,First Trust Institutional Preferred Securities andEtf_Open_average,First Trust Institutional Preferred Securities andEtf_Open_max,First Trust Institutional Preferred Securities andEtf_Open_min,First Trust Institutional Preferred Securities andEtf_Open_volatility,First Trust Institutional Preferred Securities andEtf_Open_change,First Trust Institutional Preferred Securities andEtf_High_average,First Trust Institutional Preferred Securities andEtf_High_max,First Trust Institutional Preferred Securities andEtf_High_min,First Trust Institutional Preferred Securities andEtf_High_volatility,First Trust Institutional Preferred Securities andEtf_High_change,First Trust Institutional Preferred Securities andEtf_Low_average,First Trust Institutional Preferred Securities andEtf_Low_max,First Trust Institutional Preferred Securities andEtf_Low_min,First Trust Institutional Preferred Securities andEtf_Low_volatility,First Trust Institutional Preferred Securities andEtf_Low_change,First Trust Institutional Preferred Securities andEtf_Close_average,First Trust Institutional Preferred Securities andEtf_Close_max,First Trust Institutional Preferred Securities andEtf_Close_min,First Trust Institutional Preferred Securities andEtf_Close_volatility,First Trust Institutional Preferred Securities andEtf_Close_change
2018-01-14,20.21,20.21,20.21,0.0,0.0,20.22,20.22,20.22,0.0,0.0,20.2,20.2,20.2,0.0,0.0,20.22,20.22,20.22,0.0,0.0
2018-01-21,20.12,20.12,20.12,0.0,0.0,20.21,20.21,20.21,0.0,0.0,20.12,20.12,20.12,0.0,0.0,20.19,20.19,20.19,0.0,0.0
2018-01-28,20.07,20.07,20.07,0.0,0.0,20.1,20.1,20.1,0.0,0.0,20.06,20.06,20.06,0.0,0.0,20.06,20.06,20.06,0.0,0.0
2018-02-04,19.91,19.91,19.91,0.0,0.0,19.95,19.95,19.95,0.0,0.0,19.87,19.87,19.87,0.0,0.0,19.92,19.92,19.92,0.0,0.0
2018-02-11,19.99,19.99,19.99,0.0,0.0,19.99,19.99,19.99,0.0,0.0,19.94,19.94,19.94,0.0,0.0,19.98,19.98,19.98,0.0,0.0
2018-02-18,19.82,19.82,19.82,0.0,0.0,19.87,19.87,19.87,0.0,0.0,19.8,19.8,19.8,0.0,0.0,19.82,19.82,19.82,0.0,0.0
2018-02-25,19.82,19.82,19.82,0.0,0.0,19.83,19.83,19.83,0.0,0.0,19.76,19.76,19.76,0.0,0.0,19.8,19.8,19.8,0.0,0.0
2018-03-04,19.9,19.9,19.9,0.0,0.0,19.9,19.9,19.9,0.0,0.0,19.84,19.84,19.84,0.0,0.0,19.87,19.87,19.87,0.0,0.0
2018-03-11,19.81,19.81,19.81,0.0,0.0,19.88,19.88,19.88,0.0,0.0,19.77,19.77,19.77,0.0,0.0,19.88,19.88,19.88,0.0,0.0
2018-03-18,19.56,19.56,19.56,0.0,0.0,19.59,19.59,19.59,0.0,0.0,19.49,19.49,19.49,0.0,0.0,19.57,19.57,19.57,0.0,0.0
2018-03-25,19.61,19.61,19.61,0.0,0.0,19.61,19.61,19.61,0.0,0.0,19.49,19.49,19.49,0.0,0.0,19.49,19.49,19.49,0.0,0.0
2018-04-01,19.61,19.61,19.61,0.0,0.0,19.63,19.63,19.63,0.0,0.0,19.56,19.56,19.56,0.0,0.0,19.58,19.58,19.58,0.0,0.0
2018-04-08,19.64,19.64,19.64,0.0,0.0,19.68,19.68,19.68,0.0,0.0,19.59,19.59,19.59,0.0,0.0,19.62,19.62,19.62,0.0,0.0
2018-04-15,19.57,19.57,19.57,0.0,0.0,19.58,19.58,19.58,0.0,0.0,19.54,19.54,19.54,0.0,0.0,19.57,19.57,19.57,0.0,0.0
2018-04-22,19.5,19.5,19.5,0.0,0.0,19.52,19.52,19.52,0.0,0.0,19.47,19.47,19.47,0.0,0.0,19.52,19.52,19.52,0.0,0.0
2018-04-29,19.42,19.42,19.42,0.0,0.0,19.44,19.44,19.44,0.0,0.0,19.4,19.4,19.4,0.0,0.0,19.42,19.42,19.42,0.0,0.0
2018-05-06,19.43,19.43,19.43,0.0,0.0,19.46,19.46,19.46,0.0,0.0,19.43,19.43,19.43,0.0,0.0,19.46,19.46,19.46,0.0,0.0
2018-05-13,19.45,19.45,19.45,0.0,0.0,19.45,19.45,19.45,0.0,0.0,19.4,19.4,19.4,0.0,0.0,19.44,19.44,19.44,0.0,0.0
2018-05-20,19.26,19.26,19.26,0.0,0.0,19.28,19.28,19.28,0.0,0.0,19.25,19.25,19.25,0.0,0.0,19.27,19.27,19.27,0.0,0.0
2018-05-27,19.24,19.24,19.24,0.0,0.0,19.24,19.24,19.24,0.0,0.0,19.16,19.16,19.16,0.0,0.0,19.17,19.17,19.17,0.0,0.0
2018-06-03,19.19,19.19,19.19,0.0,0.0,19.19,19.19,19.19,0.0,0.0,19.11,19.11,19.11,0.0,0.0,19.18,19.18,19.18,0.0,0.0
2018-06-10,19.28,19.28,19.28,0.0,0.0,19.28,19.28,19.28,0.0,0.0,19.23,19.23,19.23,0.0,0.0,19.27,19.27,19.27,0.0,0.0
2018-06-17,18.99,18.99,18.99,0.0,0.0,19.08,19.08,19.08,0.0,0.0,18.98,18.98,18.98,0.0,0.0,18.99,18.99,18.99,0.0,0.0
2018-06-24,18.96,18.96,18.96,0.0,0.0,19.0,19.0,19.0,0.0,0.0,18.9,18.9,18.9,0.0,0.0,19.0,19.0,19.0,0.0,0.0
2018-07-01,19.05,19.05,19.05,0.0,0.0,19.06,19.06,19.06,0.0,0.0,18.98,18.98,18.98,0.0,0.0,19.06,19.06,19.06,0.0,0.0
2018-07-08,19.18,19.18,19.18,0.0,0.0,19.19,19.19,19.19,0.0,0.0,19.11,19.11,19.11,0.0,0.0,19.18,19.18,19.18,0.0,0.0
2018-07-15,18.93,18.93,18.93,0.0,0.0,19.03,19.03,19.03,0.0,0.0,18.93,18.93,18.93,0.0,0.0,19.03,19.03,19.03,0.0,0.0
2018-07-22,19.1,19.1,19.1,0.0,0.0,19.16,19.16,19.16,0.0,0.0,19.05,19.05,19.05,0.0,0.0,19.05,19.05,19.05,0.0,0.0
2018-07-29,19.21,19.21,19.21,0.0,0.0,19.21,19.21,19.21,0.0,0.0,19.11,19.11,19.11,0.0,0.0,19.2,19.2,19.2,0.0,0.0
2018-08-05,19.09,19.09,19.09,0.0,0.0,19.23,19.23,19.23,0.0,0.0,19.09,19.09,19.09,0.0,0.0,19.2,19.2,19.2,0.0,0.0
