Date,ProShares UltraPro 3x Short Crude Oil_etf_Open_average,ProShares UltraPro 3x Short Crude Oil_etf_Open_max,ProShares UltraPro 3x Short Crude Oil_etf_Open_min,ProShares UltraPro 3x Short Crude Oil_etf_Open_volatility,ProShares UltraPro 3x Short Crude Oil_etf_Open_change,ProShares UltraPro 3x Short Crude Oil_etf_High_average,ProShares UltraPro 3x Short Crude Oil_etf_High_max,ProShares UltraPro 3x Short Crude Oil_etf_High_min,ProShares UltraPro 3x Short Crude Oil_etf_High_volatility,ProShares UltraPro 3x Short Crude Oil_etf_High_change,ProShares UltraPro 3x Short Crude Oil_etf_Low_average,ProShares UltraPro 3x Short Crude Oil_etf_Low_max,ProShares UltraPro 3x Short Crude Oil_etf_Low_min,ProShares UltraPro 3x Short Crude Oil_etf_Low_volatility,ProShares UltraPro 3x Short Crude Oil_etf_Low_change,ProShares UltraPro 3x Short Crude Oil_etf_Close_average,ProShares UltraPro 3x Short Crude Oil_etf_Close_max,ProShares UltraPro 3x Short Crude Oil_etf_Close_min,ProShares UltraPro 3x Short Crude Oil_etf_Close_volatility,ProShares UltraPro 3x Short Crude Oil_etf_Close_change
2018-01-14,36.64,36.64,36.64,0.0,0.0,37.0,37.0,37.0,0.0,0.0,36.08,36.08,36.08,0.0,0.0,36.2,36.2,36.2,0.0,0.0
2018-01-21,32.88,32.88,32.88,0.0,0.0,32.96,32.96,32.96,0.0,0.0,31.68,31.68,31.68,0.0,0.0,31.92,31.92,31.92,0.0,0.0
2018-01-28,32.72,32.72,32.72,0.0,0.0,34.24,34.24,34.24,0.0,0.0,32.36,32.36,32.36,0.0,0.0,33.28,33.28,33.28,0.0,0.0
2018-02-04,41.32,41.32,41.32,0.0,0.0,45.8,45.8,45.8,0.0,0.0,41.0,41.0,41.0,0.0,0.0,43.68,43.68,43.68,0.0,0.0
2018-02-11,39.36,39.36,39.36,0.0,0.0,39.8,39.8,39.8,0.0,0.0,37.72,37.72,37.72,0.0,0.0,38.36,38.36,38.36,0.0,0.0
2018-02-18,35.88,35.88,35.88,0.0,0.0,35.96,35.96,35.96,0.0,0.0,34.16,34.16,34.16,0.0,0.0,34.36,34.36,34.36,0.0,0.0
2018-02-25,39.2,39.2,39.2,0.0,0.0,40.24,40.24,40.24,0.0,0.0,37.76,37.76,37.76,0.0,0.0,37.84,37.84,37.84,0.0,0.0
2018-03-04,38.16,38.16,38.16,0.0,0.0,38.28,38.28,38.28,0.0,0.0,36.0,36.0,36.0,0.0,0.0,36.16,36.16,36.16,0.0,0.0
2018-03-11,37.24,37.24,37.24,0.0,0.0,37.5,37.5,37.5,0.0,0.0,34.92,34.92,34.92,0.0,0.0,35.36,35.36,35.36,0.0,0.0
2018-03-18,30.97,30.97,30.97,0.0,0.0,31.07,31.07,31.07,0.0,0.0,29.44,29.44,29.44,0.0,0.0,29.55,29.55,29.55,0.0,0.0
2018-03-25,31.48,31.48,31.48,0.0,0.0,31.9,31.9,31.9,0.0,0.0,30.38,30.38,30.38,0.0,0.0,30.77,30.77,30.77,0.0,0.0
2018-04-01,32.72,32.72,32.72,0.0,0.0,35.33,35.33,35.33,0.0,0.0,32.48,32.48,32.48,0.0,0.0,35.1,35.1,35.1,0.0,0.0
2018-04-08,27.43,27.43,27.43,0.0,0.0,27.63,27.63,27.63,0.0,0.0,26.81,26.81,26.81,0.0,0.0,27.3,27.3,27.3,0.0,0.0
2018-04-15,26.4,26.4,26.4,0.0,0.0,26.55,26.55,26.55,0.0,0.0,25.34,25.34,25.34,0.0,0.0,25.79,25.79,25.79,0.0,0.0
2018-04-22,26.02,26.02,26.02,0.0,0.0,26.09,26.09,26.09,0.0,0.0,25.44,25.44,25.44,0.0,0.0,25.77,25.77,25.77,0.0,0.0
2018-04-29,25.18,25.18,25.18,0.0,0.0,25.24,25.24,25.24,0.0,0.0,23.59,23.59,23.59,0.0,0.0,23.79,23.79,23.79,0.0,0.0
2018-05-06,22.11,22.11,22.11,0.0,0.0,22.69,22.69,22.69,0.0,0.0,21.87,21.87,21.87,0.0,0.0,22.61,22.61,22.61,0.0,0.0
2018-05-13,21.78,21.78,21.78,0.0,0.0,22.1,22.1,22.1,0.0,0.0,21.52,21.52,21.52,0.0,0.0,21.81,21.81,21.81,0.0,0.0
2018-05-20,24.12,24.12,24.12,0.0,0.0,25.41,25.41,25.41,0.0,0.0,24.12,24.12,24.12,0.0,0.0,25.3,25.3,25.3,0.0,0.0
2018-05-27,26.71,26.71,26.71,0.0,0.0,27.61,27.61,27.61,0.0,0.0,26.08,26.08,26.08,0.0,0.0,27.6,27.6,27.6,0.0,0.0
2018-06-03,27.02,27.02,27.02,0.0,0.0,27.89,27.89,27.89,0.0,0.0,26.6,26.6,26.6,0.0,0.0,27.33,27.33,27.33,0.0,0.0
2018-06-10,26.46,26.46,26.46,0.0,0.0,28.79,28.79,28.79,0.0,0.0,26.46,26.46,26.46,0.0,0.0,28.75,28.75,28.75,0.0,0.0
2018-06-17,25.07,25.07,25.07,0.0,0.0,25.65,25.65,25.65,0.0,0.0,23.53,23.53,23.53,0.0,0.0,23.58,23.58,23.58,0.0,0.0
2018-06-24,19.56,19.56,19.56,0.0,0.0,19.62,19.62,19.62,0.0,0.0,19.05,19.05,19.05,0.0,0.0,19.27,19.27,19.27,0.0,0.0
2018-07-01,21.04,21.04,21.04,0.0,0.0,21.04,21.04,21.04,0.0,0.0,19.9,19.9,19.9,0.0,0.0,19.99,19.99,19.99,0.0,0.0
2018-07-08,21.53,21.53,21.53,0.0,0.0,21.63,21.63,21.63,0.0,0.0,20.45,20.45,20.45,0.0,0.0,21.34,21.34,21.34,0.0,0.0
2018-07-15,22.43,22.43,22.43,0.0,0.0,22.92,22.92,22.92,0.0,0.0,22.24,22.24,22.24,0.0,0.0,22.62,22.62,22.62,0.0,0.0
2018-07-22,21.22,21.22,21.22,0.0,0.0,22.27,22.27,22.27,0.0,0.0,20.98,20.98,20.98,0.0,0.0,21.77,21.77,21.77,0.0,0.0
2018-07-29,21.64,21.64,21.64,0.0,0.0,22.52,22.52,22.52,0.0,0.0,21.47,21.47,21.47,0.0,0.0,21.8,21.8,21.8,0.0,0.0
2018-08-05,22.88,22.88,22.88,0.0,0.0,22.97,22.97,22.97,0.0,0.0,22.39,22.39,22.39,0.0,0.0,22.54,22.54,22.54,0.0,0.0
2018-08-12,23.65,23.65,23.65,0.0,0.0,24.74,24.74,24.74,0.0,0.0,23.62,23.62,23.62,0.0,0.0,24.31,24.31,24.31,0.0,0.0
2018-08-19,20.36,20.36,20.36,0.0,0.0,21.06,21.06,21.06,0.0,0.0,20.07,20.07,20.07,0.0,0.0,20.74,20.74,20.74,0.0,0.0
2018-08-26,19.52,19.52,19.52,0.0,0.0,19.78,19.78,19.78,0.0,0.0,19.31,19.31,19.31,0.0,0.0,19.61,19.61,19.61,0.0,0.0
2018-09-02,21.86,21.86,21.86,0.0,0.0,22.09,22.09,22.09,0.0,0.0,21.13,21.13,21.13,0.0,0.0,21.19,21.19,21.19,0.0,0.0
2018-09-09,20.15,20.15,20.15,0.0,0.0,20.86,20.86,20.86,0.0,0.0,19.17,19.17,19.17,0.0,0.0,20.02,20.02,20.02,0.0,0.0
2018-09-16,18.1,18.1,18.1,0.0,0.0,18.89,18.89,18.89,0.0,0.0,17.49,17.49,17.49,0.0,0.0,18.24,18.24,18.24,0.0,0.0
2018-09-23,17.18,17.18,17.18,0.0,0.0,17.21,17.21,17.21,0.0,0.0,16.09,16.09,16.09,0.0,0.0,16.27,16.27,16.27,0.0,0.0
2018-09-30,15.48,15.48,15.48,0.0,0.0,15.84,15.84,15.84,0.0,0.0,15.0,15.0,15.0,0.0,0.0,15.51,15.51,15.51,0.0,0.0
2018-10-07,17.19,17.19,17.19,0.0,0.0,17.98,17.98,17.98,0.0,0.0,17.13,17.13,17.13,0.0,0.0,17.26,17.26,17.26,0.0,0.0
2018-10-14,18.55,18.55,18.55,0.0,0.0,18.8,18.8,18.8,0.0,0.0,18.13,18.13,18.13,0.0,0.0,18.44,18.44,18.44,0.0,0.0
2018-10-21,20.68,20.68,20.68,0.0,0.0,20.87,20.87,20.87,0.0,0.0,19.56,19.56,19.56,0.0,0.0,19.72,19.72,19.72,0.0,0.0
2018-10-28,23.99,23.99,23.99,0.0,0.0,24.64,24.64,24.64,0.0,0.0,23.5,23.5,23.5,0.0,0.0,24.45,24.45,24.45,0.0,0.0
2018-11-04,28.5,28.5,28.5,0.0,0.0,28.88,28.88,28.88,0.0,0.0,27.25,27.25,27.25,0.0,0.0,28.16,28.16,28.16,0.0,0.0
2018-11-11,30.81,30.81,30.81,0.0,0.0,33.49,33.49,33.49,0.0,0.0,30.0,30.0,30.0,0.0,0.0,31.92,31.92,31.92,0.0,0.0
2018-11-18,41.68,41.68,41.68,0.0,0.0,43.27,43.27,43.27,0.0,0.0,41.36,41.36,41.36,0.0,0.0,41.83,41.83,41.83,0.0,0.0
2018-11-25,43.42,43.42,43.42,0.0,0.0,44.7,44.7,44.7,0.0,0.0,40.15,40.15,40.15,0.0,0.0,42.31,42.31,42.31,0.0,0.0
