Date,SEIIStock_Open_average,SEIIStock_Open_max,SEIIStock_Open_min,SEIIStock_Open_volatility,SEIIStock_Open_change,SEIIStock_High_average,SEIIStock_High_max,SEIIStock_High_min,SEIIStock_High_volatility,SEIIStock_High_change,SEIIStock_Low_average,SEIIStock_Low_max,SEIIStock_Low_min,SEIIStock_Low_volatility,SEIIStock_Low_change,SEIIStock_Close_average,SEIIStock_Close_max,SEIIStock_Close_min,SEIIStock_Close_volatility,SEIIStock_Close_change,SEIIStock_Volume_average,SEIIStock_Volume_max,SEIIStock_Volume_min,SEIIStock_Volume_volatility,SEIIStock_Volume_change
2018-01-14,6.717,6.92,6.528,0.39200000000000035,-0.3020000000000005,6.88375,7.1579999999999995,6.528,0.6299999999999999,-0.6299999999999999,6.265,6.58,5.77,0.8100000000000005,-0.7300000000000004,6.4675,6.95,5.82,1.13,-1.13,112759,142008,85411,56597,-33624
2018-01-21,5.324,5.79,4.95,0.8399999999999999,-0.5700000000000003,5.466,5.82,5.24,0.5800000000000001,-0.4500000000000002,4.906,5.2,4.73,0.46999999999999975,-0.2999999999999998,5.112,5.42,4.92,0.5,-0.2599999999999998,135421,224527,85780,138747,-4385
2018-01-28,4.736,5.16,4.37,0.79,-0.7800000000000002,4.8646,5.29,4.575,0.7149999999999999,-0.71,4.472,4.92,4.03,0.8899999999999997,-0.8899999999999997,4.584,5.02,4.36,0.6599999999999993,-0.6599999999999993,62729,103899,44307,59592,-9929
2018-02-04,4.234,4.4,3.99,0.41000000000000014,-0.019999999999999574,4.3915999999999995,4.629,4.0889999999999995,0.54,-0.54,3.9794,4.16,3.647,0.5130000000000003,-0.3530000000000002,4.1259999999999994,4.39,3.68,0.7099999999999995,-0.7099999999999995,37436,76177,24716,51461,-45523
2018-02-11,4.1364,4.4319999999999995,3.78,0.6519999999999997,0.5299999999999998,4.513,4.78,4.35,0.4300000000000006,-0.33699999999999974,4.004,4.14,3.78,0.3599999999999999,0.27,4.164,4.28,4.04,0.2400000000000002,0.16000000000000014,47926,110182,26826,83356,-75083
2018-02-18,4.12925,4.22,4.0,0.21999999999999975,-0.03699999999999992,4.23025,4.33,4.13,0.20000000000000018,-0.20000000000000018,4.01175,4.027,4.0,0.027000000000000135,-0.007000000000000561,4.0825,4.19,4.02,0.17000000000000082,-0.05999999999999961,14566,27896,8067,19829,-5456
2018-02-25,4.1982,4.311,4.11,0.20099999999999962,0.020000000000000462,4.3938,4.75,4.225,0.5250000000000004,0.3799999999999999,4.116,4.2,4.05,0.15000000000000036,0.020000000000000462,4.192,4.54,4.05,0.4900000000000002,0.33000000000000007,55781,132836,21611,111225,65115
2018-03-04,5.024,5.48,4.6,0.8800000000000008,0.54,5.2294,5.5,4.92,0.5800000000000001,0.5800000000000001,4.882,5.01,4.6,0.41000000000000014,0.40000000000000036,4.998,5.12,4.78,0.33999999999999986,0.2999999999999998,146429,233286,84569,148717,72389
2018-03-11,4.636,5.11,4.3,0.8100000000000005,-0.8100000000000005,4.7292000000000005,5.11,4.48,0.6299999999999999,-0.6299999999999999,4.4162,4.71,4.24,0.46999999999999975,-0.41000000000000014,4.486,4.83,4.33,0.5,-0.46999999999999975,36933,47931,30084,17847,-8566
2018-03-18,4.326,4.52,4.11,0.40999999999999925,-0.27999999999999936,4.364,4.52,4.24,0.27999999999999936,-0.27999999999999936,4.03,4.26,3.58,0.6799999999999997,-0.6799999999999997,4.114,4.3,3.76,0.54,-0.5,28884,45781,12332,33449,27738
