Date,Morgan Stanley Market Vectors Double Short EuroEtf_Open_average,Morgan Stanley Market Vectors Double Short EuroEtf_Open_max,Morgan Stanley Market Vectors Double Short EuroEtf_Open_min,Morgan Stanley Market Vectors Double Short EuroEtf_Open_volatility,Morgan Stanley Market Vectors Double Short EuroEtf_Open_change,Morgan Stanley Market Vectors Double Short EuroEtf_High_average,Morgan Stanley Market Vectors Double Short EuroEtf_High_max,Morgan Stanley Market Vectors Double Short EuroEtf_High_min,Morgan Stanley Market Vectors Double Short EuroEtf_High_volatility,Morgan Stanley Market Vectors Double Short EuroEtf_High_change,Morgan Stanley Market Vectors Double Short EuroEtf_Low_average,Morgan Stanley Market Vectors Double Short EuroEtf_Low_max,Morgan Stanley Market Vectors Double Short EuroEtf_Low_min,Morgan Stanley Market Vectors Double Short EuroEtf_Low_volatility,Morgan Stanley Market Vectors Double Short EuroEtf_Low_change,Morgan Stanley Market Vectors Double Short EuroEtf_Close_average,Morgan Stanley Market Vectors Double Short EuroEtf_Close_max,Morgan Stanley Market Vectors Double Short EuroEtf_Close_min,Morgan Stanley Market Vectors Double Short EuroEtf_Close_volatility,Morgan Stanley Market Vectors Double Short EuroEtf_Close_change
2018-01-14,46.56,46.56,46.56,0.0,0.0,47.73,47.73,47.73,0.0,0.0,46.2,46.2,46.2,0.0,0.0,47.43,47.43,47.43,0.0,0.0
2018-01-21,45.01,45.01,45.01,0.0,0.0,45.58,45.58,45.58,0.0,0.0,45.01,45.01,45.01,0.0,0.0,45.58,45.58,45.58,0.0,0.0
2018-01-28,47.87,47.87,47.87,0.0,0.0,51.19,51.19,51.19,0.0,0.0,47.87,47.87,47.87,0.0,0.0,51.19,51.19,51.19,0.0,0.0
2018-02-04,45.61,45.61,45.61,0.0,0.0,47.87,47.87,47.87,0.0,0.0,45.61,45.61,45.61,0.0,0.0,47.25,47.25,47.25,0.0,0.0
2018-02-11,46.0,46.0,46.0,0.0,0.0,46.0,46.0,46.0,0.0,0.0,46.0,46.0,46.0,0.0,0.0,46.0,46.0,46.0,0.0,0.0
2018-02-18,45.25,45.25,45.25,0.0,0.0,46.61,46.61,46.61,0.0,0.0,44.47,44.47,44.47,0.0,0.0,45.57,45.57,45.57,0.0,0.0
2018-02-25,49.88,49.88,49.88,0.0,0.0,49.88,49.88,49.88,0.0,0.0,49.88,49.88,49.88,0.0,0.0,49.88,49.88,49.88,0.0,0.0
2018-03-04,44.75,44.75,44.75,0.0,0.0,47.0,47.0,47.0,0.0,0.0,44.75,44.75,44.75,0.0,0.0,46.58,46.58,46.58,0.0,0.0
2018-03-11,47.0,47.0,47.0,0.0,0.0,47.0,47.0,47.0,0.0,0.0,47.0,47.0,47.0,0.0,0.0,47.0,47.0,47.0,0.0,0.0
2018-03-18,45.66,45.66,45.66,0.0,0.0,46.52,46.52,46.52,0.0,0.0,45.36,45.36,45.36,0.0,0.0,46.52,46.52,46.52,0.0,0.0
2018-03-25,46.16,46.16,46.16,0.0,0.0,46.98,46.98,46.98,0.0,0.0,46.09,46.09,46.09,0.0,0.0,46.97,46.97,46.97,0.0,0.0
2018-04-01,46.5,46.5,46.5,0.0,0.0,47.48,47.48,47.48,0.0,0.0,46.5,46.5,46.5,0.0,0.0,47.48,47.48,47.48,0.0,0.0
2018-04-08,47.75,47.75,47.75,0.0,0.0,47.75,47.75,47.75,0.0,0.0,47.75,47.75,47.75,0.0,0.0,47.75,47.75,47.75,0.0,0.0
2018-04-15,48.75,48.75,48.75,0.0,0.0,48.75,48.75,48.75,0.0,0.0,47.77,47.77,47.77,0.0,0.0,48.47,48.47,48.47,0.0,0.0
