Date,JPMorgan Diversified Return US Small Cap Equity_Open_average,JPMorgan Diversified Return US Small Cap Equity_Open_max,JPMorgan Diversified Return US Small Cap Equity_Open_min,JPMorgan Diversified Return US Small Cap Equity_Open_volatility,JPMorgan Diversified Return US Small Cap Equity_Open_change,JPMorgan Diversified Return US Small Cap Equity_High_average,JPMorgan Diversified Return US Small Cap Equity_High_max,JPMorgan Diversified Return US Small Cap Equity_High_min,JPMorgan Diversified Return US Small Cap Equity_High_volatility,JPMorgan Diversified Return US Small Cap Equity_High_change,JPMorgan Diversified Return US Small Cap Equity_Low_average,JPMorgan Diversified Return US Small Cap Equity_Low_max,JPMorgan Diversified Return US Small Cap Equity_Low_min,JPMorgan Diversified Return US Small Cap Equity_Low_volatility,JPMorgan Diversified Return US Small Cap Equity_Low_change,JPMorgan Diversified Return US Small Cap Equity_Close_average,JPMorgan Diversified Return US Small Cap Equity_Close_max,JPMorgan Diversified Return US Small Cap Equity_Close_min,JPMorgan Diversified Return US Small Cap Equity_Close_volatility,JPMorgan Diversified Return US Small Cap Equity_Close_change
2018-01-14,30.5,30.5,30.5,0.0,0.0,30.53,30.53,30.53,0.0,0.0,30.33,30.33,30.33,0.0,0.0,30.53,30.53,30.53,0.0,0.0
2018-01-21,30.63,30.63,30.63,0.0,0.0,30.63,30.63,30.63,0.0,0.0,30.35,30.35,30.35,0.0,0.0,30.35,30.35,30.35,0.0,0.0
2018-01-28,29.26,29.26,29.26,0.0,0.0,29.31,29.31,29.31,0.0,0.0,28.5,28.5,28.5,0.0,0.0,28.56,28.56,28.56,0.0,0.0
2018-02-04,28.33,28.33,28.33,0.0,0.0,28.54,28.54,28.54,0.0,0.0,28.02,28.02,28.02,0.0,0.0,28.48,28.48,28.48,0.0,0.0
2018-02-11,29.29,29.29,29.29,0.0,0.0,29.35,29.35,29.35,0.0,0.0,29.25,29.25,29.25,0.0,0.0,29.31,29.31,29.31,0.0,0.0
2018-02-18,29.37,29.37,29.37,0.0,0.0,29.51,29.51,29.51,0.0,0.0,29.25,29.25,29.25,0.0,0.0,29.48,29.48,29.48,0.0,0.0
2018-02-25,28.76,28.76,28.76,0.0,0.0,29.03,29.03,29.03,0.0,0.0,28.74,28.74,28.74,0.0,0.0,28.99,28.99,28.99,0.0,0.0
2018-03-04,30.07,30.07,30.07,0.0,0.0,30.07,30.07,30.07,0.0,0.0,29.87,29.87,29.87,0.0,0.0,30.0,30.0,30.0,0.0,0.0
2018-03-11,29.77,29.77,29.77,0.0,0.0,29.77,29.77,29.77,0.0,0.0,29.28,29.28,29.28,0.0,0.0,29.59,29.59,29.59,0.0,0.0
2018-03-18,28.84,28.84,28.84,0.0,0.0,29.14,29.14,29.14,0.0,0.0,28.7,28.7,28.7,0.0,0.0,29.09,29.09,29.09,0.0,0.0
2018-03-25,29.03,29.03,29.03,0.0,0.0,29.03,29.03,29.03,0.0,0.0,28.29,28.29,28.29,0.0,0.0,28.42,28.42,28.42,0.0,0.0
2018-04-01,29.2,29.2,29.2,0.0,0.0,29.4,29.4,29.4,0.0,0.0,29.03,29.03,29.03,0.0,0.0,29.03,29.03,29.03,0.0,0.0
2018-04-08,29.79,29.79,29.79,0.0,0.0,29.95,29.95,29.95,0.0,0.0,29.71,29.71,29.71,0.0,0.0,29.9,29.9,29.9,0.0,0.0
2018-04-15,29.84,29.84,29.84,0.0,0.0,29.88,29.88,29.88,0.0,0.0,29.65,29.65,29.65,0.0,0.0,29.68,29.68,29.68,0.0,0.0
2018-04-22,29.68,29.68,29.68,0.0,0.0,29.83,29.83,29.83,0.0,0.0,29.42,29.42,29.42,0.0,0.0,29.44,29.44,29.44,0.0,0.0
2018-04-29,29.92,29.92,29.92,0.0,0.0,30.07,30.07,30.07,0.0,0.0,29.87,29.87,29.87,0.0,0.0,29.99,29.99,29.99,0.0,0.0
2018-05-06,30.34,30.34,30.34,0.0,0.0,30.45,30.45,30.45,0.0,0.0,30.22,30.22,30.22,0.0,0.0,30.22,30.22,30.22,0.0,0.0
2018-05-13,30.94,30.94,30.94,0.0,0.0,30.96,30.96,30.96,0.0,0.0,30.85,30.85,30.85,0.0,0.0,30.96,30.96,30.96,0.0,0.0
2018-05-20,30.75,30.75,30.75,0.0,0.0,30.84,30.84,30.84,0.0,0.0,30.72,30.72,30.72,0.0,0.0,30.73,30.73,30.73,0.0,0.0
2018-05-27,31.27,31.27,31.27,0.0,0.0,31.32,31.32,31.32,0.0,0.0,31.2,31.2,31.2,0.0,0.0,31.28,31.28,31.28,0.0,0.0
2018-06-03,31.8,31.8,31.8,0.0,0.0,31.81,31.81,31.81,0.0,0.0,31.64,31.64,31.64,0.0,0.0,31.74,31.74,31.74,0.0,0.0
2018-06-10,31.95,31.95,31.95,0.0,0.0,32.13,32.13,32.13,0.0,0.0,31.85,31.85,31.85,0.0,0.0,32.13,32.13,32.13,0.0,0.0
2018-06-17,31.82,31.82,31.82,0.0,0.0,31.83,31.83,31.83,0.0,0.0,31.56,31.56,31.56,0.0,0.0,31.73,31.73,31.73,0.0,0.0
2018-06-24,31.4,31.4,31.4,0.0,0.0,31.69,31.69,31.69,0.0,0.0,31.29,31.29,31.29,0.0,0.0,31.69,31.69,31.69,0.0,0.0
2018-07-01,32.57,32.57,32.57,0.0,0.0,32.57,32.57,32.57,0.0,0.0,32.4,32.4,32.4,0.0,0.0,32.45,32.45,32.45,0.0,0.0
2018-07-08,32.45,32.45,32.45,0.0,0.0,32.45,32.45,32.45,0.0,0.0,31.98,31.98,31.98,0.0,0.0,32.01,32.01,32.01,0.0,0.0
