Date,MNTA_stock_Open_average,MNTA_stock_Open_max,MNTA_stock_Open_min,MNTA_stock_Open_volatility,MNTA_stock_Open_change,MNTA_stock_High_average,MNTA_stock_High_max,MNTA_stock_High_min,MNTA_stock_High_volatility,MNTA_stock_High_change,MNTA_stock_Low_average,MNTA_stock_Low_max,MNTA_stock_Low_min,MNTA_stock_Low_volatility,MNTA_stock_Low_change,MNTA_stock_Close_average,MNTA_stock_Close_max,MNTA_stock_Close_min,MNTA_stock_Close_volatility,MNTA_stock_Close_change,MNTA_stock_Volume_average,MNTA_stock_Volume_max,MNTA_stock_Volume_min,MNTA_stock_Volume_volatility,MNTA_stock_Volume_change
2018-01-14,15.35,15.7,15.2,0.5,-0.5,16.0575,17.35,15.43,1.9200000000000017,1.5500000000000007,14.93,15.05,14.88,0.16999999999999993,0.009999999999999787,15.5125,16.4,15.0,1.3999999999999986,1.3999999999999986,1360920,2336034,723267,1612767,1612767
2018-01-21,16.48,16.6,16.4,0.20000000000000284,0.0,16.830000000000002,17.1,16.6,0.5,-0.40000000000000213,16.07,16.35,15.75,0.6000000000000014,0.45000000000000107,16.45,16.6,16.25,0.3500000000000014,-0.05000000000000071,615658,1058789,362543,696246,-346912
2018-01-28,16.93,17.45,16.35,1.0999999999999979,0.0,17.26,18.3,16.55,1.75,-0.34999999999999787,16.426000000000002,16.85,15.9,0.9500000000000011,-0.40999999999999837,16.65,17.25,15.9,1.3499999999999996,-0.4999999999999982,855215,1751144,366367,1384777,183587
2018-02-04,15.8,16.15,15.05,1.0999999999999979,0.3000000000000007,16.444,16.62,16.25,0.370000000000001,0.3200000000000003,15.440000000000001,16.1,15.05,1.0500000000000007,-0.049999999999998934,16.0,16.25,15.4,0.8499999999999996,0.8499999999999996,647466,779566,442850,336716,132123
2018-02-11,16.16,16.95,15.15,1.799999999999999,-0.09999999999999787,16.636,17.05,16.48,0.5700000000000003,-0.019999999999999574,15.75,16.0,15.15,0.8499999999999996,-0.05000000000000071,16.14,16.3,16.0,0.3000000000000007,-0.25,722233,1103133,470260,632873,-56016
2018-02-18,16.45,17.0,15.9,1.0999999999999996,1.0999999999999996,17.1075,17.65,16.35,1.2999999999999972,1.129999999999999,16.1925,16.8,15.6,1.200000000000001,1.049999999999999,16.625,17.3,15.95,1.3500000000000014,1.3500000000000014,1523205,2684585,804060,1880525,1842638
2018-02-25,17.35,17.85,17.0,0.8500000000000014,-0.3000000000000007,17.846,18.2,17.6,0.5999999999999979,-0.45000000000000284,17.04,17.4,16.65,0.75,-0.4499999999999993,17.43,17.9,17.05,0.8499999999999979,-0.34999999999999787,913022,1200708,702683,498025,-498025
2018-03-04,17.54,17.75,17.35,0.3999999999999986,0.3999999999999986,17.95,18.85,17.65,1.2000000000000028,1.0500000000000007,17.262,17.56,17.0,0.5599999999999987,0.5599999999999987,17.76,18.5,17.55,0.9499999999999993,0.8999999999999986,710267,1032720,371228,661492,390670
2018-03-11,18.45,18.85,17.85,1.0,-0.6999999999999993,18.79,18.95,18.7,0.25,-0.1999999999999993,17.97,18.3,17.55,0.75,-0.6999999999999993,18.39,18.7,17.8,0.8999999999999986,0.0,1083788,1469408,499787,969621,707340
2018-03-18,18.330000000000002,18.5,17.95,0.5500000000000007,-0.5500000000000007,18.573999999999998,19.0,18.07,0.9299999999999997,-0.4299999999999997,17.694,18.22,16.7,1.5199999999999996,-1.1500000000000021,17.99,18.8,16.75,2.0500000000000007,-1.5,690927,914038,514036,400002,-400002
2018-03-25,17.325,17.9,17.05,0.8499999999999979,0.8499999999999979,17.82,18.25,17.48,0.7699999999999996,0.7699999999999996,16.9825,17.5,16.48,1.0199999999999996,1.0199999999999996,17.575,18.15,17.1,1.0499999999999972,1.0499999999999972,767143,891361,535155,356206,356206
