Date,SPDR Solactive Japan_etf_Open_average,SPDR Solactive Japan_etf_Open_max,SPDR Solactive Japan_etf_Open_min,SPDR Solactive Japan_etf_Open_volatility,SPDR Solactive Japan_etf_Open_change,SPDR Solactive Japan_etf_High_average,SPDR Solactive Japan_etf_High_max,SPDR Solactive Japan_etf_High_min,SPDR Solactive Japan_etf_High_volatility,SPDR Solactive Japan_etf_High_change,SPDR Solactive Japan_etf_Low_average,SPDR Solactive Japan_etf_Low_max,SPDR Solactive Japan_etf_Low_min,SPDR Solactive Japan_etf_Low_volatility,SPDR Solactive Japan_etf_Low_change,SPDR Solactive Japan_etf_Close_average,SPDR Solactive Japan_etf_Close_max,SPDR Solactive Japan_etf_Close_min,SPDR Solactive Japan_etf_Close_volatility,SPDR Solactive Japan_etf_Close_change
2018-01-14,82.3,82.3,82.3,0.0,0.0,82.3,82.3,82.3,0.0,0.0,82.3,82.3,82.3,0.0,0.0,82.3,82.3,82.3,0.0,0.0
2018-01-21,83.25,83.25,83.25,0.0,0.0,83.53,83.53,83.53,0.0,0.0,83.19,83.19,83.19,0.0,0.0,83.53,83.53,83.53,0.0,0.0
2018-01-28,81.18,81.18,81.18,0.0,0.0,81.18,81.18,81.18,0.0,0.0,81.18,81.18,81.18,0.0,0.0,81.18,81.18,81.18,0.0,0.0
2018-02-04,77.05,77.05,77.05,0.0,0.0,77.54,77.54,77.54,0.0,0.0,75.97,75.97,75.97,0.0,0.0,77.54,77.54,77.54,0.0,0.0
2018-02-11,80.2,80.2,80.2,0.0,0.0,80.2,80.2,80.2,0.0,0.0,80.2,80.2,80.2,0.0,0.0,80.2,80.2,80.2,0.0,0.0
2018-02-18,80.27,80.27,80.27,0.0,0.0,80.27,80.27,80.27,0.0,0.0,80.27,80.27,80.27,0.0,0.0,80.27,80.27,80.27,0.0,0.0
2018-02-25,77.36,77.36,77.36,0.0,0.0,78.44,78.44,78.44,0.0,0.0,77.36,77.36,77.36,0.0,0.0,78.35,78.35,78.35,0.0,0.0
2018-03-04,79.52,79.52,79.52,0.0,0.0,79.52,79.52,79.52,0.0,0.0,79.52,79.52,79.52,0.0,0.0,79.52,79.52,79.52,0.0,0.0
2018-03-11,79.65,79.65,79.65,0.0,0.0,79.65,79.65,79.65,0.0,0.0,79.65,79.65,79.65,0.0,0.0,79.65,79.65,79.65,0.0,0.0
2018-03-18,78.2,78.2,78.2,0.0,0.0,78.2,78.2,78.2,0.0,0.0,77.06,77.06,77.06,0.0,0.0,77.06,77.06,77.06,0.0,0.0
2018-03-25,80.88,80.88,80.88,0.0,0.0,80.88,80.88,80.88,0.0,0.0,80.88,80.88,80.88,0.0,0.0,80.88,80.88,80.88,0.0,0.0
2018-04-01,79.29,79.29,79.29,0.0,0.0,79.65,79.65,79.65,0.0,0.0,79.29,79.29,79.29,0.0,0.0,79.65,79.65,79.65,0.0,0.0
2018-04-08,79.25,79.25,79.25,0.0,0.0,79.41,79.41,79.41,0.0,0.0,79.21,79.21,79.21,0.0,0.0,79.41,79.41,79.41,0.0,0.0
2018-04-15,80.67,80.67,80.67,0.0,0.0,80.72,80.72,80.72,0.0,0.0,80.67,80.67,80.67,0.0,0.0,80.72,80.72,80.72,0.0,0.0
2018-04-22,80.42,80.42,80.42,0.0,0.0,80.42,80.42,80.42,0.0,0.0,80.32,80.32,80.32,0.0,0.0,80.32,80.32,80.32,0.0,0.0
2018-04-29,79.1,79.1,79.1,0.0,0.0,79.1,79.1,79.1,0.0,0.0,79.1,79.1,79.1,0.0,0.0,79.1,79.1,79.1,0.0,0.0
2018-05-06,80.86,80.86,80.86,0.0,0.0,80.86,80.86,80.86,0.0,0.0,80.76,80.76,80.76,0.0,0.0,80.76,80.76,80.76,0.0,0.0
2018-05-13,80.46,80.46,80.46,0.0,0.0,80.46,80.46,80.46,0.0,0.0,80.46,80.46,80.46,0.0,0.0,80.46,80.46,80.46,0.0,0.0
2018-05-20,80.0,80.0,80.0,0.0,0.0,80.0,80.0,80.0,0.0,0.0,80.0,80.0,80.0,0.0,0.0,80.0,80.0,80.0,0.0,0.0
2018-05-27,79.71,79.71,79.71,0.0,0.0,79.71,79.71,79.71,0.0,0.0,79.58,79.58,79.58,0.0,0.0,79.58,79.58,79.58,0.0,0.0
2018-06-03,79.87,79.87,79.87,0.0,0.0,79.87,79.87,79.87,0.0,0.0,79.87,79.87,79.87,0.0,0.0,79.87,79.87,79.87,0.0,0.0
2018-06-10,79.97,79.97,79.97,0.0,0.0,79.97,79.97,79.97,0.0,0.0,79.97,79.97,79.97,0.0,0.0,79.97,79.97,79.97,0.0,0.0
2018-06-17,79.37,79.37,79.37,0.0,0.0,79.37,79.37,79.37,0.0,0.0,79.29,79.29,79.29,0.0,0.0,79.29,79.29,79.29,0.0,0.0
2018-06-24,77.4,77.4,77.4,0.0,0.0,77.4,77.4,77.4,0.0,0.0,77.4,77.4,77.4,0.0,0.0,77.4,77.4,77.4,0.0,0.0
2018-07-01,76.7,76.7,76.7,0.0,0.0,76.77,76.77,76.77,0.0,0.0,76.59,76.59,76.59,0.0,0.0,76.77,76.77,76.77,0.0,0.0
2018-07-08,76.5,76.5,76.5,0.0,0.0,76.5,76.5,76.5,0.0,0.0,76.5,76.5,76.5,0.0,0.0,76.5,76.5,76.5,0.0,0.0
2018-07-15,77.42,77.42,77.42,0.0,0.0,77.42,77.42,77.42,0.0,0.0,77.42,77.42,77.42,0.0,0.0,77.42,77.42,77.42,0.0,0.0
2018-07-22,79.52,79.52,79.52,0.0,0.0,79.52,79.52,79.52,0.0,0.0,79.52,79.52,79.52,0.0,0.0,79.52,79.52,79.52,0.0,0.0
2018-07-29,77.99,77.99,77.99,0.0,0.0,78.02,78.02,78.02,0.0,0.0,77.97,77.97,77.97,0.0,0.0,78.02,78.02,78.02,0.0,0.0
2018-08-05,76.6,76.6,76.6,0.0,0.0,76.74,76.74,76.74,0.0,0.0,76.57,76.57,76.57,0.0,0.0,76.57,76.57,76.57,0.0,0.0
2018-08-12,75.86,75.86,75.86,0.0,0.0,75.86,75.86,75.86,0.0,0.0,75.86,75.86,75.86,0.0,0.0,75.86,75.86,75.86,0.0,0.0
2018-08-19,76.72,76.72,76.72,0.0,0.0,76.72,76.72,76.72,0.0,0.0,76.72,76.72,76.72,0.0,0.0,76.72,76.72,76.72,0.0,0.0
2018-08-26,76.98,76.98,76.98,0.0,0.0,77.1,77.1,77.1,0.0,0.0,76.92,76.92,76.92,0.0,0.0,76.99,76.99,76.99,0.0,0.0
