Date,Fidelity MSCI EnergyEtf_Open_average,Fidelity MSCI EnergyEtf_Open_max,Fidelity MSCI EnergyEtf_Open_min,Fidelity MSCI EnergyEtf_Open_volatility,Fidelity MSCI EnergyEtf_Open_change,Fidelity MSCI EnergyEtf_High_average,Fidelity MSCI EnergyEtf_High_max,Fidelity MSCI EnergyEtf_High_min,Fidelity MSCI EnergyEtf_High_volatility,Fidelity MSCI EnergyEtf_High_change,Fidelity MSCI EnergyEtf_Low_average,Fidelity MSCI EnergyEtf_Low_max,Fidelity MSCI EnergyEtf_Low_min,Fidelity MSCI EnergyEtf_Low_volatility,Fidelity MSCI EnergyEtf_Low_change,Fidelity MSCI EnergyEtf_Close_average,Fidelity MSCI EnergyEtf_Close_max,Fidelity MSCI EnergyEtf_Close_min,Fidelity MSCI EnergyEtf_Close_volatility,Fidelity MSCI EnergyEtf_Close_change
2018-01-14,21.15,21.15,21.15,0.0,0.0,21.15,21.15,21.15,0.0,0.0,20.99,20.99,20.99,0.0,0.0,21.15,21.15,21.15,0.0,0.0
2018-01-21,21.37,21.37,21.37,0.0,0.0,21.48,21.48,21.48,0.0,0.0,21.32,21.32,21.32,0.0,0.0,21.44,21.44,21.44,0.0,0.0
2018-01-28,20.57,20.57,20.57,0.0,0.0,20.57,20.57,20.57,0.0,0.0,19.91,19.91,19.91,0.0,0.0,20.01,20.01,20.01,0.0,0.0
2018-02-04,18.59,18.59,18.59,0.0,0.0,18.62,18.62,18.62,0.0,0.0,17.77,17.77,17.77,0.0,0.0,18.37,18.37,18.37,0.0,0.0
2018-02-11,18.81,18.81,18.81,0.0,0.0,19.02,19.02,19.02,0.0,0.0,18.75,18.75,18.75,0.0,0.0,18.85,18.85,18.85,0.0,0.0
2018-02-18,18.74,18.74,18.74,0.0,0.0,19.06,19.06,19.06,0.0,0.0,18.74,18.74,18.74,0.0,0.0,19.05,19.05,19.05,0.0,0.0
2018-02-25,18.3,18.3,18.3,0.0,0.0,18.61,18.61,18.61,0.0,0.0,18.15,18.15,18.15,0.0,0.0,18.55,18.55,18.55,0.0,0.0
2018-03-04,18.71,18.71,18.71,0.0,0.0,18.97,18.97,18.97,0.0,0.0,18.69,18.69,18.69,0.0,0.0,18.94,18.94,18.94,0.0,0.0
2018-03-11,18.49,18.49,18.49,0.0,0.0,18.73,18.73,18.73,0.0,0.0,18.46,18.46,18.46,0.0,0.0,18.66,18.66,18.66,0.0,0.0
2018-03-18,18.74,18.74,18.74,0.0,0.0,18.95,18.95,18.95,0.0,0.0,18.48,18.48,18.48,0.0,0.0,18.53,18.53,18.53,0.0,0.0
2018-03-25,18.37,18.37,18.37,0.0,0.0,18.77,18.77,18.77,0.0,0.0,18.37,18.37,18.37,0.0,0.0,18.7,18.7,18.7,0.0,0.0
2018-04-01,18.89,18.89,18.89,0.0,0.0,18.97,18.97,18.97,0.0,0.0,18.42,18.42,18.42,0.0,0.0,18.65,18.65,18.65,0.0,0.0
2018-04-08,19.71,19.71,19.71,0.0,0.0,19.9,19.9,19.9,0.0,0.0,19.7,19.7,19.7,0.0,0.0,19.82,19.82,19.82,0.0,0.0
2018-04-15,20.44,20.44,20.44,0.0,0.0,20.45,20.45,20.45,0.0,0.0,20.25,20.25,20.25,0.0,0.0,20.39,20.39,20.39,0.0,0.0
2018-04-22,20.55,20.55,20.55,0.0,0.0,20.61,20.61,20.61,0.0,0.0,20.45,20.45,20.45,0.0,0.0,20.51,20.51,20.51,0.0,0.0
2018-04-29,20.36,20.36,20.36,0.0,0.0,20.62,20.62,20.62,0.0,0.0,20.29,20.29,20.29,0.0,0.0,20.54,20.54,20.54,0.0,0.0
