Date,WisdomTree Total DividendEtf_Open_average,WisdomTree Total DividendEtf_Open_max,WisdomTree Total DividendEtf_Open_min,WisdomTree Total DividendEtf_Open_volatility,WisdomTree Total DividendEtf_Open_change,WisdomTree Total DividendEtf_High_average,WisdomTree Total DividendEtf_High_max,WisdomTree Total DividendEtf_High_min,WisdomTree Total DividendEtf_High_volatility,WisdomTree Total DividendEtf_High_change,WisdomTree Total DividendEtf_Low_average,WisdomTree Total DividendEtf_Low_max,WisdomTree Total DividendEtf_Low_min,WisdomTree Total DividendEtf_Low_volatility,WisdomTree Total DividendEtf_Low_change,WisdomTree Total DividendEtf_Close_average,WisdomTree Total DividendEtf_Close_max,WisdomTree Total DividendEtf_Close_min,WisdomTree Total DividendEtf_Close_volatility,WisdomTree Total DividendEtf_Close_change
2018-01-14,95.61,95.61,95.61,0.0,0.0,95.84,95.84,95.84,0.0,0.0,95.49,95.49,95.49,0.0,0.0,95.84,95.84,95.84,0.0,0.0
2018-01-21,96.76,96.76,96.76,0.0,0.0,97.46,97.46,97.46,0.0,0.0,96.76,96.76,96.76,0.0,0.0,97.39,97.39,97.39,0.0,0.0
2018-01-28,95.07,95.07,95.07,0.0,0.0,95.07,95.07,95.07,0.0,0.0,93.57,93.57,93.57,0.0,0.0,93.62,93.62,93.62,0.0,0.0
2018-02-04,88.84,88.84,88.84,0.0,0.0,89.56,89.56,89.56,0.0,0.0,86.5,86.5,86.5,0.0,0.0,89.07,89.07,89.07,0.0,0.0
2018-02-11,92.25,92.25,92.25,0.0,0.0,93.25,93.25,93.25,0.0,0.0,92.25,92.25,92.25,0.0,0.0,92.86,92.86,92.86,0.0,0.0
2018-02-18,91.38,91.38,91.38,0.0,0.0,92.29,92.29,92.29,0.0,0.0,91.37,91.37,91.37,0.0,0.0,92.29,92.29,92.29,0.0,0.0
2018-02-25,89.55,89.55,89.55,0.0,0.0,90.59,90.59,90.59,0.0,0.0,89.42,89.42,89.42,0.0,0.0,90.57,90.57,90.57,0.0,0.0
2018-03-04,92.32,92.32,92.32,0.0,0.0,93.05,93.05,93.05,0.0,0.0,92.26,92.26,92.26,0.0,0.0,93.05,93.05,93.05,0.0,0.0
2018-03-11,92.03,92.03,92.03,0.0,0.0,92.58,92.58,92.58,0.0,0.0,92.03,92.03,92.03,0.0,0.0,92.17,92.17,92.17,0.0,0.0
2018-03-18,88.71,88.71,88.71,0.0,0.0,88.81,88.81,88.81,0.0,0.0,86.83,86.83,86.83,0.0,0.0,86.83,86.83,86.83,0.0,0.0
2018-03-25,88.65,88.65,88.65,0.0,0.0,89.51,89.51,89.51,0.0,0.0,88.6,88.6,88.6,0.0,0.0,89.13,89.13,89.13,0.0,0.0
2018-04-01,89.51,89.51,89.51,0.0,0.0,89.91,89.91,89.91,0.0,0.0,88.22,88.22,88.22,0.0,0.0,88.45,88.45,88.45,0.0,0.0
2018-04-08,90.3,90.3,90.3,0.0,0.0,90.3,90.3,90.3,0.0,0.0,89.32,89.32,89.32,0.0,0.0,89.67,89.67,89.67,0.0,0.0
2018-04-15,90.37,90.37,90.37,0.0,0.0,90.37,90.37,90.37,0.0,0.0,89.45,89.45,89.45,0.0,0.0,89.45,89.45,89.45,0.0,0.0
2018-04-22,89.8,89.8,89.8,0.0,0.0,90.04,90.04,90.04,0.0,0.0,89.77,89.77,89.77,0.0,0.0,90.0,90.0,90.0,0.0,0.0
2018-04-29,88.21,88.21,88.21,0.0,0.0,89.51,89.51,89.51,0.0,0.0,88.07,88.07,88.07,0.0,0.0,89.35,89.35,89.35,0.0,0.0
2018-05-06,91.13,91.13,91.13,0.0,0.0,91.38,91.38,91.38,0.0,0.0,91.03,91.03,91.03,0.0,0.0,91.29,91.29,91.29,0.0,0.0
2018-05-13,91.01,91.01,91.01,0.0,0.0,91.07,91.07,91.07,0.0,0.0,90.9,90.9,90.9,0.0,0.0,90.92,90.92,90.92,0.0,0.0
2018-05-20,91.22,91.22,91.22,0.0,0.0,91.22,91.22,91.22,0.0,0.0,90.87,90.87,90.87,0.0,0.0,91.08,91.08,91.08,0.0,0.0
2018-05-27,91.22,91.22,91.22,0.0,0.0,91.52,91.52,91.52,0.0,0.0,91.22,91.22,91.22,0.0,0.0,91.4,91.4,91.4,0.0,0.0
2018-06-03,92.52,92.52,92.52,0.0,0.0,92.9,92.9,92.9,0.0,0.0,92.52,92.52,92.52,0.0,0.0,92.86,92.86,92.86,0.0,0.0
2018-06-10,92.36,92.36,92.36,0.0,0.0,92.72,92.72,92.72,0.0,0.0,92.22,92.22,92.22,0.0,0.0,92.62,92.62,92.62,0.0,0.0
2018-06-17,92.18,92.18,92.18,0.0,0.0,92.35,92.35,92.35,0.0,0.0,92.18,92.18,92.18,0.0,0.0,92.21,92.21,92.21,0.0,0.0
2018-06-24,91.34,91.34,91.34,0.0,0.0,91.79,91.79,91.79,0.0,0.0,91.14,91.14,91.14,0.0,0.0,91.14,91.14,91.14,0.0,0.0
2018-07-01,91.89,91.89,91.89,0.0,0.0,92.43,92.43,92.43,0.0,0.0,91.89,91.89,91.89,0.0,0.0,92.41,92.41,92.41,0.0,0.0
2018-07-08,92.95,92.95,92.95,0.0,0.0,93.28,93.28,93.28,0.0,0.0,92.95,92.95,92.95,0.0,0.0,93.26,93.26,93.26,0.0,0.0
