Date,Invesco S and P MidCap Momentum_Open_average,Invesco S and P MidCap Momentum_Open_max,Invesco S and P MidCap Momentum_Open_min,Invesco S and P MidCap Momentum_Open_volatility,Invesco S and P MidCap Momentum_Open_change,Invesco S and P MidCap Momentum_High_average,Invesco S and P MidCap Momentum_High_max,Invesco S and P MidCap Momentum_High_min,Invesco S and P MidCap Momentum_High_volatility,Invesco S and P MidCap Momentum_High_change,Invesco S and P MidCap Momentum_Low_average,Invesco S and P MidCap Momentum_Low_max,Invesco S and P MidCap Momentum_Low_min,Invesco S and P MidCap Momentum_Low_volatility,Invesco S and P MidCap Momentum_Low_change,Invesco S and P MidCap Momentum_Close_average,Invesco S and P MidCap Momentum_Close_max,Invesco S and P MidCap Momentum_Close_min,Invesco S and P MidCap Momentum_Close_volatility,Invesco S and P MidCap Momentum_Close_change
2018-01-14,46.07,46.07,46.07,0.0,0.0,46.21,46.21,46.21,0.0,0.0,45.8,45.8,45.8,0.0,0.0,46.21,46.21,46.21,0.0,0.0
2018-01-21,46.27,46.27,46.27,0.0,0.0,46.27,46.27,46.27,0.0,0.0,45.85,45.85,45.85,0.0,0.0,45.85,45.85,45.85,0.0,0.0
2018-01-28,44.17,44.17,44.17,0.0,0.0,44.85,44.85,44.85,0.0,0.0,43.06,43.06,43.06,0.0,0.0,43.36,43.36,43.36,0.0,0.0
2018-02-04,42.92,42.92,42.92,0.0,0.0,43.48,43.48,43.48,0.0,0.0,42.92,42.92,42.92,0.0,0.0,43.09,43.09,43.09,0.0,0.0
2018-02-11,45.0,45.0,45.0,0.0,0.0,45.22,45.22,45.22,0.0,0.0,45.0,45.0,45.0,0.0,0.0,45.13,45.13,45.13,0.0,0.0
2018-02-18,45.38,45.38,45.38,0.0,0.0,45.69,45.69,45.69,0.0,0.0,45.38,45.38,45.38,0.0,0.0,45.56,45.56,45.56,0.0,0.0
2018-02-25,45.14,45.14,45.14,0.0,0.0,45.89,45.89,45.89,0.0,0.0,45.09,45.09,45.09,0.0,0.0,45.76,45.76,45.76,0.0,0.0
2018-03-04,47.66,47.66,47.66,0.0,0.0,47.67,47.67,47.67,0.0,0.0,47.44,47.44,47.44,0.0,0.0,47.61,47.61,47.61,0.0,0.0
2018-03-11,47.0,47.0,47.0,0.0,0.0,47.0,47.0,47.0,0.0,0.0,46.33,46.33,46.33,0.0,0.0,46.64,46.64,46.64,0.0,0.0
2018-03-18,46.01,46.01,46.01,0.0,0.0,46.37,46.37,46.37,0.0,0.0,45.5,45.5,45.5,0.0,0.0,46.37,46.37,46.37,0.0,0.0
2018-03-25,45.28,45.28,45.28,0.0,0.0,45.28,45.28,45.28,0.0,0.0,44.01,44.01,44.01,0.0,0.0,44.41,44.41,44.41,0.0,0.0
