Date,CME_Open_average,CME_Open_max,CME_Open_min,CME_Open_volatility,CME_Open_change,CME_High_average,CME_High_max,CME_High_min,CME_High_volatility,CME_High_change,CME_Low_average,CME_Low_max,CME_Low_min,CME_Low_volatility,CME_Low_change,CME_Close_average,CME_Close_max,CME_Close_min,CME_Close_volatility,CME_Close_change,CME_Volume_average,CME_Volume_max,CME_Volume_min,CME_Volume_volatility,CME_Volume_change
2018-01-14,153.298,154.14,152.04,2.0999999999999943,-0.07999999999998408,154.35999999999999,155.45,152.78,2.6699999999999875,0.29999999999998295,152.118,153.71,151.26,2.450000000000017,2.3100000000000023,153.118,155.45,151.45,4.0,3.25,1276910,1558779,910714,648065,-393411
2018-01-21,154.966,155.7,154.3,1.3999999999999773,-0.4199999999999875,155.82,156.49,155.19,1.3000000000000114,0.46999999999999886,153.476,153.84,153.17,0.6700000000000159,-0.46000000000000796,154.404,155.16,153.45,1.710000000000008,-0.8000000000000114,1094783,1228140,842694,385446,380674
2018-01-28,156.084,160.12,152.91,7.210000000000008,5.990000000000009,158.544,163.0,154.52,8.47999999999999,6.269999999999982,154.36599999999999,158.95,152.23,6.719999999999999,1.6500000000000057,155.758,159.11,153.33,5.780000000000001,0.6299999999999955,2702323,3687657,1506052,2181605,2181605
2018-02-04,156.742,160.25,153.2,7.050000000000011,4.130000000000024,159.968,162.0,157.76,4.240000000000009,3.530000000000001,153.782,157.25,149.38,7.8700000000000045,7.8700000000000045,157.52,160.13,153.04,7.090000000000003,2.4799999999999898,2885737,4348375,1991376,2356999,-2356999
2018-02-11,161.38,164.68,159.0,5.680000000000007,5.680000000000007,163.57,165.35,161.17,4.180000000000007,4.180000000000007,160.08,161.78,158.16,3.6200000000000045,3.6200000000000045,162.45,165.11,160.16,4.950000000000017,2.219999999999999,1518210,1790133,1238334,551799,210619
2018-02-18,162.604,164.52,161.2,3.3200000000000216,2.7900000000000205,164.776,166.95,163.38,3.569999999999993,2.289999999999992,161.606,163.6,160.03,3.569999999999993,2.079999999999984,163.316,166.9,160.53,6.3700000000000045,3.5500000000000114,1193444,1435398,972314,463084,-220659
2018-02-25,165.46,167.24,161.56,5.680000000000007,-1.8900000000000148,168.368,170.13,166.38,3.75,0.6099999999999852,163.974,166.5,161.28,5.219999999999999,-1.5999999999999943,165.972,168.49,162.26,6.230000000000018,1.8000000000000114,1633980,1945960,1415414,530546,362403
2018-03-04,169.334,171.13,168.02,3.109999999999985,2.0600000000000023,170.344,171.71,168.83,2.8799999999999955,1.3499999999999943,167.218,168.81,166.04,2.7700000000000102,1.3899999999999864,169.442,171.42,168.44,2.9799999999999898,-0.4099999999999966,1650452,1949082,1358081,591001,164483
2018-03-11,165.638,169.06,163.01,6.050000000000011,-3.990000000000009,167.14000000000001,169.86,165.57,4.2900000000000205,-4.2900000000000205,162.628,164.23,160.82,3.4099999999999966,-2.1399999999999864,164.362,165.39,162.95,2.4399999999999977,-1.2700000000000102,3176626,7742237,1381309,6360928,-922682
2018-03-18,162.494,164.31,159.88,4.430000000000007,-4.409999999999997,164.504,166.97,161.64,5.3300000000000125,-3.2399999999999807,160.97799999999998,163.98,157.98,6.0,-4.409999999999997,161.734,164.5,158.12,6.3799999999999955,-2.469999999999999,1554104,2120385,964324,1156061,972522
2018-03-25,160.22750000000002,161.77,158.52,3.25,-0.15000000000000568,163.7075,167.36,161.62,5.740000000000009,-2.2299999999999898,156.5275,157.6,155.4,2.1999999999999886,-2.1999999999999886,159.32,161.74,157.7,4.0400000000000205,-1.3000000000000114,2400296,3926343,1795380,2130963,-40237
2018-04-01,159.548,161.91,157.26,4.650000000000006,1.460000000000008,162.116,164.11,160.97,3.140000000000015,1.460000000000008,157.962,160.76,156.73,4.030000000000001,1.3800000000000239,160.298,162.99,158.26,4.730000000000018,-1.3899999999999864,1605103,1932012,1313788,618224,-482256
2018-04-08,163.162,165.38,161.02,4.359999999999985,3.9199999999999875,164.934,166.17,162.53,3.6399999999999864,1.3499999999999943,161.942,163.97,160.49,3.4799999999999898,3.039999999999992,163.3,164.21,161.26,2.950000000000017,0.4300000000000068,1424689,1977605,1022357,955248,-955248
2018-04-15,165.108,165.62,164.8,0.8199999999999932,0.1599999999999966,166.064,166.65,165.32,1.3300000000000125,-1.3300000000000125,163.676,164.56,163.01,1.5500000000000114,-1.3700000000000045,164.742,165.2,164.2,1.0,-0.5600000000000023,1378743,1598099,1026414,571685,-247404
2018-04-22,160.57999999999998,164.98,157.91,7.069999999999993,-6.609999999999985,161.936,165.41,159.31,6.099999999999994,-4.840000000000003,157.81,160.27,155.6,4.670000000000016,-2.6000000000000227,159.434,161.6,157.36,4.239999999999981,-3.9199999999999875,1806907,3048841,1412935,1635906,-121625
2018-04-29,157.186,159.41,155.7,3.710000000000008,1.8499999999999943,159.064,160.3,158.2,2.1000000000000227,1.740000000000009,155.61,158.35,153.9,4.449999999999989,3.9499999999999886,157.656,159.22,156.38,2.8400000000000034,2.719999999999999,1679645,2096993,1232005,864988,-730600
2018-05-06,159.602,160.44,158.74,1.6999999999999886,0.8799999999999955,160.748,161.84,159.71,2.1299999999999955,1.4899999999999807,158.238,159.14,157.4,1.7399999999999807,0.8499999999999943,160.042,161.47,158.46,3.009999999999991,2.569999999999993,1333979,1532538,1194930,337608,37021
2018-05-13,160.486,160.73,160.15,0.5799999999999841,-0.5799999999999841,161.21,161.87,160.88,0.9900000000000091,0.5,159.47,160.01,159.27,0.7399999999999807,0.7399999999999807,160.596,161.38,159.78,1.5999999999999943,0.9300000000000068,1228113,1923827,911163,1012664,-249601
2018-05-20,159.79500000000002,161.27,158.68,2.5900000000000034,-1.8700000000000045,160.44,161.46,159.99,1.4699999999999989,-1.4699999999999989,158.165,158.81,157.21,1.5999999999999943,-0.3100000000000023,160.145,160.86,159.6,1.2600000000000193,-1.2600000000000193,1248557,1473301,1026696,446605,-280819
2018-05-27,163.03799999999998,167.67,158.47,9.199999999999989,9.199999999999989,165.948,170.48,159.54,10.939999999999998,10.939999999999998,161.968,167.52,157.35,10.170000000000016,10.170000000000016,164.98000000000002,170.3,158.68,11.620000000000005,11.620000000000005,2323491,3657488,1690453,1967035,122602
2018-06-03,171.288,173.49,169.08,4.409999999999997,2.1699999999999875,172.406,174.36,170.79,3.5700000000000216,0.6400000000000148,169.986,170.8,169.08,1.7199999999999989,0.5599999999999739,171.468,173.54,170.46,3.079999999999984,0.1699999999999875,1936298,2619253,1428055,1191198,-1169331
2018-06-10,169.702,170.79,168.1,2.6899999999999977,-1.3400000000000034,170.98,172.21,169.72,2.490000000000009,-1.1800000000000068,168.308,169.12,167.21,1.9099999999999966,-0.28000000000000114,169.718,170.48,168.86,1.6199999999999761,-1.0200000000000102,1528366,2074769,1117226,957543,-100420
2018-06-17,167.958,168.84,167.03,1.8100000000000023,0.3499999999999943,168.906,169.97,168.2,1.7700000000000102,-0.5200000000000102,166.31,167.79,165.12,2.6699999999999875,-1.25,167.46,168.42,166.49,1.9299999999999784,-0.46999999999999886,1590228,2017398,1231565,785833,-690305
2018-06-24,164.33,166.86,163.02,3.8400000000000034,-3.380000000000024,165.996,168.55,164.06,4.490000000000009,-4.490000000000009,163.384,165.2,162.38,2.819999999999993,-2.219999999999999,164.102,165.55,163.19,2.3600000000000136,-1.5600000000000023,1351569,1686709,917806,768903,-728496
2018-07-01,161.6825,164.0,160.08,3.9199999999999875,-2.789999999999992,163.215,165.65,161.53,4.1200000000000045,-1.8499999999999943,160.1575,161.0,159.36,1.6399999999999864,0.2400000000000091,161.345,163.53,160.3,3.2299999999999898,2.4099999999999966,1268259,1652286,511956,1140330,1140330
