Date,iShares MSCI Russia Capped_Open_average,iShares MSCI Russia Capped_Open_max,iShares MSCI Russia Capped_Open_min,iShares MSCI Russia Capped_Open_volatility,iShares MSCI Russia Capped_Open_change,iShares MSCI Russia Capped_High_average,iShares MSCI Russia Capped_High_max,iShares MSCI Russia Capped_High_min,iShares MSCI Russia Capped_High_volatility,iShares MSCI Russia Capped_High_change,iShares MSCI Russia Capped_Low_average,iShares MSCI Russia Capped_Low_max,iShares MSCI Russia Capped_Low_min,iShares MSCI Russia Capped_Low_volatility,iShares MSCI Russia Capped_Low_change,iShares MSCI Russia Capped_Close_average,iShares MSCI Russia Capped_Close_max,iShares MSCI Russia Capped_Close_min,iShares MSCI Russia Capped_Close_volatility,iShares MSCI Russia Capped_Close_change
2018-01-14,37.54,37.54,37.54,0.0,0.0,37.85,37.85,37.85,0.0,0.0,37.52,37.52,37.52,0.0,0.0,37.85,37.85,37.85,0.0,0.0
2018-01-21,37.31,37.31,37.31,0.0,0.0,37.32,37.32,37.32,0.0,0.0,37.15,37.15,37.15,0.0,0.0,37.15,37.15,37.15,0.0,0.0
2018-01-28,36.76,36.76,36.76,0.0,0.0,37.02,37.02,37.02,0.0,0.0,35.74,35.74,35.74,0.0,0.0,35.76,35.76,35.76,0.0,0.0
2018-02-04,35.17,35.17,35.17,0.0,0.0,35.67,35.67,35.67,0.0,0.0,35.12,35.12,35.12,0.0,0.0,35.44,35.44,35.44,0.0,0.0
2018-02-11,37.03,37.03,37.03,0.0,0.0,37.3,37.3,37.3,0.0,0.0,36.73,36.73,36.73,0.0,0.0,36.85,36.85,36.85,0.0,0.0
2018-02-18,38.78,38.78,38.78,0.0,0.0,39.23,39.23,39.23,0.0,0.0,38.64,38.64,38.64,0.0,0.0,39.23,39.23,39.23,0.0,0.0
2018-02-25,37.33,37.33,37.33,0.0,0.0,37.87,37.87,37.87,0.0,0.0,37.21,37.21,37.21,0.0,0.0,37.82,37.82,37.82,0.0,0.0
2018-03-04,37.57,37.57,37.57,0.0,0.0,37.57,37.57,37.57,0.0,0.0,37.27,37.27,37.27,0.0,0.0,37.51,37.51,37.51,0.0,0.0
2018-03-11,36.14,36.14,36.14,0.0,0.0,36.3,36.3,36.3,0.0,0.0,35.93,35.93,35.93,0.0,0.0,36.03,36.03,36.03,0.0,0.0
2018-03-18,36.33,36.33,36.33,0.0,0.0,36.41,36.41,36.41,0.0,0.0,35.71,35.71,35.71,0.0,0.0,36.0,36.0,36.0,0.0,0.0
2018-03-25,36.27,36.27,36.27,0.0,0.0,36.3,36.3,36.3,0.0,0.0,35.78,35.78,35.78,0.0,0.0,35.92,35.92,35.92,0.0,0.0
2018-04-01,32.03,32.03,32.03,0.0,0.0,32.27,32.27,32.27,0.0,0.0,31.3,31.3,31.3,0.0,0.0,31.3,31.3,31.3,0.0,0.0
2018-04-08,31.45,31.45,31.45,0.0,0.0,32.45,32.45,32.45,0.0,0.0,31.35,31.35,31.35,0.0,0.0,32.42,32.42,32.42,0.0,0.0
2018-04-15,33.14,33.14,33.14,0.0,0.0,33.35,33.35,33.35,0.0,0.0,32.92,32.92,32.92,0.0,0.0,33.09,33.09,33.09,0.0,0.0
2018-04-22,33.76,33.76,33.76,0.0,0.0,33.78,33.78,33.78,0.0,0.0,33.26,33.26,33.26,0.0,0.0,33.3,33.3,33.3,0.0,0.0
2018-04-29,33.35,33.35,33.35,0.0,0.0,33.53,33.53,33.53,0.0,0.0,33.01,33.01,33.01,0.0,0.0,33.06,33.06,33.06,0.0,0.0
2018-05-06,34.73,34.73,34.73,0.0,0.0,35.01,35.01,35.01,0.0,0.0,34.49,34.49,34.49,0.0,0.0,34.51,34.51,34.51,0.0,0.0
2018-05-13,34.44,34.44,34.44,0.0,0.0,34.57,34.57,34.57,0.0,0.0,34.33,34.33,34.33,0.0,0.0,34.49,34.49,34.49,0.0,0.0
2018-05-20,33.78,33.78,33.78,0.0,0.0,33.98,33.98,33.98,0.0,0.0,33.77,33.77,33.77,0.0,0.0,33.86,33.86,33.86,0.0,0.0
2018-05-27,34.14,34.14,34.14,0.0,0.0,34.35,34.35,34.35,0.0,0.0,34.14,34.14,34.14,0.0,0.0,34.26,34.26,34.26,0.0,0.0
2018-06-03,33.15,33.15,33.15,0.0,0.0,33.19,33.19,33.19,0.0,0.0,32.97,32.97,32.97,0.0,0.0,32.97,32.97,32.97,0.0,0.0
2018-06-10,31.88,31.88,31.88,0.0,0.0,32.09,32.09,32.09,0.0,0.0,31.71,31.71,31.71,0.0,0.0,31.9,31.9,31.9,0.0,0.0
2018-06-17,32.76,32.76,32.76,0.0,0.0,32.9,32.9,32.9,0.0,0.0,32.54,32.54,32.54,0.0,0.0,32.88,32.88,32.88,0.0,0.0
2018-06-24,33.83,33.83,33.83,0.0,0.0,33.87,33.87,33.87,0.0,0.0,33.57,33.57,33.57,0.0,0.0,33.72,33.72,33.72,0.0,0.0
2018-07-01,35.05,35.05,35.05,0.0,0.0,35.5,35.5,35.5,0.0,0.0,35.01,35.01,35.01,0.0,0.0,35.47,35.47,35.47,0.0,0.0
