Date,PowerShares SP 500 Value Portfolio_Open_average,PowerShares SP 500 Value Portfolio_Open_max,PowerShares SP 500 Value Portfolio_Open_min,PowerShares SP 500 Value Portfolio_Open_volatility,PowerShares SP 500 Value Portfolio_Open_change,PowerShares SP 500 Value Portfolio_High_average,PowerShares SP 500 Value Portfolio_High_max,PowerShares SP 500 Value Portfolio_High_min,PowerShares SP 500 Value Portfolio_High_volatility,PowerShares SP 500 Value Portfolio_High_change,PowerShares SP 500 Value Portfolio_Low_average,PowerShares SP 500 Value Portfolio_Low_max,PowerShares SP 500 Value Portfolio_Low_min,PowerShares SP 500 Value Portfolio_Low_volatility,PowerShares SP 500 Value Portfolio_Low_change,PowerShares SP 500 Value Portfolio_Close_average,PowerShares SP 500 Value Portfolio_Close_max,PowerShares SP 500 Value Portfolio_Close_min,PowerShares SP 500 Value Portfolio_Close_volatility,PowerShares SP 500 Value Portfolio_Close_change
2018-01-14,37.03,37.03,37.03,0.0,0.0,37.09,37.09,37.09,0.0,0.0,36.98,36.98,36.98,0.0,0.0,37.07,37.07,37.07,0.0,0.0
2018-01-21,37.53,37.53,37.53,0.0,0.0,37.53,37.53,37.53,0.0,0.0,37.33,37.33,37.33,0.0,0.0,37.33,37.33,37.33,0.0,0.0
2018-01-28,35.33,35.33,35.33,0.0,0.0,35.71,35.71,35.71,0.0,0.0,34.12,34.12,34.12,0.0,0.0,34.28,34.28,34.28,0.0,0.0
2018-02-04,34.27,34.27,34.27,0.0,0.0,34.54,34.54,34.54,0.0,0.0,34.07,34.07,34.07,0.0,0.0,34.39,34.39,34.39,0.0,0.0
2018-02-11,35.51,35.51,35.51,0.0,0.0,35.52,35.52,35.52,0.0,0.0,35.43,35.43,35.43,0.0,0.0,35.43,35.43,35.43,0.0,0.0
2018-02-18,35.5,35.5,35.5,0.0,0.0,35.67,35.67,35.67,0.0,0.0,35.34,35.34,35.34,0.0,0.0,35.62,35.62,35.62,0.0,0.0
2018-02-25,34.45,34.45,34.45,0.0,0.0,35.05,35.05,35.05,0.0,0.0,34.45,34.45,34.45,0.0,0.0,35.05,35.05,35.05,0.0,0.0
2018-03-04,35.67,35.67,35.67,0.0,0.0,35.67,35.67,35.67,0.0,0.0,35.67,35.67,35.67,0.0,0.0,35.67,35.67,35.67,0.0,0.0
2018-03-11,34.88,34.88,34.88,0.0,0.0,34.94,34.94,34.94,0.0,0.0,34.88,34.88,34.88,0.0,0.0,34.94,34.94,34.94,0.0,0.0
2018-03-18,33.43,33.43,33.43,0.0,0.0,33.66,33.66,33.66,0.0,0.0,33.09,33.09,33.09,0.0,0.0,33.66,33.66,33.66,0.0,0.0
2018-03-25,33.62,33.62,33.62,0.0,0.0,33.62,33.62,33.62,0.0,0.0,32.58,32.58,32.58,0.0,0.0,32.7,32.7,32.7,0.0,0.0
2018-04-01,33.68,33.68,33.68,0.0,0.0,33.97,33.97,33.97,0.0,0.0,33.68,33.68,33.68,0.0,0.0,33.97,33.97,33.97,0.0,0.0
2018-04-08,34.17,34.17,34.17,0.0,0.0,34.41,34.41,34.41,0.0,0.0,34.02,34.02,34.02,0.0,0.0,34.31,34.31,34.31,0.0,0.0
2018-04-15,34.21,34.21,34.21,0.0,0.0,34.35,34.35,34.35,0.0,0.0,34.21,34.21,34.21,0.0,0.0,34.22,34.22,34.22,0.0,0.0
2018-04-22,34.51,34.51,34.51,0.0,0.0,34.73,34.73,34.73,0.0,0.0,34.51,34.51,34.51,0.0,0.0,34.7,34.7,34.7,0.0,0.0
2018-04-29,33.73,33.73,33.73,0.0,0.0,33.73,33.73,33.73,0.0,0.0,33.73,33.73,33.73,0.0,0.0,33.73,33.73,33.73,0.0,0.0
2018-05-06,34.58,34.58,34.58,0.0,0.0,34.61,34.61,34.61,0.0,0.0,34.55,34.55,34.55,0.0,0.0,34.61,34.61,34.61,0.0,0.0
2018-05-13,34.92,34.92,34.92,0.0,0.0,34.92,34.92,34.92,0.0,0.0,34.86,34.86,34.86,0.0,0.0,34.86,34.86,34.86,0.0,0.0
2018-05-20,34.44,34.44,34.44,0.0,0.0,34.44,34.44,34.44,0.0,0.0,34.44,34.44,34.44,0.0,0.0,34.44,34.44,34.44,0.0,0.0
2018-05-27,34.49,34.49,34.49,0.0,0.0,34.49,34.49,34.49,0.0,0.0,34.48,34.48,34.48,0.0,0.0,34.48,34.48,34.48,0.0,0.0
2018-06-03,35.22,35.22,35.22,0.0,0.0,35.24,35.24,35.24,0.0,0.0,35.22,35.22,35.22,0.0,0.0,35.24,35.24,35.24,0.0,0.0
2018-06-10,34.44,34.44,34.44,0.0,0.0,34.6,34.6,34.6,0.0,0.0,34.44,34.44,34.44,0.0,0.0,34.46,34.46,34.46,0.0,0.0
2018-06-17,34.3,34.3,34.3,0.0,0.0,34.3,34.3,34.3,0.0,0.0,33.87,33.87,33.87,0.0,0.0,33.89,33.89,33.89,0.0,0.0
2018-06-24,33.58,33.58,33.58,0.0,0.0,33.58,33.58,33.58,0.0,0.0,33.58,33.58,33.58,0.0,0.0,33.58,33.58,33.58,0.0,0.0
2018-07-01,34.53,34.53,34.53,0.0,0.0,34.53,34.53,34.53,0.0,0.0,34.48,34.48,34.48,0.0,0.0,34.48,34.48,34.48,0.0,0.0
2018-07-08,34.36,34.36,34.36,0.0,0.0,34.54,34.54,34.54,0.0,0.0,34.36,34.36,34.36,0.0,0.0,34.51,34.51,34.51,0.0,0.0
2018-07-15,34.41,34.41,34.41,0.0,0.0,34.5,34.5,34.5,0.0,0.0,34.41,34.41,34.41,0.0,0.0,34.5,34.5,34.5,0.0,0.0
