Date,GPX_stock_Open_average,GPX_stock_Open_max,GPX_stock_Open_min,GPX_stock_Open_volatility,GPX_stock_Open_change,GPX_stock_High_average,GPX_stock_High_max,GPX_stock_High_min,GPX_stock_High_volatility,GPX_stock_High_change,GPX_stock_Low_average,GPX_stock_Low_max,GPX_stock_Low_min,GPX_stock_Low_volatility,GPX_stock_Low_change,GPX_stock_Close_average,GPX_stock_Close_max,GPX_stock_Close_min,GPX_stock_Close_volatility,GPX_stock_Close_change,GPX_stock_Volume_average,GPX_stock_Volume_max,GPX_stock_Volume_min,GPX_stock_Volume_volatility,GPX_stock_Volume_change
2018-01-14,25.825,26.55,24.95,1.6000000000000014,-1.6000000000000014,26.0,26.8,25.25,1.5500000000000007,-1.5500000000000007,25.2375,25.85,24.7,1.1500000000000021,-1.1500000000000021,25.475,26.2,25.1,1.0999999999999979,-1.0999999999999979,63712,107737,31189,76548,31280
2018-01-21,25.490000000000002,25.8,25.25,0.5500000000000007,0.5500000000000007,25.78,25.9,25.65,0.25,-0.05000000000000071,25.02,25.05,25.0,0.05000000000000071,-0.05000000000000071,25.43,25.8,25.1,0.6999999999999993,-0.5999999999999979,47805,66013,23208,42805,-37781
2018-01-28,24.858,25.39,24.1,1.2899999999999991,-1.1499999999999986,25.198,25.55,24.9,0.6500000000000021,-0.6500000000000021,24.39,24.9,23.65,1.25,-1.0500000000000007,24.74,24.95,24.35,0.5999999999999979,-0.34999999999999787,46525,63583,36381,27202,16024
2018-02-04,23.37,24.15,22.95,1.1999999999999993,-1.0999999999999979,23.785999999999998,24.5,23.4,1.1000000000000014,-1.1000000000000014,22.9,23.2,22.6,0.5999999999999979,-0.5999999999999979,23.21,23.5,22.8,0.6999999999999993,0.0,45408,56323,36023,20300,-14191
2018-02-11,23.19,23.4,22.8,0.5999999999999979,-0.1999999999999993,23.416,23.5,23.3,0.1999999999999993,0.030000000000001137,22.77,22.95,22.55,0.3999999999999986,0.34999999999999787,23.14,23.4,23.0,0.3999999999999986,-0.34999999999999787,45264,55114,35249,19865,-14429
2018-02-18,22.775,23.1,22.15,0.9500000000000028,-0.9500000000000028,23.0875,23.5,22.6,0.8999999999999986,-0.8999999999999986,22.4125,22.8,22.05,0.75,-0.75,22.5,22.9,22.2,0.6999999999999993,-0.6999999999999993,67883,108525,42814,65711,52632
2018-02-25,22.46,23.5,21.1,2.3999999999999986,-1.0999999999999979,22.858,23.75,21.3,2.4499999999999993,-1.6499999999999986,21.61,22.45,20.3,2.1499999999999986,-1.8999999999999986,21.8,22.75,20.4,2.3500000000000014,-2.3500000000000014,112725,156211,79977,76234,30
2018-03-04,21.39,22.5,20.4,2.1000000000000014,2.1000000000000014,22.06,23.2,20.9,2.3000000000000007,2.3000000000000007,21.27,22.3,20.35,1.9499999999999993,1.9499999999999993,21.9,23.0,20.6,2.3999999999999986,2.3999999999999986,80357,149122,38989,110133,-91778
2018-03-11,22.41,22.9,21.85,1.0499999999999972,-1.0499999999999972,22.674,23.25,22.15,1.1000000000000014,-1.1000000000000014,22.078,22.55,21.6,0.9499999999999993,-0.75,22.28,22.55,21.9,0.6500000000000021,-0.4499999999999993,40652,55303,30305,24998,18772
2018-03-18,22.15,22.45,21.65,0.8000000000000007,-0.40000000000000213,22.46,22.9,21.95,0.9499999999999993,-0.5,21.65,22.15,20.75,1.3999999999999986,-1.0,21.91,22.55,20.75,1.8000000000000007,-1.6999999999999993,43287,59603,31768,27835,-6019
